program_or_project_or_activity_1,program_or_project_or_activity_2,program_or_project_or_activity_3,appropriation,project_cost
Social Development,Financial Assistance for Barangay Sports Development,"Concreting of Pahway Barangay Ihatub, Boac",-,5400
Social Development,Financial Assistance for Barangay Sports Development,"Construction of Concrete Line Canal Barangay Janagdong, Mogpog",-,5400
Social Development,Financial Assistance for Barangay Sports Development,"Construction of Box Culvert Barangay Loan, Mogpog",-,5400
Social Development,Financial Assistance for Barangay Sports Development,"Construction of Concrete Line Canal Barangay Market Site, Mogpog",-,5400
Social Development,Financial Assistance for Barangay Sports Development,"Construction of Concrete Line Canal Barangay Silangan, Mogpog",-,5400
Social Development,Financial Assistance for Barangay Sports Development,Concreting of Pathway Barangay Hinanggayon,-,5400
Social Development,Financial Assistance for Barangay Sports Development,"Concreting of Barangay Road Barangay Nangka II, Mogpog",-,5400
Social Development,Financial Assistance for Barangay Sports Development,Construction of Pathway,-,8100
Social Development,Financial Assistance for Barangay Sports Development,"Improvement of Basketball Court Barangay Mataas na Bayan, Mogpog",-,10000
Social Development,Financial Assistance for Barangay Sports Development,"Concreting of Barangay Road Barangay Alobo, Sta. Cruz",-,10000
Social Development,Financial Assistance for Barangay Sports Development,"Concreting of Barangay Road Barangay Masalukot, Sta. Cruz",-,15000
Social Development,Financial Assistance for Barangay Sports Development,"Concreting of Pathway Barangay Lusok, Sta. Cruz",-,10000
Social Development,Financial Assistance for Barangay Sports Development,"Construction of Concrete Lined Canal Barangay Suha, Torrijos",-,10000
Social Development,Financial Assistance for Barangay Sports Development,"Proposed Concreting of Barangay Road Barangay Baguidbirin, Sta. Cruz",-,10000
Social Development,Financial Assistance for Barangay Sports Development,"Improvement of Day Care Barangay Kalangkang, Sta. Cruz",-,10000
Social Development,Financial Assistance for Barangay Sports Development,"Improvement of Water System Barangay Landy, Sta. Cruz",-,10000
Social Development,Financial Assistance for Barangay Sports Development,"Concreting of Pathway Barangay Polo, Sta. Cruz",-,10000
Social Development,Financial Assistance for Barangay Sports Development,"Concreting of Pathway Barangay Buangan, Torrijos",-,10000
Social Development,Financial Assistance for Barangay Sports Development,"Construction of Water Tank Barangay Talawan, torrijos",-,50000
Social Development,Financial Assistance for Barangay Sports Development,"Proposed Street Lightning Barangay Bagtingon, Buenavista",-,10000
Economic Development,Employment Facilitation for Social Protection and Economic Vulnerability Reduction Program,Employment Facilitation for Social Protection and Economic Vulnerability Reduction Program,-,-
Economic Development,Employment Facilitation for Social Protection and Economic Vulnerability Reduction Program,Implementation/Monitoring of Various Program and Project of PESO,500000,500000
Economic Development,Alternative and Sustainable Livelihood/Enterprenuership Program for Poverty Reduction ,Alternative and Sustainable Livelihood/Enterprenuership Program for Poverty Reduction ,-,500000
Economic Development,Alternative and Sustainable Livelihood/Enterprenuership Program for Poverty Reduction ,"Marinduque Moriones Trade Fair and Expo 2012 ""Marinduque"" Puso ng Kagalingan Bayan",1600000,0
Economic Development,"Crop Diversifcation, Development Technology Transfer and Production","Crop Diversifcation, Development Technology Transfer and Production",-,201820
Economic Development,"Crop Diversifcation, Development Technology Transfer and Production","Production of rice, corn, HVCC",500000,0
Economic Development,"Crop Diversifcation, Development Technology Transfer and Production","Production of rice, corn, HVCC-Fertilizers and other farm inputs",200000,0
Economic Development,"Crop Diversifcation, Development Technology Transfer and Production","Production of rice, corn, HVCC-Extention support services,education and training",-,182500
Economic Development,"Agriculture Product, Post Harvest Hauling, Processing and Livelihood Training and Marketing","Agriculture Product, Post Harvest Hauling, Processing and Livelihood Training and Marketing",-,-
Economic Development,"Agriculture Product, Post Harvest Hauling, Processing and Livelihood Training and Marketing",Seeds and Planting Materials,200000,0
Economic Development,"Agriculture Product, Post Harvest Hauling, Processing and Livelihood Training and Marketing",Research and Development,200000,0
Economic Development,"Agriculture Product, Post Harvest Hauling, Processing and Livelihood Training and Marketing",Counter funds for Various mational funded Project,1500000,-
Economic Development,"Agriculture Product, Post Harvest Hauling, Processing and Livelihood Training and Marketing",Counter funds for Various mational funded Project-Farm Machineries and farm Equipment,-,-
Economic Development,"Agriculture Product, Post Harvest Hauling, Processing and Livelihood Training and Marketing",Counter funds for Various mational funded Project-Irrigation Development,-,-
Economic Development,"Agriculture Product, Post Harvest Hauling, Processing and Livelihood Training and Marketing",Counter funds for Various mational funded Project-Other Infra Support,-,-
Economic Development,Alternative Fishery Development Program as Climate Adaptibility Strategy,Alternative Fishery Development Program as Climate Adaptibility Strategy,-,-
Economic Development,Alternative Fishery Development Program as Climate Adaptibility Strategy,Promotion of Backishwater/Freshwater Technology,200000,0
Economic Development,Alternative Fishery Development Program as Climate Adaptibility Strategy,Promotion of Mariculture Technology,200000,0
Economic Development,Alternative Fishery Development Program as Climate Adaptibility Strategy,Fish Sedd Production and Dispersal,150000,0
Economic Development,Alternative Fishery Development Program as Climate Adaptibility Strategy,Production Inputs,150000,150000
Economic Development,Alternative Fishery Development Program as Climate Adaptibility Strategy,Extension Service,100000,0
Economic Development,Alternative Fishery Development Program as Climate Adaptibility Strategy,IEC/Promotion of Fishery Product Utilization,200000,0
Economic Development,Alternative Fishery Development Program as Climate Adaptibility Strategy,Coastal Resource Management,250000,0
Economic Development,Infusion of Breeder Animals,Infusion of Breeder Animals,600000,600000
Economic Development,Infusion of Breeder Animals,Re-stocking of Breeder Animals,-,600000
Economic Development,Intensified Delivery of Veterinary Service (Animal Health Services),Intensified Delivery of Veterinary Service (Animal Health Services),300000,0
Economic Development,Genetic Improvement of Small and Large Ruminants thru Artificial Insemination,Genetic Improvement of Small and Large Ruminants thru Artificial Insemination,300000,103182
Economic Development,Genetic Improvement of Small and Large Ruminants thru Artificial Insemination,Improve of Artificial Insemination Service in Marinduque,-,103182
Economic Development,Intensified Quarantine Services,Intensified Quarantine Services,300000,0
Economic Development,Forage Paature Propagation and Development,Forage Paature Propagation and Development,300000,30700
Economic Development,Forage Paature Propagation and Development,Maintenance of Forage and Pasture,-,30700
Economic Development,Rabbies Eradication,Rabbies Eradication,200000,0
Economic Development,Tourism and Heritage Development,Tourism and Heritage Development,7000000,4343622
Economic Development,Tourism and Heritage Development,Promotion of Marinduque as an Emerging Prime Tourist Destination,-,550000
Economic Development,Tourism and Heritage Development,Constitution of Kubo Pasalubong Village-Morion Arena (2 Units),-,456000
Economic Development,Tourism and Heritage Development,Marinduque Tourism Marketing and Promotion,-,2506367
Economic Development,Tourism and Heritage Development,Promotion of Marinduque Island Province as Venue for International Independent Film Production,-,59175
Economic Development,Tourism and Heritage Development,Tourism Support for First Marinduque thru Foreign and Local Media,-,433080
Economic Development,Construction of Local Roads and Bridges and Purchase of Construction Engineering Equipment,Construction of Local Roads and Bridges and Purchase of Construction Engineering Equipment,-,50000
Economic Development,Construction of Local Roads and Bridges and Purchase of Construction Engineering Equipment,Concreting of Tugos Farm to Martket Road Barangay Tugos Boac,-,280000
Economic Development,Construction of Local Roads and Bridges and Purchase of Construction Engineering Equipment,"Purchase of Forward Dump, Wheeler Truck",15000000,9601000
Economic Development,Construction of Local Roads and Bridges and Purchase of Construction Engineering Equipment,Maintenance of Lusok-Ipil Provincial Road Barangay Lusok-Ipil Sta. Cruz,-,365000
Economic Development,Construction of Local Roads and Bridges and Purchase of Construction Engineering Equipment,Maintence of Bognuyan Provincial Road Barangay Bognuyan Gasan,-,6390000
Economic Development,Construction of Local Roads and Bridges and Purchase of Construction Engineering Equipment,Maintenance of Tumapon-MalbogMaybo Provincial Road,-,66000
Economic Development,Construction of Local Roads and Bridges and Purchase of Construction Engineering Equipment,Maintenance of De Villa Provincial Road,-,66000
Economic Development,Construction of Local Roads and Bridges and Purchase of Construction Engineering Equipment,Maintenance of Luawan Road Barangay Malihaya Boac,-,66000
Economic Development,Construction of Local Roads and Bridges and Purchase of Construction Engineering Equipment,Maintenance of Balanacan-Argao Provincial Road,-,66000
Economic Development,Construction of Local Roads and Bridges and Purchase of Construction Engineering Equipment,Maintenance of Butansapa Barangay Road Torrijos,-,66000
Economic Development,Construction of Local Roads and Bridges and Purchase of Construction Engineering Equipment,Maintenance of Butansapa Provincial Road Torrijos,-,66000
Economic Development,Construction of Local Roads and Bridges and Purchase of Construction Engineering Equipment,Maintenance of Buangan Provincial Road Buenavista,-,66000
Economic Development,Construction of Local Roads and Bridges and Purchase of Construction Engineering Equipment,Maintenance of Caigangan Provincial Road Buenavista,-,66000
Economic Development,Construction of Local Roads and Bridges and Purchase of Construction Engineering Equipment,Maintenance of Mansiwat Provincial Road Boac,-,66000
Economic Development,Construction of Local Roads and Bridges and Purchase of Construction Engineering Equipment,Maintenance of Cawit-Tugod Provincial Road,-,66000
Economic Development,Construction of Local Roads and Bridges and Purchase of Construction Engineering Equipment,Maintenance of Bantay-Ogbac Provincial Road Boac,-,66000
Economic Development,Construction of Local Roads and Bridges and Purchase of Construction Engineering Equipment,Maintence of Ino Provincial Road Magpog,-,66000
Economic Development,Construction of Local Roads and Bridges and Purchase of Construction Engineering Equipment,Maintenance of Tabionan Provincial Road Gasan,-,66000
Economic Development,Construction of Local Roads and Bridges and Purchase of Construction Engineering Equipment,Maintenance of Libtangin-Tapuyan (Cabugao0 Provincial Road Gasan,-,66000
Economic Development,Construction of Local Roads and Bridges and Purchase of Construction Engineering Equipment,Maintenance of Alobo Provincial Road Sta. Cruz ,-,295000
Economic Development,Construction of Local Roads and Bridges and Purchase of Construction Engineering Equipment,Improvement of Balanacan-Argao Provincial Road,-,385000
Economic Development,Construction of Local Roads and Bridges and Purchase of Construction Engineering Equipment,Concreting of Botilao Barangay Road Sta. Cruz,-,365999
Economic Development,Construction of Local Roads and Bridges and Purchase of Construction Engineering Equipment,Concreting of Sta. Cruz-Pantalan Povincial Road,-,745000
Economic Development,Rehabilitaion of Local Roads and Bridges/Vegetation Control,Rehabilitaion of Local Roads and Bridges/Vegetation Control,1369452.4,66000
Economic Development,Rehabilitaion of Local Roads and Bridges/Vegetation Control,Rehabilitationof Ino Provincial Road,-,66000
Economic Development,Amotization of Loans (Purchase of Engineering Equipment),Amotization of Loans (Purchase of Engineering Equipment),12000000,0
Environmental Development,"Marinduque DBP Forest Project, Rehabilitation, Conservation and Protection for Environmental restoration and Carbon Capture Program","Marinduque DBP Forest Project, Rehabilitation, Conservation and Protection for Environmental restoration and Carbon Capture Program",600000,0
Environmental Development,Protected Area Conversation Rehabilitation and Protection Management as Biodiversity and Climate Mitigation Program,Protected Area Conversation Rehabilitation and Protection Management as Biodiversity and Climate Mitigation Program,350000,0
Environmental Development,Marinduque Wildlife Sanctuary Project Development and Biodiversity Conservation,Marinduque Wildlife Sanctuary Project Development and Biodiversity Conservation,350000,0
Environmental Development,Verde Island Passage Marine Corridor Conversation and Protection,Verde Island Passage Marine Corridor Conversation and Protection,350000,0
Environmental Development,Tumagabok Wilderness and Nature Ec-Tourism Development Conversation and Protection,Tumagabok Wilderness and Nature Ec-Tourism Development Conversation and Protection,500000,0
Others,Enhancement of Provincial Development and Physical Framework Plan and Updating of Devepoment Palns/CBMS,Enhancement of Provincial Development and Physical Framework Plan and Updating of Devepoment Palns/CBMS,500000,0
Total,Total,Total,Total,18233186
