roman,particulars,amt_a,amt_b,amt_c,amt_d,sw1,sw_title
,"               036  Office Equipment, Furniture and Fixtures",9309847,7424041,7357548,6833778,,
,               037  Work Animals Outlay,5669,1320,1320,0,,
,               038  Transportation Equipment,4524978,2102642,2104774,1580823,,
,               040  Machineries and Equipment,9361146,10714658,10679190,10170871,,
,               041  Public Infrastructures,168035648,151048823,151048823,129923265,,
,               042  Reforestation Projects,868151,1163037,992037,1439753,1,
,,,,,,,
,TOTAL CAPITAL OUTLAYS,220761148,209423567,209423567,196623365,1,
,,,,,,,
III.,NET LENDING,,,,,,
,,,,,,,
,               960  Net Lending,5064000,15000000,15000000,15000000,1,
,,,,,,,
,TOTAL NET LENDING,5064000,15000000,15000000,15000000,1,
,,,,,,,
,TOTAL OBLIGATIONS OF THE NATIONAL GOVERNMENT,1434145554,1519145968,1540600000,1645000000,1,
