particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
               Cagayan State University,"3,042","2,061","5,546",0,"11,799",207,0,231,"5,437","10,397",123,0,350,"6,708",372,252,"2,660",0,0,50,273,0,0,"49,508"
               Isabela State University,"3,296","1,388","5,223",41,"7,369",96,0,0,"6,099","11,114","1,115",0,218,"7,139","1,036",77,"1,009",0,462,0,122,0,0,"45,804"
               Nueva Vizcaya State University ( NVSIT,,,,,,,,,,,,,,,,,,,,,,,,
                     and NVSPC),"2,132","1,497","1,280","1,024","3,318",0,0,0,"3,423","1,902",122,0,377,"2,791",50,42,"1,024",0,0,0,130,0,0,"19,112"
               Quirino State College,310,160,210,0,"1,276",72,0,0,500,696,94,0,73,553,45,24,35,0,0,0,135,0,0,"4,183"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region III - CENTRAL LUZON,"10,117","5,511","17,214","1,299","75,589",931,0,203,"69,628","12,557","3,866",0,"3,693","28,759","1,353",848,"1,876",0,986,15,"1,737",600,0,"236,782"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aurora State College of Technology,500,150,100,24,"1,318",171,0,50,700,170,76,0,250,264,115,100,224,0,75,0,220,0,0,"4,507"
               Bataan Peninsula State University,"1,925",731,"3,665","1,161","4,333",92,0,0,"4,293","4,676",142,0,65,"1,282",0,23,0,0,57,0,0,0,0,"22,445"
               Central Luzon State University,"1,300",798,"1,512",0,"19,387",103,0,0,"12,727","1,280",0,0,0,220,120,0,115,0,0,0,68,0,0,"37,630"
               Bulacan State University,"1,175","1,516","1,200",0,"7,347",0,0,0,"19,784",906,"2,750",0,"1,100","7,351",75,20,0,0,207,15,63,600,0,"44,109"
               Bulacan Agricultural State College,150,199,375,51,519,0,0,0,970,524,100,0,62,130,41,60,547,0,60,0,69,0,0,"3,857"
               Don Honorio Ventura Technological State,,,,,,,,,,,,,,,,,,,,,,,,
                     University (DHVCAT),929,168,"1,505",0,"3,182",0,0,89,"2,214","1,143",130,0,62,"1,696",0,0,0,0,73,0,0,0,0,"11,191"
               Nueva Ecija University of Science and Technology,929,272,"3,532",30,"7,007",410,0,0,"8,215","1,344",97,0,695,"2,588",185,415,25,0,0,0,500,0,0,"26,244"
               Pampanga Agricultural College,126,107,830,23,"2,138",0,0,54,"2,558",159,71,0,409,"1,465",232,23,45,0,55,0,72,0,0,"8,367"
               Philippine Merchant Marine Academy,835,500,800,10,"22,315",0,0,0,"5,984",229,110,0,600,"4,287",115,75,75,0,165,0,150,0,0,"36,250"
               Ramon Magsaysay Technological University,"1,070",320,"1,675",0,"3,981",150,0,0,"1,855",460,180,0,120,"2,402",100,87,275,0,80,0,435,0,0,"13,190"
               Tarlac College of Agriculture,448,170,"1,530",0,"1,940",0,0,0,"2,550",276,100,0,100,166,100,20,120,0,89,0,40,0,0,"7,649"
               Tarlac State University,730,580,490,0,"2,122",5,0,10,"7,778","1,390",110,0,230,"6,908",270,25,450,0,125,0,120,0,0,"21,343"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-A - CALABARZON,"8,410","4,850","18,383",643,"44,786",181,0,"1,327","32,227","25,288",556,0,"2,829","23,673","1,352",267,210,0,"1,158",0,109,21,0,"166,270"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batangas State University,"1,000","1,500","5,600",50,"9,900",50,0,170,"12,074","6,600",122,0,"1,200","9,450",500,100,200,0,700,0,0,0,0,"49,216"
               Cavite State University,"1,649",607,"4,206",230,"7,559",100,0,0,"6,864","6,655",85,0,227,"3,169",350,30,0,0,160,0,0,0,0,"31,891"
               Laguna State Polytechnic University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Laguna State Polytechnic College),"1,172","1,270","2,114",175,"4,814",0,0,0,"3,141","4,087",110,0,551,"4,584",69,21,10,0,109,0,109,21,0,"22,357"
               Southern Luzon State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Luzon Polytechnic College),"2,816",607,"4,665",45,"12,709",31,0,"1,157","3,468",960,117,0,569,"3,942",379,62,0,0,140,0,0,0,0,"31,667"
               University of Rizal System,"1,773",866,"1,798",143,"9,804",0,0,0,"6,680","6,986",122,0,282,"2,528",54,54,0,0,49,0,0,0,0,"31,139"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-B - MIMAROPA,"7,614","3,007","8,024",260,"16,271",450,0,0,"12,702","8,857",612,0,"2,334","6,655","1,241",780,290,0,783,25,853,10,0,"70,768"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Marinduque State College,775,450,400,75,"1,100",0,0,0,"1,575","1,075",44,0,242,"2,220",255,115,50,0,225,25,225,10,0,"8,861"
               Mindoro State College of Agriculture and Technology,453,262,606,0,"1,600",146,0,0,"1,365",439,68,0,92,160,51,5,0,0,30,0,103,0,0,"5,380"
               Occidental Mindoro State College,,,,,,,,,,,,,,,,,,,,,,,,
                     (Occidental Mindoro National College),687,240,685,40,"1,654",100,0,0,"1,000","3,324",82,0,150,"1,090",0,0,0,0,0,0,0,0,0,"9,052"
               Palawan State University,"3,000","1,200","4,009",0,"7,500",0,0,0,"6,000","2,300",300,0,"1,277",500,935,660,240,0,528,0,250,0,0,"28,699"
               Romblon State University (Romblon State College),"1,300",565,870,145,"1,229",0,0,0,"1,300",830,38,0,191,"1,300",0,0,0,0,0,0,275,0,0,"8,043"
               Western Philippines University,"1,399",290,"1,454",0,"3,188",204,0,0,"1,462",889,80,0,382,"1,385",0,0,0,0,0,0,0,0,0,"10,733"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region V - BICOL,"11,330","3,459","9,114","1,798","36,970",581,0,"10,686","26,981","16,842","1,012",0,"2,377","36,642","1,123",349,"2,486",0,"1,654",25,426,0,0,"163,855"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bicol University,"3,110","1,589","1,605",918,"14,607",182,0,"9,748","9,422","8,148",175,0,874,"16,126",579,112,918,0,"1,046",0,154,0,0,"69,313"
               Camarines Norte State College,"1,001",363,350,151,"1,976",0,0,0,"2,924","1,460",70,0,200,710,100,25,151,0,4,25,35,0,0,"9,545"
               Camarines Sur Polytechnic Colleges,"1,000",306,"2,500",25,"5,085",200,0,0,"2,650","4,144",110,0,277,"7,636",50,20,170,0,60,0,50,0,0,"24,283"
               Central Bicol State University of,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture  (Camarines Sur State,,,,,,,,,,,,,,,,,,,,,,,,
                     Agricultural College),"2,112",301,"2,147",420,"4,099",0,0,115,"3,108","1,023",98,0,242,"1,996",147,128,420,0,117,0,45,0,0,"16,518"
               Catanduanes State Colleges,"1,715",199,450,65,"5,545",0,0,0,"2,830",875,118,0,145,"4,580",45,0,0,0,383,0,75,0,0,"17,025"
"               Dr. Emilio B. Espinosa, Sr. Memorial",,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Agriculture and Technology,901,232,852,90,"1,127",65,0,0,700,378,99,0,71,144,149,59,13,0,0,0,58,0,0,"4,938"
               Partido State University,583,238,290,1,"1,422",14,0,0,"2,008",265,122,0,193,"2,815",53,5,234,0,44,0,9,0,0,"8,296"
               Sorsogon State College,908,231,920,128,"3,109",120,0,823,"3,339",549,220,0,375,"2,635",0,0,580,0,0,0,0,0,0,"13,937"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VI - WESTERN VISAYAS,"14,160","5,778","21,712","1,536","62,100",103,0,0,"27,415","11,976","1,563",0,"3,253","24,491","1,893",876,603,0,"1,392",0,809,75,102,"179,837"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aklan State University,"1,846",844,416,70,"4,597",75,0,0,"1,698","1,416",110,0,593,"2,060",386,113,0,0,148,0,80,0,82,"14,534"
               Capiz State University,"1,404",493,"1,172",314,"6,017",0,0,0,"2,050","3,746",80,0,285,"6,069",185,125,0,0,135,0,0,0,0,"22,075"
               Carlos C. Hilado Memorial State College,"1,100",420,"1,410",0,"4,826",0,0,0,"2,160",650,100,0,250,"1,622",0,90,0,0,195,0,200,0,0,"13,023"
               Guimaras State College,200,146,310,68,346,0,0,0,305,145,80,0,223,290,0,22,92,0,0,0,37,0,0,"2,264"
               Iloilo State College of Fisheries,664,256,"1,485",144,"1,817",0,0,0,"1,536",559,123,0,128,"2,481",106,10,66,0,8,0,82,0,0,"9,465"
               Negros State College of Agriculture,580,315,810,128,"2,797",8,0,0,876,929,278,0,107,480,66,68,220,0,3,0,80,0,0,"7,745"
               Northern Iloilo Polytechnic State College,"2,015",600,"2,984",180,"4,300",0,0,0,"2,260",668,250,0,180,771,525,323,225,0,230,0,205,0,0,"15,716"
               Northern Negros State College of Science,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,515,415,"1,060",0,440,0,0,0,680,0,200,0,0,502,0,0,0,0,0,0,0,0,0,"3,812"
               University of Antique (Polytechnic State,,,,,,,,,,,,,,,,,,,,,,,,
                     College of Antique),982,142,600,182,"4,320",0,0,0,"1,974",717,122,0,200,"1,442",50,0,0,0,0,0,0,0,0,"10,731"
               Western Visayas College of Science and Technology,"1,198",395,"6,312",430,"6,886",0,0,0,"4,928",353,110,0,115,"4,198",0,0,0,0,0,0,0,0,0,"24,925"
               West Visayas State University,"3,656","1,752","5,153",20,"25,754",20,0,0,"8,948","2,793",110,0,"1,172","4,576",575,125,0,0,673,0,125,75,20,"55,547"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VII - CENTRAL VISAYAS,"14,934","2,128","4,903",662,"29,822",7,0,"2,747","15,879","32,000",704,0,983,"18,760",528,462,"2,268",0,894,0,451,100,100,"128,332"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cebu Normal University,200,320,200,0,"8,295",0,0,200,"4,700","16,665",122,0,360,"4,999",20,15,0,0,164,0,50,0,0,"36,310"
               Cebu Technological University (Cebu,,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Science and Technology),"11,247",423,509,65,"8,414",0,0,0,"1,054","7,460",180,0,150,"1,145",50,0,"1,587",0,0,0,150,100,100,"32,634"
               Bohol Island State University  (Central,,,,,,,,,,,,,,,,,,,,,,,,
"                     Visayas State College of Agr., ",,,,,,,,,,,,,,,,,,,,,,,,
                     Forestry and Tech.),"2,188","1,066","2,315",320,"6,372",0,0,0,"4,925",629,220,0,245,"1,211",410,419,315,0,565,0,101,0,0,"21,301"
               Negros Oriental State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Central Visayas Polytechnic College),"1,077",269,"1,636",112,"5,370",7,0,"2,507","4,431","7,095",100,0,133,"11,265",48,28,252,0,60,0,80,0,0,"34,470"
               Siquijor State College,222,50,243,165,"1,371",0,0,40,769,151,82,0,95,140,0,0,114,0,105,0,70,0,0,"3,617"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VIII - EASTERN VISAYAS,"11,792","5,877","16,061",955,"36,336",539,0,"1,308","27,240","8,933","1,870",0,"3,478","26,283",318,193,"4,357",0,"2,545",0,716,0,0,"148,801"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eastern Samar State University,915,945,794,0,"2,604",50,0,0,"1,240",705,432,0,374,"2,043",145,60,355,0,180,0,190,0,0,"11,032"
               Eastern Visayas State University (Leyte,,,,,,,,,,,,,,,,,,,,,,,,
                     Institute of Technology),"2,188",679,"2,511",12,"4,433",0,0,0,"3,856","2,047",120,0,450,"3,991",0,0,"1,525",0,53,0,137,0,0,"22,002"
               Leyte Normal University,440,455,800,0,"5,520",0,0,0,"4,043",430,122,0,449,"5,479",0,0,0,0,0,0,0,0,0,"17,738"
               Visayas State University (Leyte State University),"2,106","1,299","3,551",143,"6,376",0,0,50,"8,666","1,085",162,0,416,"5,995",8,8,145,0,530,0,0,0,0,"30,540"
               Naval State University (Naval Institute,,,,,,,,,,,,,,,,,,,,,,,,
                     of Technology),"1,021",303,"1,244",55,"2,220",60,0,250,"1,015",795,400,0,120,"1,866",0,0,0,0,0,0,0,0,0,"9,349"
               Palompon Institute of Technology,913,305,"1,575",200,"2,235",37,0,145,"1,365",262,122,0,384,755,30,85,200,0,50,0,0,0,0,"8,663"
               Southern Leyte State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Leyte State College of,,,,,,,,,,,,,,,,,,,,,,,,
                     Sci. and Tech. and TONC),"1,437",439,"1,211",127,"2,127",82,0,0,"1,753",983,98,0,381,"1,796",95,35,684,0,143,0,159,0,0,"11,550"
               Samar State University (Samar State,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),674,316,"1,617",100,"2,670",50,0,0,"1,034","1,357",122,0,364,"1,468",10,0,0,0,650,0,10,0,0,"10,442"
               Northwest Samar State University (TTMIST,,,,,,,,,,,,,,,,,,,,,,,,
                     and SSCAF),840,565,790,148,"3,507",170,0,120,"2,900",425,202,0,140,890,30,5,0,0,360,0,220,0,0,"11,312"
               University of Eastern Philippines,"1,258",571,"1,968",170,"4,644",90,0,743,"1,368",844,90,0,400,"2,000",0,0,"1,448",0,579,0,0,0,0,"16,173"
,,,,,,,,,,,,,,,,,,,,,,,,
