particulars,amt_actual,amt_adj,amt_prop,level,bold,year,sort_ord,ord_tag,sect_cd,ssect_cd,agy_type,owner_cd,dept,agy,owner_dsc,amt_actual_orig,amt_adj_orig,amt_prop_orig
      Cultural Center of the Philippines,216461,145000,200000,0,0,2011,69,0,1,06,BSGC,CCP,Cultural Center of the Philippines,,,216461,145000,200000
      Development Academy of the Philippines,79000,70000,45000,0,0,2011,70,0,1,06,BSGC,DAP,Development Academy of the Philippines,,,79000,70000,45000
      Philippine Convention and Visitors Corporation,65000,65000,0,0,0,2011,71,0,1,06,BSGC,PCVC,Philippine Convention and Visitors Corporation,,,65000,65000,0
      Philippine Tourism Authority,5000,360000,0,0,0,2011,72,0,1,06,BSGC,PTA,Philippine Tourism Authority,,,5000,360000,0
      Tourism Promotions Board,0,0,65000,0,0,2011,73,0,1,06,BSGC,TPB,Tourism Promotions Board,,,0,0,65000
   Other Special Purpose Funds,0,74167,71701,3,1,2011,,0,1,06,OSPF,,,,,0,74167,71701
      Miscellaneous Personnel Benefits Fund,0,74167,71701,0,0,2011,74,0,1,06,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,74167,71701
Power and Energy,12887453,5127150,1785157,2,1,2011,,0,1,07,,,,,,12887453,5127150,1785157
,,,,0,0,2011,,0,,,,,,,,,,
   Department/Agencies,3443930,4408797,1713456,3,1,2011,,0,1,07,DEPT,,,,,3443930,4408797,1713456
      Department of Energy,3078197,4111101,1366640,0,0,2011,75,0,1,07,DEPT,OSEC-DOE,Department of Energy,,,3078197,4111101,1366640
      Department of Science and Technology,153210,107054,140646,4,0,2011,,0,1,07,DEPT,,Department of Science and Technology,Department of Science and Technology,,153210,107054,140646
             Philippine Nuclear Research Institute,153210,107054,140646,0,0,2011,76,0,1,07,DEPT,PNRI,Department of Science and Technology,Philippine Nuclear Research Institute,,153210,107054,140646
      Other Executive Offices,212523,190642,206170,4,0,2011,,0,1,07,DEPT,,Other Executive Offices,Other Executive Offices,,212523,190642,206170
             Energy Regulatory Commission,212523,190642,206170,0,0,2011,77,0,1,07,DEPT,ERC,Other Executive Offices,Energy Regulatory Commission,,212523,190642,206170
   Budgetary Support to Government Corporations,9443523,644186,0,3,1,2011,,0,1,07,BSGC,,,,,9443523,644186,0
      National Power Corporation,8915735,0,0,0,0,2011,78,0,1,07,BSGC,NPC,National Power Corporation,,,8915735,0,0
      National Electrification Administration,527788,644186,0,0,0,2011,79,0,1,07,BSGC,NEA,National Electrification Administration,,,527788,644186,0
   Other Special Purpose Funds,0,74167,71701,3,1,2011,,0,1,07,OSPF,,,,,0,74167,71701
      Miscellaneous Personnel Benefits Fund,0,74167,71701,0,0,2011,80,0,1,07,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,74167,71701
Water Resources Development and Flood Control,22634407,18544507,14576985,2,1,2011,,0,1,08,,,,,,22634407,18544507,14576985
,,,,0,0,2011,,0,,,,,,,,,,
   Department/Agencies,20676934,17663087,14426985,3,1,2011,,0,1,08,DEPT,,,,,20676934,17663087,14426985
      Department of Public Works and Highways,20631856,17624679,14381883,4,0,2011,,0,1,08,DEPT,,Department of Public Works and Highways,Department of Public Works and Highways,,20631856,17624679,14381883
             Office of the Secretary,20631856,17624679,14381883,0,0,2011,81,0,1,08,DEPT,OSEC-DPWH,Department of Public Works and Highways,Office of the Secretary,,20631856,17624679,14381883
      Other Executive Offices,45078,38408,0,4,0,2011,,0,1,08,DEPT,,Other Executive Offices,Other Executive Offices,,45078,38408,0
             National Water Resources Board,45078,38408,0,0,0,2011,82,0,1,08,DEPT,NWRB-OEO,Other Executive Offices,National Water Resources Board,,45078,38408,0
      Department of Environment and Natural Resources,0,0,45102,4,0,2011,,0,1,08,DEPT,,Department of Environment and Natural Resources,Department of Environment and Natural Resources,,0,0,45102
             National Water Resources Board,0,0,45102,0,0,2011,83,0,1,08,DEPT,NWRB-DENR,Department of Environment and Natural Resources,National Water Resources Board,,0,0,45102
   Budgetary Support to Government Corporations,1957473,0,0,3,1,2011,,0,1,08,BSGC,,,,,1957473,0,0
      Local Water Utilities Administration,1957473,0,0,0,0,2011,84,0,1,08,BSGC,LWUA-DOH,Local Water Utilities Administration,,,1957473,0,0
   Other Special Purpose Funds,0,881420,150000,3,1,2011,,0,1,08,OSPF,,,,,0,881420,150000
      Tax Expenditures Fund,0,381420,150000,0,0,2011,85,0,1,08,OSPF,TEF,Tax Expenditures Fund,,,0,381420,150000
      General Fund Adjustments,0,500000,0,0,0,2011,86,0,1,08,OSPF,GFA,General Fund Adjustments,,,0,500000,0
"Communications, Roads and Other Transport",167158103,151524319,143956823,2,1,2011,,0,1,09,,,,,,167158103,151524319,143956823
,,,,0,0,2011,,0,,,,,,,,,,
   Department/Agencies,162622435,134701159,128262165,3,1,2011,,0,1,09,DEPT,,,,,162622435,134701159,128262165
      Department of Public Works and Highways,137598609,117543054,95916096,4,0,2011,,0,1,09,DEPT,,Department of Public Works and Highways,Department of Public Works and Highways,,137598609,117543054,95916096
             Office of the Secretary,137598609,117543054,95916096,0,0,2011,87,0,1,09,DEPT,OSEC-DPWH,Department of Public Works and Highways,Office of the Secretary,,137598609,117543054,95916096
      Department of Transportation and Communications,25023826,17158105,32346069,4,0,2011,,0,1,09,DEPT,,Department of Transportation and Communications,Department of Transportation and Communications,,25023826,17158105,32346069
             Office of the Secretary,24265005,16487798,31630623,0,0,2011,88,0,1,09,DEPT,OSEC-DOTC,Department of Transportation and Communications,Office of the Secretary,,24265005,16487798,31630623
             Civil Aeronautics Board,44004,40136,40556,0,0,2011,89,0,1,09,DEPT,CAB,Department of Transportation and Communications,Civil Aeronautics Board,,44004,40136,40556
             Maritime Industry Authority,349674,303223,339722,0,0,2011,90,0,1,09,DEPT,MARINA,Department of Transportation and Communications,Maritime Industry Authority,,349674,303223,339722
             Office of Transportation Cooperatives,14478,12870,14679,0,0,2011,91,0,1,09,DEPT,OTC,Department of Transportation and Communications,Office of Transportation Cooperatives,,14478,12870,14679
             Office for Transportation Security,337407,302003,307191,0,0,2011,92,0,1,09,DEPT,OTS,Department of Transportation and Communications,Office for Transportation Security,,337407,302003,307191
             Toll Regulatory Board,13258,12075,13298,0,0,2011,93,0,1,09,DEPT,TRB-DOTC,Department of Transportation and Communications,Toll Regulatory Board,,13258,12075,13298
   Budgetary Support to Government Corporations,4305516,35000,131000,3,1,2011,,0,1,09,BSGC,,,,,4305516,35000,131000
      Light Rail Transit Authority,68918,0,0,0,0,2011,94,0,1,09,BSGC,LRTA,Light Rail Transit Authority,,,68918,0,0
      Civil Aviation Authority of the Philippines,811740,0,0,0,0,2011,95,0,1,09,BSGC,CAAP,Civil Aviation Authority of the Philippines,,,811740,0,0
      Philippine National Railways,908583,35000,131000,0,0,2011,96,0,1,09,BSGC,PNR,Philippine National Railways,,,908583,35000,131000
      North Luzon Railways Corporation,2238627,0,0,0,0,2011,97,0,1,09,BSGC,NLRC-BSGC,North Luzon Railways Corporation,,,2238627,0,0
      Philippine Postal Corporation,277648,0,0,0,0,2011,98,0,1,09,BSGC,PPC,Philippine Postal Corporation,,,277648,0,0
   Other Special Purpose Funds,230152,16788160,15563658,3,1,2011,,0,1,09,OSPF,,,,,230152,16788160,15563658
      Allocations to Local Government Units,230152,311880,0,4,0,2011,,0,1,09,OSPF,,Allocations to Local Government Units,Allocations to Local Government Units,,230152,311880,0
             Municipal Development Fund,230152,311880,0,0,0,2011,99,0,1,09,OSPF,MDF,Allocations to Local Government Units,Municipal Development Fund,,230152,311880,0
      Calamity Fund,0,796000,1990000,0,0,2011,100,0,1,09,OSPF,CF,Calamity Fund,,,0,796000,1990000
      Miscellaneous Personnel Benefits Fund,0,1557516,1505718,0,0,2011,101,0,1,09,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,1557516,1505718
      Priority Development Assistance Fund,0,3443004,7867940,0,0,2011,102,0,1,09,OSPF,PDAF,Priority Development Assistance Fund,,,0,3443004,7867940
      Tax Expenditures Fund,0,10679760,4200000,0,0,2011,103,0,1,09,OSPF,TEF,Tax Expenditures Fund,,,0,10679760,4200000
Other Economic Services,8339664,18682183,14522393,2,1,2011,,0,1,10,,,,,,8339664,18682183,14522393
,,,,0,0,2011,,0,,,,,,,,,,
   Department/Agencies,1254110,2529009,2565960,3,1,2011,,0,1,10,DEPT,,,,,1254110,2529009,2565960
      Department of Science and Technology,1201339,2456747,2513939,4,0,2011,,0,1,10,DEPT,,Department of Science and Technology,Department of Science and Technology,,1201339,2456747,2513939
             Office of the Secretary,885387,2256948,2281426,0,0,2011,104,0,1,10,DEPT,OSEC-DOST,Department of Science and Technology,Office of the Secretary,,885387,2256948,2281426
             Advanced Science and Technology Institute,38447,38108,55451,0,0,2011,105,0,1,10,DEPT,ASTI,Department of Science and Technology,Advanced Science and Technology Institute,,38447,38108,55451
             National Academy of Science and Technology,34284,36221,37842,0,0,2011,106,0,1,10,DEPT,NAST,Department of Science and Technology,National Academy of Science and Technology,,34284,36221,37842
             Philippine Council for Advanced Science and Technology
                Research and Development,184477,91227,95521,0,0,2011,107,0,1,10,DEPT,PCAST,Department of Science and Technology,Philippine Council for Advanced Science and Technology Research and Development,,184477,91227,95521
             Science and Technology Information Institute,58744,34243,43699,0,0,2011,108,0,1,10,DEPT,STII,Department of Science and Technology,Science and Technology Information Institute,,58744,34243,43699
      Department of Environment and Natural Resources,52771,72262,52021,4,0,2011,,0,1,10,DEPT,,Department of Environment and Natural Resources,Department of Environment and Natural Resources,,52771,72262,52021
             Palawan Council for Sustainable Development Staff,52771,72262,52021,0,0,2011,109,0,1,10,DEPT,PCSDS,Department of Environment and Natural Resources,Palawan Council for Sustainable Development Staff,,52771,72262,52021
   Budgetary Support to Government Corporations,25000,13610,13606,3,1,2011,,0,1,10,BSGC,,,,,25000,13610,13606
      Equity/Subsidy (Unallocated),0,13610,13606,0,0,2011,110,0,1,10,BSGC,SBSGC,Budgetary Support to Government Corporations,,,0,13610,13606
      Technology Resource Center,25000,0,0,0,0,2011,111,0,1,10,BSGC,TRC,Technology Resource Center,,,25000,0,0
   Other Special Purpose Funds,7060554,16139564,11942827,3,1,2011,,0,1,10,OSPF,,,,,7060554,16139564,11942827
      Allocations to Local Government Units,6065474,14725396,11871126,4,0,2011,,0,1,10,OSPF,,Allocations to Local Government Units,Allocations to Local Government Units,,6065474,14725396,11871126
             Special Shares of Local Government Units in the Proceeds of National Taxes,5650795,14163463,11871126,0,0,2011,112,0,1,10,OSPF,PNT,Allocations to Local Government Units,Special Shares of Local Government Units in the Proceeds of National Taxes,,5650795,14163463,11871126
             Municipal Development Fund,414679,561933,0,0,0,2011,113,0,1,10,OSPF,MDF,Allocations to Local Government Units,Municipal Development Fund,,414679,561933,0
      Miscellaneous Personnel Benefits Fund,0,74167,71701,0,0,2011,114,0,1,10,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,74167,71701
      Kalayaan Barangay Program Fund,0,670000,0,0,0,2011,115,0,1,10,OSPF,KSB,Kalayaan Barangay Program Fund,,,0,670000,0
      Kilos Asenso Support Fund,995081,670000,0,0,0,2011,116,0,1,10,OSPF,KILOS,Kilos Asenso Support Fund,,,995081,670000,0
,,,,0,0,,,0,,,,,,,,,,
Subsidy to Local Government Units,87496103,93030832,100430484,0,1,2011,117,0,1,11,,IRA,,,,87496103,93030832,100430484
,,,,0,0,,,0,,,,,,,,,,
SOCIAL SERVICES,411786307,491511904,521891813,1,1,2011,,0,2,,,,,,,411786307,491511904,521891813
,,,,0,0,2011,,0,,,,,,,,,,
"Education, Culture and Manpower Development",208719158,240584968,271670129,2,1,2011,,0,2,12,,,,,,208719158,240584968,271670129
,,,,0,0,2011,,0,,,,,,,,,,
   Department/Agencies,208459604,205597267,237532140,3,1,2011,,0,2,12,DEPT,,,,,208459604,205597267,237532140
      Department of Education,171067719,172965517,206271018,4,0,2011,,0,2,12,DEPT,,Department of Education,Department of Education,,171067719,172965517,206271018
             Office of the Secretary,170860653,172743323,206057195,0,0,2011,118,0,2,12,DEPT,OSEC-DECS,Department of Education,Office of the Secretary,,170860653,172743323,206057195
             Philippine High School for the Arts,47080,58704,47285,0,0,2011,119,0,2,12,DEPT,PHSA,Department of Education,Philippine High School for the Arts,,47080,58704,47285
             National Council for Children's Television,7832,14805,6343,0,0,2011,120,0,2,12,DEPT,NCCT-DECS,Department of Education,National Council for Children's Television,,7832,14805,6343
             National Museum,131078,127091,138328,0,0,2011,121,0,2,12,DEPT,NM,Department of Education,National Museum,,131078,127091,138328
             National Book Development Board,21076,21594,21867,0,0,2011,122,0,2,12,DEPT,NBDB-DECS,Department of Education,National Book Development Board,,21076,21594,21867
      State Universities and Colleges,23684040,23844635,23407195,0,0,2011,123,0,2,12,DEPT,SUCS,State Universities and Colleges,,,23684040,23844635,23407195
      Department of the Interior and Local Government,971140,1089206,1185926,4,0,2011,,0,2,12,DEPT,,Department of the Interior and Local Government,Department of the Interior and Local Government,,971140,1089206,1185926
             Local Government Academy,80993,88398,106503,0,0,2011,124,0,2,12,DEPT,LGA,Department of the Interior and Local Government,Local Government Academy,,80993,88398,106503
             Philippine Public Safety College,890147,1000808,1079423,0,0,2011,125,0,2,12,DEPT,PPSC,Department of the Interior and Local Government,Philippine Public Safety College,,890147,1000808,1079423
