projects_or_activities_1,projects_or_activities_2,projects_or_activities_3,projects_or_activities_4,projects_or_activities_5,district,project_code,amount_appropriated,amount_actually_disbursed,balance
Unalloted,"Annual Budget, CY 2012",Infrastructure Projects,Water System,"Improvement of Water System at Barangay Daliaon Plantation, Toril District",District III,12397,1000000,-,1000000
Unalloted,Total,Total,Total,Total,-,-,29620000,797288.05,28822711.95
Alloted,"Annual Budget, CY 2011",Non-infrastructure Projects,Social Development,Biodiversity Management Program,-,11015,3050532.81,2286200,764332.81
Alloted,"Annual Budget, CY 2011",Non-infrastructure Projects,Economic Development,Agriculture and Fisheries Development Program,-,11053,2770000,1200593.56,1569406.44
Alloted,"Annual Budget, CY 2012",Non-infrastructure Projects,Road Development Program,"Concreting of Road at Sitio Dampa, Barangay Waan, Buhangin District",District II,12097,29306.66,-,29306.66
Alloted,"Annual Budget, CY 2012",Non-infrastructure Projects,Other Public Infrastructure Program,Other Public Infrastructure Program,-,-,-,-,-
Alloted,"Annual Budget, CY 2012",Non-infrastructure Projects,Drainage Program,"Widening and Rehabilitation of Canal and Drainage System at Purok 1, Pioneer St., Barangay 28-C, Poblacion",District I,12280,2101.87,-,2101.87
Alloted,"Annual Budget, CY 2012",Non-infrastructure Projects,Bridge Program,"Construction of Footbridge, Purok 4-B, Barangay 23-C, Poblacion District",District I,12347,299999,-,299999
Alloted,Total Continuing Allotment,Total Continuing Allotment,Total Continuing Allotment,Total Continuing Allotment,-,-,5854941.33,3486793.56,2368147.77
20% Component of the IRA,"Quarter Ending of June 30, 2013",Debt Servicing,Debt Servicing (Domestic),Debt Servicing (Domestic),-,13001,500000000,275228422.6,224771577.4
20% Component of the IRA,"Quarter Ending of June 30, 2013",Infrastructure Projects,Congressional,"Concreting of road from Puroks Masba and Gala, Barangay Inayangan to Barangay Lamanan",District III,13101,7890000,7883500,6500
20% Component of the IRA,"Quarter Ending of June 30, 2013",Infrastructure Projects,Congressional,"Concreting of road from Upper Calcal to Inayangan Proper, Calinan District",District III,13102,10470000,10465514.17,4485.83
20% Component of the IRA,"Quarter Ending of June 30, 2013",Infrastructure Projects,Congressional,"Road concreting between Purok 2 and 3, Barangay Dalagdag, Calinan District",District III,13104,19273185,19273185,-
20% Component of the IRA,Total- 20% IRA,Total- 20% IRA,Total- 20% IRA,Total- 20% IRA,-,-,537633185,312850621.8,224782563.2
20% Component of the IRA,Total Appropriations,Total Appropriations,Total Appropriations,Total Appropriations,-,-,537633185,312850621.8,224782563.2
