selected_accounts_a,selected_accounts_b,selected_accounts_c,2007_March,2007_June,2007_Sept,2007_Dec,,,,,,,
as of end of periods indicated: 2007,,,,,,,,,,,,,
         in billion pesos,,,,,,,,,,,,,
"1/ Adjusted to net off the account ""Due from Head Office"" with ""Due to Head Office"" of branches of foreign banks",,,,,,,,,,,,,
2/ Inclusive of Interbank Loans Receivable,,,,,,,,,,,,,
Note: Details may not add up to totals due to rounding-off,,,,,,,,,,,,,
"Source : Supervisory Data Center, Supervision and Examination Sector",,,,,,,,,,,,,
Updated as of 1April 2008,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
