Selected Accounts ,Selected Accounts ,Selected Accounts ,Selected Accounts ,2008_March,2008_June,2008_September,2008_December
 Asset Accounts 1/,Total ROPA,Non-Current Assets Held for Sale,,14.666 ,13.839 ,15.723 ,15.955 
 Asset Accounts 1/,Total ROPA,Real and Other Properties Acquired,,165.607 ,163.565 ,163.095 ,156.028 
 Asset Accounts 1/,Accumulated Depreciation,,,14.561 ,14.468 ,14.162 ,14.188 
 Asset Accounts 1/,Unamortized Discount and Other Deferred Credits,,,0.089 ,0.117 ,0.125 ,0.127 
 Asset Accounts 1/,Allowance for Losses - ROPA,,,14.470 ,14.511 ,16.519 ,17.113 
 Asset Accounts 1/,Allowance for Losses - ROPA,Allowance for Credit Losses- Sales Contract Receivable,,0.415 ,0.179 ,0.175 ,0.187 
 Asset Accounts 1/,Allowance for Losses - ROPA,Allowance for Losses -Real and Other Properties Acquired,,14.056 ,14.333 ,15.059 ,13.527 
 Asset Accounts 1/,Allowance for Losses - ROPA,Allowance for Credit Losses -Non Current Assets held for Sale,,0.000 ,0.000 ,1.285 ,3.399 
 Asset Accounts 1/,"ROPA, Net of Allowance for Losses",,,177.207 ,173.776 ,173.306 ,163.901 
 Asset Accounts 1/,"Total Other Assets, Net",,,399.385 ,415.008 ,406.148 ,404.448 
 Asset Accounts 1/,"Total Other Assets, Net",Derivatives with Positive Fair Value Held for Hedging,,0.030 ,0.043 ,0.134 ,0.009 
 Asset Accounts 1/,"Total Other Assets, Net",Revaluation of Hedged Assets in Portfolio Hedge of Interest Rate Risk,,0.014 ,0.017 ,0.005 ,0.412 
 Asset Accounts 1/,"Total Other Assets, Net",Goodwill,,15.893 ,16.105 ,16.105 ,16.399 
 Asset Accounts 1/,"Total Other Assets, Net",, Allowance for Losses,0.269 ,0.380 ,0.410 ,0.447 
 Asset Accounts 1/,"Total Other Assets, Net",Goodwill - Net,,15.624 ,15.726 ,15.696 ,15.952 
 Asset Accounts 1/,"Total Other Assets, Net",Accrued Interest Income from Financial Assets,,44.581 ,52.709 ,47.657 ,60.189 
 Asset Accounts 1/,"Total Other Assets, Net",,Allowance for Credit Losses,7.471 ,7.655 ,6.950 ,6.520 
 Asset Accounts 1/,"Total Other Assets, Net","Accrued Interest Income from Financial Assets, net",,37.110 ,45.054 ,40.706 ,53.669 
 Asset Accounts 1/,"Total Other Assets, Net","Bank Premises, Furniture, Fixture and Equipment",,158.013 ,160.722 ,163.391 ,166.502 
 Asset Accounts 1/,"Total Other Assets, Net",,Accumulated Depreciation,66.160 ,67.632 ,69.143 ,69.973 
 Asset Accounts 1/,"Total Other Assets, Net",,Allowance for Losses,1.906 ,1.938 ,1.936 ,1.913 
 Asset Accounts 1/,"Total Other Assets, Net","Bank Premises, Furniture, Fixture and Equipment - Net",,89.947 ,91.153 ,92.312 ,94.616 
 Asset Accounts 1/,"Total Other Assets, Net",Other Intangible Assets,,3.661 ,4.473 ,4.726 ,5.894 
 Asset Accounts 1/,"Total Other Assets, Net",,Accumulated Amortization,1.367 ,1.465 ,1.594 ,2.277 
 Asset Accounts 1/,"Total Other Assets, Net",,Allowance for Losses,0.000 ,0.000 ,0.000 ,0.000 
 Asset Accounts 1/,"Total Other Assets, Net","Other Intangible Assets, net",,2.294 ,3.009 ,3.132 ,3.617 
 Asset Accounts 1/,"Total Other Assets, Net",Deferred Tax Asset,,45.514 ,47.480 ,49.450 ,47.369 
 Asset Accounts 1/,"Total Other Assets, Net",Due from FCDU/RBU,,0.000 ,0.000 ,0.000 ,0.000 
 Asset Accounts 1/,"Total Other Assets, Net",Other Assets,,232.937 ,238.215 ,228.110 ,213.877 
 Asset Accounts 1/,"Total Other Assets, Net",,Allowance for Losses,24.086 ,25.690 ,23.395 ,25.073 
 Asset Accounts 1/,"Total Other Assets, Net",Other Assets - Net,,208.852 ,212.525 ,204.714 ,188.804 
LIABILITIES AND CAPITAL,,,,"5,088.345 ","5,322.994 ","5,378.152 ","5,675.681 "
LIABILITIES AND CAPITAL,Liability Accounts,,,"4,485.380 ","4,753.199 ","4,781.052 ","5,076.702 "
LIABILITIES AND CAPITAL,Liability Accounts,Financial Liabilities Held for Trading,,41.309 ,54.700 ,47.805 ,46.689 
LIABILITIES AND CAPITAL,Liability Accounts,Financial Liabilities Designated at Fair Value through Profit or Loss,,10.016 ,11.032 ,10.744 ,10.962 
LIABILITIES AND CAPITAL,Liability Accounts,Deposit Liabilities,,"3,606.403 ","3,809.673 ","3,958.940 ","4,195.066 "
LIABILITIES AND CAPITAL,Liability Accounts,Deposit Liabilities,Peso,"2,798.819 ","2,879.069 ","2,978.854 ","3,217.317 "
LIABILITIES AND CAPITAL,Liability Accounts,Deposit Liabilities,Demand & NOW,586.138 ,610.123 ,631.894 ,666.974 
LIABILITIES AND CAPITAL,Liability Accounts,Deposit Liabilities,Savings Deposits,"1,415.905 ","1,349.149 ","1,356.932 ","1,475.788 "
LIABILITIES AND CAPITAL,Liability Accounts,Deposit Liabilities,Time Certificate of Deposits ,775.956 ,898.618 ,963.827 ,"1,048.142 "
LIABILITIES AND CAPITAL,Liability Accounts,Deposit Liabilities,LTNCD,20.820 ,21.178 ,26.201 ,26.413 
LIABILITIES AND CAPITAL,Liability Accounts,Deposit Liabilities,Foreign Currency,807.584 ,930.605 ,980.086 ,977.749 
LIABILITIES AND CAPITAL,Liability Accounts,Bills Payable,,430.505 ,451.307 ,341.507 ,357.473 
LIABILITIES AND CAPITAL,Liability Accounts,Bills Payable,Deposit Substitutes ,117.088 ,132.540 ,21.838 ,22.615 
LIABILITIES AND CAPITAL,Liability Accounts,Bills Payable,Others,313.417 ,318.766 ,319.669 ,334.858 
LIABILITIES AND CAPITAL,Liability Accounts,Special Financing ,,0.148 ,0.141 ,0.130 ,0.100 
LIABILITIES AND CAPITAL,Liability Accounts,Special Financing ,Time Certificate of Deposits  - SF,0.086 ,0.086 ,0.086 ,0.056 
LIABILITIES AND CAPITAL,Liability Accounts,Special Financing ,Special Time Deposits,0.061 ,0.054 ,0.044 ,0.044 
LIABILITIES AND CAPITAL,Liability Accounts,Unsecured Subordinated Debt,,85.448 ,87.779 ,89.409 ,93.792 
LIABILITIES AND CAPITAL,Liability Accounts,Unsecured Subordinated Debt Unamortized Debt Discount/Premium,,(0.265),(0.221),(0.200),(0.235)
LIABILITIES AND CAPITAL,Liability Accounts,Unsecured Subordinated Debt - Net,,85.183 ,87.558 ,89.209 ,93.557 
LIABILITIES AND CAPITAL,Liability Accounts,Redeemable Preferred Shares,,2.126 ,2.278 ,2.385 ,2.408 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,,309.689 ,336.510 ,330.333 ,370.448 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Due to Other Banks,13.687 ,16.582 ,15.607 ,16.602 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Bonds Payable,10.047 ,10.802 ,11.319 ,6.003 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities - Unamortized Bond Discount/Premium,,(0.004),(0.003),(0.001),0.000 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Bonds Payable - Net,10.043 ,10.799 ,11.319 ,6.003 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Financial Liabilities Associated with Transferred Assets,0.000 ,0.000 ,0.000 ,0.000 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Derivatives with Negative Fair Value Held for Hedging,0.516 ,0.656 ,0.794 ,1.424 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Revaluation of Hedged Liabilities in Portfolio Hedge of Interest Rate Risk,0.000 ,0.000 ,0.000 ,0.000 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Accrued Interest Expense on Financial Liabilities,24.061 ,25.086 ,26.267 ,28.420 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Finance Lease Payment Payable,0.002 ,0.002 ,0.001 ,0.001 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Due to Treasurer of the Philippines,1.239 ,1.484 ,2.261 ,3.025 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Treasurer/Cashier/Manager's Checks,25.265 ,25.198 ,25.182 ,22.899 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Payment Orders Payable,3.923 ,3.171 ,2.851 ,3.358 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Margin Deposits on LCs and Customers' Liability on Bills/Drafts under LCs and/or TRs,2.272 ,2.825 ,2.408 ,1.729 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Cash Letters of Credit,3.466 ,3.811 ,3.695 ,2.918 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Outstanding Acceptances Executed by or for Account of this Bank,7.720 ,9.870 ,9.758 ,4.934 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Due to Bangko Sentral ng Pilipinas,0.639 ,1.056 ,1.653 ,2.156 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Due to Philippine Deposit Insurance Corporation,1.115 ,1.467 ,1.300 ,1.702 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Due to Philippine Crop Insurance Corporation,0.002 ,0.002 ,0.002 ,0.005 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Income Tax Payable,2.468 ,1.911 ,1.619 ,1.775 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Other Taxes and Licenses Payable,2.142 ,2.168 ,2.576 ,3.430 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Accrued Expenses,23.698 ,22.657 ,23.887 ,22.629 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Unearned Income ,15.323 ,17.002 ,16.024 ,15.819 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Deferred Tax Liabilities,6.228 ,5.376 ,5.930 ,4.874 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Provisions,1.160 ,1.258 ,1.433 ,1.649 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Other Liabilities,148.093 ,160.463 ,153.407 ,201.528 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Due to Head Office/Branches/Agencies (Philippine branch of a foreign bank),16.629 ,23.667 ,22.358 ,23.568 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Due to FCDU/RBU,0.000 ,0.000 ,0.000 ,0.000 
LIABILITIES AND CAPITAL,Capital Accounts,Total Other Liabilities,,602.965 ,569.795 ,597.100 ,598.979 
LIABILITIES AND CAPITAL,Capital Accounts,Paid in Capital Stock,,266.913 ,269.540 ,284.265 ,284.158 
LIABILITIES AND CAPITAL,Capital Accounts,Additional Paid-in Capital,,46.133 ,49.357 ,49.503 ,46.749 
LIABILITIES AND CAPITAL,Capital Accounts,Other Equity Instruments,,14.664 ,15.766 ,16.521 ,16.686 
LIABILITIES AND CAPITAL,Capital Accounts,Retained Earnings,,164.722 ,153.822 ,141.538 ,151.738 
LIABILITIES AND CAPITAL,Capital Accounts,Stock Dividend Distributable,,1.339 ,6.243 ,2.010 ,0.239 
LIABILITIES AND CAPITAL,Capital Accounts,Undivided Profits,,18.138 ,21.479 ,29.118 ,23.041 
LIABILITIES AND CAPITAL,Capital Accounts,Other Comprehensive Income,,6.239 ,(32.604),(23.388),(22.501)
LIABILITIES AND CAPITAL,Capital Accounts,Appraisal Increment Reserve,,3.082 ,3.138 ,3.063 ,3.018 
LIABILITIES AND CAPITAL,Capital Accounts,Treasury Stock,,(0.029),(1.779),(1.779),(1.779)
LIABILITIES AND CAPITAL,Capital Accounts,Assigned Capital,,20.972 ,20.972 ,22.008 ,22.008 
LIABILITIES AND CAPITAL,Capital Accounts,Net Due to HO/Br/Ag,,60.792 ,63.861 ,74.240 ,75.621 
LIABILITIES AND CAPITAL,Key  Ratios,Cash and Due from Banks to Deposits,,21.15,20.75,20.47,19.9
LIABILITIES AND CAPITAL,Key  Ratios,Liquid Assets to Deposits 2/,,54.59,51.92,51.96,52.53
LIABILITIES AND CAPITAL,Key  Ratios,"Loans, gross to Deposits",,70.65,72.64,69.53,69.71
LIABILITIES AND CAPITAL,Key  Ratios,Capital Adequacy Ratio (CAR) 3/,,,,,
LIABILITIES AND CAPITAL,Key  Ratios,Solo Basis,,14.59,14.32,14.57,14.74
LIABILITIES AND CAPITAL,Key  Ratios,Consolidated Basis,,15.54,15.31,15.54,15.53
LIABILITIES AND CAPITAL,Key  Ratios,Total Capital Accounts to Total Assets 4/,,11.89,10.75,11.15,10.6
,,,,,,,
,,,,,,,
Philippine Banking System: Consolidated Statement of Condition and Key Ratios,,,,,,,
       as of end of periods indicated 2008,,,,,,,
,,,,,,,
       in billion pesos,,,,,,,
,,,,,,,
"1/ Figures adjusted to net off the account ""Due from Head Office"" with ""Due to Head Office"" of branches of foreign banks",,,,,,,
"2/ Ratio of Liquid Assets (Cash and Due from Banks + Financial Assets, Net of Allowance for Credit Losses) to Total Deposits",,,,,,,
"3/ Based on the framework under Circular No. 280 dated 29 March 2001 which was formally adopted on 1 July 2001.  Effective 1 July 2003, the CARs of Universal and Commercial Banks (U/KBs), are based on combined credit and market risks under Circular No. dated 3 December 2002. The capital adequacy framework, covering U/KBs and their subsidiary banks and quasi-banks, was revised under Circular  No. 538 dated 2 June 2006 and was formally adopted on 1 July 2007.  The CAR computation for Thrift Banks, Rural and Cooperative Banks and Quasi-Banks that are not subsidiaries of U/KBs continue to be governed by Circular No. 280 and Circular No. 400 dated 1 September 2003.",,,,,,,
4/ Ratio of  Total Capital Accounts ( for ratio analysis  consists of Total Capital Accounts + Redeemable Preferred Shares) to Total Assets,,,,,,,
r/ Revised,,,,,,,
Note: Details may not add up to totals due to rounding-off,,,,,,,
"Source : Supervisory Data Center, Supervision and Examination Sector",,,,,,,
,,,,,,,
Updated as of 04 March 2009,,,,,,,
