Selected Accounts_a,Selected Accounts_b,Selected Accounts_c,Selected Accounts_d,11-Mar,11-Jun,11-Sep,11-Dec
Cash and Due from Banks,"Financial Assets, excluding Equity Investment in Subsidiaries/Associates/ Joint Ventures, net of amortization",Held-to-Maturity (HTM) Financial Assets,Held-to-Maturity (HTM) Financial Assets,554.548,506.953,501.652,444.778
Cash and Due from Banks,"Financial Assets, excluding Equity Investment in Subsidiaries/Associates/ Joint Ventures, net of amortization",Held-to-Maturity (HTM) Financial Assets,Unamortized Discount/Premium,10.752,5.974,3.986,4.566
Cash and Due from Banks,"Financial Assets, excluding Equity Investment in Subsidiaries/Associates/ Joint Ventures, net of amortization","HTM Financial Assets, net of amortization","HTM Financial Assets, net of amortization",565.301,512.927,505.638,449.344
Cash and Due from Banks,"Financial Assets, excluding Equity Investment in Subsidiaries/Associates/ Joint Ventures, net of amortization",Unquoted Debt Securities Classified as Loans,Unquoted Debt Securities Classified as Loans,202.809,199.691,195.514,171.857
Cash and Due from Banks,"Financial Assets, excluding Equity Investment in Subsidiaries/Associates/ Joint Ventures, net of amortization",Unquoted Debt Securities Classified as Loans,Unamortized Discount/Premium,-26.456,-25.362,-24.659,-23.853
Cash and Due from Banks,"Financial Assets, excluding Equity Investment in Subsidiaries/Associates/ Joint Ventures, net of amortization","Unquoted Debt Securities Classified as Loans, net of amortization","Unquoted Debt Securities Classified as Loans, net of amortization",176.352,174.329,170.855,148.004
Cash and Due from Banks,"Financial Assets, excluding Equity Investment in Subsidiaries/Associates/ Joint Ventures, net of amortization",Investment in Non-Marketable Equity Securities (INMES),Investment in Non-Marketable Equity Securities (INMES),24.485,24.089,24.068,21.163
Cash and Due from Banks,Accumulated Market Gain (Losses) - Financial Assets,Accumulated Market Gain (Losses) - Financial Assets,Accumulated Market Gain (Losses) - Financial Assets,12.582,26.752,20.867,48.254
Cash and Due from Banks,Allowance for Credit Losses - Financial Assets,Allowance for Credit Losses - Financial Assets,Allowance for Credit Losses - Financial Assets,26.645,25.066,25.121,24.833
Cash and Due from Banks,Allowance for Credit Losses - Financial Assets,Allowance for Credit Losses - AFS ,Allowance for Credit Losses - AFS ,6.044,4.386,3.906,3.394
Cash and Due from Banks,Allowance for Credit Losses - Financial Assets,Allowance for Credit Losses - HTM,Allowance for Credit Losses - HTM,1.007,0.559,0.511,0.483
Cash and Due from Banks,Allowance for Credit Losses - Financial Assets,Allowance for Credit Losses - Unquoted Debt Securities Classified as Loans,Allowance for Credit Losses - Unquoted Debt Securities Classified as Loans,15.864,16.276,16.912,17.167
Cash and Due from Banks,Allowance for Credit Losses - Financial Assets,Allowance for Credit Losses - INMES,Allowance for Credit Losses - INMES,3.73,3.845,3.791,3.789
Cash and Due from Banks,"Financial Assets, net of Allowance for Credit Losses","Financial Assets, net of Allowance for Credit Losses","Financial Assets, net of Allowance for Credit Losses","1,708.28","1,714.31","1,688.41","1,673.98"
Cash and Due from Banks,Equity Investment in Subsidiaries/Associates /Joint Ventures,Equity Investment in Subsidiaries/Associates /Joint Ventures,Equity Investment in Subsidiaries/Associates /Joint Ventures,135.88,139.963,145.091,152.977
Cash and Due from Banks,Allowance for Credit Losses - Equity Investment in Subsidiaries/Associates /Joint Ventures,Allowance for Credit Losses - Equity Investment in Subsidiaries/Associates /Joint Ventures,Allowance for Credit Losses - Equity Investment in Subsidiaries/Associates /Joint Ventures,1.388,1.382,1.382,1.412
Cash and Due from Banks,Equity Investment in Subsidiaries/Associates /Joint Ventures (net of Allowance for Credit Losses),Equity Investment in Subsidiaries/Associates /Joint Ventures (net of Allowance for Credit Losses),Equity Investment in Subsidiaries/Associates /Joint Ventures (net of Allowance for Credit Losses),134.492,138.58,143.709,151.565
Cash and Due from Banks,"Total Loan Portfolio (TLP), gross (net of amortization)","Total Loan Portfolio (TLP), gross (net of amortization)","Total Loan Portfolio (TLP), gross (net of amortization)","3,255.16","3,551.42","3,542.58","3,761.90"
Cash and Due from Banks,Cash and Due from Banks,"Loans and Receivables, gross (net of amortization)","Loans and Receivables, gross (net of amortization)","3,023.21","3,256.01","3,299.43","3,466.94"
Cash and Due from Banks,Cash and Due from Banks,"Loans and Receivables, gross (net of amortization)",Loans to Bangko Sentral ng Pilipinas (BSP),0,0,0,0
Cash and Due from Banks,Cash and Due from Banks,"Loans and Receivables, gross (net of amortization)",Interbank Loans Receivable ,197.884,209.392,188.527,156.35
Cash and Due from Banks,Cash and Due from Banks,"Loans and Receivables, gross (net of amortization)",Loans and Receivables - Others,"2,850.78","3,073.78","3,138.39","3,338.97"
Cash and Due from Banks,Cash and Due from Banks,"Loans and Receivables, gross (net of amortization)",Unamortized Discount and Other Deferred Credits,25.445,27.169,27.485,28.382
Cash and Due from Banks,Cash and Due from Banks,"Loans and Receivables, gross (net of amortization)","Loans and Receivables - Others, net of amortization","2,825.33","3,046.62","3,110.90","3,310.59"
Cash and Due from Banks,Cash and Due from Banks,"Loans and Receivables, gross (net of amortization)","Loans and Receivables Arising from Repurchase Agreements, Certificates of Assignment/Participation with Recourse, and Securities Lending and Borrowing Transactions (LRARA)",231.942,295.411,243.153,294.958
Cash and Due from Banks,Allowance for Credit Losses - TLP,Allowance for Credit Losses - TLP,Allowance for Credit Losses - TLP,145.545,146.629,147.589,145.453
Cash and Due from Banks,Allowance for Credit Losses - TLP,Allowance for Credit Losses - Interbank Loans Receivable,Allowance for Credit Losses - Interbank Loans Receivable,1.569,0.551,0.576,0.617
Cash and Due from Banks,Allowance for Credit Losses - TLP,Allowance for Credit Losses - Loans and Receivables - Other,Allowance for Credit Losses - Loans and Receivables - Other,107.134,108.325,108.749,103.805
Cash and Due from Banks,Allowance for Credit Losses - TLP,Allowance for Credit Losses - LRARA,Allowance for Credit Losses - LRARA,0,0,0,0
Cash and Due from Banks,Allowance for Credit Losses - TLP,General Loan Loss Provision (GLLP),General Loan Loss Provision (GLLP),36.843,37.753,38.264,41.03
Cash and Due from Banks,"TLP, net of Allowance for Credit Losses","TLP, net of Allowance for Credit Losses","TLP, net of Allowance for Credit Losses","3,109.61","3,404.79","3,394.99","3,616.45"
Cash and Due from Banks,Total Real and Other Properties Acquired (ROPA),Total Real and Other Properties Acquired (ROPA),Total Real and Other Properties Acquired (ROPA),167.723,165.598,162.199,156.654
Cash and Due from Banks,Total Real and Other Properties Acquired (ROPA),Sales Contract Receivable (SCR),Sales Contract Receivable (SCR),23.511,22.556,22.211,21.695
Cash and Due from Banks,Total Real and Other Properties Acquired (ROPA),Non-Current Assets Held for Sale,Non-Current Assets Held for Sale,15.818,15.184,15.439,14.553
Cash and Due from Banks,Total Real and Other Properties Acquired (ROPA),ROPA,ROPA,128.395,127.857,124.549,120.406
Cash and Due from Banks,Accumulated Depreciation,Accumulated Depreciation,Accumulated Depreciation,13.67,13.364,13.284,13.252
Cash and Due from Banks,Unamortized Discount and Other Deferred Credits,Unamortized Discount and Other Deferred Credits,Unamortized Discount and Other Deferred Credits,0.236,0.242,0.244,0.249
Cash and Due from Banks,Allowance for Credit Losses - ROPA,Allowance for Credit Losses - ROPA,Allowance for Credit Losses - ROPA,17.831,18.148,18.388,18.083
Cash and Due from Banks,Allowance for Credit Losses - ROPA,Allowance for Credit Losses - SCR,Allowance for Credit Losses - SCR,0.464,0.488,0.47,0.475
Cash and Due from Banks,Allowance for Credit Losses - ROPA,Allowance for Credit Losses - ROPA,Allowance for Credit Losses - ROPA,14.245,14.128,14.272,14.347
Cash and Due from Banks,Allowance for Credit Losses - ROPA,Allowance for Credit Losses - Non Current Assets Held for Sale,Allowance for Credit Losses - Non Current Assets Held for Sale,3.507,3.532,3.646,3.261
Cash and Due from Banks,"ROPA, net of Allowance for Credit Losses","ROPA, net of Allowance for Credit Losses","ROPA, net of Allowance for Credit Losses",135.987,133.844,130.282,125.07
Cash and Due from Banks,"Total Other Assets, net","Total Other Assets, net","Total Other Assets, net",402.876,402.262,391.752,407.244
Cash and Due from Banks,"Total Other Assets, net",Derivatives with Positive Fair Value Held for Hedging,Derivatives with Positive Fair Value Held for Hedging,0.075,0.072,0.08,0.08
Cash and Due from Banks,"Total Other Assets, net",Revaluation of Hedged Assets in Portfolio Hedge of Interest Rate Risk,Revaluation of Hedged Assets in Portfolio Hedge of Interest Rate Risk,0.19,0.162,0.211,0.205
Cash and Due from Banks,"Total Other Assets, net",Goodwill,Goodwill,17.276,17.046,17.041,17.044
Cash and Due from Banks,"Total Other Assets, net",Goodwill,Allowance for Credit Losses,1.206,1.26,1.297,1.341
Cash and Due from Banks,"Total Other Assets, net","Goodwill, net","Goodwill, net",16.07,15.787,15.744,15.703
Cash and Due from Banks,"Total Other Assets, net",Accrued Interest Income from Financial Assets,Accrued Interest Income from Financial Assets,51.094,57.576,52.586,59.823
Cash and Due from Banks,"Total Other Assets, net",Accrued Interest Income from Financial Assets,Allowance for Credit Losses,6.795,6.793,6.888,7.417
Cash and Due from Banks,"Total Other Assets, net","Accrued Interest Income from Financial Assets, net","Accrued Interest Income from Financial Assets, net",44.299,50.783,45.698,52.406
Cash and Due from Banks,"Total Other Assets, net","Bank Premises, Furniture, Fixture and Equipment","Bank Premises, Furniture, Fixture and Equipment",185.606,187.406,189.849,191.691
Cash and Due from Banks,"Total Other Assets, net","Bank Premises, Furniture, Fixture and Equipment",Accumulated Depreciation,83.209,84.687,86.29,86.141
Cash and Due from Banks,"Total Other Assets, net","Bank Premises, Furniture, Fixture and Equipment",Allowance for Credit Losses,1.834,1.784,1.726,1.706
Cash and Due from Banks,"Total Other Assets, net","Bank Premises, Furniture, Fixture and Equipment, net","Bank Premises, Furniture, Fixture and Equipment, net",100.564,100.935,101.833,103.844
Cash and Due from Banks,"Total Other Assets, net",Other Intangible Assets,Other Intangible Assets,11.693,12.19,12.448,12.686
Cash and Due from Banks,"Total Other Assets, net",Other Intangible Assets,Accumulated Amortization,3.99,4.306,4.451,4.938
Cash and Due from Banks,"Total Other Assets, net",Other Intangible Assets,Allowance for Credit Losses,0.032,0.005,0.037,0.005
Cash and Due from Banks,"Total Other Assets, net","Other Intangible Assets, net","Other Intangible Assets, net",7.672,7.879,7.961,7.743
Cash and Due from Banks,"Total Other Assets, net",Deferred Tax Asset,Deferred Tax Asset,46.43,46.988,47.184,46.841
Cash and Due from Banks,"Total Other Assets, net",Due from Foreign Currency Deposit Unit (FCDU)/Regular Banking Unit (RBU),Due from Foreign Currency Deposit Unit (FCDU)/Regular Banking Unit (RBU),0,0,0,0
Cash and Due from Banks,"Total Other Assets, net",Other Assets,Other Assets,212.498,204.317,198.124,204.847
Cash and Due from Banks,"Total Other Assets, net",Other Assets,Allowance for Credit Losses,24.921,24.66,25.083,24.424
Cash and Due from Banks,"Total Other Assets, net","Other Assets, net","Other Assets, net",187.577,179.657,173.041,180.423
Laibilities and Capital_Total,Laibilities and Capital_Total,Laibilities and Capital_Total,Laibilities and Capital_Total,"6,799.46","7,020.98","7,050.10","7,335.62"
Liability Accounts_Total,Liability Accounts_Total,Liability Accounts_Total,Liability Accounts_Total,"5,981.35","6,176.10","6,181.57","6,414.35"
Liability Accounts_Total,Financial Liabilities HFT,Financial Liabilities HFT,Financial Liabilities HFT,45.155,37.064,47.975,40.756
Liability Accounts_Total,Financial Liabilities DFVPL,Financial Liabilities DFVPL,Financial Liabilities DFVPL,6.437,6.458,6.572,6.526
Liability Accounts_Total,Deposit Liabilities,Deposit Liabilities,Deposit Liabilities,"5,009.39","5,157.73","5,084.00","5,376.45"
Liability Accounts_Total,Deposit Liabilities,Peso,Peso,"3,929.90","4,046.29","4,001.23","4,307.75"
Liability Accounts_Total,Deposit Liabilities,Peso,Demand Deposits and NOW Accounts,923.389,934.959,960.268,"1,039.43"
Liability Accounts_Total,Deposit Liabilities,Peso,Savings Deposits,"1,910.72","1,953.92","1,958.73","2,132.27"
Liability Accounts_Total,Deposit Liabilities,Peso,Time Certificate of Deposits ,"1,060.86","1,122.46","1,044.06","1,096.33"
Liability Accounts_Total,Deposit Liabilities,Peso,Long Term Negotiable Certificates of Deposits (LTNCD),34.93,34.946,38.172,39.716
Liability Accounts_Total,Deposit Liabilities,Foreign Currency,Foreign Currency,"1,079.49","1,111.44","1,082.77","1,068.70"
Liability Accounts_Total,Bills Payable,Bills Payable,Bills Payable,362.374,399.553,413.502,390.833
Liability Accounts_Total,Bills Payable,Deposit Substitutes ,Deposit Substitutes ,63.504,75.612,87.45,76.522
Liability Accounts_Total,Bills Payable,Others,Others,298.869,323.94,326.052,314.311
Liability Accounts_Total,Special Financing,Special Financing,Special Financing,0.059,0.056,0.054,0.22
Liability Accounts_Total,Special Financing,Time Certificate of Deposits - Special Financing,,0.011,0.01,0.011,0.011
Liability Accounts_Total,Special Financing,Special Time Deposits,,0.048,0.045,0.043,0.209
Liability Accounts_Total,Unsecured Subordinated Debt,Unsecured Subordinated Debt,Unsecured Subordinated Debt,102.404,117.421,110.703,110.271
Liability Accounts_Total,Liability Accounts_Total,Liability Accounts_Total,Unamortized Debt Discount/Premium,-0.187,-0.171,-0.164,-0.144
Liability Accounts_Total,"Unsecured Subordinated Debt, net","Unsecured Subordinated Debt, net","Unsecured Subordinated Debt, net",102.217,117.25,110.539,110.127
Liability Accounts_Total,Redeemable Preferred Shares,Redeemable Preferred Shares,Redeemable Preferred Shares,0.461,0.412,0.369,0.386
Liability Accounts_Total,Total Other Liabilities,Total Other Liabilities,Total Other Liabilities,455.252,457.584,518.557,489.06
Liability Accounts_Total,Total Other Liabilities,Due to Other Banks,Due to Other Banks,21.608,23.146,36.968,21.547
Liability Accounts_Total,Total Other Liabilities,Bonds Payable,Bonds Payable,36.883,36.832,37.164,37.266
Liability Accounts_Total,Total Other Liabilities,Bonds Payable,Unamortized Bond Discount/Premium,-0.085,-0.08,-0.134,-0.161
Liability Accounts_Total,Total Other Liabilities,"Bonds Payable, net","Bonds Payable, net",36.798,36.752,37.03,37.105
Liability Accounts_Total,Total Other Liabilities,Financial Liabilities Associated with Transferred Assets,Financial Liabilities Associated with Transferred Assets,0,0,0,0
Liability Accounts_Total,Total Other Liabilities,Derivatives with Negative Fair Value Held for Hedging,Derivatives with Negative Fair Value Held for Hedging,0.42,0.429,0.477,0.483
Liability Accounts_Total,Total Other Liabilities,Revaluation of Hedged Liabilities in Portfolio Hedge of Interest Rate Risk,Revaluation of Hedged Liabilities in Portfolio Hedge of Interest Rate Risk,0,0,0,0
Liability Accounts_Total,Total Other Liabilities,Accrued Interest Expense on Financial Liabilities,Accrued Interest Expense on Financial Liabilities,15.959,17.063,15.783,17.943
Liability Accounts_Total,Total Other Liabilities,Finance Lease Payment Payable,Finance Lease Payment Payable,0.205,0.199,0.192,0.182
Liability Accounts_Total,Total Other Liabilities,Due to Treasurer of the Philippines,Due to Treasurer of the Philippines,1.267,1.866,3.309,2.407
Liability Accounts_Total,Total Other Liabilities,Treasurer/Cashier/Manager's Checks,Treasurer/Cashier/Manager's Checks,36.176,36.449,35.966,34.481
Liability Accounts_Total,Total Other Liabilities,Payment Orders Payable,Payment Orders Payable,1.717,1.694,1.611,1.095
Liability Accounts_Total,Total Other Liabilities,Margin Deposits on Letters of Credit (LC) and Customers' Liability on Bills/Drafts under LC and/or Trust Receipt (TR),Margin Deposits on Letters of Credit (LC) and Customers' Liability on Bills/Drafts under LC and/or Trust Receipt (TR),2.379,2.138,2.01,2.266
Liability Accounts_Total,Total Other Liabilities,Cash LC,Cash LC,6.292,4.974,5.778,5.651
Liability Accounts_Total,Total Other Liabilities,Outstanding Acceptances Executed by or for Account of this Bank,Outstanding Acceptances Executed by or for Account of this Bank,7.104,9.948,7.9,8.519
Liability Accounts_Total,Total Other Liabilities,Due to BSP,Due to BSP,1.415,1.853,0.36,0.399
Liability Accounts_Total,Total Other Liabilities,Due to Philippine Deposit Insurance Corporation (PDIC),Due to Philippine Deposit Insurance Corporation (PDIC),0.639,1.248,0.647,1.323
Liability Accounts_Total,Total Other Liabilities,Due to Philippine Crop Insurance Corporation (PCIC),Due to Philippine Crop Insurance Corporation (PCIC),0.014,0.012,0.01,0.013
Liability Accounts_Total,Total Other Liabilities,Income Tax Payable,Income Tax Payable,2.983,2.216,1.751,3.001
Liability Accounts_Total,Total Other Liabilities,Other Taxes and Licenses Payable,Other Taxes and Licenses Payable,2.715,2.656,2.679,3.123
Liability Accounts_Total,Total Other Liabilities,Accrued Expenses,Accrued Expenses,28.927,31.84,32.105,30.575
Liability Accounts_Total,Total Other Liabilities,Unearned Income ,Unearned Income ,12.952,13.403,12.787,12.758
Liability Accounts_Total,Total Other Liabilities,Deferred Tax Liabilities,Deferred Tax Liabilities,4.627,4.223,4.521,4.025
Liability Accounts_Total,Total Other Liabilities,Provisions,Provisions,2.251,2.155,2.413,2.571
Liability Accounts_Total,Total Other Liabilities,Other Liabilities,Other Liabilities,169.591,187.862,173.926,188.102
Liability Accounts_Total,Total Other Liabilities,Due to Head Office (HO)/Branches (Br)/Agencies (Ag) (Philippine branch of a foreign bank),Due to Head Office (HO)/Branches (Br)/Agencies (Ag) (Philippine branch of a foreign bank),99.212,75.457,140.334,111.491
Liability Accounts_Total,Total Other Liabilities,Due to FCDU/RBU,Due to FCDU/RBU,0,0,0,0
Capital Accounts_Total,Capital Accounts_Total,Capital Accounts_Total,Capital Accounts_Total,818.11,844.875,868.532,921.27
Capital Accounts_Total,Paid in Capital Stock,Paid in Capital Stock,Paid in Capital Stock,307.878,310.987,318.021,321.748
Capital Accounts_Total,Additional Paid-in Capital,Additional Paid-in Capital,Additional Paid-in Capital,81.247,81.894,84.795,86.07
Capital Accounts_Total,Other Equity Instruments,Other Equity Instruments,Other Equity Instruments,27.275,27.242,27.373,29.783
Capital Accounts_Total,Retained Earnings,Retained Earnings,Retained Earnings,258.344,240.743,233.688,255.384
Capital Accounts_Total,Stock Dividend Distributable,Stock Dividend Distributable,Stock Dividend Distributable,0.308,1.329,0.289,0.325
Capital Accounts_Total,Undivided Profits,Undivided Profits,Undivided Profits,20.647,46.286,70.063,65.175
Capital Accounts_Total,Other Comprehensive Income,Other Comprehensive Income,Other Comprehensive Income,9.385,24.7,21.443,49.983
Capital Accounts_Total,Appraisal Increment Reserve,Appraisal Increment Reserve,Appraisal Increment Reserve,2.664,2.575,2.508,2.425
Capital Accounts_Total,Treasury Stock,Treasury Stock,Treasury Stock,-0.216,-0.093,-0.034,-0.035
Capital Accounts_Total,Assigned Capital,Assigned Capital,Assigned Capital,24.953,24.953,24.953,24.953
Capital Accounts_Total,Net Due to HO/Br/Ag,Net Due to HO/Br/Ag,Net Due to HO/Br/Ag,85.626,84.259,85.434,85.459
Key Ratios (%),Key Ratios (%),Key Ratios (%),Key Ratios (%),,,,
Key Ratios (%),Cash and Due from Banks to Deposits,Cash and Due from Banks to Deposits,Cash and Due from Banks to Deposits,26.12,23.79,25.59,25.32
Key Ratios (%),Liquid Assets to Deposits 2/,Liquid Assets to Deposits 2/,Liquid Assets to Deposits 2/,60.22,57.03,58.8,56.46
Key Ratios (%),"Loans, gross to Deposits","Loans, gross to Deposits","Loans, gross to Deposits",64.98,68.86,69.68,69.97
Key Ratios (%),Capital Adequacy Ratio (CAR) 3/,Capital Adequacy Ratio (CAR) 3/,Capital Adequacy Ratio (CAR) 3/,,,,
Key Ratios (%),Capital Adequacy Ratio (CAR) 3/,Solo Basis,Solo Basis,16.48,16.34,16.44,16.65
Key Ratios (%),Capital Adequacy Ratio (CAR) 3/,Consolidated Basis,Consolidated Basis,17.39,17.25,17.43,17.64
Key Ratios (%),Total Capital Accounts to Total Assets 4/,Total Capital Accounts to Total Assets 4/,Total Capital Accounts to Total Assets 4/,12.04,12.04,12.32,12.56
"1/ Figures adjusted to net off the account ""Due from Head Office"" with ""Due to Head Office"" of branches of foreign banks",,,,,,,
"2/ Ratio of Liquid Assets (Cash and Due from Banks + Financial Assets, Net of Allowance for Credit Losses) to Total Deposits",,,,,,,
"3/ Based on the framework under Circular No. 280 dated 29 March 2001 which was formally adopted on 1 July 2001.  Effective 1 July 2003, the CARs of Universal and Commercial Banks (U/KBs), are based on combined",,,,,,,
,"credit and market risks under Circular No. dated 3 December 2002. The capital adequacy framework, covering U/KBs and their subsidiary banks and quasi-banks, was revised under Circular  No. 538 dated 2 June 2006 ",,,,,,
,"and was formally adopted on 1 July 2007.  The CAR computation for Thrift Banks, Rural and Cooperative Banks and Quasi-Banks that are not subsidiaries of U/KBs continue to be governed by Circular No. 280 and ",,,,,,
,Circular No. 400 dated 1 September 2003.,,,,,,
4/ Ratio of  Total Capital Accounts ( for ratio analysis  consists of Total Capital Accounts + Redeemable Preferred Shares) to Total Assets,,,,,,,
Note: Details may not add up to totals due to rounding-off,,,,,,,
"Source : Supervisory Data Center, Supervision and Examination Sector",,,,,,,
Updated as of 23 July 2012,,,,,,,
,,,,,,,
Balance Sheet and Key Ratios Philippine Banking System,,,,,,,
as of end of periods indicated in billion pesos,,,,,,,
