Selected Accounts ,Selected Accounts ,Selected Accounts ,Selected Accounts ,Mar-11,Jun-11,Sep-11,Dec-11
 Asset Accounts 1/,Total ROPA,Sales Contract Receivable,,23.511 ,22.556 ,22.211 ,21.695 
 Asset Accounts 1/,Total ROPA,Non-Current Assets Held for Sale,,15.818 ,15.184 ,15.439 ,14.553 
 Asset Accounts 1/,Total ROPA,Real and Other Properties Acquired,,128.395 ,127.857 ,124.549 ,120.406 
 Asset Accounts 1/,Accumulated Depreciation,,,13.670 ,13.364 ,13.284 ,13.252 
 Asset Accounts 1/,Unamortized Discount and Other Deferred Credits,,,0.236 ,0.242 ,0.244 ,0.249 
 Asset Accounts 1/,Allowance for Losses - ROPA,,,17.831 ,18.148 ,18.388 ,18.083 
 Asset Accounts 1/,Allowance for Losses - ROPA,Allowance for Credit Losses- Sales Contract Receivable,,0.464 ,0.488 ,0.470 ,0.475 
 Asset Accounts 1/,Allowance for Losses - ROPA,Allowance for Losses -Real and Other Properties Acquired,,14.245 ,14.128 ,14.272 ,14.347 
 Asset Accounts 1/,Allowance for Losses - ROPA,Allowance for Credit Losses -Non Current Assets held for Sale,,3.507 ,3.532 ,3.646 ,3.261 
 Asset Accounts 1/,"ROPA, Net of Allowance for Losses",,,135.987 ,133.844 ,130.282 ,125.070 
 Asset Accounts 1/,"Total Other Assets, Net",,,402.876 ,402.262 ,391.752 ,407.244 
 Asset Accounts 1/,"Total Other Assets, Net",Derivatives with Positive Fair Value Held for Hedging,,0.075 ,0.072 ,0.080 ,0.080 
 Asset Accounts 1/,"Total Other Assets, Net",Revaluation of Hedged Assets in Portfolio Hedge of Interest Rate Risk,,0.190 ,0.162 ,0.211 ,0.205 
 Asset Accounts 1/,"Total Other Assets, Net",Goodwill,,17.276 ,17.046 ,17.041 ,17.044 
 Asset Accounts 1/,"Total Other Assets, Net",, Allowance for Losses,1.206 ,1.260 ,1.297 ,1.341 
 Asset Accounts 1/,"Total Other Assets, Net",Goodwill - Net,,16.070 ,15.787 ,15.744 ,15.703 
 Asset Accounts 1/,"Total Other Assets, Net",Accrued Interest Income from Financial Assets,,51.094 ,57.576 ,52.586 ,59.823 
 Asset Accounts 1/,"Total Other Assets, Net",,Allowance for Credit Losses,6.795 ,6.793 ,6.888 ,7.417 
 Asset Accounts 1/,"Total Other Assets, Net","Accrued Interest Income from Financial Assets, net",,44.299 ,50.783 ,45.698 ,52.406 
 Asset Accounts 1/,"Total Other Assets, Net","Bank Premises, Furniture, Fixture and Equipment",,185.606 ,187.406 ,189.849 ,191.691 
 Asset Accounts 1/,"Total Other Assets, Net",,Accumulated Depreciation,83.209 ,84.687 ,86.290 ,86.141 
 Asset Accounts 1/,"Total Other Assets, Net",,Allowance for Losses,1.834 ,1.784 ,1.726 ,1.706 
 Asset Accounts 1/,"Total Other Assets, Net","Bank Premises, Furniture, Fixture and Equipment - Net",,100.564 ,100.935 ,101.833 ,103.844 
 Asset Accounts 1/,"Total Other Assets, Net",Other Intangible Assets,,11.693 ,12.190 ,12.448 ,12.686 
 Asset Accounts 1/,"Total Other Assets, Net",,Accumulated Amortization,3.990 ,4.306 ,4.451 ,4.938 
 Asset Accounts 1/,"Total Other Assets, Net",,Allowance for Losses,0.032 ,0.005 ,0.037 ,0.005 
 Asset Accounts 1/,"Total Other Assets, Net","Other Intangible Assets, net",,7.672 ,7.879 ,7.961 ,7.743 
 Asset Accounts 1/,"Total Other Assets, Net",Deferred Tax Asset,,46.430 ,46.988 ,47.184 ,46.841 
 Asset Accounts 1/,"Total Other Assets, Net",Due from FCDU/RBU,,0.000 ,0.000 ,0.000 ,0.000 
 Asset Accounts 1/,"Total Other Assets, Net",Other Assets,,212.498 ,204.317 ,198.124 ,204.847 
 Asset Accounts 1/,"Total Other Assets, Net",,Allowance for Losses,24.921 ,24.660 ,25.083 ,24.424 
 Asset Accounts 1/,"Total Other Assets, Net",Other Assets - Net,,187.577 ,179.657 ,173.041 ,180.423 
LIABILITIES AND CAPITAL,,,,"6,799.455 ","7,020.978 ","7,050.104 ","7,335.624 "
LIABILITIES AND CAPITAL,Liability Accounts,,,"5,981.345 ","6,176.103 ","6,181.572 ","6,414.354 "
LIABILITIES AND CAPITAL,Liability Accounts,Financial Liabilities Held for Trading,,45.155 ,37.064 ,47.975 ,40.756 
LIABILITIES AND CAPITAL,Liability Accounts,Financial Liabilities Designated at Fair Value through Profit or Loss,,6.437 ,6.458 ,6.572 ,6.526 
LIABILITIES AND CAPITAL,Liability Accounts,Deposit Liabilities,,"5,009.390 ","5,157.727 ","5,084.004 ","5,376.445 "
LIABILITIES AND CAPITAL,Liability Accounts,Deposit Liabilities,Peso,"3,929.904 ","4,046.288 ","4,001.231 ","4,307.746 "
LIABILITIES AND CAPITAL,Liability Accounts,Deposit Liabilities,Demand & NOW,923.389 ,934.959 ,960.268 ,"1,039.431 "
LIABILITIES AND CAPITAL,Liability Accounts,Deposit Liabilities,Savings Deposits,"1,910.723 ","1,953.918 ","1,958.734 ","2,132.267 "
LIABILITIES AND CAPITAL,Liability Accounts,Deposit Liabilities,Time Certificate of Deposits ,"1,060.862 ","1,122.464 ","1,044.057 ","1,096.332 "
LIABILITIES AND CAPITAL,Liability Accounts,Deposit Liabilities,LTNCD,34.930 ,34.946 ,38.172 ,39.716 
LIABILITIES AND CAPITAL,Liability Accounts,Deposit Liabilities,Foreign Currency,"1,079.486 ","1,111.439 ","1,082.774 ","1,068.700 "
LIABILITIES AND CAPITAL,Liability Accounts,Bills Payable,,362.374 ,399.553 ,413.502 ,390.833 
LIABILITIES AND CAPITAL,Liability Accounts,Bills Payable,Deposit Substitutes ,63.504 ,75.612 ,87.450 ,76.522 
LIABILITIES AND CAPITAL,Liability Accounts,Bills Payable,Others,298.869 ,323.940 ,326.052 ,314.311 
LIABILITIES AND CAPITAL,Liability Accounts,Special Financing ,,0.059 ,0.056 ,0.054 ,0.220 
LIABILITIES AND CAPITAL,Liability Accounts,Special Financing ,Time Certificate of Deposits  - SF,0.011 ,0.010 ,0.011 ,0.011 
LIABILITIES AND CAPITAL,Liability Accounts,Special Financing ,Special Time Deposits,0.048 ,0.045 ,0.043 ,0.209 
LIABILITIES AND CAPITAL,Liability Accounts,Unsecured Subordinated Debt,,102.404 ,117.421 ,110.703 ,110.271 
LIABILITIES AND CAPITAL,Liability Accounts,Unsecured Subordinated Debt Unamortized Debt Discount/Premium,,(0.187),(0.171),(0.164),(0.144)
LIABILITIES AND CAPITAL,Liability Accounts,Unsecured Subordinated Debt - Net,,102.217 ,117.250 ,110.539 ,110.127 
LIABILITIES AND CAPITAL,Liability Accounts,Redeemable Preferred Shares,,0.461 ,0.412 ,0.369 ,0.386 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,,455.252 ,457.584 ,518.557 ,489.060 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Due to Other Banks,21.608 ,23.146 ,36.968 ,21.547 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Bonds Payable,36.883 ,36.832 ,37.164 ,37.266 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities - Unamortized Bond Discount/Premium,,(0.085),(0.080),(0.134),(0.161)
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Bonds Payable - Net,36.798 ,36.752 ,37.030 ,37.105 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Financial Liabilities Associated with Transferred Assets,0.000 ,0.000 ,0.000 ,0.000 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Derivatives with Negative Fair Value Held for Hedging,0.420 ,0.429 ,0.477 ,0.483 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Revaluation of Hedged Liabilities in Portfolio Hedge of Interest Rate Risk,0.000 ,0.000 ,0.000 ,0.000 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Accrued Interest Expense on Financial Liabilities,15.959 ,17.063 ,15.783 ,17.943 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Finance Lease Payment Payable,0.205 ,0.199 ,0.192 ,0.182 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Due to Treasurer of the Philippines,1.267 ,1.866 ,3.309 ,2.407 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Treasurer/Cashier/Manager's Checks,36.176 ,36.449 ,35.966 ,34.481 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Payment Orders Payable,1.717 ,1.694 ,1.611 ,1.095 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Margin Deposits on LCs and Customers' Liability on Bills/Drafts under LCs and/or TRs,2.379 ,2.138 ,2.010 ,2.266 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Cash Letters of Credit,6.292 ,4.974 ,5.778 ,5.651 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Outstanding Acceptances Executed by or for Account of this Bank,7.104 ,9.948 ,7.900 ,8.519 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Due to Bangko Sentral ng Pilipinas,1.415 ,1.853 ,0.360 ,0.399 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Due to Philippine Deposit Insurance Corporation,0.639 ,1.248 ,0.647 ,1.323 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Due to Philippine Crop Insurance Corporation,0.014 ,0.012 ,0.010 ,0.013 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Income Tax Payable,2.983 ,2.216 ,1.751 ,3.001 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Other Taxes and Licenses Payable,2.715 ,2.656 ,2.679 ,3.123 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Accrued Expenses,28.927 ,31.840 ,32.105 ,30.575 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Unearned Income ,12.952 ,13.403 ,12.787 ,12.758 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Deferred Tax Liabilities,4.627 ,4.223 ,4.521 ,4.025 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Provisions,2.251 ,2.155 ,2.413 ,2.571 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Other Liabilities,169.591 ,187.862 ,173.926 ,188.102 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Due to Head Office/Branches/Agencies (Philippine branch of a foreign bank),99.212 ,75.457 ,140.334 ,111.491 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Due to FCDU/RBU,0.000 ,0.000 ,0.000 ,0.000 
LIABILITIES AND CAPITAL,Capital Accounts,Total Other Liabilities,,818.110 ,844.875 ,868.532 ,921.270 
LIABILITIES AND CAPITAL,Capital Accounts,Paid in Capital Stock,,307.878 ,310.987 ,318.021 ,321.748 
LIABILITIES AND CAPITAL,Capital Accounts,Additional Paid-in Capital,,81.247 ,81.894 ,84.795 ,86.070 
LIABILITIES AND CAPITAL,Capital Accounts,Other Equity Instruments,,27.275 ,27.242 ,27.373 ,29.783 
LIABILITIES AND CAPITAL,Capital Accounts,Retained Earnings,,258.344 ,240.743 ,233.688 ,255.384 
LIABILITIES AND CAPITAL,Capital Accounts,Stock Dividend Distributable,,0.308 ,1.329 ,0.289 ,0.325 
LIABILITIES AND CAPITAL,Capital Accounts,Undivided Profits,,20.647 ,46.286 ,70.063 ,65.175 
LIABILITIES AND CAPITAL,Capital Accounts,Other Comprehensive Income,,9.385 ,24.700 ,21.443 ,49.983 
LIABILITIES AND CAPITAL,Capital Accounts,Appraisal Increment Reserve,,2.664 ,2.575 ,2.508 ,2.425 
LIABILITIES AND CAPITAL,Capital Accounts,Treasury Stock,,(0.216),(0.093),(0.034),(0.035)
LIABILITIES AND CAPITAL,Capital Accounts,Assigned Capital,,24.953 ,24.953 ,24.953 ,24.953 
LIABILITIES AND CAPITAL,Capital Accounts,Net Due to HO/Br/Ag,,85.626 ,84.259 ,85.434 ,85.459 
LIABILITIES AND CAPITAL,Key  Ratios,Cash and Due from Banks to Deposits,,26.12,23.79,25.59,25.32
LIABILITIES AND CAPITAL,Key  Ratios,Liquid Assets to Deposits 2/,,60.22,57.03,58.80,56.46
LIABILITIES AND CAPITAL,Key  Ratios,"Loans, gross to Deposits",,64.98,68.86,69.68,69.97
LIABILITIES AND CAPITAL,Key  Ratios,Capital Adequacy Ratio (CAR) 3/,,,,,
LIABILITIES AND CAPITAL,Key  Ratios,Solo Basis,,16.48,16.34,16.44,16.65
LIABILITIES AND CAPITAL,Key  Ratios,Consolidated Basis,,17.39,17.25,17.43,17.64
LIABILITIES AND CAPITAL,Key  Ratios,Total Capital Accounts to Total Assets 4/,,12.04,12.04,12.32,12.56
,,,,,,,
,,,,,,,
Philippine Banking System: Consolidated Statement of Condition and Key Ratios,,,,,,,
       as of end of periods indicated 2011,,,,,,,
       in billion pesos,,,,,,,
,,,,,,,
"1/ Figures adjusted to net off the account ""Due from Head Office"" with ""Due to Head Office"" of branches of foreign banks",,,,,,,
"2/ Ratio of Liquid Assets (Cash and Due from Banks + Financial Assets, Net of Allowance for Credit Losses) to Total Deposits",,,,,,,
"3/ Based on the framework under Circular No. 280 dated 29 March 2001 which was formally adopted on 1 July 2001.  Effective 1 July 2003, the CARs of Universal and Commercial Banks (U/KBs), are based on combined credit and market risks under Circular No. dated 3 December 2002. The capital adequacy framework, covering U/KBs and their subsidiary banks and quasi-banks, was revised under Circular  No. 538 dated 2 June 2006 and was formally adopted on 1 July 2007.  The CAR computation for Thrift Banks, Rural and Cooperative Banks and Quasi-Banks that are not subsidiaries of U/KBs continue to be governed by Circular No. 280 and Circular No. 400 dated 1 September 2003.",,,,,,,
4/ Ratio of  Total Capital Accounts ( for ratio analysis  consists of Total Capital Accounts + Redeemable Preferred Shares) to Total Assets,,,,,,,
r/ Revised,,,,,,,
Note: Details may not add up to totals due to rounding-off,,,,,,,
"Source : Supervisory Data Center, Supervision and Examination Sector",,,,,,,
,,,,,,,
Updated as of 23 July 2012,,,,,,,
