Financial Performance of Active ODA Loans as of June 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loan ID,Loan_Title,IA,Fund_Source_Major_Group,FI,Type,Sector,Subsector,Subsubsector,Major_Location_Class,Minor_Location_Class,Regions,Loan_Amount,Cumulative Cancellation,Net_Comm,Actual_Disb_1Q,Actual_Disb_2Q,Actual_Disb_3Q,Actual_Disb_4Q,Total Actual Disb,Target_Disb_1Q,Target_Disb_2Q,Target_Disb_3Q,Target_Disb_4Q,Total Target Disb,Dibs_Rate,Amt_Cancelled_1Q,Amt_Cancelled_2Q,Amt_Cancelled_3Q,Amt_Cancelled_4Q,Cum_Cancellations_Year,Undisbursed_Amount_Prev,Loan_Balance_Year_Start,Dibs_Ratio,Actual_Avail,Sched_Avail,Avail_Rate,Avail_Backlog_Amount,Loan_Balance_To_Date,Signing_Date,Effectivity_Date,Original_Closing_Date,Rev_Closing_Date,Loan_Validity_In_Years,Age_In_Years,Delay_In_Years,TE,Util_Rate,TE-UR,Status,As of Date,,,,,,,,,,,,,,,,,,,,,,
PH-P250,"Arterial Road Bypass Project, Phase II  (ARBP II)",DPWH,GOJ-JICA,GOJ-JICA,Project,Infrastructure,Transportation,,LUZON,III,III,44.84,0,44.84,0.03,0.03,0.00,0.00,0.06,0.10,3.80,0.00,0.00,3.899,1.54%,0.00,0.00,0.00,0.00,0,44.24,44.242,0.14%,0.47,8.52,5.52%,8.05,44.37,3/30/2012,7/3/2012,7/3/2019,03-Jul-19,7.003,1.992,-5.011,28.44%,1.05%,27.39%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-P249,Central Luzon Link Expressway Project,DPWH,GOJ-JICA,GOJ-JICA,Project,Infrastructure,Transportation,Roads and Bridges,LUZON,III,III,222.64,0,222.64,0.54,0.27,0.00,0.00,0.809,0.41,0.37,0.00,0.00,0.784,103.19%,0.00,0.00,0.00,0.00,0,220.81,220.814,0.37%,1.34,42.3,3.17%,40.96,221.3,3/30/2012,7/3/2012,7/3/2019,03-Jul-19,7.003,1.992,-5.011,28.44%,0.60%,27.84%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-P239,Pasig Marikina River Channel Improvement Project (Phase II),DPWH,GOJ-JICA,GOJ-JICA,Project,Infrastructure,Water Resources,Flood Control,LUZON,NCR,NCR,83.3,0,83.3,0.05,0.00,0.00,0.00,0.045,0.05,0.06,0.00,0.00,0.106,42.45%,0.00,0.00,0.00,0.00,0,0.16,0.161,27.95%,83.14,83.3,99.81%,0.16,0.16,2/27/2007,6/21/2007,6/21/2015,21-Jun-15,8.005,7.03,-0.975,87.82%,99.81%,-11.99%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-P247,Road Upgrading and Preservation Project,DPWH,GOJ-JICA,GOJ-JICA,Project,Infrastructure,Transportation,Roads,MULTI-REGIONAL,Multi-Regional,"I, III, IV-A, IV-B, V, XI, XIII",398.94,0,398.94,7.66,2.97,0.00,0.00,10.634,12.00,17.06,0.00,0.00,29.055,36.60%,0.00,0.00,0.00,0.00,0,369.12,369.118,2.88%,31.53,137.94,22.86%,106.41,367.41,3/31/2011,7/21/2011,7/21/2023,21-Jul-23,12.008,2.945,-9.063,24.53%,7.90%,16.63%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-P252,Pasig-Marikina River Channel Improvement Project Phase III,DPWH,GOJ-JICA,GOJ-JICA,Project,Infrastructure,Water Resources,Flood Control,LUZON,NCR,NCR,115.6,0,115.6,0.80,4.46,0.00,0.00,5.26,0.82,16.94,0.00,0.00,17.76,29.62%,0.00,0.00,0.00,0.00,0,112.58,112.576,4.67%,7.1,21.96,32.33%,14.86,108.5,3/30/2012,7/3/2012,7/3/2019,03-Jul-19,7.003,1.992,-5.011,28.44%,6.14%,22.30%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-P241,Pinatubo Hazard Urgent Mitigation Project III,DPWH,GOJ-JICA,GOJ-JICA,Project,Infrastructure,Water Resources,Flood Control and Mitigation,LUZON,III,III,74.27,0,74.27,1.78,0.00,0.00,0.00,1.777,4.23,3.21,0.00,0.00,7.444,23.87%,0.00,0.00,0.00,0.00,0,8.67,8.667,20.50%,65.57,74.27,88.29%,8.7,8.7,12/18/2007,4/15/2008,4/15/2015,15-Apr-15,7.003,6.211,-0.792,88.69%,88.29%,0.40%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PHL-17,Integrated Disaster Risk Reduction and Climate Change Adaptation Measures in Low Lying Areas of Pampanga,DPWH,Others,Korea,Project,Infrastructure,Water Resources,,LUZON,III,Pampanga,80.48,0,80.48,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,#Error,0.00,0.00,0.00,0.00,0,80.48,80.483,0.00%,0,0.64,0.00%,0.64,80.48,10/17/2013,2/14/2014,11/14/2019,14-Nov-19,5.751,0.373,-5.378,6.48%,0.00%,6.48%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PHL-14,Samar Pacific Coastal Road Project,DPWH,Others,Korea,Project,Infrastructure,Transportation,,VISAYAS,VIII,VIII,20.63,0,20.63,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,#Error,0.00,0.00,0.00,0.00,0,20.63,20.631,0.00%,0,0.12,0.00%,0.12,20.63,8/19/2013,1/17/2014,1/17/2018,17-Jan-18,4.003,0.449,-3.553,11.23%,0.00%,11.23%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PHL-10,"Gapan-San Fernando-Olongapo Road Project, Phase II",DPWH,OTHERS,Korea,Project,Infrastructure,Transportation,,LUZON,III,III,28.35,0,28.35,0.00,0.00,0.00,0.00,0,2.45,2.22,0.00,0.00,4.67,0.00%,0.00,0.00,0.00,0.00,0,21.67,21.668,0.00%,6.68,11.01,60.67%,4.33,21.67,7/13/2009,10/20/2009,4/20/2014,19-Apr-15,5.499,4.696,-0.803,85.40%,23.56%,61.84%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PHL-9,Bacolod-Silay Airport Access Road Project,DPWH,OTHERS,Korea,Project,Infrastructure,Transportation,,VISAYAS,VI,VI,13.06,0,13.06,0.00,0.00,0.00,0.00,0,2.96,0.00,0.00,0.00,2.96,0.00%,0.00,0.00,0.00,0.00,0,5.15,5.147,0.00%,7.92,9.98,79.36%,2.06,5.14,7/13/2009,10/20/2009,6/20/2013,30-Mar-15,5.444,4.696,-0.748,86.26%,60.64%,25.62%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
1446P,Road Improvement and Institutional Development Project,DPWH,Others,OFID,Project,Infrastructure,Transportation,,NATIONWIDE,Nationwide,Nationwide,30,0,30,0.30,1.93,0.00,0.00,2.231,3.67,3.58,0.00,0.00,7.252,30.76%,0.00,0.00,0.00,0.00,0,27.66,27.663,8.06%,4.57,13.9,32.88%,9.33,25.43,7/20/2012,9/17/2012,6/30/2017,30-Jun-17,4.786,1.784,-3.003,37.26%,15.23%,22.03%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
SAUDI-1/433,Mindanao Roads Improvement Project,DPWH,OTHERS,Saudi Arabia,Project,Infrastructure,Transportation,Roads,MINDANAO,Mindanao Wide,Mindanao Wide,19.998,0,19.998,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,#Error,0.00,0.00,0.00,0.00,0,15.88,15.877,0.00%,4.351,19.998,21.76%,15.647,15.647,10/21/2005,4/2/2006,12/31/2009,11-Oct-14,8.532,8.249,-0.282,96.69%,21.76%,74.93%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-75520,National Road Improvement Management Project Phase II,DPWH,WB,WB,Project,Infrastructure,Transportation,,NATIONWIDE,Nationwide,Nationwide,232,0,232,11.45,8.03,0.00,0.00,19.48,30.36,21.43,0.00,0.00,51.79,37.61%,0.00,0.00,0.00,0.00,0,151.61,151.612,12.85%,99.865,185.644,53.79%,85.779,132.135,10/24/2008,4/16/2009,12/31/2012,31-Dec-14,5.712,5.208,-0.504,91.18%,43.05%,48.13%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
3100-PHI,KALAHI-CIDSS National Community Driven Development Program,DSWD,ADB,ADB,Project,Social Reform and Community Development,Social Welfare and Community Development,,MULTI-REGIONAL,Multi-Regional,"II, III, IVA, IVB, V, VI, VII, VIII, IX, X, XI, XI",372.104,0,372.104,0.00,12.00,0.00,0.00,12,0.00,0.00,0.00,0.00,0,#Error,0.00,0.00,0.00,0.00,0,372.10,372.104,3.22%,12,5.025,238.81%,-6.975,360.104,3/26/2014,6/10/2014,6/30/2018,30-Jun-18,4.058,0.055,-4.003,1.35%,3.22%,-1.87%,Newly Effective,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
2662-PHI,Social Protection Support Project,DSWD,ADB,ADB,Program,Social Reform and Community Development,Social Welfare and Community Development,,NATIONWIDE,Nationwide,Nationwide,400,0,400,4.88,30.80,0.00,0.00,35.6784,9.76,21.58,0.00,0.00,31.34,113.84%,0.00,0.00,0.00,0.00,0,150.80,150.798,23.66%,284.804,265.168,107.41%,-19.636,115.196,9/14/2010,1/12/2011,3/31/2016,31-Mar-16,5.219,3.466,-1.753,66.40%,71.20%,-4.80%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-7805,Social Welfare and Development Reform,DSWD,WB,WB,Program,Social Reform and Community Development,Social Welfare and Community Development,,NATIONWIDE,Nationwide,Nationwide,405,0,405,15.97,6.16,0.00,0.00,22.13,6.34,6.34,0.00,0.00,12.68,174.53%,0.00,0.00,0.00,0.00,0,65.12,65.117,33.98%,362.012,405,89.39%,42.988,42.988,1/7/2010,2/19/2010,6/30/2014,30-Jun-14,4.362,4.362,0,100.00%,89.39%,10.61%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-8218,Social Welfare and Development Reform Project (Additional Financing),DSWD,WB,WB,Program,Social Reform and Community Development,Social Welfare and Community Development,,NATIONWIDE,Nationwide,Nationwide,100,0,100,20.00,14.97,0.00,0.00,34.97,1.78,1.78,0.00,0.00,3.56,982.30%,0.00,0.00,0.00,0.00,0,99.75,99.75,35.06%,35.22,45.45,77.49%,10.23,64.78,1/30/2013,5/2/2013,12/31/2015,31-Dec-15,2.666,1.162,-1.504,43.58%,35.22%,8.36%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-7959,KALAHI-CIDSS Project (Additional Financing),DSWD,WB,WB,Project,Social Reform and Community Development,Social Welfare and Community Development,,MULTI-REGIONAL,Multi-Regional,"CAR. IV, V, VI, VII, VIII, IX, X, XI, XII, XIII",59.12,0,59.12,0.39,0.00,0.00,0.00,0.39,1.75,1.43,0.00,0.00,3.18,12.26%,0.00,0.00,0.00,0.00,0,3.68,3.684,10.59%,55.829,59.12,94.43%,3.291,3.291,12/3/2010,2/24/2011,5/31/2014,31-May-14,3.266,3.348,0.082,102.52%,94.43%,8.09%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
IFAD-661-PH,Rural Micro-Enterprise Promotion Programme,DTI,OTHERS,IFAD,Project,"Industry, Trade and Tourism","Industry, Trade and Tourism",,MULTI-REGIONAL,Multi-Regional,"CAR,V,VIII,XII,CARAGA",18.64,0,18.64,0.00,0.13,0.00,0.00,0.131,0.00,0.30,0.00,0.00,0.3,43.67%,0.00,0.00,0.00,0.00,0,3.12,3.12,4.20%,15.65,18.64,83.96%,2.99,2.99,11/11/2005,10/31/2006,6/30/2014,30-Jun-14,7.668,7.668,0,100.00%,83.96%,16.04%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
AI-2001 65 951,Credit Line for Energy Efficiency and Climate Protection in the Philippines (CLEECP),LBP,OTHERS,Germany,Project,Infrastructure,"Energy, Power and Electrification",,NATIONWIDE,Nationwide,Nationwide,27.412,0,27.412,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,#Error,0.00,0.00,0.00,0.00,0,27.41,27.412,0.00%,0,27.412,0.00%,27.412,27.412,12/24/2008,11/23/2009,12/31/2012,15-Jan-15,5.148,4.603,-0.545,89.41%,0.00%,89.41%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-P244,Agriculture Credit Support Project,LBP,GOJ-JICA,GOJ-JICA,Project,"Agriculture, Natural Resources and Agrarian Reform",Agriculture,,NATIONWIDE,Nationwide,Nationwide,142.67,0,142.67,3.15,0.90,0.00,0.00,4.052,4.29,5.93,0.00,0.00,10.216,39.66%,0.00,0.00,0.00,0.00,0,53.27,53.27,7.61%,90.11,131.5,68.52%,41.39,52.56,11/25/2009,3/23/2010,3/23/2017,23-Mar-17,7.005,4.274,-2.732,61.01%,63.16%,-2.15%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
8162-PH,Metro Manila Wastewater Management Project,LBP,WB,WB,Project,Infrastructure,Water Resources,,LUZON,NCR,NCR,275,0,275,2.11,4.54,0.00,0.00,6.65,20.44,23.90,0.00,0.00,44.34,15.00%,0.00,0.00,0.00,0.00,0,273.00,273,2.44%,8.654,12.5,69.23%,3.846,266.346,5/31/2012,10/19/2012,6/30/2017,30-Jun-17,4.699,1.696,-3.003,36.09%,3.15%,32.94%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-4833,Support for Strategic Local Development and Investment Project,LBP,WB,WB,Project,Infrastructure,Urban Infrastructure,,NATIONWIDE,Nationwide,Nationwide,130,0,130,1.77,2.21,0.00,0.00,3.98,4.94,3.88,0.00,0.00,8.82,45.12%,0.00,0.00,0.00,0.00,0,27.14,27.143,14.66%,106.836,107.8,99.11%,0.964,23.164,10/3/2006,2/28/2007,6/30/2012,30-Apr-16,9.175,7.34,-1.836,79.99%,82.18%,-2.19%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-8035,Laguna de Bay Institutional Strengthening and Community Participation Project (LISCOP) -  Additional Financing,LLDA,WB,WB,Project,"Agriculture, Natural Resources and Agrarian Reform",Environment and Natural Resources,,LUZON,IVA,IVA,10,0,10,0.17,0.43,0.00,0.00,0.6,0.90,0.69,0.00,0.00,1.59,37.74%,0.00,0.00,0.00,0.00,0,4.01,4.006,14.98%,6.589,10,65.89%,3.411,3.411,5/12/2011,7/27/2011,4/30/2014,30-Apr-14,2.762,2.929,0.167,106.05%,65.89%,40.16%,Closed,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
200665240,Provincial Towns Water Supply Programme III,LWUA,Others,Germany,Project,Infrastructure,Water Resources,,MULTI-REGIONAL,Multi-Regional,"I,II,IVA,V,VI,IX,X",13.9,0,13.9,0.00,0.18,0.00,0.00,0.18,0.00,0.20,0.00,0.00,0.2,90.00%,0.00,0.00,0.00,0.00,0,12.59,12.59,1.43%,1.19,4.24,28.07%,3.05,12.71,6/30/2009,3/28/2011,12/31/2013,31-Dec-15,4.764,3.26,-1.504,68.43%,8.56%,59.87%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
CHI-7,Angat Water Utilization and Aqueduct Improvement Project (AWUAIP)-Phase II,MWSS,China,CHINA,Project,Infrastructure,Water Resources,,LUZON,III,III,116.6,0,116.6,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,#Error,0.00,0.00,0.00,0.00,0,1.27,1.27,0.00%,115.33,115.33,100.00%,0,1.27,1/7/2010,5/7/2010,5/7/2014,07-May-14,4.003,4.151,0.148,103.70%,98.91%,4.79%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-P254,National Irrigation Sector Rehabilitation and Improvement Project (NISRIP),NIA,GOJ-JICA,GOJ-JICA,Project,"Agriculture, Natural Resources and Agrarian Reform",Environment and Natural Resources,,MULTI-REGIONAL,Multi-Regional,"I, III, IV-A, IV-B, VI, X, XI, XII, XIII",60.43,0,60.43,0.81,0.05,0.00,0.00,0.862,1.17,1.48,0.00,0.00,2.648,32.55%,0.00,0.00,0.00,0.00,0,58.01,58.014,1.49%,2.27,11.48,19.77%,9.21,58.16,3/30/2012,7/3/2012,7/3/2019,03-Jul-19,7.003,1.992,-5.011,28.44%,3.76%,24.68%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PHL-15,"Jalaur River Multipurpose Irrigation Project, Phase II",NIA,Others,Korea,Project,"Agriculture, Natural Resources and Agrarian Reform",Irrigation,,VISAYAS,VI,VI,207.88,0,207.88,3.57,0.00,0.00,0.00,3.57,3.15,5.23,0.00,0.00,8.38,42.60%,0.00,0.00,0.00,0.00,0,207.88,207.88,1.72%,3.57,20.41,17.49%,16.84,204.31,8/9/2012,11/28/2012,5/28/2018,28-May-18,5.499,1.586,-3.912,28.85%,1.72%,27.13%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
PH-7709,Participatory Irrigation Development Project,NIA,WB,WB,Project,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,Irrigation,NATIONWIDE,Nationwide,Nationwide except NCR and ARMM,70.36,0,70.36,2.50,2.48,0.00,0.00,4.98,7.25,6.55,0.00,0.00,13.8,36.09%,0.00,0.00,0.00,0.00,0,44.22,44.222,11.26%,31.125,58.744,52.98%,27.619,39.235,8/7/2009,11/3/2009,3/31/2015,31-Mar-15,5.408,4.658,-0.751,86.12%,44.24%,41.88%,Ongoing,6/30/3014,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
