particulars,date,pbo_obr_number,acctg_obr_number,payee ,purpose,obligated amount,balance
Binhian sa Lalawigan Cum Seed Dispersal Projects- 8911(29),-,-,-,-,Unobligated Balance,-,465000.43
Provincial Dairy Development- 8919(37),-,-,-,-,Balance Last Quarter,-,179015.28
Provincial Dairy Development- 8919(37),10/3/2013,1310-8974,5,Carlos Rom and Co.,W/P Sept. 16-30,5500,-
Provincial Dairy Development- 8919(37),10/22/2013,1310-9434,10,Carlos Rom and Co.,W/P Oct. 1-15,5500,-
Provincial Dairy Development- 8919(37),10/24/2013,1308-7906,12,Bindly Store and Gen. Mdse,PO Number 13081460-supplies,48650,-
Provincial Dairy Development- 8919(37),-,1308-7907,13,Bindly Store and Gen. Mdse,PO Number 13081461-paints and brush,9985,-
Provincial Dairy Development- 8919(37),10/31/2013,1308-7789,17,Bindly Store and Gen. Mdse.,PO Number 13081404-repair of grasscutter,10000,-
Provincial Dairy Development- 8919(37),11/6/2013,1311-9835,1,Carlos Rom and Co.,W/P Oct. 16-31,6000,-
Provincial Dairy Development- 8919(37),11/25/2013,1311-10325,70,Carlos Rom and Co.,W/P Nov. 1-15,5750,-
Provincial Dairy Development- 8919(37),11/28/2013,1308-7412,73,Bindly Store and Gen. Mdse.,po Number 13081341-Gasul,5000,-
Provincial Dairy Development- 8919(37),12/4/2013,1312-10654,19,Carlos Rom and Co.,W/P Nov. 16-30,5500,-
Provincial Dairy Development- 8919(37),12/5/2013,1308-7786,1310-06,ADJUSTMENT (RNM Agro or Industrial Supply and Gen. Mdse),PO Number 13081426-feeds (Transferred to Dairy Dev't),38996,-
Provincial Dairy Development- 8919(37),12/19/2013,1312-11212,70,Carlos Rom and Co.,W/P Dec. 1-15,7250,-
Provincial Dairy Development- 8919(37),-,1312-11215,71,Carlos Rom and Co.,Labor Cost Adj Oct. 16-Dec. 15,12000,-
Provincial Dairy Development- 8919(37),-,-,-,-,Total Expenditures,-,160131
Provincial Dairy Development- 8919(37),-,-,-,-,Unobligated Balance,-,18884.28
Sow Weaner Production- 8919(41),-,-,-,-,Balance Last Quarter,-,103805
Sow Weaner Production- 8919(41),10/4/2013,1308-7786,6,RNM Agro/Industrial Supply and Gen. Mdse,PO Number 13081426-feeds,38996,-
Sow Weaner Production- 8919(41),11/18/2013,1309-8856,63,Faraon Poultry and Agri Chemical Supply,PO Number 13091622-feeds,63750,-
Sow Weaner Production- 8919(41),12/5/2013,1310-9486,34,Bindly Store and Gen. Mdse.,PO Number 13101726-Constructionmaterials,20000,-
Sow Weaner Production- 8919(41),-,1308-7786,1310-06,ADJUSTMENT (RNM Agro or Industrial Supply and Gen. Mdse.),PO Number 13081426-feeds (Transferred to Dairy Dev't),-38996,-
Sow Weaner Production- 8919(41),1/2/2014,1310-9016,79,Bindly Store and Gen. Mdse.,PO Number 13101650-electric water pump,20000,-
Sow Weaner Production- 8919(41),-,-,-,-,Total Expenditures,-,103750
Sow Weaner Production- 8919(41),-,-,-,-,Unobligated Balance,-,55
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,-,-,-,Balance Last Quarter,-,817551.63
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,-,-,-,Add: SB Number 5 (SP Res Number 371-2013/AO Number 22-2013),-,1500000
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,-,-,-,Add: (SP Res Number 459-2013/AO Number 36-2013),-,1835750
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,-,-,-,-,-,4153301.63
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",10/1/2013,1309-8863,2,Roldan Lavina,W/P Aug. 1-15 (Rehabilitation of Capalonga-Calabaca Road),2500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",10/16/2013,1302-1629,8,Compadre Hardware,PO Number 13020398-materials (Rehabilitation of Labo-Contod-Vinzons-Crucero Road),568525,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1309-8203,9,Compadre Hardware,PO Number 13081352-aggregate base course (Rehabilitation of Bulhao-Bakiad-Sta Cruz Rd),126000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",11/7/2013,1311-9927,3,Rodolfo Echano and Co.,W/P Aug. 1-15 (Rehabilitation of Labo-Fundado-Bakal Road) 5%,15000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9929,4,Efren Abrera andCo.,W/P Aug. 1-15 (Rehabilitation of Labo-Fundado-Bakal Road) 5%,22250,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9887,5,Felimon Ramos and Co.,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,4473.44,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9931,6,Dante Francisco and Co.,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,30000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9907,7,Dante Francisco and Co.,W/P Sept. 1-30 (Basud Mangcamagong-Msalong-salong Road) 73%,70750,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9922,8,Ericson Coreses and Co.,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,5000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9932,9,Luisa Blanca and Co.,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,15750,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9919,10,Austin Mago and Co.,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,4500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9917,11,Virgilio Espanol and Co.,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,23881.25,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9918,12,Roldan Lavina,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,2250,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9928,13,Redentor Factor and Co.,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,9000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9938,14,Arnulfo Espeso and Co.,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,28750,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9933,15,Randy Vibal and Co.,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,13500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9934,16,Aldrin Asis and Co.,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,9000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9937,17,Efren Abrera andCo.,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,31500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9920,18,Felix Ramores and Co.,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,11250,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9926,19,Dominic Oco and Co.,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,6750,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9923,20,Ferdinand Mariano and Co.,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,4500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9924,21,Juan Ferrer,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,2250,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9916,22,Rodel Paquita and Co.,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,12500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9950,23,Marcelito Sureta,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,4500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9941,24,Rodel Quiozon and Co.,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,4500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9937,25,Noe Pimentel and Co.,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,4500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9925,26,Rodolfo Echano and Co.,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,13500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9936,27,"Adolfo Almaida, Jr..",W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,2250,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9921,28,Mylene Bulawan,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,2500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9930,29,Leo de los Angeles and Co.,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,13500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9939,30,Franco Saspa,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,2250,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9911,31,Ericson Coreses and Co.,W/P Sept. 1-30 (Basud Mangcamagong-Msalong-salong Road) 73%,10500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9942,32,Redentor Factor and Co.,W/P Sept. 1-30 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,21000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9951,33,Efren Abrera and Co.,W/P Sept. 1-30 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,73500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9887,34,Felimon Ramos and Co.,W/P Sept. 1-30 (Basud Mangcamagong-Msalong-salong Road) 73%,10000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9897,35,Leo de los Angeles and Co.,W/P Sept. 1-30 (Basud Mangcamagong-Msalong-salong Road) 73%,31250,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9898,36,Rodolfo Echano and Co.,W/P Sept. 1-30 (Basud Mangcamagong-Msalong-salong Road) 73%,31500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9910,37,Austin Mago and Co.,W/P Sept. 1-30 (Basud Mangcamagong-Msalong-salong Road) 73%,10500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9906,38,Noe Pimentel and Co.,W/P Sept. 1-30 (Basud Mangcamagong-Msalong-salong Road) 73%,10474.48,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9909,39,Randy Vibal and Co.,W/P Sept. 1-30 (Basud Mangcamagong-Msalong-salong Road) 73%,31500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9905,40,Juan Ferrer,W/P Sept. 1-30 (Basud Mangcamagong-Msalong-salong Road) 73%,5250,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9904,41,Roldan Lavina,W/P Sept. 1-30 (Basud Mangcamagong-Msalong-salong Road) 73%,5250,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9903,42,Franco Saspa,W/P Sept. 1-30 (Basud Mangcamagong-Msalong-salong Road) 73%,5250,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9902,43,Marcelito Sureta,W/P Sept. 1-30 (Basud Mangcamagong-Msalong-salong Road) 73%,10500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9900,44,Rodel Quiozon and Co.,W/P Sept. 1-30 (Basud Mangcamagong-Msalong-salong Road) 73%,10500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9949,45,Felix Ramores and Co.,W/P Sept. 1-30 (Basud Mangcamagong-Msalong-salong Road) 73%,26233.33,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9908,46,Desiree Hidalgo,W/P Sept. 23-30 (Basud Mangcamagong-Msalong-salong Road) 73%,1750,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9948,47,Aldrin Asis and Co.,W/P Sept. 1-30 (Basud Mangcamagong-Msalong-salong Road) 73%,21000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9899,48,Mylene Bulawan,W/P Sept. 1-30 (Basud Mangcamagong-Msalong-salong Road) 73%,5000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9947,49,Arnulfo Espeso and Co.,W/P Sept. 1-30 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,60716.15,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9943,50,"Adolfo Almaida, Jr.",W/P Sept. 1-30 (Basud Mangcamagong-Msalong-salong Road) 73%,5250,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9912,51,Luisa Blanca and Co.,W/P Sept. 1-30 (Basud Mangcamagong-Msalong-salong Road) 73%,36000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9913,52,Ferdinand Mariano and Co.,W/P Sept. 1-30 (Basud Mangcamagong-Msalong-salong Road) 73%,10500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9914,53,Rodel Paquita and Co.,W/P Sept. 1-30 (Basud Mangcamagong-Msalong-salong Road) 73%,25500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9940,54,Florabel Vinzons and Co.,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,3381.25,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9901,55,Dominic Oco and Co.,W/P Sept. 1-30 (Basud Mangcamagong-Msalong-salong Road) 73%,15727.6,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9915,56,Virgilio Espanol and Co.,W/P Sept. 1-30 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,51129.67,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",11/12/2013,1311-10000,57,Karen Abriol and Co.,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,4500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9996,58,Gernalyn Aposaga and Co.,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,6482.82,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9992,59,Florabel Vinzons and Co.,W/P Sept. 1-30 (Basud Mangcamagong-Msalong-salong Road) 73%,8667.19,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",11/14/2013,1311-10107,60,Marvin Llacer,W/P Aug. 16-31 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,2250,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-10108,61,Marvin Llacer,W/P Sept. 1-30 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,5250,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-10109,62,Gernalyn Aposaga and Co.,W/P Sept. 1-30 (Rehabilitation of Labo-Fundado-Bakal Road) 70%,11679.17,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",11/25/2013,1311-10323,69,Leonardo Sibulo and Co.,W/P Sept. 1-30 (Basud Mangcamagong-Msalong-salong Road) 73%,36750,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",12/2/2013,1312-10488,2,Rodel Paquita and Co.,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,12500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10489,3,Aldrin Asis and Co.,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,10000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",12/3/2013,1312-10526,5,Roldan Lavina,W/P Oct. 1-15 (Rehabilitation or Construction of Jct MSR Calabasa Road),2500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10530,6,Leoncia Agsamusam and Co.,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,7500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10557,7,Juan Ferrer,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,2500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10616,8,Florabel Vinzons and Co.,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,4511.46,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10614,9,Felix Ramores and Co.,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,12500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10615,10,Arnulfo Espeso and Co.,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,22250,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10570,11,Luisa Blanca and Co.,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,10000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10556,12,Ericson Coreses and Co.,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,5000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",12/4/2013,1312-10632,13,Virgilio Espanol and Co.,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,18000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10631,14,Randy Vibal and Co.,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,15000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10629,15,Felimon Ramos and Co.,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,4750,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10630,16,Rodel Quiozon and Co.,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,5000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10628,17,Austin Mago and Co.,W/P Oct. 1-15 (Asphalting of Cadawingan-Guinatungan Road) 95%,5000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10627,18,Franco Saspa,W/P Oct. 1-15 (Rehabilitation of Labo-Fundado-Bakal Road) 80%,2500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10705,21,"Marcelito Sureta, Jr. and Co.",W/P Oct. 1-15 (Rehabilitation of Labo-Fundado-Bakal Road) 80%,5000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10701,22,Dante Francisco and Co.,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,35000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10703,23,Gernalyn Aposaga and Co.,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,5472.92,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10700,24,Ferdinand Mariano and Co.,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,5000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10702,25,Helbert Mago and Co.,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,36000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",12/5/2016,1312-10718,26,Efren Abrera and Co.,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,31250,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10717,27,Domenick Oco and Co.,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,7453.13,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10716,28,Noel Pimentel and Co.,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,6000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10715,29,Redemptor Factor and Co.,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,10000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10714,30,Leondaro Sibulo and Co.,W/P Oct. 1-15 (Rehabilitation of Labo-Fundado-Bakal Road) 80%,17500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10724,31,Marvin Llacer,W/P Oct. 1-15 (Rehabilitation of Labo-Fundado-Bakal Road) 80%,2500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10699,32,Mylene Bulawan,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,2750,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",12/6/2013,1312-10767,35,Rodolfo Echano and Co.,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,15000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",12/9/2013,1312-10808,36,Eduardo Rodriguez,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,2500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",12/10/2013,1311-10025,37,NBB Trading and Contractual Services,PO Number 13101737-asphalt (Rehabilitation of Labo-Fundado-Bakal Road),132000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-10815,38,Ma. Corazon Jordas and Co.,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,14784.9,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",12/12/2013,1312-10908,40,Leo de los Angeles and Co.,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,12500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1311-9989,41,Stargas Corporation,PO Number 13091593-fuel (Rehabilitation of Labo-Fundado-Bakal Road),46249.6,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",12/13/2013,1312-10960,44,Kareen Abriol and Co.,W/P Oct. 1-15 (Rehabilitation of Labo-Fundado-Bakal Road) 80%,5000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",13/17/13,1312-11057,46,Kareen Abriol and Co.,W/P Sept. 1-30 (Basud Mangcamagong-Msalong-salong Road) 80%,10500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-11056,47,Rafael Ferrer,W/P Oct. 1-15 (Basud Mangcamagong-Msalong-salong Road) 80%,2500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-11092,49,Helbert Mago and Co.,W/P Oct. 16-31 (Basud Mangcamagong-Msalong-salong Road) 95%,44000,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-11110,50,Rodel Paquita and Co.,W/P Oct. 16-Dec. 15 (Basud Mangcamagong-Msalong-salong Road) 95%,135858.54,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-11091,51,Arnulfo Espeso and Co.,W/P Oct. 16-Dec. 15 (Labo-Fundado-Bakal Road) 95%,89750,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-11108,52,Virgilio Espanol and Co.,W/P Oct. 16-Dec. 15 (Labo-Fundado-Bakal Road) 95%,98726.04,-
