particulars,date,pbo_obr_number,acctg_obr_number,payee,purpose,obligated_amount,balance
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3372 ,8,Arjay Asis and Co., W/P Feb. 1-28 (Angas-Manguisoc Road) ,"2 9,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),4/4/2013,1304-3425 ,9,Florabel Vinzons and Co. ,W/P Mar. 1-31 (Rehab of Daet-SLR Road) ,"1 7,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3426,10,"Jhonny Enova, Jr, and Co. ",W/P Mar. 1-31 (Rehab of Daet-SLR Road) ,"4 3,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3455 ,12,Jorita Garcia and Co. ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road) ,"1 4,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3423 ,14,Lemor Infante and Co. ,W/P Mar. 1-31 (Rehab of Daet-SLR Road) ,"3 6,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3480 ,15,Gernalyn Aposaga and Co. ,W/P Mar. 1-31 (Rehab of Daet-SLR Road) ,"3 2,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3479 ,16,Virgilio Espanol and Co. ,W/P Mar. 1-31 (Rehab of Daet-SLR Road)," 8 2,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3478 ,17,Randy Vibal and Co. ,W/P Mar. 1-31 (Rehab of Daet-SLR Road) ,"3 8,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3458 ,18,Elmer Barrameda and Co. ,W/P Mar. 1-31 (Rehab of Daet-SLR Road) ,"1 4,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3459 ,19,Joemel Tabernilla and Co. ,W/P Mar. 1-31 (Rehab of Daet-SLR Road) ,"1 2,450.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3461 ,20,Nikkel Martel Factor and Co. ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road) ,"3 0,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3467,21,Franklin Obina and Co. ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road) ,"3 1,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3456 ,22,Nelson Sarcilla ,W/P Feb. 1-28 (Talisay-Sta Cruz Road) ,"4 ,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3481 ,23,Edgar Ramos and Co. ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road) ,"1 9,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),4/5/2013,1304-3482 ,24,Joel Quilas ,W/P Feb. 1-28 (Talisay-Sta Cruz Road) ,"7 ,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3457 ,25,Juan Ferrer and Co. ,W/P Mar. 1-31 (Capalonga-Calabaca Road) ,"9 ,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3460,26,Ma. Salome Bertillo and Co. ,W/P Mar. 1-31 (Rehab of Daet-SLR Road) ,"1 7,653.13",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3514 ,27, Danilo Manlangit and Co., W/P Mar. 1-31 (Rehab of Daet-SLR Road) ,"3 8,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3502 ,28,Renato Sanchez and Co. ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road) ,"4 ,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3503 ,29,Leo de los Angeles ,W/P Mar. 1-31 (Rehab of Daet-SLR Road) ,"3 2,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),4/8/2013,1304-3507 ,30,Ruel Candelaria ,W/P Mar. 1-31 (Rehab of Daet-SLR Road) ,"4 7,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-2563 ,31,Aldrin Victoriano and Co. ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road)," 2 5,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3454 ,32,Austin Mago and Co. ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road) ,"1 4,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3565 ,33,Alfredo Oco and Co., W/P Mar. 1-31 (Rehab of Daet-San Vicente Road) ,"1 9,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3578 ,34,Roldan Lavina and Co ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road) ,"7 ,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),4/10/2013,1304-3580 ,35,April Rose Opamil and one ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road) ,"9 ,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3479 ,36,Virgilio Espanol and Co. ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road) ,"2 9,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3651 ,37,Aaron Joshua Pera and co. ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road)," 1 4,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3648 ,38,Elpidio Tenorio and co. ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road) ,"9 ,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3650 ,39,Erna Decena and co. ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road) ,"9 ,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3654 ,40,Andres Aldeza and co., W/P Mar. 1-31 (Rehab of Daet-San Vicente Road) ,"1 4,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3659 ,41,Ferdinand Mariano and co., W/P Mar. 1-31 (Rehab of Daet-San Vicente Road)," 2 3,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3652,42,MA. Christina Sullivan and co., W/P Mar. 1-31 (Rehab of Daet-San Vicente Road)," 9 ,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3655 ,43, Dante Francisco and co. ,W/P Mar. 1-31 (Rehab of Daet-SLR Road) ,"1 16,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3631 ,44,Luisa Blanca and co. ,W/P Mar. 1-31 (Rehab of Daet-SLR Road) ,"3 3,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3638,45,Aldrin Asis and co. ,W/P Mar. 1-31 (Rehab of Daet-SLR Road) ,"3 4,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3639 ,46,Marcelito Sureta, W/P Mar. 1-31 (Angas-Manguisoc Road)," 4 ,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3691 ,47,Vicente de Jesus and co. ,W/P Mar. 1-31 (Rehab of Daet-SLR Road) ,"1 9,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3568 ,48, Lorchivito Indias ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road) ,"5 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3564 ,49,Maritess Totanes ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road)," 4 ,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3566,50,Marlyn Delos Angeles ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road) ,"7 ,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3653 ,51,Rodolfo Echano and co. ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road)," 5 2,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3649 ,52,Wilson Zantua and co. ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road)," 1 4,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),4/11/2013,1304-3713 ,53,Rolando Ubana and co. ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road)," 7 4,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3714 ,54,Albert Mesa and co. ,W/P Mar. 1-31 (Rehab of Daet-SLR Road) ,"5 8,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3700 ,55, Manolo Mortiga and co. ,W/P Mar. 1-31 (Rehab of Daet-SLR Road) ,"6 8,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3702,56,Felix Ramores and co. ,W/P Mar. 1-31 (Rehab of Daet-SLR Road) ,"1 4,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3701 ,61, Mylene Bulawan and one ,W/P Mar. 1-31 (Rehab of Daet-SLR Road) ,"9 ,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3703 ,62, Efren Abrera and co. ,W/P Mar. 1-31 (Rehab of Daet-SLR Road)," 6 1,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3715 ,63,Kenneth Talain and co. ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road) ,"9 ,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3773 ,71,Rio Calong and co. ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road) ,"5 2,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),4/15/2013,1303-2699 ,72,Daet Supershell Service Station ,PO#13030624-fuel (Rehab Daet-SLR Road) ,"7 8,749.98",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-2480,73,NBB Trading and Contractual Services ,PO#13030597-materials (Rehab of Daet-SLR Road) ,"9 25,960.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1303-2378 ,74,NBB Trading and Contractual Services ,PO#13030585-materials (Rehab of Angas-Manguisoc Road) ,"6 42,380.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3757,75,Leonel Brilliantes and Co. ,W/P Mar. 1-31 (Rehab of Daet-SLR Road) ,"4 ,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3792,76,Nova Jerez ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road) ,"7 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3810 ,85,Dan John Legaspi and Co. ,W/P Mar. 1-31 (Rehab of Daet-SLR Road) ,"1 4,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3804,87,Noe Balane and Co. ,W/P Mar. 1-31 (Rehab of Daet-SLR Road) ,"1 9,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),4/16/2013,1303-3104 ,88,Daet Supershell Service Station ,PO#13030713-fuel (Daet-San Vicente Road) ,"5 5,124.76",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),4/18/2013,1304-3965 ,96,Lourd Francis Villamor and Co. ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road) ,"4 3,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-3966 ,97,Apolinar Lotik ,W/P Mar. 1-31 (Rehab of Daet-SLR Road) ,"4 ,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),4/22/2013,1304-3989 ,99,Rhoda Mia Paulo ,PO#13030713-fuel (Daet-San Vicente Road) ,"4 ,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),4/23/2013,1304-4102 ,101,Jake Anacin and Co. ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road) ,"1 4,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1304-4103 ,102,Fidel Bares ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road) ,"4 ,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),4/30/2013,1304-4282 ,118,Richard Loria and Co. ,W/P Mar. 1-31 (Rehab of Daet-San Vicente Road) ,"1 4,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1303-3103 ,122,NBB Trading and Contractual Services ,PO#13030715-asphalt (Daet-San Vicente Road) ,"6 92,685.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),5/3/2013,1305-4422 ,2,Jan Rave Polintan ,W/P Apr. 1-30 (Talisay-San Jose Road) ,"5 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4423 ,3,Remalyn Brusola and Co. ,W/P Apr. 1-30 (Daet-San Vicente Road)," 4 ,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4494 ,4,Danilo Libertes and Co. ,W/P Apr. 1-30 (Daet-San Vicente Road) ,"7 3,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),5/8/2013,1305-4572 ,9,Wilmer Lacson and Co. ,W/P Apr. 1-30 (Daet-San Vicente Road) ,"5 2,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4606,10,Randy Vibal and Co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road)) ,"4 5,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4605 ,11,Leo delos Angeles and Co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road) ,"3 0,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4610 ,12,April Rose Opamil and Co. ,W/P Apr. 1-30 (Labo-Contod-Vinzons-Crucero Road) ,"1 0,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4609 ,13,Rhoda Mia Paulo ,W/P Apr. 1-30 (Labo-Contod-Vinzons-Crucero Road) ,"5 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4621 ,14,Solina Abejero and Co. ,W/P Apr. 1-30 (Daet-San Vicente Road) ,"1 04,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4626 ,16,Gernalyn Aposaga and Co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road) ,"3 5,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4629 ,17,Renato Sachez ,W/P Apr. 1-30 (Labo-Contod-Vinzons-Crucero Road) ,"5 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4658 ,18,Rio Winzer Abanes and Co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road)) ,"1 10,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4661 ,19,Edgar Ramos and Co. ,W/P Apr. 1-30 (Daet-San Vicente Road) ,"2 3,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4362 ,20,Florabel Vinzons and Co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road)) ,"1 7,714.07",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4634 ,21,Danilo Manlangit and Co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road)) ,"4 2,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4633 ,22,Ma. Salome Bertillo and Co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road)) ,"2 0,515.71",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4631 ,23,Ruel Candelaria and Co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road)) ,"5 2,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4630 ,24,Aldrin Victoriano and Co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road)) ,"2 7,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4623 ,25,Lourd Francis Villamor and Co. ,W/P Apr. 1-30 (Daet-San Vicente Road) ,"4 2,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4657 ,26,Nikkel Martel Factor and Co. ,W/P Apr. 1-30 (Daet-San Vicente Road) ,"3 0,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4662 ,27,Ferdinand Mariano and Co. ,W/P Apr. 1-30 (Daet-San Vicente Road) ,"1 5,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4628 ,28, Juan Ferrer and Co. ,W/P Apr. 1-30 (Talisay-San Jose Road) ,"1 0,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4627 ,29,Felix Ramores and Co. ,W/P Apr. 1-30 (Rehab of Daet-SLR Road) ,"1 5,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),5/9/2013,1305-4659 ,30,"Jhonny Enova, Jr. and Co. ",W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road)) ,"4 5,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4660 ,31,Joemel Tabernilla and Co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road)) ,"1 5,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4685 ,32,Efren Abrera and Co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road)) ,"6 7,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4687 ,33,Dante Francisco and Co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road)) ,"1 19,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4686 ,34,Virgilio Espanol and Co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road)) ,"8 3,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4689 ,35,Jorita Garcia and Co. ,W/P Apr. 1-30 (Daet-San Vicente Road) ,"1 5,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4688 ,36,Franklin Obina and Co. ,W/P Apr. 1-30 (Daet-San Vicente Road) ,"3 3,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4620 ,37,Rodel Paquita and Co. ,W/P Apr. 1-30 (Daet-San Vicente Road) ,"3 0,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4691 ,38,Apolinar Lotik ,W/P Apr. 1-30 (Labo-Contod-Vinzons-Crucero Road)," 7 ,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4622 ,39,Rodolfo Echano and Co. ,W/P Apr. 1-30 (Labo-Contod-Vinzons-Crucero Road) ,"5 2,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4706 ,40,Aldrin Asis and Co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road)) ,"3 6,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4702,41,Luisa Blanca and Co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road),"3 6,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4684 ,42,Noe Balane and Co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road)," 7 ,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4690 ,43,Mylene Bulawan ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road),"5 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4693 ,44,Lorvichito Indias ,W/P Apr. 1-30 (Labo-Contod-Vinzons-Crucero Road) ,"5 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4711 ,45,Albert Mesa and Co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road),"6 0,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),5/10/2013,1305-4762 ,46,Rommil del Moro ,W/P Mar. 1-31 (Daet-San Vicente Road) ,"7 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4763 ,47,Rommil del Moro ,W/P Apr. 1-30 (Labo-Contod-Vinzons-Crucero Road) ,"7 ,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4720 ,48,Rolando Ubana and Co. ,W/P Apr. 1-30 (Labo-Contod-Vinzons-Crucero Road) ,"7 4,750.00",-
