Loan_ID,Loan_Title,Fund_Source,Loan_Type,IA,Fund_Source,Loan_Type,IA,Region,BD_NBD,Sector,Subsector,Subsubsector,Main_Region,Region,MultiRegion,Fin_Year_ID,AllFinInfo_LoanID,Reporting_Date,MaxReport_Date,1QA,2QA,3QA,4QA,Cumulative_Actual_Disbursement,1QT,2QT,3QT,4QT,Cumulative_Target_Disbursement,1C,2C,3C,4C,Cumulative_Cancellations_Year,Undisbursed_Amount_Prev,Loan_Balance,Disbursement_Rate,Cumulativ_Actual_Disbursement,Cumulative_Target_Disbursement,Loan_Amount,Net_Commitment,Availment_Rate,Backlog_Amount,Cumulative_Cancellation,Disbursement_Ratio,Loan_Signing_Date,Loan_Closing_Date,Revised_Closing_Date,Max_Closing_Date,Loan_Effectivity_Date,Length_In_Years,Age_In_Years,Delay_In_Years,Time_Elapsed,Utilization_Rate,Balance,TE-UR,Loan_Status
2137-PHI,Health Sector Development Project,FALSE,FALSE,ADB,ADB,Project,DOH,NGA,TRUE,Social Reform and Community Development,"Health, Population and Nutrition","Health, Population and Nutrition",LUZON,Luzon Wide,"I, II, IV",1048,2137-PHI,12/31/09,6/30/13,0.02,0.21,0.52,3.05,3.80,0.24,1.40,1.64,1.53,4.80,0.00,0.00,0.00,0.00,0.00,10.99,10.99,79.15%,5.81,10.92,13.00,13.00,53.23%,5.11,0.00,34.59%,1/10/05,12/31/11,5/16/13,5/16/13,1/12/05,8.35,4.97,-3.38,59.55%,44.72%,7.19,14.83%,Ongoing
2186-PHI,Small and Medium Enterprise Development Support Project,FALSE,FALSE,ADB,ADB,Project,SB Corp,GFI,FALSE,"Industry, Trade and Tourism","Industry, Trade and Tourism",,NATIONWIDE,Nationwide,Nationwide,1053,2186-PHI,12/31/09,12/31/09,3.81,0.00,0.00,0.00,3.81,0.95,0.95,0.00,0.00,1.89,0.00,0.00,0.00,0.00,0.00,3.47,3.47,201.22%,24.80,24.80,24.80,24.80,100.00%,0.00,0.00,109.68%,12/16/05,4/30/11,2/13/09,2/13/09,2/28/06,2.96,3.84,0.88,129.69%,100.00%,0.00,29.69%,Closed
2282-PHI,Power Sector Development Program Cluster,FALSE,FALSE,ADB,ADB,Program,DOE,NGA,FALSE,Infrastructure,"Energy, Power and Electrification",,NATIONWIDE,Nationwide,Nationwide,1049,2282-PHI,12/31/09,12/31/09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,450.00,450.00,450.00,450.00,100.00%,0.00,0.00,0.00%,12/11/06,6/30/09,,6/30/09,12/19/06,2.53,3.04,0.50,119.91%,100.00%,0.00,19.91%,Closed
2311-PHI,Integrated Coastal Resources Management Project,FALSE,FALSE,ADB,ADB,Project,DENR,NGA,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Environment and Natural Resources,,MULTI-REGIONAL,Multi-Regional,"II,III,  V, VII, XI",1050,2311-PHI,12/31/09,6/30/13,0.08,0.12,0.00,0.30,0.51,1.31,1.39,1.60,1.30,5.60,0.00,0.00,0.00,0.00,0.00,33.10,33.10,9.03%,1.20,14.53,33.80,33.80,8.27%,13.33,0.00,1.53%,3/28/07,6/30/13,6/30/14,6/30/14,6/29/07,7.01,2.51,-4.50,35.81%,3.56%,32.60,32.25%,Ongoing
2465-PHI,Agrarian Reform Communities Project II,FALSE,FALSE,ADB,ADB,Project,DAR,NGA,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,,MULTI-REGIONAL,Multi-Regional,"I,II,IV-A,VII,IX,X,XI",1051,2465-PHI,12/31/09,6/30/13,0.00,0.53,0.00,0.06,0.59,0.00,4.40,5.30,5.50,15.20,0.00,0.00,0.00,0.00,0.00,70.00,70.00,3.85%,0.59,4.20,70.00,70.00,13.93%,3.62,0.00,0.84%,12/8/08,6/30/15,,6/30/15,3/4/09,6.33,0.83,-5.50,13.08%,0.84%,69.42,12.24%,Ongoing
2489-PHI,Governance in Justice Sector Reform Program (Subprogram I),FALSE,FALSE,ADB,ADB,Program,SC,NGA,TRUE,Governance and Institutions Development,Administrative Governance,,LUZON,NCR,NCR,1052,2489-PHI,12/31/09,12/31/09,150.00,0.00,0.00,150.00,300.00,150.00,0.00,0.00,150.00,300.00,0.00,0.00,0.00,0.00,0.00,300.00,300.00,100.00%,300.00,300.00,300.00,300.00,100.00%,0.00,0.00,100.00%,12/18/08,2/28/10,,2/28/10,2/10/09,1.05,0.89,-0.16,84.60%,100.00%,0.00,-15.40%,Ongoing
2507-PHI,Philippine Energy Efficiency Project,FALSE,FALSE,ADB,ADB,Project,DOE,NGA,TRUE,Infrastructure,"Energy, Power and Electrification",,NATIONWIDE,Nationwide,,1104,2507-PHI,12/31/09,6/30/13,0.00,0.00,2.58,1.43,4.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.10,31.10,0.00%,4.01,7.78,31.10,31.10,51.58%,3.77,0.00,12.89%,3/2/09,10/31/11,12/31/13,12/31/13,5/28/09,4.60,0.60,-4.00,12.93%,12.89%,27.09,0.04%,Ongoing
2515-PHI,Credit for Better Health Care Project,FALSE,FALSE,ADB,ADB,Project,DBP,GFI,FALSE,Social Reform and Community Development,"Health, Population and Nutrition",,NATIONWIDE,Nationwide,Nationwide except NCR,1105,2515-PHI,12/31/09,6/30/13,0.00,0.00,0.00,0.90,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.90,2.99,50.18,50.18,30.07%,2.09,0.00,0.00%,4/27/09,8/19/15,,8/19/15,8/19/09,6.00,0.37,-5.64,6.12%,1.79%,49.28,4.33%,Ongoing
2545-PHI,Development Policy Support Program-Subprogram III,FALSE,FALSE,ADB,ADB,Program,DOF,GFI,FALSE,Governance and Institutions Development,Economic Governance,,NATIONWIDE,Nationwide,,1110,2545-PHI,12/31/09,12/31/09,0.00,0.00,0.00,250.00,250.00,0.00,0.00,0.00,250.00,250.00,0.00,0.00,0.00,0.00,0.00,250.00,250.00,100.00%,250.00,250.00,250.00,250.00,100.00%,0.00,0.00,100.00%,9/16/09,12/31/09,,12/31/09,10/6/09,0.24,0.24,0.00,100.00%,100.00%,0.00,0.00%,Closed
2584-PHI,Local Government Financing and Budget Reform Program - Subprogram 2,FALSE,FALSE,ADB,ADB,Program,DOF,NGA,FALSE,Governance and Institutions Development,Economic Governance,,NATIONWIDE,Nationwide,,1114,2584-PHI,12/31/09,12/31/10,0.00,0.00,0.00,225.00,225.00,0.00,0.00,0.00,225.00,225.00,0.00,0.00,0.00,0.00,0.00,225.00,225.00,100.00%,225.00,225.00,225.00,225.00,100.00%,0.00,0.00,100.00%,12/8/09,3/31/10,,3/31/10,12/28/09,0.26,0.01,-0.25,3.23%,100.00%,0.00,-96.77%,Newly Effective
749-PH,Second Cordillera Highland Agricultural Resource Management Project,FALSE,FALSE,OTHERS,IFAD,Project,DA,NGA,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,,LUZON,CAR,CAR,1078,749-PH,12/31/09,6/30/13,0.00,0.00,1.50,0.00,1.50,0.00,0.53,0.88,0.75,2.16,0.00,0.00,0.00,0.00,0.00,26.60,26.60,69.44%,1.50,1.06,26.60,26.60,141.51%,-0.44,0.00,5.64%,6/4/08,6/30/16,,6/30/16,11/14/08,7.63,1.13,-6.50,14.79%,5.64%,25.10,9.15%,Ongoing
767-PH,Rapid Food Production Enhancement Programme,FALSE,FALSE,Others,IFAD,Program,DA,NGA,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,,MULTI-REGIONAL,Multi-Regional,"V,VI,VIII,X",1121,767-PH,12/31/09,6/30/13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.90,0.00%,0.00,0.00,15.90,15.90,0.00%,0.00,0.00,0.00%,9/2/09,6/30/17,,6/30/17,11/9/09,7.64,0.14,-7.50,1.86%,0.00%,15.90,1.86%,Newly Effective
A-200165951,Credit Line for Solid Waste Management Project,FALSE,FALSE,OTHERS,Germany,Project,DBP,GFI,FALSE,Infrastructure,Social Infrastructure,Solid Waste Management,NATIONWIDE,Nationwide,Nationwide,990,A-200165951,12/31/09,12/31/10,1.22,0.69,0.09,2.04,4.05,1.25,1.05,0.67,0.00,2.97,0.00,0.00,0.00,0.00,0.00,9.55,9.55,136.23%,18.29,19.19,23.64,23.64,95.34%,0.89,0.00,42.36%,12/30/03,12/30/07,12/31/10,12/31/10,3/30/04,6.76,5.76,-1.00,85.20%,77.38%,5.35,7.82%,Ongoing
A-200565887,Local Government Units Investment Programme,FALSE,FALSE,OTHERS,Germany,Project,LBP,GFI,FALSE,Infrastructure,Urban Infrastructure,,NATIONWIDE,Nationwide,Nationwide,1079,A-200565887,12/31/09,12/31/11,3.70,0.00,2.47,0.00,6.17,3.71,2.08,0.85,0.00,6.64,0.00,0.00,0.00,0.00,0.00,2.43,2.43,92.91%,24.42,24.56,28.22,28.22,99.41%,0.14,0.00,254.08%,12/20/05,12/30/10,,12/30/10,9/5/06,4.32,3.32,-1.00,76.92%,86.52%,3.80,-9.60%,Ongoing
A-200665109,Health Sector Reform Project,TRUE,TRUE,OTHERS,Germany,Project,DOH,NGA,TRUE,Social Reform and Community Development,"Health, Population and Nutrition",,NATIONWIDE,Nationwide,,1080,A-200665109,12/31/09,6/30/13,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.76,15.76,0.00%,0.04,6.15,14.30,14.30,0.66%,6.11,0.00,0.26%,12/20/07,12/31/11,12/31/14,12/31/14,6/27/08,6.52,1.51,-5.00,23.21%,0.28%,14.26,22.93%,Ongoing
AI-2001 65 951,Credit Line for Energy Efficiency and Climate Protection in the Philippines (CLEECP),FALSE,FALSE,OTHERS,Germany,Project,LBP,GFI,FALSE,Infrastructure,"Energy, Power and Electrification",,NATIONWIDE,Nationwide,,1118,AI-2001 65 951,12/31/09,6/30/13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.52,13.52,0.00%,0.00,0.14,13.52,13.52,0.00%,0.14,0.00,0.00%,12/24/08,12/31/12,12/31/13,12/31/13,11/23/09,4.11,0.10,-4.00,2.54%,0.00%,13.52,2.54%,Newly Effective
Austria-6,DPWH Bridge Construction Acceleration Project for Calamity-Stricken Areas,FALSE,FALSE,OTHERS,Austria,Project,DPWH,NGA,TRUE,Infrastructure,Transportation,,LUZON,Luzon Wide,"Ilocos Sur, Cagayan, Nueva Ecija, Quezon, Palawan",1081,Austria-6,12/31/09,12/31/11,13.53,0.00,2.42,0.34,16.29,2.65,14.28,1.90,0.00,18.83,0.00,0.00,0.00,0.00,0.00,27.31,27.31,86.51%,21.75,18.83,32.77,32.77,115.51%,-2.92,0.00,59.65%,4/18/08,4/18/11,11/30/11,11/30/11,6/24/08,3.44,1.52,-1.92,44.26%,66.37%,11.02,-22.11%,Ongoing
Belgian-1,"LRT Line 1 Rehabilitation II, Modernization II",FALSE,FALSE,OTHERS,Belguim,Project,LRTA,GOCC,FALSE,Infrastructure,Transportation,Railways,LUZON,NCR,NCR,1102,Belgian-1,12/31/09,12/31/09,0.00,0.45,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.02,3.02,0.00%,17.32,17.32,17.32,17.32,100.00%,0.00,0.00,14.90%,8/4/04,2/24/08,2/28/09,2/28/09,12/14/04,4.21,5.05,0.84,119.91%,100.00%,0.00,19.91%,Closed
Belgian-2,Pasig River Dredging Project,FALSE,FALSE,OTHERS,Belgium,Project,PRRC,NGA,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Environment and Natural Resources,,LUZON,NCR,,1117,Belgian-2,12/31/09,12/31/10,0.00,0.00,8.01,23.88,31.89,0.00,3.19,19.43,22.66,45.28,0.00,0.00,0.00,0.00,0.00,104.54,104.54,70.43%,31.89,45.28,104.54,104.54,70.44%,13.39,0.00,30.50%,11/11/08,12/15/10,,12/15/10,4/30/09,1.63,0.67,-0.96,41.25%,30.51%,72.65,10.74%,Ongoing
BLA-04055,NorthRail Project Phase 1 Section 1,FALSE,FALSE,China,China,Project,NLRC,GOCC,FALSE,Infrastructure,Transportation,Rail,LUZON,NCR,NCR,1082,BLA-04055,12/31/09,12/31/12,0.00,0.00,0.00,0.00,0.00,25.67,18.82,22.15,8.03,74.67,0.00,0.00,0.00,0.00,0.00,272.40,272.40,0.00%,127.60,182.08,400.00,400.00,70.08%,54.48,0.00,0.00%,2/26/04,9/13/09,12/31/12,12/31/12,9/13/04,8.30,5.30,-3.00,63.84%,31.90%,272.40,31.94%,Ongoing
BMZ-200165969,"Micro, Small and Medium Enterprise Program",FALSE,FALSE,OTHERS,Germany,Project,SB Corp,GFI,FALSE,"Industry, Trade and Tourism","Industry, Trade and Tourism",,NATIONWIDE,Nationwide,Nationwide,1083,BMZ-200165969,12/31/09,12/31/10,0.50,0.00,0.00,0.47,0.97,0.70,0.00,0.70,0.00,1.39,0.00,0.00,0.00,0.00,0.00,11.82,11.82,69.80%,7.00,11.99,17.53,17.53,58.43%,4.98,0.00,8.23%,12/21/05,12/30/08,12/30/10,12/30/10,8/25/06,4.35,3.35,-1.00,77.08%,39.95%,10.53,37.13%,Ongoing
BNP-1,Restoration/Rehabilitation of Waterways in Selected River Basins Nationwide Phase I Project,FALSE,FALSE,OTHERS,Finland,Project,DPWH,NGA,TRUE,Infrastructure,Water Resources,Flood Control and Mitigation,NATIONWIDE,Nationwide,"Pangasinan, Oriental and Occidental Mindoro",1084,BNP-1,12/31/09,12/31/09,2.08,0.21,2.96,0.00,5.24,1.66,0.13,0.00,0.00,1.79,0.00,0.00,0.00,0.00,0.00,5.26,5.26,292.74%,7.67,7.67,7.67,7.67,100.00%,0.00,0.00,99.62%,11/27/07,8/15/09,,8/15/09,3/2/08,1.46,1.83,0.38,125.99%,100.00%,0.00,25.99%,Closed
CHI-1,Banaoang Pump Irrigation Project,FALSE,FALSE,China,China,Project,NIA,NGA,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,Irrigation,LUZON,I,I,1085,CHI-1,12/31/09,12/31/11,0.00,0.00,0.00,9.30,9.30,0.00,3.80,3.98,0.00,7.78,0.00,0.00,0.00,0.00,0.00,12.06,12.06,119.45%,26.17,35.00,35.00,35.00,74.77%,8.83,0.00,77.10%,10/31/01,6/27/08,12/31/11,12/31/11,6/27/02,9.52,7.52,-2.00,78.99%,74.77%,8.83,4.22%,Ongoing
CHI-2,General Santos Fishing Port Complex Expansion/Improvement Project,FALSE,FALSE,China,China,Project,DA,NGA,TRUE,Infrastructure,Transportation,Ports,MINDANAO,XI,XI,947,CHI-2,12/31/09,12/31/09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00%,24.98,24.99,24.99,24.99,99.98%,0.01,0.00,0.00%,12/20/02,3/15/09,,3/15/09,3/15/03,6.01,6.80,0.80,113.28%,99.98%,0.01,13.30%,Closed
CHI-5,"Northrail Project Phase I, Section II",FALSE,FALSE,China,China,Project,NLRC,GOCC,FALSE,Infrastructure,Transportation,Rail,LUZON,NCR,NCR,987,CHI-5,12/31/09,12/31/12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,500.00,500.00,0.00%,0.00,0.00,0.00%,1/15/07,,,,,0.00,0.00,0.00,0.00%,0.00%,500.00,0.00%,Newly Signed
CHI-6,Agno River Integrated Irrigation Project,FALSE,FALSE,China,China,Project,NIA,NGA,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,Irrigation,LUZON,I,I,1210,CHI-6,12/31/09,6/30/13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,89.15,89.15,0.00%,0.00,0.00,0.00%,11/9/09,12/31/13,,12/31/13,2/1/10,3.92,-0.09,-4.00,-2.24%,0.00%,89.15,-2.24%,Newly Signed
France B150A1,Philippine Rural Electrification Service Project (PRES),FALSE,FALSE,OTHERS,France,Project,NPC,GOCC,FALSE,Infrastructure,"Energy, Power and Electrification",,LUZON,V,Masbate,1076,France B150A1,12/31/09,12/31/10,2.16,0.52,0.82,0.75,4.24,0.63,1.04,2.97,0.00,4.64,0.00,0.00,0.00,0.00,0.00,3.17,3.17,91.36%,21.03,22.94,22.94,22.94,91.69%,1.91,0.00,133.97%,10/4/06,6/30/08,5/15/10,5/15/10,10/4/06,3.61,3.24,-0.37,89.76%,91.69%,1.91,-1.93%,Ongoing
FRANCE-1,Mega Bridges for Urban and Rural Development,FALSE,FALSE,OTHERS,France,Project,DPWH,NGA,TRUE,Infrastructure,Transportation,,NATIONWIDE,Nationwide,,1086,FRANCE-1,12/31/09,6/30/13,0.00,12.70,15.57,17.43,45.70,0.00,19.87,9.87,0.00,29.73,0.00,0.00,0.00,0.00,0.00,200.00,200.00,153.70%,45.70,50.00,200.00,200.00,91.40%,4.30,0.00,22.85%,9/4/08,9/29/12,9/29/13,9/29/13,10/29/08,4.92,1.17,-3.75,23.83%,22.85%,154.30,0.98%,Ongoing
FRANCE-2,Tulay ng Pangulo Para sa Kaunlarang Pang-agraryo Project,FALSE,FALSE,OTHERS,FRANCE,Project,DAR,NGA,TRUE,Infrastructure,Social Infrastructure,,NATIONWIDE,Nationwide,Nationwide,1099,FRANCE-2,12/31/09,6/30/13,11.82,0.00,0.00,0.00,11.82,15.73,0.00,0.00,0.00,15.73,0.00,0.00,0.00,0.00,0.00,16.51,16.51,75.13%,55.09,33.93,339.29,339.29,162.37%,-21.16,0.00,71.59%,12/24/08,12/31/12,3/19/14,3/19/14,3/19/09,5.00,0.79,-4.22,15.72%,16.24%,284.19,-0.52%,Ongoing
FRANCE-3,Greater Modular Access (GMA) RoRo Ports,FALSE,FALSE,Others,France,Project,DOTC,NGA,TRUE,Infrastructure,Transportation,,NATIONWIDE,Nationwide,,1211,FRANCE-3,12/31/09,6/30/13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,204.90,204.90,0.00%,0.00,0.00,0.00%,8/26/09,11/23/12,,11/23/12,11/1/09,3.06,0.16,-2.90,5.37%,0.00%,204.90,5.37%,Newly Signed
G1/G3219588/1,Development of Centers of Excellence in Modern Manufacturing,FALSE,FALSE,OTHERS,Austria,Project,TESDA,NGA,TRUE,Social Reform and Community Development,Education and Manpower Development,Education,MULTI-REGIONAL,Multi-Regional,"NCR, CAR, IV,VII,X,XI",1087,G1/G3219588/1,12/31/09,12/31/09,0.00,0.12,0.00,0.00,0.12,2.32,0.12,0.00,0.00,2.44,0.00,0.00,0.00,0.00,0.00,1.51,1.51,4.92%,13.76,15.15,15.15,15.15,90.81%,1.39,0.00,7.93%,2/28/02,5/30/05,5/17/09,5/17/09,5/30/02,6.97,7.60,0.63,108.96%,90.81%,1.39,18.15%,Closed
IFAD 577-PH,Northern Mindanao Community Initiative and Resource Management,TRUE,FALSE,OTHERS,IFAD,Project,DAR,NGA,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,Support Services,MINDANAO,Multi-Regional,"X, CARAGA",1088,IFAD 577-PH,12/31/09,12/31/09,0.96,0.86,0.58,0.00,2.40,0.20,0.31,0.37,0.23,1.11,0.00,0.00,0.00,0.00,0.00,3.14,3.14,216.22%,14.03,14.77,14.77,14.77,94.99%,0.74,0.00,76.53%,4/8/02,4/1/08,12/31/09,12/31/09,4/1/03,6.76,6.76,0.00,100.00%,95.00%,0.74,5.00%,Closed
