function,program,project,account_code,appropriations,allotments,obligations,balances_of_appropriations,balances_of_allotments
Maintenance and other operating Expenses 2012 20% Development Fund,Sustaining Socio - Economic and Environmental Development Thru Good Governance,-,751-969,800000,800000,0,0,800000
Maintenance and other operating Expenses 2012 20% Development Fund,Agricultural Development Program,-,751-969,3450000,3450000,-,0,1009097.8
Maintenance and other operating Expenses 2012 20% Development Fund,Agricultural Development Program,Training Expenses,753,-,-,10000,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Agricultural Development Program,Office Supplies Expenses,755,-,-,2161.8,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Agricultural Development Program,"Gasoline, Oil and Lubricants Expenses",761,-,-,113440,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Agricultural Development Program,Agricultural Supplies Expenses,762,-,-,911225,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Agricultural Development Program,Other Supplies Expenses,765,-,-,95268.4,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Agricultural Development Program,General Services,795,-,-,61230,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Agricultural Development Program,Representation Expenses,783,-,-,35000,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Agricultural Development Program,Repairs and Maintenance- Other Public Infrastructure,860,-,-,162352,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Agricultural Development Program,Subsidy to Non- Government Organizations,876,-,-,655225,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Agricultural Development Program,Other Maintenance and Operating Expenses,969,-,-,395000,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,-,751-969,300000,300000,-,0,2271.99
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,"Gasoline, Oil and Lubricants Expenses",761,-,-,52679,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Other Supplies Expenses,765,-,-,14155,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Telephone Expenses- Landline,772,-,-,1100,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Internet Expenses,774,-,-,1200,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Rent Expenses,782,-,-,9920,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Representation Expenses,783,-,-,156834.01,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Repairs and Maintenance- Motor Vehicle,841,-,-,9840,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Subsidy to Non- Government Organizations,876,-,-,50000,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Other Maintenance and Operating Expenses,969,-,-,2000,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Livelihood and Job Generation Program,-,751-969,350000,350000,-,0,286084.4
Maintenance and other operating Expenses 2012 20% Development Fund,Livelihood and Job Generation Program,Rent Expenses,782,-,-,2800,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Livelihood and Job Generation Program,Representation Expenses,783,-,-,57075.6,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Livelihood and Job Generation Program,Other Maintenance and Operating Expenses,969,-,-,4040,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Roads Repairs and Maintenance Program,-,751-969,1789000,1789000,-,0,0.8
Maintenance and other operating Expenses 2012 20% Development Fund,Roads Repairs and Maintenance Program,"Roads, Highways and Bridges",851,-,-,1788999.2,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Updating of CLUP and Zoning Ordinance,-,751-969,500000,500000,0,0,500000
Maintenance and other operating Expenses 2012 20% Development Fund,Waste Management Program,-,751-969,9450000,9450000,-,0,0
Maintenance and other operating Expenses 2012 20% Development Fund,Waste Management Program,"Gasoline, Oil and Lubricants Expenses",761,-,-,9450000,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Housing and Community Development Program,-,751-969,160500,160500,-,0,0
Maintenance and other operating Expenses 2012 20% Development Fund,Housing and Community Development Program,Survey Expenses,787,-,-,160500,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Urban Greening and Development Program,-,751-969,0,0,0,0,0
Total Maintenance and Other Operating Expenses, -,-,-,21864000,21864000,18369268.19,0,3494731.81
Financial Expenses,Debt Service - Financial Expenses,"Principal, Interest Expenses and Other Charges",751-969,2600000,2600000,-,0,1737487.84
Financial Expenses,Debt Service - Financial Expenses,Internet Expenses,975,-,-,839632.18,-,-
Financial Expenses,Debt Service - Financial Expenses,Other Financial Charges,979,-,-,22879.98,-,-
Total Financial Expenses,Debt Service - Financial Expenses,-,-,2600000,2600000,862512.16,0,1737487.84
Capital Outlay- 2012 20% Development Fund,Debt Service - Financial Expenses,"Land and Land Improvements, Building, Machineries Equipment and Public Infrastructures",201-260,6881000,6881000,-,0,4257149.43
Capital Outlay- 2012 20% Development Fund,Debt Service - Financial Expenses,"Land and Land Improvements, Building, Machineries Equipment and Public Infrastructures- Construction and Heavy Equipment",230,-,-,2623850.57,-,-
Capital Outlay- 2012 20% Development Fund,Housing and Community Development Program,-,201-260,4339500,4339500,-,0,3139500
Capital Outlay- 2012 20% Development Fund,Housing and Community Development Program,"Roads, Highways and Bridges",251,-,-,1200000,-,-
Capital Outlay- 2012 20% Development Fund,Health Services Improvement Program,-,201-260,2200000,2200000,0,0,2200000
Capital Outlay- 2012 20% Development Fund,Social Welfare Services Program,-,201-260,525000,525000,-,0,54600
Capital Outlay- 2012 20% Development Fund,Social Welfare Services Program,Other Structures,215,-,-,250000,-,-
Capital Outlay- 2012 20% Development Fund,Social Welfare Services Program,Office Equipment,221,-,-,220400,-,-
Capital Outlay- 2012 20% Development Fund,Public Safety and Protection Program ,-,201-260,1350000,1350000,-,0,0
Capital Outlay- 2012 20% Development Fund,Public Safety and Protection Program ,Other Equipment,240,-,-,1350000,-,-
Capital Outlay- 2012 20% Development Fund,Public Infrastucture Development Program,-,201-260,2500000,2500000,-,0,562469
Capital Outlay- 2012 20% Development Fund,Public Infrastucture Development Program,"Roads, Highways and Bridges",251,-,-,1500000,-,-
Capital Outlay- 2012 20% Development Fund,Public Infrastucture Development Program,Canals and Laterals,255,-,-,437531,-,-
Capital Outlay- 2012 20% Development Fund,Agriculture Development Program,-,201-260,4200000,4200000,-,0,3815000
Capital Outlay- 2012 20% Development Fund,Agriculture Development Program,Artesian Wells,254,-,-,385000,-,-
Capital Outlay- 2012 20% Development Fund,Investment Promotion and Tourism Development Program,-,201-260,3500000,3500000,-,0,3142950
Capital Outlay- 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Office Buildings,211,-,-,93000,-,-
Capital Outlay- 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Office Equipment,221,-,-,57200,-,-
Capital Outlay- 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Furniture and Fixtures,222,-,-,131850,-,-
Capital Outlay- 2012 20% Development Fund,Investment Promotion and Tourism Development Program,IT Equipment and Software,223,-,-,75000,-,-
Capital Outlay- 2012 20% Development Fund,"Information, Computezation Technology, Development Program",-,201-260,1000000,1000000,-,0,1000000
Capital Outlay- 2012 20% Development Fund,"Information, Computezation Technology, Development Program",IT Equipment and Software,223,-,-,0,-,-
Capital Outlay- 2012 20% Development Fund,Roads Construction Program,-,201-260,3500000,3500000,-,0,0
Capital Outlay- 2012 20% Development Fund,Roads Construction Program,"Roads, Highways and Bridges",251,-,-,3500000,-,-
Capital Outlay- 2012 20% Development Fund,Waste Management Program,-,201-260,2500000,2500000,0,0,2500000
Capital Outlay- 2012 20% Development Fund,Urban Poor Amelioration Program,-,201-260,240500,240500,-,0,50000
Capital Outlay- 2012 20% Development Fund,Urban Poor Amelioration Program,Land,201,-,-,190500,-,-
Capital Outlay- 2012 20% Development Fund,Renovation of Information Center,-,201-260,127865.5,127865.5,0,0,127865.5
Total Capital Outlay, -,-,-,32863865.5,32863865.5,12014331.57,0,20849533.93
Grand Total, -,-,-,57327865.5,57327865.5,31246111.92,0,26081753.58
