function,program,project,account_code,appropriations,allotments,obligations,balances_of_appropriations,balances_of_allotments
Maintenance and other operating Expenses 2012 20% Development Fund,Agiricultural Development Program,Other Maintenance and Operating Expenses,969,-,-,35000,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,-,751-969,300000,300000,-,0,52271.99
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,"Gasoline, Oil and Lubricants Expenses",761,-,-,52679,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,OtherS uppliesE xpenses,765,-,-,14155,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Telephone Expenses-Landline,772,-,-,1100,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Intemet Expenses,774,-,-,1200,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Rent Expenses,782,-,-,9920,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Representation Expenses,783,-,-,156834.01,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Repairs and Maintenance Motor Vehicle,841,-,-,9840,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Other Maintenance and Operating Expenses,969,-,-,2000,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Livelihood and Job Generation Program,-,751-969,350000,175000,-,175000,102584.4
Maintenance and other operating Expenses 2012 20% Development Fund,Livelihood and Job Generation Program,Other Supplies Expenses,765,-,-,0,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Livelihood and Job Generation Program,Rent Expenses,782,-,-,2800,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Livelihood and Job Generation Program,Representation Expenses,783,-,-,65575.6,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Livelihood and Job Generation Program,Other Maintenance and Operating Expenses,969,-,-,4040,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Roads Repairs and Maintenance Program,-,751-969,1500000,750000,-,750000,0
Maintenance and other operating Expenses 2012 20% Development Fund,Roads Repairs and Maintenance Program,"Roads, Highways and Bridges",851,-,-,750000,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Updating of CLUP and Zoning Ordinance,-,751-969,500000,250000,0,250000,250000
Maintenance and other operating Expenses 2012 20% Development Fund,Waste Management Program,-,751-969,7000000,5250000,-,1750000,900000
Maintenance and other operating Expenses 2012 20% Development Fund,Waste Management Program,"Gasoline, Oil and Lubricants Expenses",761,-,-,4350000,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Housing and Community Development Program,-,751-969,160500,160500,-,0,0
Maintenance and other operating Expenses 2012 20% Development Fund,Housing and Community Development Program,Survey Expenses,787,-,-,160500,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Urban Greening and Development Program,-,751-969,1500000,750000,0,750000,750000
Total Maintenance and Other Operating Expenses,-,-,-,20460500,12960500,7487743.81,7500000,5472756.19
Financial Expenses,Debt Service - Financial Expenses,"Principal, Interest Expenses aad Other Charges",751-969,2600000,2600000,-,0,2117683.79
Financial Expenses,Debt Service - Financial Expenses,lnterest Expenses,975,-,-,477540.8,-,-
Financial Expenses,Debt Service - Financial Expenses,Other Financial Charges,979,-,-,4775.41,-,-
Total Financial Expenses,-,-,-,2600000,2600000,482316.21,0,2117683.79
Capital Outlay 2012 20% Development Fund,Debt Service - Financial Expenses,"Land and Land Improvements, Building Machineries Equipment and Public Infrastructures",201-260,7400000,7400000,-,0,4776149.43
Capital Outlay 2012 20% Development Fund,Debt Service - Financial Expenses,"Land and Land Improvements, Building Machineries Equipment and Public Infrastructures- Construction and Heavy Equipment",230,-,-,2623850.57,-,-
Capital Outlay 2012 20% Development Fund,Housing and Community Development Program,-,201-260,4339500,2089500,0,2250000,2089500
Capital Outlay 2012 20% Development Fund,Health Services Improvement Program,-,201-260,2550000,1275000,0,1275000,1275000
Capital Outlay 2012 20% Development Fund,Social Welfare Services Program,-,201-260,500000,250000,0,250000,250000
Capital Outlay 2012 20% Development Fund,Public Safety and Protection Program,-,201-260,1850000,925000,0,925000,925000
Capital Outlay 2012 20% Development Fund,Public Infrastructure Development Program,-,201-260,1500000,1500000,-,0,0
Capital Outlay 2012 20% Development Fund,Public Infrastructure Development Program,"Roads, Highways and Bridges",251,-,-,1500000,-,-
Capital Outlay 2012 20% Development Fund,Agriculture Development Program,-,201-260,5500000,2750000,0,2750000,2750000
Capital Outlay 2012 20% Development Fund,Investment Promotion and Tourism Development Program,-,201-260,3500000,1750000,-,1750000,1657000
Capital Outlay 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Office Buildings,211,-,-,93000,-,-
Capital Outlay 2012 20% Development Fund,"Information, Computezation Technology, Development Program",-,201-260,1000000,500000,0,500000,500000
Capital Outlay 2012 20% Development Fund,Roads Construction Programs,-,201-260,3500000,3500000,-,0,0
Capital Outlay 2012 20% Development Fund,Roads Construction Programs,"Roads, Highways and Bridges",251,-,-,3500000,-,-
Capital Outlay 2012 20% Development Fund,Waste Management Program,-,201-260,2500000,1250000,0,1250000,1250000
Total Capital Outlay,-,-,-,34139500,23189500,7716850.57,10950000,15472649.43
Grand Total,-,-,-,57200000,38750000,15686910.59,18450000,23063089.41
