function,program,project,account_code,appropriations,allotments,obligations,balances_of_appropriations,balances_of_allotments
Maintenance and other operating Expenses 2012 20% Development Fund,Agricultural Development Program,Other Supplies Expenses,765,-,-,89268.4,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Agricultural Development Program,General Services,795,-,-,61230,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Agricultural Development Program,Subsidy to NGOs and Pos,876,-,-,499750,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Agricultural Development Program,Other Maintenance and Operating Expenses,969,-,-,395000,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,-,751-969,300000,300000,-,0,52271.99
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,"Gasoline, Oil and Lubricants Expenses",761,-,-,52679,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Other Supplies Expenses,765,-,-,14155,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Telephone Expenses- Landline,772,-,-,1100,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Internet Expenses,774,-,-,1200,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Rent Expenses,782,-,-,9920,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Representation Expenses,783,-,-,156834.01,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Repairs and Maintenance- Motor Vehicle,841,-,-,9840,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Other Maintenance and Operating Expenses,969,-,-,2000,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Livelihood and Job Generation Program,-,751-969,350000,262500,-,87500,198584.4
Maintenance and other operating Expenses 2012 20% Development Fund,Livelihood and Job Generation Program,Other Supplies Expenses,765,-,-,0,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Livelihood and Job Generation Program,Rent Expenses,782,-,-,2800,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Livelihood and Job Generation Program,Representation Expenses,783,-,-,57075.6,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Livelihood and Job Generation Program,Other Maintenance and Operating Expenses,969,-,-,4040,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Roads Repairs and Maintenance Program,-,751-969,1500000,1125000,-,375000,0.8
Maintenance and other operating Expenses 2012 20% Development Fund,Roads Repairs and Maintenance Program,"Roads, Highways and Bridges",851,-,-,1124999.2,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Updating of CLUP and Zoning Ordinane,-,751-969,500000,375000,0,125000,375000
Maintenance and other operating Expenses 2012 20% Development Fund,Waste Management Program,-,751-969,7000000,7000000,-,0,50000
Maintenance and other operating Expenses 2012 20% Development Fund,Waste Management Program,"Gasoline, Oil and Lubricants Expenses",761,-,-,6950000,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Housing and Community Development Program,-,751-969,160500,160500,-,0,0
Maintenance and other operating Expenses 2012 20% Development Fund,Housing and Community Development Program,Survey Expenses,787,-,-,160500,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Maintenance and Other Operating Expenses,-,751-969,127865.5,127865.5,-,0,127865.5
Maintenance and other operating Expenses 2012 20% Development Fund,Urban Greening and Development Program,-,751-969,1500000,1125000,0,375000,1125000
Total Maintenance and Other Operating Expenses, -,-,-,20588365.5,17713365.5,12095909.75,2875000,5617455.75
Financial Expenses,Debt Service - Financial Expenses,"Principal, Interest Expenses and Other Charges",751-969,2600000,2600000,-,0,2117683.79
Financial Expenses,Debt Service - Financial Expenses,Internet Expenses,975,-,-,477540.8,-,-
Financial Expenses,Debt Service - Financial Expenses,Other Financial Charges,979,-,-,4775.41,-,-
Total Financial Expenses, -,-,-,2600000,2600000,482316.21,0,2117683.79
Capital Outlay- 2012 20% Development Fund,Debt Service - Financial Expenses,"Land and Land Improvements, Building, Machineries Equipment and Public Infrastructures",201-260,7400000,7400000,-,0,4776149.43
Capital Outlay- 2012 20% Development Fund,Debt Service - Financial Expenses,"Land and Land Improvements, Building, Machineries Equipment and Public Infrastructures- Construction and Heavy Equipment",230,-,-,2623850.57,-,-
Capital Outlay- 2012 20% Development Fund,Housing and Community Development Program,-,201-260,4339500,3214500,0,1125000,3214500
Capital Outlay- 2012 20% Development Fund,Health Services Improvement Program,-,201-260,2550000,1912500,0,637500,1912500
Capital Outlay- 2012 20% Development Fund,Social Welfare Services Program,-,201-260,500000,375000,-,125000,94500
Capital Outlay- 2012 20% Development Fund,Social Welfare Services Program,Other Structures,215,-,-,85000,-,-
Capital Outlay- 2012 20% Development Fund,Social Welfare Services Program,Office Equipment,221,-,-,195500,-,-
Capital Outlay- 2012 20% Development Fund,Public Safety and Protection Program ,-,201-260,1850000,1387500,0,462500,1387500
Capital Outlay- 2012 20% Development Fund,Public Infrastucture Development Program,-,201-260,1500000,1500000,-,0,0
Capital Outlay- 2012 20% Development Fund,Public Infrastucture Development Program,"Roads, Highways and Bridges",251,-,-,1500000,-,-
Capital Outlay- 2012 20% Development Fund,Agriculture Development Program,-,201-260,5500000,4125000,0,1375000,4125000
Capital Outlay- 2012 20% Development Fund,Investment Promotion and Tourism Development Program,-,201-260,3500000,2625000,-,875000,2267950
Capital Outlay- 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Office Buildings,211,-,-,93000,-,-
Capital Outlay- 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Office Equipment,221,-,-,57200,-,-
Capital Outlay- 2012 20% Development Fund,Investment Promotion and Tourism Development Program,Furniture and Fixtures,222,-,-,131850,-,-
Capital Outlay- 2012 20% Development Fund,Investment Promotion and Tourism Development Program,IT Equipment and Software,223,-,-,75000,-,-
Capital Outlay- 2012 20% Development Fund,"Information, Computezation Technology, Development Program",-,201-260,1000000,750000,0,250000,750000
Capital Outlay- 2012 20% Development Fund,Roads Construction Program,-,201-260,3500000,3500000,-,0,0
Capital Outlay- 2012 20% Development Fund,Roads Construction Program,"Roads, Highways and Bridges",251,-,-,3500000,-,-
Capital Outlay- 2012 20% Development Fund,Waste Management Program,-,201-260,2500000,1875000,0,625000,1875000
Total Capital Outlay, -,-,-,34139500,28664500,8261400.57,5475000,20403099.43
Grand Total, -,-,-,57327865.5,48977865.5,20839626.53,8350000,28138238.97
