month,division,name of project,program (nature),program (length),program (amount appropriated),program (date started),program (date finished),funding (source),funding (released),funding (spent),accomplishment (balance),accomplishment (financial),accomplishment (physical)
March,Construction,"Construction Of Brgy. 3 Outpost and Information Center Reclamation Area, Brgy. III, SCC",Admin,-,360000,3/20/2012,-,SP Alloc'n '11 LS Appr'n '11,360000,200029.05,159970.95,55.56%,6.00%
March,Construction,Development of Marina Project(Dredging),Admin,-,1300000,8/16/2011,-,-,1300000,934547.17,365452.83,72%,88%
March,Construction,"Construction of Covered Court at Brgy. Center, Brgy. 6, Reclamation Project",Admin,-,2800000,9/16/2011,-,-,2800000,2788630.72,11369.28,99.60%,88%
March,Construction,Improvement of Multi-Purpose Hall,Improvement,-,500000,12/5/2011,-,-,500000,498864.9,1135.1,99.77%,98%
March,Construction,"Construction of Concrrete Pavement, Install'n. of Steel Matting as Perimeter Wall and Steel Grills at Covered Court, Brgy. 6",Construction,-,350000,3/1/2012,-,-,350000,281505,68495,80%,25%
March,Construction,Dev't. of Homelot Program at Purok Dos Brgy. Guadalupe,Development,-,3680000,-,-,-,3660000,3121106.54,538893.46,85%,90%
March,Construction,"Road Concreting and Line Canal at So. Maligid Proper, Brgy. Nataban",Admin,250 M,2800000,9/20/2010,-,Lump Sum SB #1 CY 2010,2800000,2520684.47,279315.53,90.02%,95%
March,Construction,"Concreting of Road at So. Gui-ob to So. Lupao Road, Brgy. Quezon",Admin,500 M,4750000,12/6/2010,3/1/12,Lump Sum SB #1 CY 2010,4750000,4601907.63,148092.37,96.88%,100%
March,Construction,"Concreting of Road at So. Lupao Road (Phase II), Brgy. Quezon",Admin,500 M,4750000,6/1/2011,-,20% Dev't Fund CY 2010,4750000,469817.6,4280182.4,9.89%,27.00%
March,Construction,Road Concreting (Random) along So. Albor to Purok II (Ermita Proper),Admin,1000 M,3600000,8/8/2011,-,Lump Sum,3600000,1245867.68,2354132.32,34.61%,71%
March,Construction,"Construction of One(1) Unit Tourism Shed at Dapdap, San Juan, Sipaway",Admin,18.77 M,850000,1/19/2012,-,Lump Sum CY 2011,850000,221609,628391,26.07%,50%
March,Construction,Memorial Tree Park Phase 1 Dev't.,Admin,-,1998000,2/2/2009,-,20% Dev't. Fund,1998000,1811123.46,186876.54,90.66%,99%
March,Construction,New City Health Office Finishing Works,Admin,-,6445000,12/16/2010,-,Lump Sum,6919000,6794580.92,124419.08,98.20%,99%
March,Construction,New City Health Office Finishing Works,New City Health Office Finishing Works,-,474000,Augment'n,-,-,-,-,-,-,-
March,Construction,Rehabilitation of Children's Playground at Public Plaza,Admin,-,140000,-,-,Lump Sum,140000,136511,3489,97.51%,100%
March,Construction,"Improvement of Drainage and Concreting of Road Shoulder (Phase 2) at Pres. Garcia St., Pres. Laurel St., Pres. Quezon St. and Road Lot #8, Don Juan Subd., Brgy. II",Admin,660 Meters,3850000,7/2/2011,-,-,3850000,3657500,192500,95.00%,96%
March,Construction,Construction of 6 Classroom ( 1 Classroom at Ground Floor and 5 Classrooms at 2nd Floor) of 3 Storey Building at Julio Ledesma National Highschool,Admin,-,4970000,5/9/2011,3/15/12,Gen. Fund,4970000,4955000,15000,99.70%,100%
March,Construction,Concreting of Road from Julio Ledesma National High School- Circumferential Road 1 to Circumferential Road 2,Admin,-,2980000,11/16/2011,-,Gen. Fund,2980000,1728400,1251600,58.00%,60%
March,Maintenance,"Rehabilitation of Roof and Gutler at Food Court, Public Transport Terminal",Admin,-,455000,10/10/2011,-,Lump Sum,455000,409500,45500,90.00%,90.00%
March,Maintenance,"Concreting of Vascoria-Pamahawan Road with Construction of a Single Barrel Box Culvert along Aglulu-od Creek at Pamahawan, Brgy. Palampas",Admin; Restoration of Damage Portion,1 Km.,7439020,5/2/2011,-,Lump Sum App'n. CY '10,7439020,6609740.2,829279.8,89.00%,90.00%
March,Maintenance,Relocation of Two Houses Affected by Agricultural Center,Admin,21.35 sq. m.,155000,12/15/2009,-,Lump Sum Approp'n.,155000,97645.5,57354.5,63.00%,70.00%
March,Maintenance,"Concreting along Punao Proper with Single Barrel Box Culvert, Brgy. Punao",Admin,1 Km.,9000000,9/1/2011,-,Lump Sum Appropriation,9000000,6817305.04,2182694.96,76.00%,42.00%
March,Maintenance,Improvement of Mayana - Agtutunoy Road,Admin,-,318000,10/10/2011,-,Trust Fund Road Dev't.,318000,217920,100080,69.00%,68.00%
March,Maintenance,Improvement of Crossing Punod - Mayana Road,Admin,-,682000,12/5/2011,-,Trust Fund Road Dev't.,682000,211510,470490,31.00%,31.00%
March,Maintenance,Concreting of So. Walos - Bagonbon Proper Road,Admin,1 Km.,8000000,3/1/2012,-,Lump Sum Appropriation,8000000,4848883.47,3151116.53,61.00%,30.00%
February,Construction,Development of Marina Project(Dredging),Admin,-,1300000,8/16/2011,-,-,1300000,736269.76,563730.24,57%,60%
February,Construction,"Construction of Covered Court at Brgy. Center, Brgy. 6, Reclamation Project",Admin,-,2800000,9/16/2011,-,-,2800000,2723972.31,76027.69,97.00%,82%
February,Construction,Improvement of Multi-Purpose Hall,Improvement,-,500000,12/5/2011,-,-,500000,493864.9,6135.1,99.77%,90%
February,Construction,Construction and Development of San Carlos Community Airport Project POW (=P= 11.590 M),Admin,Stage I,11590000,4/5/2015,-,20% Dev't. Fund CY '01 and 20% Dev't. Fund CY '02,11590000,5163792.66,6426207.34,44.55%,42.25%
February,Construction,Construction and Development of San Carlos Community Airport Project POW (=P= 5 M),Admin,100 Ln. M.,5000000,2/7/2015,-,20% Dev't. Fund CY '06 Fund CY '08,7410000,7105178.07,304821.93,95.89%,80%
February,Construction,Construction and Development of San Carlos Community Airport Project POW (=P= 5 M),Construction and Development of San Carlos Community Airport Project POW (=P= 5 M),(Augment),2095000,-,-,-,-,-,-,-,-
February,Construction,Construction and Development of San Carlos Community Airport Project POW (=P= 5 M),Construction and Development of San Carlos Community Airport Project POW (=P= 5 M),(Augment),315000,-,-,-,-,-,-,-,-
February,Construction,Construction and Development of San Carlos Community Airport Project POW (=P= 7.59 M),Admin,-,7590000,Oct. 2009,-,20% Dev't. Fund,7590000,1171050,6418950,15.43%,15%
February,Construction,"Construction and Development of Land Circumferential Road C1 (Boulevard) Port Area, Brgy. VI (2010)",Admin,-,4000000,3/17/2011,-,20% Dev't. Fund,4000000,24137,3975863,0.60%,0.00%
February,Construction,Individual Tilling of Lot for Stage III and Stage IV of the Homelot Program Phase 4 and Fabrication of 1200 Pcs. Cylindrical Monument,Admin,-,380000,7/1/2007,-,Trust Fund Homelot,380000,356554,23446,93.83%,95%
February,Construction,Subdivision Survey of Homelot Program at Villarante Village,Admin,-,170000,9/1/2009,-,20% Dev't Fund,170000,92814.61,77185.39,54.60%,58%
February,Construction,"Concreting of Access Roads and Drainage Installation at Remedios Relocation Center, Brgy. III, San Carlos City",Admin,-,2478900,5/4/2011,-,Gen. Fund CY 2010,2478900,2253884.7,225015.3,90.92%,97.00%
February,Construction,"Homelot Programs for Squatters at Villarante Village (Phase 1), Brgy. I",Admin,-,1800000,10/5/2011,3/31/12,20% Dev't. Fund CY 2011,1800000,1746729,53271.2,97.04%,96%
February,Construction,"Improvement of Road Shoulder with Sidewalk, Curb and Gutter at Fatima Phase 1",Admin,-,1456000,11/7/2011,-,20% Devt. Fund CY 2011,1456000,1274337.11,181662.89,87.52%,80.00%
February,Construction,Memorial Tree Park Phase 1 Dev't.,Admin,-,1998000,2/2/2009,-,20% Dev't. Fund,1998000,1811123.46,186876.54,90.66%,99%
February,Construction,New City Health Office Finishing Works,Admin,-,6445000,12/16/2010,-,Lump Sum,6919000,6794580.92,124419.08,98.20%,99%
February,Construction,New City Health Office Finishing Works,New City Health Office Finishing Works,-,474000,Augment'n,-,-,-,-,-,-,-
February,Construction,Rehabilitation of Children's Playground at Public Plaza,Admin,-,140000,-,-,Lump Sum,140000,136511,3489,97.51%,98%
February,Construction,Construction of Covered Court at Brgy. 3 (with Augmentation),Construction of Covered Court at Brgy. 3 (with Augmentation),-,3120000,10/10/2011,-,-,3365000,2355500,1009500,70.00%,70%
February,Construction,Construction of Covered Court at Brgy. 3 (with Augmentation),Construction of Covered Court at Brgy. 3 (with Augmentation),-,245000,-,-,-,-,-,-,-,-
February,Construction,Concreting of Road at So. Iliranan Phase 3,Concreting of Road at So. Iliranan Phase 4,-,4750000,10/10/2011,-,-,4750000,1187500,3562500,25.00%,25%
February,Construction,Installation of 1-15 KVA Transformer at So. Habuyo and Gui-ob. Brgy. Quezon,Admin,-,473000,4/8/2011,-,-,473000,438001.49,34998.51,92.60%,96%
February,Construction,"Construction Of 4 Secondary Poles at Pres. Quezon St.and Pres. Romulo St., Brgy.2",Admin,-,122016.26,2/15/2011,3/20/12,-,122016.26,105788,16228.26,86.70%,90%
February,Construction,"Construction Of 1 Secondary Pole at Purok Kamagong Extension, Brgy. 2",Admin,-,26025.19,10/1/2011,-,-,26025.19,21768.43,4256.76,83.64%,89%
February,Construction,"Repair of Electrical Wiring Various Public School Building, Division Office",Admin,-,97000,11/8/2011,3/5/12,-,97000,96400,600,99.38%,100%
February,Construction,"Installation of Street Light at Gawad Kalinga Village, Phase 1, Brgy. Guadalupe",Admin,-,245000,12/16/2012,-,-,245000,232390.5,12609.5,94.85%,97%
February,Construction,"Installation of 2 Units (20HP) Aircon Unit at Don Carlos Ledesma National Highschool (Computer Room), Brgy. Buluangan",Admin,-,150000,2/16/2012,-,-,150000,115147,34853,76.76%,80%
February,Construction,Construction of Prosperidad Public Market,Construction,-,4891787,4/4/2011,-,Lump Sum,4891787,4542083.29,349703.71,92.85%,80%
February,Construction,"Renovation, Extension and Improvement of Nataban Brgy. Hall",Rehabilitation,-,1198175,12/19/2011,-,Lump Sum,1198175,325121.9,873053.1,27.13%,30%
February,Construction,Construction of 3 Seaters Restroom at Igmamatay Elementary School,Rehabilitation,-,256175,12/1/2011,-,Lump Sum,256175,220405.8,35769.2,56.04%,70%
February,Construction,Extension or Renovation of So. Trozo Health Center,Ext. or Ren.,-,300000,2/2/2012,-,Trust Fund,300000,31226.67,268773.33,10.41%,10%
February,Construction,"Road Concreting and Line Canal at So. Maligid Proper, Brgy. Nataban",Admin,250 M,2800000,9/20/2010,-,Lump Sum SB #1 CY 2010,2800000,2502178.75,297821.25,89.36%,95%
February,Construction,"Concreting of Road at So. Gui-ob to So. Lupao Road, Brgy. Quezon",Admin,500 M,4750000,12/6/2010,-,Lump Sum SB #1 CY 2010,4750000,4601907.63,148092.37,96.89%,98%
February,Construction,"Concreting of Road at So. Lupao Road (Phase II), Brgy. Quezon",Admin,500 M,4750000,6/1/2011,-,20% Dev't Fund CY 2010,4750000,351493.61,4398506.39,7.40%,21.00%
February,Construction,Road Concreting (Random) along So. Albor to Purok II (Ermita Proper),Admin,1000 M,3600000,8/8/2011,-,Lump Sum,3600000,1202600.43,2397399.57,33.41%,67%
February,Construction,"Construction of One(1) Unit Tourism Shed at Dapdap, San Juan, Sipaway",Admin,18.77 M,850000,1/19/2012,-,Lump Sum CY 2011,850000,198920,651080,23.40%,50%
February,Construction,"Improvement of Drainage and Concreting of Road Shoulder ( Phase 2) at Pres. Garcia St., Pres. Laurel St., Pres. Quezon St., and Road Lot # B, Don Juan Subd. Brgy. II",Admin,660 Meters,3850000,7/2/2011,-,-,3850000,3388000,462000,88.00%,90.00%
February,Construction,Construction of 6 Classroom ( 1 Classroom at Ground Floor and 5 Classrooms at 2nd Floor) of 3 Storey Building at Julio Ledesma National Highschool,Admin,-,4970000,5/9/2011,-,Gen. Fund,4970000,4920300,49700,99.00%,99%
February,Construction,Concreting of Road from Julio Ledesma National High School- Circumferential Road 1 to Circumferential Road 2,Admin,-,2960000,11/16/2011,-,Gen. Fund,2980000,1430400,1549600,48.00%,50.00%
February,Maintenance,"Rehabilitation of Roof and Gutler at Food Court, Public Transport Terminal",Admin,-,455000,10/10/2011,-,Lump Sum,455000,386577.5,68422.5,80.00%,80.35%
February,Maintenance,"Concreting of Vascoria-Pamahawan Road with Construction of a Single Barrel Box Culvert along Aglulu-od Creek at Pamahawan, Brgy. Palampas",Admin; Restoration of Damage Portion,1 Km.,7439020,5/2/2011,-,Lump Sum App'n. CY '10,7439020,6363377,1075643,86.00%,87.00%
February,Maintenance,Relocation of Two Houses Affected by Agricultural Center,Admin,21.35 sq. m.,155000,12/15/2009,-,Lump Sum Approp'n.,155000,97645.5,57354.5,63.00%,70.00%
February,Maintenance,Embankment of Proposed Tennis Court at Centermail,Admin,-,1695000,2/1/2011,2/28/12,20% Dev't. Fund,1695000,1643903.18,51096.82,97.00%,100.00%
February,Maintenance,Construction of Portland Concrete Pavement at So. Walos Phase 3,Admin,-,4000000,5/16/2011,2/29/12,Lump Sum Appropriation,4000000,3924245.34,75754.66,98.00%,100.00%
February,Maintenance,"Concreting along Punao Proper with Single Barrel Box Culvert, Brgy. Punao",Admin,1 Km.,9000000,9/1/2011,-,Lump Sum Appropriation,9000000,6553994.4,2446005.6,73.00%,42.00%
February,Maintenance,Improvement of Mayana - Agtutunoy Road,Admin,-,318000,10/10/2011,-,Trust Fund Road Dev't.,318000,217920,100080,69.00%,68.00%
February,Maintenance,Improvement of Crossing Punod - Mayana Road,Admin,-,682000,12/5/2011,-,Trust Fund Road Dev't.,682000,165430,516570,24.00%,24.00%
January,Construction,Construction and Development of San Carlos Community Airport Project POW (=P= 11.590 M),Admin,Stage I,11590000,4/5/2015,-,20% Dev't. Fund CY '01 and 20% Dev't. Fund CY '02,11590000,5139289.71,6450710.29,44.34%,42.25%
January,Construction,Construction and Development of San Carlos Community Airport Project POW (=P= 5 M),Admin,100 Ln. M.,5000000,2/7/2015,-,20% Dev't. Fund CY '06 Fund CY '08,7410000,7105178.07,304821.93,95.89%,80%
January,Construction,Construction and Development of San Carlos Community Airport Project POW (=P= 5 M),Construction and Development of San Carlos Community Airport Project POW (=P= 5 M),(Augment),2095000,-,-,-,-,-,-,-,-
January,Construction,Construction and Development of San Carlos Community Airport Project POW (=P= 5 M),Construction and Development of San Carlos Community Airport Project POW (=P= 5 M),(Augment),315000,-,-,-,-,-,-,-,-
January,Construction,Construction and Development of San Carlos Community Airport Project POW (=P= 7.59 M),Admin,-,7590000,Oct. 2009,-,20% Dev't. Fund,7590000,1171050,6418950,15.43%,15%
January,Construction,"Construction and Development of Land Circumferential Road C1 (Boulevard) Port Area, Brgy. VI (2007)",Admin,-,4000000,2/16/2010,11-Nov,20% Dev't. Fund,4210000,3758345.1,451654.9,89.27%,100%
January,Construction,"Construction and Development of Land Circumferential Road C1 (Boulevard) Port Area, Brgy. VI (2007)","Construction and Development of Land Circumferential Road C1 (Boulevard) Port Area, Brgy. VI (2007)",(Augment),210000,-,-,-,-,-,-,-,-
January,Construction,"Construction and Development of Land Circumferential Road C1 (Boulevard) Port Area, Brgy. VI (2010)",Admin,-,4000000,3/17/2011,-,20% Dev't. Fund,4000000,24137,3975863,0.60%,0.00%
January,Construction,Memorial Tree Park Phase 1 Dev't.,Admin,-,1998000,2/2/2009,-,20% Dev't. Fund,1998000,1811123.46,186876.54,90.66%,99%
January,Construction,New City Health Office,Admin,-,4950000,2/2/2010,1/2/12,Lump Sum,4950000,4948214.79,1785.21,99.96%,100%
January,Construction,Renovation of Public Plaza,Admin,-,4970000,3/1/2010,1/2/12,"20% Devt. Fund CY 08, 20% 20% Devt. Fund CY 09, Lump Sum  09",4970000,4934329.72,35670.28,99.28%,100%
January,Construction,New City Health Office Finishing Works,Admin,-,6445000,12/16/2010,-,Lump Sum,6919000,6794580.92,124419.08,98.20%,99%
January,Construction,New City Health Office Finishing Works,New City Health Office Finishing Works,-,474000,Augment'n,-,-,-,-,-,-,-
January,Construction,Rehabilitation of Children's Playground at Public Plaza,Admin,-,140000,-,-,Lump Sum,140000,47381.96,92618.04,33.84%,50%
January,Construction,Construction of Covered Court at Brgy. 3 (with Augmentation),Construction of Covered Court at Brgy. 3 (with Augmentation),-,3120000,10/10/2011,-,-,3365000,1884400,1480600,56.00%,56.00%
January,Construction,Construction of Covered Court at Brgy. 3 (with Augmentation),Construction of Covered Court at Brgy. 3 (with Augmentation),-,245000,-,-,-,-,-,-,-,-
January,Construction,Concreting of Road at So. Iliranan Phase 3,Concreting of Road at So. Iliranan Phase 4,-,4750000,10/10/2011,-,-,4750000,760000,3990000,16.00%,15%
January,Construction,Construction of Seawall Breakwater Marine Site Dev't. with Embabkment (Phase I),Admin,-,4900000,12/1/2010,1/31/12,-,4900000,4849010.78,50989.22,99.00%,100
January,Construction,Development of Marina Project (Dredging),Admin,-,900000,8/16/2011,-,-,900000,545114,354886,61.00%,65.00%
January,Construction,Additional 10 Septic Tank at Brgy. 6 Relocation Project (1st Revision),Admin,-,227000,9/29/2011,1/31/12,-,227000,218772.63,8227.37,96.00%,100
January,Construction,"Construction of Covered Court at Brgy. Center, Brgy. 6, Reclamation Project",Admin,-,2800000,9/16/2011,-,-,2800000,2573905.89,226094.11,92.00%,80.00%
January,Construction,"Construction of 1 Km. Road from Codcod Proper to Crosing Balisong, Brgy. Codcod",Construction,-,8800000,10/15/2011,2/29/12,-,8800000,5077596.6,3722403.4,58.00%,100
January,Construction,Improvement of Multi- Purpose Hall,Improvement,-,500000,12/5/2011,-,-,500000,436531.4,63468.6,87.00%,85.00%
January,Construction,Individual Tilling of Lot for Stage III and Stage IV of the Homelot Program Phase 4 and Fabrication of 1200 Pcs. Cylindrical Monument,Admin,-,380000,7/1/2007,-,Trust Fund Homelot,380000,356554,23446,93.83%,95%
January,Construction,Subdivision Survey of Homelot Program at Villarante Village,Admin,-,170000,9/1/2009,-,20% Dev't Fund,170000,92814.61,77185.39,54.60%,58%
January,Construction,Installation of 1-15 KVA Transformer at So. Habuyo and Gui-ob. Brgy. Quezon,Admin,-,473000,4/8/2011,-,-,473000,438001.49,34998.51,92.60%,96%
January,Construction,"Construction Of 4 Secondary Poles at Pres. Quezon St.and Pres. Romulo St., Brgy.2",Admin,-,122016.26,2/15/2011,-,-,122016.26,105788,16228.26,86.70%,90%
January,Construction,"Construction Of 1 Secondary Pole at Purok Kamagong Extension, Brgy. 2",Admin,-,26025.19,10/1/2011,-,-,26025.19,21768.43,4256.76,83.64%,89%
January,Construction,"Repair of Electrical Wiring Various Public School Building, Division Office",Admin,-,97000,11/8/2011,-,-,97000,92560,4440,95.42%,98%
January,Construction,Installation of 3 HP Motor Driven Siren at City Auditorium,Admin,-,22000,12/1/2011,1/6/15,-,22000,21905,95,100.00%,100%
January,Construction,"Installation of Street Light at Gawad Kalinga Village, Phase 1, Brgy. Guadalupe",Admin,-,245000,12/16/2012,-,-,245000,203173,41827,82.93%,-
January,Construction,"Concreting of Access Roads and Drainage Installation at Remedios Relocation Center, Brgy. III, San Carlos City",Admin,-,2478900,5/4/2011,-,Gen. Fund CY 2010,2478900,2253884.7,225015.3,90.92%,97.00%
January,Construction,"Homelot Programs for Squatters at Villarante Village (Phase 1), Brgy. I",Admin,-,1800000,10/5/2011,-,20% Dev't. Fund CY 2011,1800000,1735289,64711,96.40%,95%
January,Construction,"Improvement of Road Shoulder with Sidewalk, Curb and Gutter at Fatima Phase 1",Admin,-,1456000,11/7/2011,-,20% Devt. Fund CY 2011,1456000,1102122.45,353877.55,75.70%,72.00%
January,Construction,"Road Concreting and Line Canal at So. Maligid Proper, Brgy. Nataban",Admin,250 M,2800000,9/20/2010,-,Lump Sum SB #1 CY 2010,2800000,2324426.52,475573.48,83.02%,90%
January,Construction,"Concreting of Road at So. Gui-ob to So. Lupao Road, Brgy. Quezon",Admin,500 M,4750000,12/6/2010,-,Lump Sum SB #1 CY 2010,4750000,4567794.22,182205.78,95.95%,98%
January,Construction,"Concreting of Road at So. Lupao Road (Phase II), Brgy. Quezon",Admin,500 M,4750000,6/1/2011,-,20% Dev't Fund CY 2010,4750000,269591.52,4480408.48,5.68%,20.00%
January,Construction,Road Concreting (Random) along So. Albor to Purok II (Ermita Proper),Admin,1000 M,3600000,8/8/2011,-,Lump Sum,3600000,851248.31,2748751.69,23.65%,51%
January,Construction,"Construction of One(1) Unit Tourism Shed at Dapdap, San Juan, Sipaway",Admin,18.77 M,850000,1/19/2012,-,Lump Sum CY 2011,850000,8360,841640,0.98%,10%
January,Construction,Construction of Prosperidad Public Market,Construction,-,4891787,4/4/2011,-,Lump Sum,4891787,3643686.65,1248100.35,74.49%,72%
January,Construction,Rehabilitation of 3 Classroom Buiding at Quezon Elementary School,Rehabilitation,-,587471,9/16/2011,1/15/12,Lump Sum,587471,540321.2,47149.8,91.97%,100%
January,Construction,"Renovation, Extension and Improvement of Nataban Brgy. Hall",Rehabilitation,-,1198175,12/19/2011,-,Lump Sum,1198175,149319.55,1048855.45,12.46%,10%
January,Construction,Construction of 3 Seaters Restroom at Igmamatay Elementary School,Rehabilitation,-,256175,12/1/2011,-,Lump Sum,256175,158063.6,98111.4,61.70%,38%
January,Construction,"Improvement of Drainage and Concreting of Road Shoulder (Phase 2) at Pres. Garcia St., Pres. Laurel St., Pres. Quezon St. and Road Lot #8, Don Juan Subd., Brgy. II",Admin,660 Meters,3850000,7/2/2011,-,-,3850000,3272500,577500,85.00%,86%
January,Construction,Construction of 6 Classroom ( 1 Classroom at Ground Floor and 5 Classrooms at 2nd Floor) of 3 Storey Building at Julio Ledesma National Highschool,Admin,-,4970000,5/9/2011,-,Gen. Fund,4970000,4870600,99400,92.00%,94%
January,Construction,Concreting of Road from Julio Ledesma National High School- Circumferential Road 1 to Circumferential Road 2,Admin,-,2980000,11/16/2011,-,Gen. Fund,2980000,1192000,1788000,40.00%,42%
January,Maintenance,"Rehabilitation of Roof and Gutler at Food Court, Public Transport Terminal",Admin,-,455000,10/10/2011,-,Lump Sum,455000,276155,178845,61.00%,71.00%
January,Maintenance,"Concreting of Vascoria-Pamahawan Road with Construction of a Single Barrel Box Culvert along Aglulu-od Creek at Pamahawan, Brgy. Palampas",Admin,1 Km.,7300000,5/2/2011,-,Lump Sum App'n. CY '10,7300000,6129078.84,1170921.16,84.00%,85.00%
January,Maintenance,Establishment of City Street Signages,Admin,-,500000,6/1/2011,1/31/12,Lump Sum App'n. CY '11,500000,481790.47,18209.53,96.35%,100%
January,Maintenance,Relocation of Two Houses Affected by Agricultural Center,Admin,21.35 sq. m.,155000,12/15/2009,-,Lump Sum Approp'n.,155000,97645.5,57354.5,63.00%,70.00%
January,Maintenance,Embankment of Proposed Tennis Court at Centermail,Admin,-,1695000,2/1/2011,-,20% Dev't. Fund,1695000,1540606.58,154393.42,91.00%,95.00%
January,Maintenance,Construction of Portland Concrete Pavement at So. Walos Phase 3,Admin,-,4000000,5/16/2011,-,Lump Sum Appropriation,4000000,3841932.74,158067.26,96.00%,96.00%
January,Maintenance,"Concreting along Punao Proper with Single Barrel Box Culvert, Brgy. Punao",Admin,1 Km.,9000000,9/1/2011,-,Lump Sum Appropriation,9000000,5959945.1,3040054.9,66.00%,40.00%
January,Maintenance,Improvement of Mayana - Agtutunoy Road,Admin,-,318000,10/10/2011,-,Trust Fund Road Dev't.,318000,172920,145080,54.00%,54.00%
January,Maintenance,Improvement of Crossing Punod - Mayana Road,Admin,-,682000,12/5/2011,-,Trust Fund Road Dev't.,682000,47899.5,634100.5,7.00%,16.00%
