month,division,name of project,program (nature),program (length),program (amount appropriated),program (date started),program (date finished),funding (source),funding (released),funding (spent),accomplishment (balance),accomplishment (financial),accomplishment (physical)
August,Construction,Consrtuction and Development of San Carlos Community Airport Project POW (=P= 7.59M),Admin,-,7590000,Oct. 2009,-,20% Dev. Fund,7590000,1171050,6418950,15.43%,15%
August,Construction,"Consrtuction and Development of Land Circumferential Road C1 (Boulevard) Port Area, Brgy. VI (2010)",Admin,-,4000000,3/17/2011,-,20% Dev. Fund,4000000,2132496.01,1867503.99,53.31%,95.50%
August,Construction,Consrtuction and Development of San Carlos City Community Airport (5M) CY 2011,Admin,-,5000000,8/12/2012,-,20% Dev. Fund,5000000,1080,4998920,0.02%,0%
August,Construction,Rehabilitation Or Fab'n. and Installation of Iron Grilles and Replacement of Windows Jalousies at Bairan E/S,Rehabilitation ,-,850172,6/13/2012,-,Lump Sum,850172,711388.63,138783.37,83.68%,65%
August,Construction,Improvement or Rehabilitation Of Punao Barangay Center,Rehabilitation ,-,623000,8/1/2012,-,Brgy. Fund and SP Alloc.,623000,356578.6,266421.4,57.24%,25%
August,Construction,Consrtuction of 3 Seaters Restroom at Guigalaman E/S,Construction,-,276011,8/1/2012,-,Lump Sum,276011,22800,253211,8.26%,5%
August,Construction,"Concreting of Road So. Lupa Road (Phase II), Brgy. Quezon",Admin,500 M,4750000,6/1/2011,-,20% Dev. Fund CY 2010,4750000,3984934.5,765065.5,83.89%,73%
August,Construction,"Road Concreting(Random) along Go, Albor to Purok II (Ermita Proper)",Admin,1000 M,3600000,8/8/2011,-,Lump Sum,3600000,3496511.11,103488.89,97.13%,98%
August,Construction,"Construction of One (1) Unit Tourism Shed at Dapdap, San Juan, Sipaway",Admin,18.77 M,850000,1/19/2012,8/15/12,Lump Sum CY 2011,850000,850000,0,100%,100%
August,Construction,Rehabiitation of River Bank Protection at So. Cabugan Proper,Admin,-,1700000,4/1/2012,-,Lump Sum CY 2012,1700000,1454279.26,245720.74,85.55%,92%
August,Construction,Road Concreting at So. Maligid to Nataban Proper (Phase IV),Admin,-,10500000,6/23/2012,-,Lump Sum CY 2013,10500000,170177.51,10329822.49,1.62%,5.23%
August,Construction,"Consrtuction of CHB Fence at Sipaway National High School, San Juan, Sipaway",Admin,60 M,570000,7/1/2012,-,Lump Sum CY 2014,570000,478962.5,91037.5,84.03%,95%
August,Construction,Installation of 1-15 KVA Transformer at So. Habuyo and Gui-ob. Brgy. Quezon,Admin,-,473000,4/8/2011,-,-,473000,438001.49,34998.51,92.60%,96%
August,Construction,"Construction of 3 Secondary Poles and 35 Primary Poles at Upper Ulay, Brgy. Prosperidad",Admin,-,1477000,6/16/2012,-,20% Dev't. Fund,1477000,1293934.91,183065.09,88%,90%
August,Construction,"Installation of 2 Units (1 HP Split-Type Aircon Unit) for Use of Human Resource Managemnet and City Legal Office, City Hall Building, Brgy. Palampas",Admin,-,128000,7/5/2012,-,20% Dev't. Fund,128000,127865,135,99.69%,100%
August,Construction,"Wiring Installation at City Hall Building (Preparation for Installation of  Airconditioning Unit in Different Offices) Barangay Palampas, San Carlos City",Admin,-,3046000,8/1/2012,-,20% Dev't. Fund,3046000,2775272,270728,91.11%,92%
August,Construction,Concreting of Road from Julio Ledesma National High School - Circumferential Road 1 to Circumferential Road 2,Admin,-,2990000,1/16/2011,-,Gen. Fund,2980000,2670000,310000,89.60%,92%
August,Maintenance,Repair of 1 Unit Stop Sign and Bulletin Board at RMG Motorpool,Admin,-,9000,6/16/2012,6/30/12,-,9000,9000,0,100%,100%
August,Maintenance,"Fabrication of 4 Units Steel Ladder for Fire Exit at Cobg. Vicente Guastilo Sr., Memorial Elementary School",Admin,-,42300,6/1/2012,6/30/12,-,42300,42300,0,100%,100%
August,Maintenance,Fabrication of 3 Units Steel Ladder for Fire Exit at San Andres Bonifacio Elem. School,Admin,-,29000,6/1/2012,6/30/12,-,29000,29000,0,100%,100%
August,Maintenance,Repair of Children Playground Amenities at People's Park,Admin,-,24000,6/16/2012,7/15/12,-,24000,24000,0,100%,100%
August,Maintenance,"Concreting of Vascoria-Pamahawan Road with Consrtuction of a Single Barrel Box Culvert along Aglulu-od Creek at Pamahawan, Brgy. Palampas",Admin Restoration of Damage Portion,1 Km.,7439020,5/2/2011,8/15/12,Lump Sum App'n. CY '10,7439020,7417289.49,21730.51,100%,100%
August,Maintenance,Concreting of Vascoria-Pamahawan Road (From National Highway to Km 1 + 305) Brgy. Nataban,Admin,1 Km.,12500000,8/16/2012,-,Lump Sum App'n. CY '12,12500000,5032041.45,7467958.55,40%,3%
August,Maintenance,Relocation of Two Houses Affected by Agricultural Center,Admin,21.35 sq. m.,155000,12/15/2009,-,Lump Sum Approp'n.,155000,97645.5,57354.5,63%,70%
August,Maintenance,"Concreting along Punao Proper with Single Barrel Box Culvert, Brgy. Punao",Admin,1 Km.,9000000,9/1/2011,-,Lump Sum Appropriation,9000000,7982244.77,1017755.23,89%,70%
August,Maintenance,Improvement of Mayana - Agtutunoy Road,Admin,-,318000,10/10/2011,-,Trust Fund Road Dev't.,318000,289920,28080,91%,91%
August,Maintenance,Improvement of Crossing Punod - Mayana Road,Admin,-,682000,12/5/2011,-,Trust Fund Road Dev't.,682000,615010.1,66989.9,90%,90%
August,Maintenance,Concreting of So. Walos - Bagonbon Proper Road,Admin,1 Km.,8000000,3/1/2012,-,Lump Sum Appropriation,8000000,5938120.83,2061879.17,74%,60%
July,Construction,Individual Tilling of Lot for Stage III and Stage IV of the Homelot Program Phase 4 and Fabrication of 1200 Pcs. Cylindrical Monument,Admin,-,380000,7/1/2007,-,Trust Fund Homelot,380000,356554,23446,93.83%,95%
July,Construction,Subdivision Survey of Homelot Program at Villarante Village,Admin,-,170000,9/1/2009,-,20% Dev't. Fund,170000,92814.61,77185.39,54.60%,58%
July,Construction,Land Forming of New City Hospital Project,Admin,-,700000,4/1/2012,-,-,700000,141891.4,558108.6,20.27%,30%
July,Construction,Construction of Covered Court at Brgy. 3 (with Augmentation),Construction of Covered Court at Brgy. 3 (with Augmentation),-,3120000,10/10/2011,7/31/12,-,3365000,3359343,5657,100%,100%
July,Construction,Construction of Covered Court at Brgy. 3 (with Augmentation),Construction of Covered Court at Brgy. 3 (with Augmentation),-,245000,-,-,-,-,-,-,-,-
July,Construction,Concreting of Road at So. Iliranan Phase 3,Concreting of Road at So. Iliranan Phase 4,-,4750000,10/10/2011,-,-,4750000,3800000,950000,80%,80%
July,Construction,Consrtuction and Development of San Carlos Community Airport Project POW (=P= 11.500M),Admin,Stage 1,11590000,4/5/2015,-,20% Dev. Fund CY '01 and 20 % Dev.Fund CY '02,11590000,5242666.5,6347333.5,45.23%,42.25%
July,Construction,Consrtuction and Development of San Carlos Community Airport Project POW (=P= 5M),Admin,100 Ln. M.,5000000,2/7/2015,-,20% Dev. Fund CY '06 Fund CY '08,7410000,7105178.07,304821.93,95.89%,80%
July,Construction,Consrtuction and Development of San Carlos Community Airport Project POW (=P= 5M),Consrtuction and Development of San Carlos Community Airport Project POW (=P= 5M),(Augment),2095000,-,-,-,-,-,-,-,-
July,Construction,Consrtuction and Development of San Carlos Community Airport Project POW (=P= 5M),Consrtuction and Development of San Carlos Community Airport Project POW (=P= 5M),(Augment),315000,-,-,-,-,-,-,-,-
July,Construction,Consrtuction and Development of San Carlos Community Airport Project POW (=P= 7.59M),Admin,-,7590000,Oct. 2009,-,20% Dev. Fund,7590000,1171050,6418950,15.43%,15%
July,Construction,"Consrtuction and Development of Land Circumferential Road C1 (Boulevard) Port Area, Brgy. VI (2010)",Admin,-,4000000,3/17/2011,-,20% Dev. Fund,4000000,2132496.01,1867503.99,53.31%,95.50%
July,Construction,Rehabilitation and Agmaula Overflow,Admin,11 M ,790000,8/15/2013,-,"Contingency Program CY, 2012, 20%, Dev't Fund",790000,40000,750000,5%,2%
July,Construction,Memorial Tree Park Phase 1 Dev't.,Admin,-,1998000,2/2/2009,-,20% Dev. Fund,1998000,1811123.46,186876.54,90.65%,100%
July,Construction,New City Health Office Finishing Works,Admin,-,6445000,12/16/2010,-,Lump Sum,6919000,6794580.92,124419.08,98.20%,99%
July,Construction,New City Health Office Finishing Works,New City Health Office Finishing Works,-,474000,Augmenl'n,-,-,-,-,-,-,-
July,Construction,Constructio of City Hall Canteen,Admin,-,2779000,-,-,Lump Sum,2779000,8727.12,2770272.88,0.31%,0%
July,Construction,Additional Office Signages for Public Buildings #2,Admin,-,1009000,-,-,Lump Sum,109000,85850,23150,78.76%,0%
July,Construction,Construction of Prosperidad Public Market,Construction,-,4891787,4/4/2011,7/31/12,Lump Sum,4891787,4779555.96,112231.04,97.71%,100%
July,Construction,"Renovation, Extension and Impeovement of Nataban Brgy. Hall",Rehabilitation ,-,1198175,1/12/1900,7/31/12,Lump Sum,1198175,1012607.87,185567.13,84.51%,100%
July,Construction,Rehabilitation Or Fab'n. and Installation of Iron Grilles and Replacement of Windows Jalousies at Bairan E/S,Rehabilitation ,-,850172,6/13/2012,-,Lump Sum,850172,585501,264671,68.87%,39%
July,Construction,"Concreting of Road at So. Lupao Road (Phase II), Brgy. Quezon",Admin,500 M,4750000,6/1/2011,-,20% Dev't. Fund CY 2010,4750000,937152.31,3812847.69,19.73%,54%
July,Construction,Road Concreting (Random) along So. Albor to Purok II(Ermita Proper),Admin,100 M,3600000,8/8/2011,-,Lump Sum,3600000,3392794.61,207205.39,94.24%,96%
July,Construction,"Construction of One (1) Unit Tourism Shed at Dapdap, San Juan, Sipaway",Admin,18.77 M,850000,1/19/2012,-,Lump Sum CY 2011,850000,816522.8,33477.2,96.06%,98%
July,Construction,Rehabiitation of River Bank Protection at So. Cabugan Proper,Admin,-,1700000,4/1/2012,-,Lump Sum CY 2011,1700000,1253575.78,446424.22,73.74%,90%
July,Construction,Road Concreting at So. Maligid to Nataban Proper (Phase IV),Admin,-,10500000,6/23/2012,-,Lump Sum CY 2011,10500000,32234,10467766,0.31%,4%
July,Construction,Installation of 1-15 KVA Transformer at So. Habuyo and Gui-ob. Brgy. Quezon,Admin,-,473000,4/8/2011,-,-,473000,438001.49,34998.51,92.60%,96%
July,Construction,"Construction of 3 Secondary Poles and 35 Primary Poles at Upper Ulay, Brgy. Prosperidad",Admin,-,1477000,6/16/2012,-,-,1477000,1288984.91,188015.09,87.27%,20%
July,Construction,"Installation of 2 Units (1 HP Split-Type Aircon Unit) for Use of Human Resource Managemnet and City Legal Office, City Hall Building, Brgy. Palampas",Admin,-,128000,7/5/2012,-,-,128000,120635,7365,94.25%,97%
July,Construction,Development of Marine Project(Dredging),Admin,-,1300000,8/16/2011,7/15/12,-,1300000,1202055.11,97944.89,92.00%,100%
July,Construction,"Construction of Covered Court at Brgy. Center, Brgy. 6, Reclamation Project",Admin,-,2800000,9/16/2011,6/15/12,-,2800000,2795268.5,4731.5,99.80%,100%
July,Construction,"Consrtuction of Concrete Pavement, Install'n. of Steel Matting as Perimeter Wall and Steel Grills at Covered Court, Brgy. 6",Construction,-,350000,3/1/2012,7/15/12,-,350000,344727,5273,98.00%,100%
July,Construction,Dev't. of Homelot Program at Purok Dos Brgy. Guadalupe,Dev't.,-,3660000,-,-,-,3660000,3514651.27,145348.73,96.00%,98%
July,Construction,Installation of Curb and Gutler and Sidewalk and Inst. Of RCP along Locsin Parola Boulevard Road,Inst.,-,2600000,6/1/2012,-,-,2600000,1812753.66,787246.34,70.00%,40%
July,Construction,"Consrtuction of Bulkhead Marine Site Dev't. Phase 1, People's Park Brgy. 3",Construction,-,3434206,7/2/2012,-,-,3434206,2063418.47,1370787.53,80.00%,10%
July,Construction,"Consrtuction of Boxing Gym at Covered Court Boulevard, Brgy. 6",Construction,-,450000,5/2/2012,7/1/12,-,450000,437874.14,12125.86,97.00%,100%
July,Construction,Consrtuction of Drainage System at Brgy. III Relocation Site (Phase 1),Construction,-,3200000,7/16/2012,-,-,3200000,831864.03,2368135.97,26.00%,3%
July,Construction,"Concreting of Access Roads and Drainage Installation at Remedios Relocation Center, Brgy. III, San Carlos City",Admin,-,2478900,5/4/2011,-,Gen.Fund CY 2010 and CY 2012,2578900,2451052.2,127847.8,95.04%,98.50%
July,Construction,"Concreting of Access Roads and Drainage Installation at Remedios Relocation Center, Brgy. III, San Carlos City","Concreting of Access Roads and Drainage Installation at Remedios Relocation Center, Brgy. III, San Carlos City",Augment.,100000,-,-,-,-,-,-,-,-
July,Construction,"Consrtuction of Brgy. 3 Outpost and Information Center, Reclamation Area, Brgy. III, SCC",Admin,-,360000,3/20/2012,-,"SP Alloc'n. '11, LS Appr'n. '11",360000,357392,2608,99.28%,87%
July,Construction,"Concreting of Road Lot #9 with Curb and Gutler, Sidewalk and Completion of Front Road of Brgy. Rizal Center, Phase 4, Fatima Village, Brgy. Rizal, SCC",Admin,-,2350000,7/29/2012,-,Lump Sum App. CY 2012,2350000,357605.8,1992394.2,15.22%,2%
July,Construction,Concreting of Road from Julio Ledesma National High School - Circumferential Road 1 to Circumferential Road 2,Admin,-,2980000,11/16/2011,-,Gen. Fund,2980000,2630000,350000,88.00%,90%
July,Maintenance,Repair of 1 Unit Stop Sign and Bulletin Board at RMG Motorpool,Admin,-,9000,6/16/2012,6/30/12,-,9000,9000,0,100.00%,100.00%
July,Maintenance,"Fabrication of 4 Units Steel Ladder for Fire Exit at Cobg. Vicente Guastilo Sr., Memorial Elementary School",Admin,-,42300,6/1/2012,6/30/12,-,42300,42300,0,100.00%,100.00%
July,Maintenance,Fabrication of 3 Units Steel Ladder for Fire Exit at San Andres Bonifacio Elem. School,Admin,-,29000,6/1/2012,6/30/12,-,29000,29000,0,100.00%,100.00%
July,Maintenance,Repair of Children Playground Amenities at People's Park,Admin,-,24000,6/16/2012,7/15/12,-,24000,24000,0,100.00%,100.00%
July,Maintenance,"Concreting of Vascoria-Pamahawan Road with Consrtuction of a Single Barrel Box Culvert along Aglulu-od Creek at Pamahawan, Brgy. Palampas",Admin Restoration of Damage Portion,1 Km.,7439020,5/2/2011,-,Lump Sum App'n. CY '10,7439020,7374273.36,64746.64,99.00%,99.00%
July,Maintenance,"Construction of Footbridge at Hed. Sta. Ana, Brgy. Palampas",Admin,1 Km.,250000,4/23/2012,-,SP Alloc.,250000,243732.05,6267.95,99.00%,100.00%
