function_or_program_or_project,appropriation,allotment,dibursement_obligations,unobligated_balance
"Concreting of Pathway of Brgy. Gimaloto, West Dist. Sor. City",200000,200000,198711,1289
"Concreting of Burabod-Miluya, Farm to Market Road , Castilla",1000000,1000000,997055,2945
"Road Opening of Amomunting - Cogon Farm to Market Road, Castilla",1000000,1000000,997517,2483
"Concreting of San Isidro- Nalup-an Road, Castilla",1000000,1000000,997328,2672
"Concreting of Salvacion - Canjela Road, Castilla",1000000,1000000,997418,2582
"Construction of R.C. Footbridge in Sitio Guinsorongan, Quirapi, Castilla",400000,400000,399077,923
"Construction of Spillway along Pandan-Saclayan Road, Castilla",500000,500000,498604,1396
"Construction of Pathway in Suguian, Donsol",300000,300000,299238,762
"Concreting of Pathway in Malapac, Donsol",300000,300000,298585,1415
"Concreting of Brgy. Road in Sitio Layuan, Ogod, Donsol",300000,300000,299913,87
Concreting of Pathway in Sevilla Donsol,200000,200000,199668,332
"Concreting of Pathway in Tongdol, Donsol",200000,200000,198511,1489
"Construction of Pathway in Tublijon, West Dist. Sor. City",300000,300000,299050,950
"Ripraping of Brgy. Road Lourdes, Donsol",300000,300000,298775,1225
"Construction of R.C. Footbridge in Pawala, Donsol",400000,400000,398775,1225
"Construction of Footbridge in San Ramon, Donsol",400000,400000,398775,1225
Concreting of Pathway at Sitio Tigib or Hangaan at Abuyog East Dist. Sor. City,500000,500000,498360,1640
"Concreting of Brgy. Streets in Bucalbucalan, West Dist. Sor. City",400000,400000,398979,1021
"Concreting of Pathway at Salvacion, West Dist. Sor. City",300000,300000,299887,113
"Concreting of Pathway at Sugod, Bacon Dist. Sorsogon City",200000,200000,199450,550
"Concreting of Pathway at Buenavista, Bacon Dist. Sor. City",200000,200000,199512,488
"Concreting of Pathway at Osiao, Bacon Dist. Sor. City",200000,200000,199512,488
"Concreting of Pathway at Salvacion, Bacon Dist. Sor. City",200000,200000,199512,488
"Concreting of Pathway at Carcaran, Bacon Dist. Sor. City",200000,200000,199512,488
"Concreting of Pathway at Sta. Lucia, Bacon, Dist. Sor. City",200000,200000,199512,488
"Concreting of Pathway at Maricrum (San Jose) Bacon, Dist. Sor. City",200000,200000,199512,488
"Concreting of Pathway at San Ramon, Bacon, Dist. Sor., City",200000,200000,199512,488
"Concreting of Brgy. Road in Embarcadero, Juban",400000,-,-,-
"Concreting of Pathway at Cabarbuhan, Bacon Dist. Sor. City",200000,200000,199512,488
"Concreting of Barangay Road in Tula-tula Sur, Magallanes",400000,400000,-,-
"Concreting of Pathway at Penafrancia, West District, Sor., City",200000,200000,199946,54
"Concreting of Pathway at Piot, West Dist. Sor. City",400000,400000,398288,1712
"Concreting of Pathway at Gatbo, Bacon Dist. Sor. City",750000,750000,749400,600
"Rehabilitation or Improvement of Mabanate - Lipason Road , Pilar",750000,750000,748854,1146
"Construction of R. C. Footbridge in Mercedes, Pilar",500000,500000,499644,356
"Concreting of Pathway at Sitio Gayuma, Sto. Nino, Bacon Dist. Sor., City",200000,200000,199512,488
"Concreting of Farm to Market Road in San Antonio, Pto. Diaz",850000,850000,843034,6966
"Concreting of Pathway at San Fernando, Pto. Diaz",200000,200000,198044,1956
"Concreting of Pathway at Bon-ot, Bacon Dist. Sor.,City",200000,200000,199512,488
"Concreting of Pathway at Balogo, Bacon, Dist.Sor. City",200000,200000,199512,488
"Concreting of Barangay Road in Sampaloc, East Dist. Sor. City",500000,500000,498199,1801
"Rehabilitation of Various Streets at OLV Bibincahan, East Dist. Sor.City",2000000,2000000,1996642,3358
Concreting of Road at San Juan (Roro) infront of Basketball Court,750000,750000,748550,1450
Concreting of Barangay Road near BNCC Cabid-an East Dist. Sor. City,750000,750000,746833,3167
"Concreting of along Abuyog-Casili Road, Abuyog , East Dist. Sor. City",1000000,1000000,997962,2038
"Widening of Road near E or S in Penafrancia, West Dist. Sor. City",500000,500000,497676,2324
"Concreting of Pathway at Brgy. Jamislagan, Bacon Dist. Sor. City",200000,200000,199512,488
"Concreting of Pathway at Brgy. Del Rosario, Bacon Dist. Sor. City",200000,200000,199502,498
"Concreting of Farm to Market Road in Brgy. Pamurayan, West Dist. Sor. City",500000,500000,498524,1476
Concreting of Brgy. Road in Guinlajon ( San Juan St.) West Dist. Sorsogon City,500000,500000,498900,1100
"Concreting of Farm to Market Road in Sitio Bagong Sirang, Macabog",750000,750000,747897,2103
"Concreting of Brgy. Road in Rizal, West Dist. Sorsogon City",750000,750000,748500,1500
"Concreting of Brgy. Road in Panlayaan, West Dist. Sor. City",750000,750000,748901,1099
"Concreting of Pathway of San Roque, Bacon Dist. Sor. City",500000,500000,498200,1800
"Concreting of Streets at Brgy. Balete, Bacon Dist. Sor. City",1000000,1000000,998198,1802
"Concreting of Farm to Market Road in Bonga, Bacon Dist. Sor. City",750000,750000,748900,1100
"Concreting of Brgy. Road in Sawangga, Bacon Dist. Sor. City",500000,500000,498200,1800
"Concreting of Pathway of San Pascual, Bacon Dist. Sor. City",500000,500000,499100,900
"Concreting of Pathway of San Vicente, Bacon Dist. Sor. City",500000,500000,498200,1800
"Concreting of Farm to Market Road in San Isidro, Bacon Dist. Sor. City",150000,1500000,1495497,4503
"Construction of Pathway in Magarao, Sugod Bacon Dist. Sor. City",150000,150000,149500,500
"Construction of Pathway in Burabod Sugod, Bacon Dist. Sor. City",150000,150000,149500,500
"Construction of Pathway in Patag, Sugod, Bacon Dist. Sor.City",150000,150000,149500,500
"Construction of Pathway in Sitio Mahingan, Balogo, East Dist. Sor. City",150000,150000,148000,2000
"Construction of Footbridge in Brgy. Road, Balogo, East Dist. Sor. City",400000,400000,398000,2000
"Construction of Line Canal in San Roque, Castilla",400000,400000,399090,910
"Construction of Line Canal in Market Site, Donsol",400000,400000,398775,1225
"Construction of Line Canal at Purok I, Luna Candol, Gubat",500000,500000,488162,11838
"Construction of Line Canal at Brgy. Almendras, East Dist. Sor. City",200000,200000,198600,1400
"Construction of Line Canal of San Juan (Roro) East Dist, Sor. City",200000,200000,198600,1400
"Construction of Line Canal at Brgy. Road, Bibincahan , East Dist. Sor. City",300000,300000,296232,3768
"Construction of Line Canal at BLISS Subdivision, Macabog West District, Sor. City",200000,200000,198935,1065
"Construction of Drainage Canal in Salog, East Dist. Sor. City",500000,500000,498600,1400
"Rehab of Drainage Canal System in Bibincahan, East Dist. Sor. City",1500000,1500000,1498126,1874
"Construction of Drainage Canal in Polvorista , East Dist. Sor. City",500000,500000,499827,173
"Rehab of Drainage  System in Burabod, East Dist. Sor. City",750000,750000,748550,1450
"Construction of Drainage System in Sulucan, East Dist. Sor. City",500000,500000,498600,1400
"Construction of Drainage System in Buenavista, Bacon Dist. Sor. City ",750000,750000,748900,1100
"Construction of Drainage System in Cambulaga, West Dist. Sor. City",800000,800000,798725,1275
"Construction of Drainage System in OLV Pangpang, West Dist. Sor. City  ",500000,500000,498179,1821
"Improvement of Drainage System in Poblacion, Bacon Dist. Sor. City  ",1000000,1000000,997380,2620
"Construction of Drainage System at Bogna, Bacon Dist. Sor. City",500000,500000,499100,900
"Construction of Line Canal at Sto. Domingo, Bacon Dist. Sor. City",200000,200000,198596,1404
"Construction of Line Canal at Bato, Bacon Dist. Sor. City",200000,200000,199608,392
"Construction of Line Canal at San Pascual, Bacon Dist. Sor. City ",200000,200000,199139,861
"Construction of Line Canal at Balete, Bacon Dist. Sor.City ",200000,200000,198388,1612
Construction of Line Canal at San Roque Bacon Dist. Sor. City,200000,200000,199389,611
Construction of Line Canal at Bogna Bacon Dist. Sor. City                                                                                     ,200000,200000,199980,20
"Construction of Salog Footbridge, East Dist. Sor. City                                                                                             ",250000,250000,248600,1400
"Construction of Line Canal at Talisay, West Dist. Sor. City                                                                                     ",250000,250000,249055,945
"Construction of Line Canal in Balogo, East Dist.Sor. City                                                                                         ",200000,200000,198000,2000
"Construction of River Control in Barayong, West Dist. Sor.City                                                                    ","1,500,000.00                                                                                                                                       -",1500000,1497500,2500
"Construction of Flood Control in San Antonio, Sta. Magdalena  ",-,-,-,-
"Construction of River Control in Talisay, West Dist. Sor. City                                                                                  ",500000,500000,498867,1133
"Construction of San Isidro River Control, West Dist. Sor. City                                                                          ",500000,500000,498900,1100
"Construction of River Control or Slope Protection at Bucal-bucalan, West Dist. Sor. City                                   ",200000,200000,199780,220
"Rehab of Slope Protection at Sitio Pocdol, Capuy, West Dist, Sor. City                                             ",500000,500000,498900,1100
"Construction of Slope Protection in Salvacion, Irosin                                                                         ",900000,900000,891736,8264
"Rehabilitation or Improvement of MP and Slope Protection in Sitio Bisita, Abuyog                                                 ",1000000,1000000,998328,1672
" Construction of Seawall in Sirangan, East Dist. Sor.City                                                                                       ",2000000,2000000,1998000,2000
"Development of Gibaldon Shrine, Magallanes                                                                                             ",578732,-,-,-
Loan Repayment                                                                                                                                          ,37100000,27543898.96,22509937.69,5033961.27
"Completion of Lajong Multi-Purpose Hall,Juban                                                                                        ",1300000,1300000,1299589,411
"Rehabilitation of Basia Multi-Pupose Building, Bacon District, Sorsogon City                                         ",4000000,4000000,3987438,12562
"Construction of Pinamanaan Water System, Pilar",2500000,2500000,-,2500000
"Upgrading of San Isidro Water System, West District, Sor.City",700000,700000,692453,75470
"Rehabilitation of Bacon Water System, Bacon District, Sor. City",1000000,1000000,994747,5253
"Concreting of Sta. Fe-Lumbang Road, Pilar",1000000,1000000,997.993,20070
"Rehab of Damaged Pontoon Bridge and Construction of Additional Roro Ramp at Pilar Port,Pilar","2,000,000.00",2000000,1994000,6000
"Concreting of Mercedes Road, Pilar",1500000,1500000,"1,495,007.00",49930
"Rehabilitation of Bagong Sirang-Macabog Road, Sor.City",2000000,200000,1982788,17212
"Rehab of Sorsogon Baywalk or Wharf, Sorsogon City",5000000,5000000,4983438,16562
"Road Reblocking of Flores St.Piot, Sorsogon City",2000000,2000000,1982674,17326
"Purchase of Land(for relocation of Informal Settlers)Mabini, Donsol",300000,-,-,-
"Development of Panumbagan Sandbar Ecotourism Project at Pilar, Sorsogon",2500000,2500000,2493000,7000
"Rehab of Drainage System, Bibincahan, Sorsogon City",1000000,1000000,996047,3953
"Rehab or Repair of Naagtan Health Center, Gubat",1000000,1000000,998725,1275
"Construction of Cogon Multipurpose Hall (Phase II) Gubat, Sor.",500000,500000,499019,981
"Completion of SK or SB Multi Purpose Hall, Pilar, Sor.",2000000,2000000,1995140,4860
"Installation of Shallow Well with Pathway, Cota na Daco, Gubat, Sor.",500000,500000,498177,1823
"Construction of Line Canal at Tiris, Gubat, Sor.",500000,500000,499079,921
"Road Opening of San Isidro Farm to Market Road, Pto. Diaz, Sor.",1500000,1500000,1492931,7069
"Concreting Along Beriran Barangay Road, Gubat, Sor.",1000000,1000000,995698,4302
"Concreting Along Ogao Barangay Road, Gubat, Sor.",1000000,"1,000,000.00",988493,11507
"Concreting Along Tiris-Tagaytay (Tagaytay Sect.) Gubat, Sor.",1000000,1000000,987809,12191
"Concreting of Millabas-Leona-Pinagsalog Road, Pilar, Sor.",3000000,3000000,2992058,7942
"Completion of Bitan-o to Baybay Access Road, Sorsogon City",2138217.41,2138217.41,2130397,782041
"Concreting of Pathway at Calateo Road, Juban",200000,200000,197050,2950
Grand Total,158066949.4,145487116.4,136852436.7,8634679.68
