function_or_program_or_project,appropriation,allotment,disbursement_obligations,unobligated_balance
"Construction of Line Canal at Purok I, Luna Candol, Gubat",500000,-,-,-
"Construction of Line Canal at Brgy. Almendras, East Dist. Sor. City",200000,200000,198600,1400
"Construction of Line Canal of San Juan (Roro) East Dist, Sor. City",200000,200000,198600,1400
"Construction of Line Canal at Brgy. Road , Bibincahan , East Dist. Sor. City",300000,300000,296232,3768
"Construction of Line Canal at BLISS Subdivision, Macabog West District, Sor. City",200000,200000,198935,1065
"Rehabilitation or Improvement of Drainage Canal in Tabon-tabon, Irosin",300000,-,-,-
"Construction of Drainage Canal in San Juan, Irosin",300000,-,-,-
"Construction of Drainage Canal in Salog, East Dist. Sor. City",500000,500000,498600,1400
"Rehab of Drainage Canal System in Bibincahan, East Dist. Sor. City","1,500,000.00","1,500,000.00","1,498,126.00",1874
"Construction of Drainage Canal in Polvorista, East Dist. Sor. City",500000,500000,499827,173
"Rehab of Drainage  System in Burabod, East Dist. Sor. City",750000,750000,748550,1450
"Construction of Drainage System in Sulucan , East Dist. Sor. City",500000,500000,498600,1400
"Construction of Drainage System in Buenavista, Bacon Dist. Sor. City",750000,750000,748900,1100
"Construction of Drainage System in Cambulaga, West Dist. Sor. City",800000,800000,798725,1275
"Construction of Drainage System in OLV Pangpang, West Dist. Sor. City",500,500000,498179,1821
"Improvement of Drainage System in Poblacion, Bacon Dist. Sor. City","1,000,000.00","1,000,000.00",997380,2620
"Construction of Drainage System at Bogna, Bacon Dist. Sor. City",500000,500000,499000,1000
"Construction of Line Canal at Sto. Domingo, Bacon Dist. Sor. City",200000,200000,198596,1404
"Construction of Line Canal at Bato, Bacon Dist. Sor. City",200000,200000,199608,392
"Construction of Line Canal at San Pascual, Bacon Dist. Sor. City",200000,200000,199139,861
"Construction of Line Canal at Balete, Bacon Dist. Sor.City",200000,200000,198388,1612
Construction of Line Canal at San Roque Bacon Dist. Sor. City,200000,200000,199389,611
Construction of Line Canal at Bogna Bacon Dist. Sor. City,200000,200000,199980,20
"Construction of Salog Footbridge, East Dist. Sor. City",250000,250000,248600,1400
"Construction of Line Canal at Talisay, West Dist. Sor. City",250000,250000,249055,945
"Construction of Line Canal in Balogo, East Dist.Sor. City",200000,200000,198000,2000
"Construction of River Control in Barayong, West Dist. Sor.City","1,500,000.00","1,500,000.00","1,497,500.00",2500
"Construction of Flood Control in San Antonio, Sta. Magdalena",750000,-,-,-
"Construction of River Control in Talisay, West Dist. Sor. City",500000,500000,498867,1133
"Construction of San Isidro River Control , West Dist. Sor. City",500000,500000,498900,1100
"Construction of River Control  or Slope Protection at Bucal-bucalan , West Dist. Sor. City",200000,200000,199780,220
"Rehabilitation of Slope Protection at Sitio Pocdol, Capuy, West Dist, Sor. City",500000,500000,498900,1100
"Construction of Slope Protection in Salvacion, Irosin",400000,-,-,-
"Rehabilitation or Improvement of MP and Slope Protection in Sitio Bisita, Abuyog","1,000,000.00","1,000,000.00",998328,1672
"Construction of Seawall in Sirangan, East Dist. Sor.City","2,000,000.00","2,000,000.00","1,998,000.00",2000
"Concreting of San Agustin Brgy. Road, Irosin","2,000,000.00",-,-,-
"Concreting of Pathway in Patag, Irosin",200000,-,-,-
"Concreting of Pathway in Cogon, Irosin",200000,-,-,-
"Development of Gibaldon Shrine, Magallanes",578732,-,-,-
Loan Repayment,50000000,15390569.7,4795465.95,10595103.75
Grand Total,143728732,63190569.7,51525741.95,11962422.75
