particulars_1,particulars_2,appropriation,supplemental_budget_number_1,supplemental_budget_number_2,supplemental_budget_number_3,realignment,declaration_of_savings,total_appropriation,expenses_in_1st_quarter,expenses_in_2nd_quarter,expenses_in_3rd_quarter,expenses_in_4th_quarter,total,balance
Office of the City Engineer,Concreting of City Road P-Mangga to KM 30,2000000,-,-,-,-,-,2000000,1906591.05,6772.35,61147.58,-,1974510.98,25489.02
Office of the City Engineer,Concreting of Road with concrete canal lining,2000000,-,-,-,-,-,2000000,1925292.08,-,20294.38,-,1945586.46,54413.54
Office of the City Engineer,Project Search for SWM Best Practice,350000,-,-,-,-,-,350000,-,-,-,-,0,350000
Office of the City Engineer,Road Maintenance,2000000,-,1500000,-,-,-,3500000,1891965.61,102468.12,1325266.13,-,3319699.86,180300.14
Office of the City Engineer,Drainage Maintenance,580000,1100000,-,-,-,-,1680000,487966.76,879678.87,235200,-,1602845.63,77154.37
Office of the City Engineer,Beautification of Parks AND Plaza Facilities,1000000,-,-,-,-,-,1000000,792876,200027.95,-,-,992903.95,7096.05
Office of the City Engineer,Construction of PC Mariculture Complex,2000000,-,-,-,-,2000000,0,-,-,-,-,0,0
Office of the City Engineer,Construction of Seawall (Phase 8),5000000,-,-,-,-,-,5000000,-,-,4718778.81,-,4718778.81,281221.19
Office of the City Engineer,Riprapping Gredu Creek (Construction),1000000,-,-,-,-,-,1000000,952384.28,-,-,-,952384.28,47615.72
Office of the City Engineer,Eco Tourism Development Project,1000000,-,-,-,-,-,1000000,-,-,-,-,0,1000000
Office of the City Engineer,Construction Canal Lining P.N. Argulles,2000000,-,-,-,-,-,2000000,1848426.84,-,46599.46,-,1895026.3,104973.7
Office of the City Engineer,Drainange or Flood Control System ( Citywide),1000000,-,-,-,-,-,1000000,798733.72,155720.39,-,-,954454.11,45545.89
Office of the City Engineer,Construction of Drainage with canal lining,-,2100000,-,-,-,-,2100000,2047211.63,-,-,-,2047211.63,52788.37
Office of the City Engineer,Canal lining - Phase 2 at Duterte St. San Francisco,-,1100000,-,-,-,-,1100000,1046589.86,-,34895.22,-,1081485.08,18514.92
Office of the City Engineer,Concreting of of Road (from Quilisadio main),-,760000,-,-,-,-,760000,-,-,716266.03,-,716266.03,43733.97
Office of the City Engineer,Construction of drainage along Panabo wharf,-,1700000,-,-,-,-,1700000,-,1623675.29,-,-,1623675.29,76324.71
Office of the City Engineer,Concreting of city road with drainage - shell gas,-,1000000,-,-,-,-,1000000,-,-,911532.69,-,911532.69,88467.31
Office of the City Engineer,Concreting of of city road with drainage - rivera hospital,-,1000000,-,-,-,-,1000000,-,-,897824.64,-,897824.64,102175.36
Office of the City Engineer,Removal and reconstruction of pedestrian,-,1500000,-,-,-,-,1500000,-,-,-,-,0,1500000
Office of the City Engineer,Construction of potable water system,-,410000,-,-,-,410000,0,-,-,-,-,0,0
Office of the City Engineer,Panabo city water system geo resistivity,-,333682.4,-,-,-,-,333682.4,-,-,-,-,0,333682.4
Office of the City Engineer,Didp equity,-,260000,-,-,-,-,260000,-,-,-,-,0,260000
Office of the City Engineer,Riprapping of canal along lauron,-,500000,-,-,-,-,500000,-,-,499397.15,-,499397.15,602.85
Office of the City Engineer,"Rehabilitation of Buenavista, Waterfall FMR",-,-,2857421.88,-,-,-,2857421.88,-,-,-,-,0,2857421.88
Office of the City Engineer,Concreting of Narra St. (Yambao Res),-,-,1000000,-,-,-,1000000,-,-,916311.05,-,916311.05,83688.95
Office of the City Engineer,Water System - Datu Abdul,-,-,425000,-,-,-,425000,-,-,420866.95,-,420866.95,4133.05
Office of the City Engineer,Improvement Multi Purpose Gym - San Pedro,-,-,710000,-,-,-,710000,-,689666.16,-,-,689666.16,20333.84
Office of the City Engineer,Installation Elec. Sevice Entrance A,-,-,26433.69,-,-,-,26433.69,-,26433.69,-,-,26433.69,0
Office of the City Engineer,Installation Elec. Sevice Entrance B,-,-,24433.69,-,-,-,24433.69,-,26433.69,-,-,24433.69,0
Office of the City Engineer,Completion of Multi Purpose Gym - Malativas,-,-,825000,-,-,-,825000,-,-,785960.65,-,785960.65,39039.35
Office of the City Engineer,Concreting of of Little panay to Katipunan - LGU Counterpart,-,-,1000000,-,-,-,1000000,-,-,-,-,0,1000000
Office of the City Engineer,Completion Of Multi Purpose Gym Sta. Cruz,-,-,660000,-,-,-,660000,-,-,637448.29,-,637448.29,22551.71
Office of the City Engineer,Concreting of city road (from old boiser,-,-,1710000,-,-,-,1710000,-,1582568.14,-,-,1582568.14,127431.86
Office of the City Engineer,Construction of senior citizen center,-,-,-,1000000,-,-,1000000,-,-,-,-,0,1000000
Office of the City Engineer,Concreting of Narra St. (from junction),-,-,-,1000000,-,-,1000000,-,-,943805.58,-,943805.58,56194.42
Grand Total,Grand Total,67000000,11763682.4,11841971.66,2000000,-,-,80985654.06,32100782.83,13163396.61,15237063.75,-,62083811.33,18901842.73
