DPT_CD,DPT_DSC,AGY_TYPE,OWNER_CD,OWNER_DSC,FPAP_CD,FPAP_DSC,AREA_CD,AREA_DSC,PS,MOOE,CO,NET
CONGRESS,Congress of the Philippines,SUBAGENCY,SET,Senate Electoral Tribunal,A.01.a.01,                  General management and supervision,140,Nationwide,1571,,,
CONGRESS,Congress of the Philippines,SUBAGENCY,SET,Senate Electoral Tribunal,A.03,        Operations,140,Nationwide,,,,
CONGRESS,Congress of the Philippines,SUBAGENCY,SET,Senate Electoral Tribunal,A.03.a,"            For Adjudication of Electoral Contests Involving Members of the Senate, Including Administrative Support",140,Nationwide,3092,,,
CONGRESS,Congress of the Philippines,AGENCY,CA,Commission on Appointments,A.01,        General Administration and Support,140,Nationwide,,,,
CONGRESS,Congress of the Philippines,AGENCY,CA,Commission on Appointments,A.01.a,            General Administration and Support Services,140,Nationwide,,,,
CONGRESS,Congress of the Philippines,AGENCY,CA,Commission on Appointments,A.01.a.01,                  General management and supervision,140,Nationwide,4508,,,
CONGRESS,Congress of the Philippines,AGENCY,CA,Commission on Appointments,A.03,        Operations,140,Nationwide,,,,
CONGRESS,Congress of the Philippines,AGENCY,CA,Commission on Appointments,A.03.a,            Review or Confirmation of Appointments Submitted to the Commission,140,Nationwide,4280,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,A.01,        General Administration and Support Services,140,Nationwide,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,A.01.a,            General Administration and Support Services,140,Nationwide,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,A.01.a.01,                  General management and supervision,140,Nationwide,59893,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,A.01.b,            Productivity Incentive Benefits,140,Nationwide,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,A.03,        Operations,140,Nationwide,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,A.03.a,            Legislative Services,140,Nationwide,57845,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,A.03.b,            Gender and development,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01,        Locally-Funded Project,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.a,            Operational Requirements of the Congressional Oversight Committee for the Legislative Commission on Asian Political and Economic Ingtegration,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.b,            Operational Requirements of the Congressional Oversight Committee on Dangerous Drugs,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.c,            Operational Requirements of the Congressional Oversight Committee on Anti-Money Laundering,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.d,            Operational Requirements of the Joint Congressional Power Commission,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.e,            Operational Requirements for the Legislative Oversight Committee to Monitor and Oversee the Implementation of the RP-US Visiting Forces Agreement,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.f,            Operational Requirements for the Congressional Oversight Committee on Official Development Assistance,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.g,            Operational Requirements of the Congressional Oversight Committee on Comprehensive Tax Reform Program,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.h,            Operational Requirements of the Joint Congressional Oversight Committee on the Clean Air Act,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.i,            Operational Requirements of the Congressional Oversight Committee on Anti-Dumping,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.j,            Operational Requirements of the Congressional Oversight Committee on the Optical Media Board,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.k,            Operational Requirements of the Congressional Oversight Committee on Biofuels,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.l,            Operational Requirements of the Congressional Oversight Committee on Absentee Voting,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.m,            Operational Requirements of the Congressional Oversight Committee on Agricultural and Fisheries Modernization,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.n,            Operational Requirements of the Joint Congressional Oversight Committee on Civil Aviation,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.o,            Operational Requirements of the Joint Congressional Oversight Committee on Ecological Solid Waste Management,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.p,            Operational Requirements of the Joint Congressional Oversight Committee on the Philippine Clean Water Act,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.q,            Operational Requirements of the Congressional Oversight Committee on Safeguard Measures Act,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.r,            Operational Requirements of the Congressional Oversight Committee on Universally-Accessible Cheaper and Quality Medicines Act,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.s,"            Operational Requirements of the Congressional Oversight Committee on Magna Carta for Micro, Small and Medium Enterprises",0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.t,            Operational Requirements of the Joint Congressional Oversight Committee on Automated Election System,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.u,            Operational Requirements of the Joint Congressional Oversight Committee on Human Security Act,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.v,            Operational Requirements of the Congressional Oversight Committee on the Physical Examination of Imported Articles,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.w,            Operational Requirements of the Congressional Oversight Committee on Credit Information System,0,CO,,,,
CONGRESS,Congress of the Philippines,SUBAGENCY,HET,House Electoral Tribunal,A.01,        General Administration and Support,140,Nationwide,,,,
CONGRESS,Congress of the Philippines,SUBAGENCY,HET,House Electoral Tribunal,A.01.a,            General Administration and Support Services,140,Nationwide,,,,
CONGRESS,Congress of the Philippines,SUBAGENCY,HET,House Electoral Tribunal,A.01.a.01,                  General management and supervision,140,Nationwide,1917,,,
CONGRESS,Congress of the Philippines,SUBAGENCY,HET,House Electoral Tribunal,A.01.b,            Productivity Incentive Benefits,140,Nationwide,,,,
CONGRESS,Congress of the Philippines,SUBAGENCY,HET,House Electoral Tribunal,A.03,        Operations,140,Nationwide,,,,
CONGRESS,Congress of the Philippines,SUBAGENCY,HET,House Electoral Tribunal,A.03.a,            Adjudication of Electoral Contests involving Members of the House of Representatives,140,Nationwide,3128,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.01,        General Administration and Support,140,Nationwide,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.01.a,            General Administration and Support Services,140,Nationwide,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.01.a.01,"                  General management and supervision, including P150,000,000 for confidential and intelligence expenses to be released upon approval of the President",140,Nationwide,13314,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.01.a.02,                  Maintenance and operation of Malacanang grounds and facilities including guesthouses,140,Nationwide,3168,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03,        Operations,140,Nationwide,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03.a,            Advisory and Consultative Council,140,Nationwide,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03.a.01,                  Advisory and consultative council,140,Nationwide,1115,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03.a.02,"                  Professional, technical and expert services",140,Nationwide,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03.b,            Public Assistance Services,140,Nationwide,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03.b.01,                  Operational requirements of the Presidential Action Center,140,Nationwide,1142,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03.c,            Conduct of Special Missions,140,Nationwide,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03.c.01,                  Conduct of special missions as may be directed  by the President,140,Nationwide,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03.c.02,                  Provision for local/foreign visit of the President,140,Nationwide,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03.d,"            Provision of Presidential Escort, Civilian and Aide-de-Camp Services",140,Nationwide,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03.d.01,"                  Provision of presidential escort,civilian and aide-de-camp services",140,Nationwide,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03.f,            Clinical Services,140,Nationwide,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03.f.01,                  Operational requirements for clinical services,140,Nationwide,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01,        Locally-Funded Projects,140,Nationwide,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.a,"            Repair/Maintenance, Purchase of Air Transportation Equipment",0,CO,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.b,            Mindanao Economic Development Council,140,Nationwide,48,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.c,            Office of North Luzon Quadrangle Area,0,CO,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.d,            Office of the Presidential Adviser on the Peace Process,140,Nationwide,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.e,            Office of External Affairs,0,CO,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.f,            Presidential Anti-Graft Commission,140,Nationwide,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.g,            Presidential Anti-Organized Crime Commission,0,CO,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.g.01,"                  Presidential Anti-Organized Crime Commission Proper, including P500,000,000 for confidential and intelligence expenses to be released upon approval of the President",140,Nationwide,1021,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.g.02,                  Office of the Special Envoy on Transnational Crime,140,Nationwide,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.g.03,                  Philippine Center on Transnational Crime,140,Nationwide,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.g.04,                  National Anti-Environment Crime Task Force,0,CO,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.h,            Presidential Visiting Forces Agreement Commission,0,CO,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.i,            Commission on Information and Communications Technology,0,CO,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.i.01,                  Office of the Chairman,0,CO,819,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.i.02,                  National Computer Center,0,CO,4787,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.i.04,                  Telecommunications Office,0,CO,72882,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.j,            EDSA People Power Commission,0,CO,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.k,            Minerals Development Council,0,CO,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.l,            Commission on Maritime and Ocean Affairs,0,CO,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.m,            Presidential Anti-Smuggling Group,0,CO,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.n,            Luzon Urban Beltway Super Region,0,CO,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.o,            Bicol River Basin Watershed Management Project,0,CO,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.p,            Office of the Presidential Adviser on Global Warming and Climate Change,0,CO,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.q,            Office of the Presidential Adviser for New Government Centers,0,CO,,,,
OVP,Office of the Vice-President,DEPARTMENT,OVP,Office of the Vice-President,A.01,        General Administration and Support,0,CO,,,,
OVP,Office of the Vice-President,DEPARTMENT,OVP,Office of the Vice-President,A.01.a,            General Administration and Support Services,0,CO,,,,
OVP,Office of the Vice-President,DEPARTMENT,OVP,Office of the Vice-President,A.01.a.01,                  General Management and Supervision,0,CO,773,,,
OVP,Office of the Vice-President,DEPARTMENT,OVP,Office of the Vice-President,A.01.b,            Productivity Incentive Benefits,0,CO,,,,
OVP,Office of the Vice-President,DEPARTMENT,OVP,Office of the Vice-President,A.03,        Operation,0,CO,,,,
OVP,Office of the Vice-President,DEPARTMENT,OVP,Office of the Vice-President,A.03.a,            Ceremonial Functions and Technical Services,0,CO,,,,
OVP,Office of the Vice-President,DEPARTMENT,OVP,Office of the Vice-President,A.03.a.01,"                  Ceremonial functions and technical services, including P6,000,000 for confidential and intelligence expenses to be released upon approval of the President",0,CO,1541,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01,        General Administration and Support,140,Nationwide,,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a,            General Administration and Support Services,140,Nationwide,,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.01,                  General Management and Supervision,140,Nationwide,,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.01.a,                      Central Office,0,CO,5645,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02,                  Regional Offices,140,Nationwide,,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.a,                      Region I,10,Region I,634,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.b,                      Cordillera Administrative Region,11,Cordillera Administrative Region,620,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.c,                      Region II,20,Region II,608,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.d,                      Region III,30,Region III,547,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.e,                      Region IV,40,Region IV,564,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.f,                      Region V,50,Region V,650,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.g,                      Region VI,60,Region VI,764,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.h,                      Region VII,70,Region VII,617,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.i,                      Region VIII,80,Region VIII,697,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.j,                      Region IX,90,Region IX,598,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.k,                      Region X,100,Region X,654,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.l,                      Region XI,110,Region XI,640,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.m,                      Region XII,120,Region XII,646,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.n,                      Region XIII,180,Region XIII,437,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.b,            Productivity Incentive Benefits,0,CO,,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02,        Support to Operations,140,Nationwide,,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a,"            Planning, Monitoring, Policy Research and Project Management",140,Nationwide,,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.01,                  Central Office,0,CO,1562,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02,                  Regional Offices,140,Nationwide,,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.a,                      Region I,10,Region I,113,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.b,                      Cordillera Administrative Region,11,Cordillera Administrative Region,257,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.c,                      Region II,20,Region II,131,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.d,                      Region III,30,Region III,134,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.e,                      Region IV,40,Region IV,132,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.f,                      Region V,50,Region V,134,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.g,                      Region VI,60,Region VI,130,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.h,                      Region VII,70,Region VII,137,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.i,                      Region VIII,80,Region VIII,43,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.j,                      Region IX,90,Region IX,136,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.k,                      Region X,100,Region X,137,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.l,                      Region XI,110,Region XI,150,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.m,                      Region XII,120,Region XII,129,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.a.02.n,                      Region XIII,180,Region XIII,,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.b,            Agrarian Reform Information and Education,140,Nationwide,,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.b.01,"                  Development of plans and programs for human resources development, including assistance to third country training on areas related to agrarian reform",0,CO,931,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.b.02,"                  Administration of the Fiduciary Fund for Agrarian Reform Education, including the payment   of P200,000 for official representation and related expenses for meals of the Department's personnel, participants from other agencies and agrarian reform beneficiaries",0,CO,,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.c,            Agrarian Legal Assistance,140,Nationwide,,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.c.01,"                  Formulation of plans, programs and policies for the dissemination of legal information, effective delivery of legal services and assistance to agrarian reform beneficiaries and landowners",0,CO,526,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.d,            Land Acquisition and Distribution,140,Nationwide,,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.d.01,"                  Development of plans, programs, policies and procedures relative to the acquisition and distribution of agricultural lands, agrarian reform beneficiary and landowner identification, land valuation and landowner's compensation",0,CO,1561,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.e,            Land Use Management and Land Development,140,Nationwide,,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.e.01,"                  Development of plans, programs, policies and procedures relative to land survey, land use capability and classification, engineering services and land consolidation",0,CO,1106,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.f,            Agrarian Reform Beneficiaries Development,140,Nationwide,,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.02.f.01,"                  Development of plans, programs and policies relative to the development of settlement areas into viable communities, including the promotion of agrarian reform beneficiaries organizations and other forms of farmer cooperation",0,CO,887,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03,        Operations,140,Nationwide,,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.a,            Agrarian Legal Assistance,140,Nationwide,,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.a.01,                  Mediation and extension of legal assistance and coordination of para-legal services to agrarian reform beneficiaries,0,CO,1346,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.a.02,                  Provision of legal assistance and services to rejected or displaced farmers/settlers in unorganized settlement areas and privately-owned farms,0,CO,,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.b,            Agrarian Reform Information and Education,140,Nationwide,,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.b.01,                  Regional Offices,140,Nationwide,,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.b.01.a,                      Region I,10,Region I,121,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.b.01.b,                      Cordillera Administrative Region,11,Cordillera Administrative Region,142,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.b.01.c,                      Region II,20,Region II,110,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.b.01.d,                      Region III,30,Region III,435,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.b.01.e,                      Region IV,40,Region IV,128,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.b.01.f,                      Region V,50,Region V,109,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.b.01.g,                      Region VI,60,Region VI,113,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.b.01.h,                      Region VII,70,Region VII,86,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.b.01.i,                      Region VIII,80,Region VIII,79,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.b.01.j,                      Region IX,90,Region IX,111,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.b.01.k,                      Region X,100,Region X,110,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.b.01.l,                      Region XI,110,Region XI,116,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.b.01.m,                      Region XII,120,Region XII,232,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.b.01.n,                      Region XIII,180,Region XIII,,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.c,            Agrarian Legal Services,140,Nationwide,,,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.03.c.01,                  Regional Offices,140,Nationwide,,,,
