particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A020,A021,A022,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"836,395","358,947","1,750,334","24,908","5,957,518","8,548","2,417","6,909,508","900,639","1,364,831","2,178,923",0,0,"46,127",0,"864,754","254,376","4,010","22,370",7,"28,556","1,610",935,"1,276",76,"21,517,065"
          National Book Development Board,508,733,82,0,574,"1,679",0,0,478,188,110,0,0,98,0,"4,794","1,193",0,"1,260",0,19,0,0,0,0,"11,716"
          National Council for Children's Television,0,183,0,87,120,0,0,0,4,"2,623",74,0,0,0,0,"1,031",79,0,41,0,27,0,0,0,0,"4,269"
          National Museum,"3,181","1,321","5,491",4,"4,555",1,0,0,"28,895",142,"2,059",0,0,340,0,"23,540",278,16,87,0,14,0,0,0,0,"69,924"
          Philippine High School for the Arts,"1,242",349,"6,428",0,"12,522",82,0,0,"2,571","1,613",62,0,0,600,0,"13,540",182,32,86,0,55,0,12,0,0,"39,376"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     State Universities and Colleges,"148,345","88,279","193,415","11,098","860,479","8,880","26,815","57,991","748,251","670,417","91,206",0,0,"41,920",0,"649,761","21,999","4,567","45,208",10,"20,571",128,"12,143",571,"2,100","3,704,154"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          NATIONAL CAPITAL REGION,"19,339","34,566","30,852",450,"387,688","3,767","26,784","24,035","329,634","280,698","57,081",0,0,"11,063",0,"170,439","11,208",583,"12,501",0,"10,516",0,"1,538",10,0,"1,412,752"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eulogio 'Amang' Rodriguez Institute of,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,566,"1,010","1,435",0,"7,308",0,0,"2,270","10,047","1,778",110,0,0,201,0,355,125,76,0,0,70,0,75,0,0,"25,426"
               Marikina Polytechnic College,92,140,102,0,920,0,0,0,"3,518",50,110,0,0,8,0,0,0,19,9,0,0,0,38,0,0,"5,006"
               Philippine Normal University,"1,037","1,748","2,021",0,"7,162",86,0,"1,540","19,793","2,735",153,0,0,"1,628",0,"16,569",66,74,0,0,197,0,791,0,0,"55,600"
               Philippine State College of Aeronautics,343,222,61,0,"1,050",133,0,0,"4,141",759,26,0,0,39,0,"1,475",325,0,561,0,2,0,0,0,0,"9,137"
               Polytechnic University of the Philippines,"1,225","6,314","1,780",50,"15,964",266,0,"9,985","37,605","1,000",162,0,0,"2,103",0,"25,606",0,0,"3,539",0,0,0,0,0,0,"105,599"
               Rizal Technological University,656,602,252,0,"1,995",56,0,794,"11,531",311,361,0,0,524,0,"14,762",44,13,610,0,79,0,107,0,0,"32,697"
               Technological University of the Philippines,"1,131",819,"1,285",0,"12,165",0,0,"2,469","18,432",642,317,0,0,529,0,"26,720",0,0,"3,421",0,0,0,0,0,0,"67,930"
               University of the Philippines System,"14,289","23,711","23,916",400,"341,124","3,226","26,784","6,977","224,567","273,423","55,842",0,0,"6,031",0,"84,952","10,648",401,"4,361",0,"10,168",0,527,10,0,"1,111,357"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region I - ILOCOS,"8,228","3,666","22,466",46,"52,944",42,0,"3,474","43,366","7,331","1,219",0,0,"2,076",0,"53,129",645,135,"4,156",0,662,0,534,127,0,"204,246"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Don Mariano Marcos Memorial State University,"2,341","1,034","7,415",0,"16,435",0,0,0,"15,165","3,884",44,0,0,198,0,"16,437",0,0,809,0,0,0,0,0,0,"63,762"
               Ilocos Sur Polytechnic State College,421,271,535,0,"4,239",0,0,0,727,266,859,0,0,94,0,"1,496",0,0,0,0,0,0,0,0,0,"8,908"
               Mariano Marcos State University,944,578,"5,977",2,"12,796",4,0,"3,474","11,057","1,010",160,0,0,698,0,"25,695",100,18,"1,420",0,89,0,20,93,0,"64,135"
               North Luzon Philippines State College,58,77,148,0,"1,058",1,0,0,751,7,0,0,0,29,0,504,0,4,22,0,9,0,20,0,0,"2,688"
               Pangasinan State University,"2,902",950,"5,354",38,"6,470",1,0,0,"8,165","1,420",46,0,0,763,0,"7,930",20,40,"1,440",0,85,0,306,34,0,"35,964"
               University of Northern Philippines,"1,562",756,"3,037",6,"11,946",36,0,0,"7,501",744,110,0,0,294,0,"1,067",525,73,465,0,479,0,188,0,0,"28,789"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          CORDILLERA ADMINISTRATIVE REGION,"5,327","1,957","10,284","1,497","22,157",374,0,100,"9,060","12,741",760,0,0,499,0,"23,226","1,425",364,"2,890",0,226,0,"1,344",30,70,"94,331"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Abra State Institute of Science and Technology,574,141,"1,395","1,159","1,528",0,0,0,724,217,129,0,0,177,0,"2,533",18,3,28,0,13,0,82,0,0,"8,721"
               Apayao State College,496,103,272,5,778,20,0,0,274,382,166,0,0,85,0,"1,280",99,5,94,0,0,0,111,0,0,"4,170"
               Benguet State University,"1,320",665,"5,561",45,"6,274",186,0,0,"4,660","6,149",154,0,0,0,0,"10,347","1,234",47,0,0,0,0,817,0,0,"37,459"
               Ifugao State University,"1,263",583,"1,869",139,"5,455",168,0,100,"1,210","4,597",68,0,0,0,0,"2,130",0,0,492,0,139,0,179,0,70,"18,462"
               Kalinga-Apayao State College,336,116,302,141,"2,163",0,0,0,902,444,162,0,0,99,0,"2,276",74,306,650,0,11,0,27,30,0,"8,039"
               Mountain Province State Polytechnic College,"1,338",349,885,8,"5,959",0,0,0,"1,290",952,81,0,0,138,0,"4,660",0,3,"1,626",0,63,0,128,0,0,"17,480"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,"7,046","5,380","4,755","1,205","31,416",198,0,10,"20,367","29,819","11,164",0,0,"1,517",0,"27,875",363,345,"2,653",0,441,80,689,10,0,"145,333"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batanes State College (Batanes,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),580,75,213,65,330,10,0,10,57,180,98,0,0,0,0,20,45,5,10,0,67,0,100,0,0,"1,865"
               Cagayan State University,"2,479","1,800",865,18,"17,773",2,0,0,"5,854","9,161","10,580",0,0,154,0,"8,929",95,164,804,0,48,0,70,0,0,"58,796"
               Isabela State University,"1,896","2,074","2,624",63,"6,577",186,0,0,"6,829","18,256",270,0,0,809,0,"10,879",221,95,771,0,315,80,387,10,0,"52,342"
               Nueva Vizcaya State University ( NVSIT,,,,,,,,,,,,,,,,,,,,,,,,,,
                     and NVSPC),"1,703","1,344",866,"1,058","5,801",0,0,0,"6,769","2,121",122,0,0,469,0,"6,211",0,77,"1,060",0,11,0,70,0,0,"27,682"
               Quirino State College,388,87,187,1,935,0,0,0,858,101,94,0,0,85,0,"1,836",2,4,8,0,0,0,62,0,0,"4,648"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region III - CENTRAL LUZON,"10,402","5,922","14,324",67,"64,530",752,0,163,"87,263","61,132","5,604",0,0,"4,077",0,"38,362",819,613,"1,232",0,909,0,"1,789",0,0,"297,960"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aurora State College of Technology,621,273,144,26,"1,253",171,0,10,849,"2,593",78,0,0,122,0,535,87,21,266,0,59,0,249,0,0,"7,357"
               Bataan Peninsula State University,"1,912","1,203","2,538",2,"5,045",86,0,0,"8,799","4,621",12,0,0,96,0,"2,818",0,0,0,0,117,0,0,0,0,"27,249"
               Central Luzon State University,819,305,0,0,"7,779",4,0,0,"15,606","12,853","2,001",0,0,"1,276",0,"7,800",93,19,115,0,0,0,239,0,0,"48,909"
               Bulacan State University,"1,773","1,222","2,227",0,"6,095",0,0,0,"19,680","9,052","2,530",0,0,178,0,"9,475",0,24,0,0,0,0,82,0,0,"52,338"
               Bulacan Agricultural State College,130,211,939,0,639,0,0,0,"1,477","1,312",154,0,0,64,0,222,53,19,62,0,34,0,52,0,0,"5,368"
               Don Honorio Ventura Technological State,,,,,,,,,,,,,,,,,,,,,,,,,,
                     University (DHVCAT),615,388,705,0,"3,119",0,0,139,"1,614","8,400",130,0,0,152,0,"3,359",0,0,0,0,93,0,0,0,0,"18,714"
               Nueva Ecija University of Science and Technology,834,209,"2,809",30,"7,315",394,0,0,"7,967","7,239",96,0,0,687,0,"2,111",191,363,25,0,0,0,499,0,0,"30,769"
               Pampanga Agricultural College,618,270,466,0,"2,271",0,0,0,"3,412","2,353",125,0,0,192,0,"1,267",200,0,233,0,180,0,208,0,0,"11,795"
               Philippine Merchant Marine Academy,827,499,883,5,"23,053",6,0,0,"9,408",161,66,0,0,684,0,"5,273",15,14,43,0,161,0,48,0,0,"41,146"
               Ramon Magsaysay Technological University,803,447,"2,622",0,"4,466",91,0,0,"3,265","9,572",180,0,0,143,0,"2,342",22,53,173,0,31,0,120,0,0,"24,330"
               Tarlac College of Agriculture,395,188,689,0,"2,129",0,0,14,"3,624",453,122,0,0,258,0,183,0,77,37,0,122,0,179,0,0,"8,470"
               Tarlac State University,"1,055",707,302,4,"1,366",0,0,0,"11,562","2,523",110,0,0,225,0,"2,977",158,23,278,0,112,0,113,0,0,"21,515"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-A - CALABARZON,"10,864","5,832","25,022",69,"42,781",226,0,"2,353","39,038","34,271",789,0,0,"3,399",0,"55,992","1,301",285,"1,541",0,811,0,966,0,0,"225,540"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batangas State University,"1,217","1,534","2,677",4,"6,261",4,0,126,"13,686","12,274",122,0,0,518,0,"20,026",218,90,671,0,228,0,0,0,0,"59,656"
               Cavite State University,"4,052",812,"13,581",8,"14,800",121,0,5,"8,474","11,073",322,0,0,814,0,"19,101",321,47,378,0,242,0,630,0,0,"74,781"
               Laguna State Polytechnic University,,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Laguna State Polytechnic College),978,916,"1,270",38,"4,439",0,0,0,"4,876","4,646",110,0,0,602,0,"5,154",143,53,24,0,178,0,139,0,0,"23,566"
               Southern Luzon State University,,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Luzon Polytechnic College),"2,717","1,078","5,884",19,"6,463",101,0,"2,211","2,956",624,113,0,0,"1,311",0,"9,013",565,65,468,0,79,0,197,0,0,"33,864"
               University of Rizal System,"1,900","1,492","1,610",0,"10,818",0,0,11,"9,046","5,654",122,0,0,154,0,"2,698",54,30,0,0,84,0,0,0,0,"33,673"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-B - MIMAROPA,"7,167","3,297","8,358",81,"16,314",533,1,0,"15,017","24,414","1,947",0,0,"2,251",0,"9,600",936,586,291,0,574,0,504,0,0,"91,871"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Marinduque State College,989,651,329,0,"2,815",0,0,0,"1,684","5,800",409,0,0,114,0,"1,804",170,38,56,0,69,0,46,0,0,"14,974"
               Mindoro State College of Agriculture and Technology,696,398,645,0,"1,532",144,1,0,"1,579","1,045",236,0,0,152,0,127,6,47,63,0,24,0,118,0,0,"6,813"
               Occidental Mindoro State College,,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Occidental Mindoro National College),348,139,112,7,"1,095",143,0,0,"1,381","1,463",96,0,0,177,0,"5,594",0,0,0,0,0,0,103,0,0,"10,658"
               Palawan State University,"2,821","1,216","4,148",22,"5,919",18,0,0,"7,731","12,135",654,0,0,"1,392",0,385,760,501,172,0,481,0,145,0,0,"38,500"
               Romblon State University (Romblon State College),930,488,"1,856",52,"2,680",0,0,0,944,293,456,0,0,41,0,388,0,0,0,0,0,0,92,0,0,"8,220"
               Western Philippines University,"1,383",405,"1,268",0,"2,273",228,0,0,"1,698","3,678",96,0,0,375,0,"1,302",0,0,0,0,0,0,0,0,0,"12,706"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region V - BICOL,"10,932","3,501","6,514","2,225","40,697",442,0,"8,262","31,973","70,365","1,487",0,0,"3,071",0,"50,911","1,051",199,"3,740",0,669,0,506,0,25,"236,570"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bicol University,"3,441","1,042",794,"1,223","13,863",48,0,"7,939","9,777","13,291",326,0,0,"1,551",0,"21,910",329,77,"1,223",0,264,0,58,0,0,"77,156"
               Camarines Norte State College,"1,314",345,0,70,"1,122",0,0,0,"1,940","7,394",394,0,0,250,0,"2,650",182,52,70,0,11,0,67,0,25,"15,886"
               Camarines Sur Polytechnic Colleges,851,255,"1,885",19,"5,453",134,0,0,"5,260","2,933",110,0,0,321,0,"6,650",12,36,194,0,22,0,40,0,0,"24,175"
               Central Bicol State University of,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture  (Camarines Sur State,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Agricultural College),"1,421","1,129",938,436,"7,416",41,0,20,"5,561","1,998",115,0,0,202,0,"5,810",152,30,640,0,121,0,75,0,0,"26,105"
               Catanduanes State Colleges,561,99,379,454,"5,393",0,0,0,"2,624","11,606",117,0,0,206,0,"9,178",247,0,454,0,199,0,135,0,0,"31,652"
"               Dr. Emilio B. Espinosa, Sr. Memorial",,,,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Agriculture and Technology,918,157,913,10,"2,048",82,0,0,804,"1,091",97,0,0,54,0,60,29,2,0,0,32,0,130,0,0,"6,427"
               Partido State University,862,245,441,9,"2,161",6,0,0,"1,850","21,023",122,0,0,244,0,"2,474",100,2,358,0,20,0,1,0,0,"29,918"
               Sorsogon State College,"1,564",229,"1,164",4,"3,241",131,0,303,"4,157","11,029",206,0,0,243,0,"2,179",0,0,801,0,0,0,0,0,0,"25,251"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region VI - WESTERN VISAYAS,"12,831","6,504","15,000","2,173","51,030",4,0,25,"35,470","26,541","1,937",0,0,"2,130",0,"65,450",627,274,"1,121",0,350,0,388,18,"1,639","223,512"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aklan State University,"2,173",873,482,855,"2,906",2,0,0,"2,376","4,547",138,0,0,220,0,"4,843",153,78,579,0,39,0,51,0,0,"20,315"
               Capiz State University,"1,890",759,"2,349",257,"6,448",0,0,0,"2,295","5,328",80,0,0,108,0,"6,913",273,43,0,0,25,0,62,0,0,"26,830"
               Carlos C. Hilado Memorial State College,817,374,532,7,"2,854",0,0,25,"3,113","1,307",251,0,0,120,0,"1,747",0,2,0,0,133,0,87,0,"1,624","12,993"
               Guimaras State College,320,5,497,26,283,0,0,0,225,"1,260",110,0,0,265,0,553,0,0,21,0,0,0,0,0,0,"3,565"
               Iloilo State College of Fisheries,594,341,534,21,"1,411",0,0,0,"1,999",559,353,0,0,420,0,"11,562",166,6,325,0,53,0,44,0,0,"18,388"
               Negros State College of Agriculture,753,373,767,92,"2,908",2,0,0,943,"6,188",264,0,0,60,0,964,0,2,196,0,0,0,76,18,0,"13,606"
               Northern Iloilo Polytechnic State College,"2,400",673,"1,566",0,"3,975",0,0,0,"2,889",574,266,0,0,126,0,"4,589",33,143,0,0,70,0,0,0,0,"17,304"
               Northern Negros State College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,193,263,"1,139",0,311,0,0,0,"1,436",181,69,0,0,0,0,135,0,0,0,0,0,0,3,0,0,"3,730"
               University of Antique (Polytechnic State,,,,,,,,,,,,,,,,,,,,,,,,,,
                     College of Antique),"1,025",196,948,514,"3,952",0,0,0,"1,878","1,091",122,0,0,193,0,"2,385",0,0,0,0,17,0,0,0,0,"12,321"
               Western Visayas College of Science and Technology,"1,124",372,"5,514",399,"6,136",0,0,0,"4,912",828,122,0,0,163,0,"6,835",0,0,0,0,0,0,0,0,0,"26,405"
               West Visayas State University,"1,542","2,275",672,2,"19,846",0,0,0,"13,404","4,678",162,0,0,455,0,"24,924",2,0,0,0,13,0,65,0,15,"68,055"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region VII - CENTRAL VISAYAS,"6,491","1,029","16,297",342,"18,336",31,0,174,"17,784","24,300",694,0,0,913,0,"30,566",606,403,"1,615",0,697,0,606,0,0,"120,884"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cebu Normal University,191,285,200,0,"7,100",0,0,159,"4,546","8,351",112,0,0,282,0,"9,208",0,65,0,0,178,0,50,0,0,"30,727"
               Cebu Technological University (Cebu,,,,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Science and Technology),"4,225",48,"4,784",96,"2,909",0,0,0,438,"2,824",163,0,0,57,0,"14,884",40,0,815,0,0,0,97,0,0,"31,380"
               Bohol Island State University  (Central,,,,,,,,,,,,,,,,,,,,,,,,,,
"                     Visayas State College of Agr., ",,,,,,,,,,,,,,,,,,,,,,,,,,
                     Forestry and Tech.),"1,167",446,"1,256",23,"4,041",0,0,0,"3,285","1,160",162,0,0,425,0,"1,244",279,338,530,0,420,0,135,0,0,"14,911"
               Negros Oriental State University,,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Central Visayas Polytechnic College),743,199,"9,844",48,"3,414",31,0,0,"8,727","11,843",175,0,0,76,0,"5,114",287,0,126,0,0,0,257,0,0,"40,884"
               Siquijor State College,165,51,213,175,872,0,0,15,788,122,82,0,0,73,0,116,0,0,144,0,99,0,67,0,0,"2,982"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region VIII - EASTERN VISAYAS,"11,940","5,383","10,110","1,646","36,296",264,2,810,"25,610","30,181","1,272",0,0,"2,907",0,"40,891",518,59,"5,829",0,"2,277",0,622,0,0,"176,617"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eastern Samar State University,"1,797",736,688,0,"2,498",44,2,0,"1,430","11,562",122,0,0,283,0,"1,704",0,15,0,0,9,0,67,0,0,"20,957"
               Eastern Visayas State University (Leyte,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Institute of Technology),"2,283",790,493,0,"3,639",0,0,0,"4,480","3,373",145,0,0,145,0,"5,679",332,0,"1,395",0,22,0,90,0,0,"22,866"
