roman,particulars,amt_a,amt_b,amt_c,amt_d,sw1,sw_title
,"               036  Office Equipment, Furniture and Fixtures",6138709,7688387,7688387,8690750,,
,               037  Work Animals Outlay,19998,29,29,1088,,
,               038  Transportation Equipment,861635,11152177,11152177,6758092,,
,               040  Machineries and Equipment,6440338,13332600,13332600,13852110,,
,               041  Public Infrastructures,136475259,184379241,183291924,230259410,,
,               042  Reforestation Projects,1144535,1522291,1522291,3123612,1,
,,,,,,,
,TOTAL CAPITAL OUTLAYS,182247228,254494488,254494488,298701833,1,
,,,,,,,
III.,NET LENDING,,,,,,
,,,,,,,
,               960  Net Lending,18055000,23000000,23000000,26500000,1,
,,,,,,,
,TOTAL NET LENDING,18055000,23000000,23000000,26500000,1,
,,,,,,,
,TOTAL OBLIGATIONS OF THE NATIONAL GOVERNMENT,1580016548,1815998518,1816000000,2006000000,1,
