particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A020,A021,A022,A023,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
          Fertilizer and Pesticide Authority,"4,096","1,408","2,215",10,"4,865",300,0,0,"3,930",350,110,0,0,835,0,0,"6,780",560,813,309,0,41,0,150,0,0,"26,772"
          Fiber Industry Development Authority,"10,732","2,689","1,354",378,"13,836","9,517",0,0,"6,195","4,016",768,0,0,810,0,0,"20,261",985,253,850,0,76,0,104,0,0,"72,824"
          Livestock Development Council,"5,365",861,"1,100",0,"3,692",0,0,"5,000",660,659,150,0,0,75,0,0,"6,766","1,116",660,"5,860",0,70,0,120,20,0,"32,174"
          National Agricultural and Fishery Council,"32,237","4,151","1,340",400,"11,473",100,0,"360,984","3,870","53,203",162,0,0,"1,047",0,0,"54,443","1,340",140,110,0,50,0,150,0,0,"525,200"
          National Meat Inspection Service,"16,200","2,699","4,650",50,"19,850",950,0,"50,000","7,353","10,520",150,0,0,580,0,0,"21,083","8,650",223,0,0,179,0,0,0,0,"143,137"
          Philippine Carabao Center,"21,385","4,825","10,120",600,"105,529","3,020",0,0,"12,800","43,333",110,0,0,"2,555",0,0,"66,155","6,405",300,420,0,200,0,400,0,0,"278,157"
          Philippine Center for Postharvest Development,,,,,,,,,,,,,,,,,,,,,,,,,,,
                and Mechanization,"13,827","2,566","2,585",16,"16,815",642,0,"16,500","5,075","7,627",110,0,0,"1,500",0,0,"17,610","2,644",783,"4,483",0,107,"1,000",120,0,50,"94,060"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Budget and Management,"26,255","14,811","14,453",0,"36,548","8,951",0,0,"45,158","30,390","5,278",0,0,"6,395",0,0,"214,434","23,700","3,033","22,909",0,"1,283",720,15,0,0,"454,333"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"23,767","13,838","13,913",0,"35,304","7,482",0,0,"44,493","23,858","5,168",0,0,"6,165",0,0,"213,056","23,529","2,400","21,875",0,"1,251",720,15,0,0,"436,834"
          Government Procurement Policy Board -,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Technical Support Office,"2,488",973,540,0,"1,244","1,469",0,0,665,"6,532",110,0,0,230,0,0,"1,378",171,633,"1,034",0,32,0,0,0,0,"17,499"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Education,"1,504,120","770,195","1,511,057","59,859","7,134,962","42,941",0,"12,325,934","1,842,975","3,433,187","26,087",0,0,"91,273",0,0,"633,066","443,970","45,177","63,851",0,"54,105",0,20,"10,389",0,"29,993,168"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"1,490,759","767,122","1,484,655","59,605","7,112,890","40,909",0,"12,325,934","1,787,860","3,429,700","25,546",0,0,"90,192",0,0,"568,093","441,359","44,322","62,093",0,"54,020",0,0,"10,389",0,"29,795,448"
          National Book Development Board,412,636,145,0,652,"1,815",0,0,550,400,110,0,0,100,0,0,"3,949","1,180",450,"1,400",0,15,0,5,0,0,"11,819"
          National Council for Children's Television,800,199,0,249,149,0,0,0,0,"1,100",211,0,0,30,0,0,800,640,200,90,0,20,0,0,0,0,"4,488"
          National Museum,"10,289","1,842","12,000",0,"7,940",0,0,0,"52,000",350,110,0,0,235,0,0,"46,984",500,150,180,0,0,0,0,0,0,"132,580"
          Philippine High School for the Arts,"1,860",396,"14,257",5,"13,331",217,0,0,"2,565","1,637",110,0,0,716,0,0,"13,240",291,55,88,0,50,0,15,0,0,"48,833"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     State Universities and Colleges,"329,793","150,948","723,899","23,206","1,775,321","16,897","28,361","59,507","1,324,188","849,937","85,193",0,0,"85,823",0,0,"756,183","46,404","11,653","82,808",210,"39,370","4,295","28,905","4,501","2,047","6,429,449"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          NATIONAL CAPITAL REGION,"49,544","46,580","136,715","2,227","794,126","7,911","26,786","22,659","662,165","513,271","30,331",0,0,"23,019",0,0,"202,644","11,742",792,"11,140",0,"10,181",0,"4,814",0,0,"2,556,647"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eulogio 'Amang' Rodriguez Institute of,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,266,840,200,0,"10,828",0,0,0,"17,572",478,110,0,0,200,0,0,0,100,75,0,0,70,0,75,0,0,"30,814"
               Marikina Polytechnic College,70,120,100,0,"8,046",0,0,0,"4,171",300,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,917"
               Philippine Normal University,"2,500","2,472","10,500",0,"47,866",85,0,0,"50,811","9,012",419,0,0,"1,700",0,0,"12,883",95,130,0,0,204,0,100,0,0,"138,777"
               Philippine State College of Aeronautics,500,436,200,0,"10,254",826,0,0,"2,008",500,94,0,0,"1,040",0,0,150,0,0,585,0,5,0,0,0,0,"16,598"
               Polytechnic University of the Philippines,"1,225","6,314","3,728",50,"54,074",266,0,0,"86,086","1,000",162,0,0,"1,103",0,0,"16,269",0,0,"3,539",0,0,0,0,0,0,"173,816"
               Rizal Technological University,912,354,"1,240",0,"15,416",0,0,5,"19,516",300,110,0,0,50,0,0,"8,312",50,20,588,0,0,0,0,0,0,"46,873"
               Technological University of the Philippines,"1,607","1,254","2,867",0,"25,543",0,0,0,"32,589","1,454",273,0,0,0,0,0,"13,878",0,0,940,0,0,0,0,0,0,"80,405"
               University of the Philippines System,"42,464","34,790","117,880","2,177","622,099","6,734","26,786","22,654","449,412","500,227","29,053",0,0,"18,926",0,0,"151,152","11,497",567,"5,488",0,"9,902",0,"4,639",0,0,"2,056,447"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region I - ILOCOS,"14,958","6,106","80,975",285,"77,119",235,0,"4,341","52,680","11,610",996,0,0,"7,112",0,0,"30,336","3,222",355,"9,816",0,"3,034","1,500","1,695","1,239",100,"307,714"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Don Mariano Marcos Memorial State University,"2,305",924,"35,132",0,"13,253",0,0,150,"13,419","2,717",326,0,0,570,0,0,840,"2,027",0,"3,120",0,"1,135","1,500",613,"1,060",0,"79,091"
               Ilocos Sur Polytechnic State College,"1,716",173,"1,151",0,"9,600",0,0,73,"1,157",299,146,0,0,62,0,0,"1,577",0,0,0,0,0,0,0,0,0,"15,954"
               Mariano Marcos State University,"2,268","1,154","11,551",190,"16,921",120,0,"3,474","12,951","1,972",162,0,0,770,0,0,"19,881",345,100,"2,866",0,644,0,242,100,100,"75,811"
               North Luzon Philippines State College,435,187,376,0,"1,268",0,0,0,910,375,20,0,0,106,0,0,100,50,20,120,0,60,0,85,0,0,"4,112"
               Pangasinan State University,"4,747","1,848","25,920",45,"14,742",43,0,644,"7,600","4,987",180,0,0,"5,114",0,0,"6,478",500,100,"2,210",0,650,0,500,79,0,"76,387"
               University of Northern Philippines,"3,487","1,820","6,845",50,"21,335",72,0,0,"16,643","1,260",162,0,0,490,0,0,"1,460",300,135,"1,500",0,545,0,255,0,0,"56,359"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
          CORDILLERA ADMINISTRATIVE REGION,"14,174","4,250","21,800","1,445","59,231",557,0,600,"13,383","15,448",691,0,0,327,0,0,"27,542","4,345",167,"1,147",0,539,40,"1,698",0,0,"167,384"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Abra State Institute of Science and Technology,"1,319",225,646,0,"7,853",0,0,0,742,650,121,0,0,150,0,0,"3,068",275,94,110,0,105,0,120,0,0,"15,478"
               Apayao State College,482,129,223,50,"3,462",183,0,0,289,"2,410",110,0,0,153,0,0,251,215,10,104,0,66,40,83,0,0,"8,260"
               Benguet State University,"6,488","2,349","15,254",47,"17,174",196,0,0,"7,100","6,355",162,0,0,0,0,0,"12,806","2,100",50,0,0,0,0,860,0,0,"70,941"
               Ifugao State University,"2,400",916,"2,996",370,"9,080",168,0,600,"1,870","1,350",68,0,0,0,0,0,"6,608",0,0,0,0,350,0,350,0,0,"27,126"
               Kalinga-Apayao State College,570,145,410,228,"8,305",10,0,0,"1,793","3,528",120,0,0,24,0,0,"1,305","1,755",13,933,0,18,0,285,0,0,"19,442"
               Mountain Province State Polytechnic College,"2,915",486,"2,271",750,"13,357",0,0,0,"1,589","1,155",110,0,0,0,0,0,"3,504",0,0,0,0,0,0,0,0,0,"26,137"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,"12,992","6,978","12,828","1,241","73,636",660,0,372,"24,085","38,554",626,0,0,"2,029",0,0,"60,813","1,464",455,"8,145",0,"1,727",50,"1,073",1,0,"247,729"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batanes State College (Batanes,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),"1,312",158,719,95,"1,159",10,0,12,493,300,110,0,0,8,0,0,39,181,5,36,0,79,0,17,0,0,"4,733"
               Cagayan State University,"4,591","3,441","6,060",0,"27,541",404,0,360,"8,596","10,951",122,0,0,900,0,0,"16,085",424,344,"5,906",0,0,50,444,0,0,"86,219"
               Isabela State University,"3,942","1,855","3,724",68,"24,078",170,0,0,"8,591","18,757",162,0,0,607,0,0,"37,246",591,38,"1,038",0,"1,624",0,40,1,0,"102,532"
               Nueva Vizcaya State University ( NVSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     and NVSPC),"2,621","1,354","1,180","1,078","18,876",0,0,0,"5,005","7,505",122,0,0,427,0,0,"6,267",100,42,"1,078",0,0,0,430,0,0,"46,085"
               Quirino State College,526,170,"1,145",0,"1,982",76,0,0,"1,400","1,041",110,0,0,87,0,0,"1,176",168,26,87,0,24,0,142,0,0,"8,160"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region III - CENTRAL LUZON,"18,535","10,094","59,757","1,214","143,711","1,763",0,780,"121,696","31,522","14,947",0,0,"7,573",0,0,"61,677","3,981","1,878","5,353",0,"2,277",20,"3,814",600,10,"491,202"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aurora State College of Technology,990,450,400,80,"1,980",200,0,100,"1,500",300,530,0,0,250,0,0,"3,389",250,150,420,0,100,0,400,0,0,"11,489"
               Bataan Peninsula State University,"3,275","1,252","6,551",809,"18,857",230,0,520,"10,473","5,611",242,0,0,265,0,0,"2,875",0,170,0,0,87,0,0,0,0,"51,217"
               Central Luzon State University,"2,000","1,218","13,862",0,"28,780",103,0,0,"25,230","12,011","1,826",0,0,0,0,0,440,470,0,115,0,0,0,68,0,0,"86,123"
               Bulacan State University,"3,430","2,115","7,785",0,"13,170",0,0,0,"31,200","2,625","5,410",0,0,"2,690",0,0,"19,096",80,25,800,0,235,20,80,600,0,"89,361"
               Bulacan Agricultural State College,475,438,"2,350",100,"1,000",0,0,0,"2,000",550,110,0,0,100,0,0,150,100,200,"1,260",0,100,0,300,0,0,"9,233"
               Don Honorio Ventura Technological State,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     University (DHVCAT),818,504,"1,315",0,"16,381",0,0,0,"6,464","1,632",110,0,0,298,0,0,"5,132",453,175,0,0,130,0,373,0,0,"33,785"
               Nueva Ecija University of Science and Technology,"1,511",458,"6,880",65,"13,400",695,0,0,"13,399","2,805",122,0,0,"1,240",0,0,"5,456",425,690,125,0,350,0,825,0,0,"48,446"
               Pampanga Agricultural College,500,579,"8,000",35,"5,885",200,0,140,"3,644","1,100",122,0,0,"1,000",0,0,"2,314",450,90,515,0,200,0,570,0,0,"25,344"
               Philippine Merchant Marine Academy,835,500,800,10,"24,048",0,0,0,"6,888",230,110,0,0,600,0,0,"4,705",115,75,75,0,165,0,150,0,0,"39,306"
               Ramon Magsaysay Technological University,"1,305",320,"4,020",100,"5,436",200,0,0,"4,230",690,180,0,0,500,0,0,"3,800",280,150,"1,400",0,500,0,435,0,0,"23,546"
               Tarlac College of Agriculture,"1,837",410,"6,919",0,"3,970",0,0,0,"4,313","1,180","2,151",0,0,100,0,0,"1,090",350,100,145,0,143,0,300,0,0,"23,008"
               Tarlac State University,"1,559","1,850",875,15,"10,804",135,0,20,"12,355","2,788","4,034",0,0,530,0,0,"13,230","1,008",53,498,0,267,0,313,0,10,"50,344"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-A - CALABARZON,"16,412","13,234","38,823","1,173","70,254",745,0,"2,559","56,131","30,400","10,286",0,0,"3,847",0,0,"50,214","2,230",769,"2,409",0,"2,302",150,"3,373",710,0,"306,021"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batangas State University,"1,820","4,300","10,800",100,"12,766",0,0,0,"16,080","8,000",122,0,0,"1,200",0,0,"14,800",400,150,"1,000",0,"1,000",0,370,0,0,"72,908"
               Cavite State University,"5,804","1,181","10,503",495,"12,245",637,0,295,"10,102","5,606","9,764",0,0,371,0,0,"5,991",489,338,380,0,615,0,"1,113",0,0,"65,929"
               Laguna State Polytechnic University,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Laguna State Polytechnic College),"1,969","1,975","3,487",242,"9,138",0,0,0,"8,217","5,550",110,0,0,"1,405",0,0,"17,079",115,41,25,0,181,0,200,110,0,"49,844"
               Southern Luzon State University,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Luzon Polytechnic College),"3,127","1,238","9,673",50,"16,177",108,0,"1,360","5,618","4,208",168,0,0,589,0,0,"7,974","1,118",132,454,0,274,0,250,0,0,"52,518"
               University of Rizal System,"3,692","4,540","4,360",286,"19,928",0,0,904,"16,114","7,036",122,0,0,282,0,0,"4,370",108,108,550,0,232,150,"1,440",600,0,"64,822"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-B - MIMAROPA,"20,408","5,343","40,604",601,"33,478",745,0,300,"23,687","20,647",986,0,0,"4,241",0,0,"12,367","2,714",570,"1,700",200,"2,352","2,075","2,039",50,0,"175,107"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Marinduque State College,"1,250",500,"4,000",100,"3,000",156,0,0,"3,500","1,250",94,0,0,"2,460",0,0,"2,900",500,200,100,0,296,75,600,50,0,"21,031"
               Mindoro State College of Agriculture and Technology,"1,065",430,"6,715",0,"3,400",150,0,0,"1,868",924,110,0,0,196,0,0,356,182,50,300,0,40,0,228,0,0,"16,014"
               Occidental Mindoro State College,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Occidental Mindoro National College),798,287,"4,754",56,"5,635",115,0,0,"1,780","5,373",94,0,0,165,0,0,"1,199",32,0,0,0,16,0,36,0,0,"20,340"
               Palawan State University,"10,000","2,733","10,000",100,"12,000",120,0,300,"11,000","7,800",500,0,0,700,0,0,"1,200","2,000",320,"1,300",200,"2,000","2,000",500,0,0,"64,773"
               Romblon State University (Romblon State College),"3,578",537,"8,100",345,"2,443",0,0,0,"1,745","1,500",94,0,0,191,0,0,"2,574",0,0,0,0,0,0,675,0,0,"21,782"
               Western Philippines University,"3,717",856,"7,035",0,"7,000",204,0,0,"3,794","3,800",94,0,0,529,0,0,"4,138",0,0,0,0,0,0,0,0,0,"31,167"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region V - BICOL,"23,852","6,188","22,560","2,729","61,520",758,0,"1,315","47,702","38,213","11,426",0,0,"6,941",0,0,"64,768","2,525","1,009","5,469",0,"2,087",0,"1,200",0,100,"300,362"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bicol University,"7,320","1,785","5,904","1,236","19,336",50,0,0,"14,476","21,314",162,0,0,"3,282",0,0,"33,105",745,227,"1,236",0,"1,025",0,200,0,0,"111,403"
               Camarines Norte State College,"2,534",799,0,672,"6,600",0,0,0,"2,407","2,656",448,0,0,650,0,0,400,670,264,672,0,63,0,434,0,100,"19,369"
               Camarines Sur Polytechnic Colleges,"1,100",326,"5,273",25,"6,051",200,0,0,"5,220","3,844",110,0,0,300,0,0,"9,637",50,20,570,0,70,0,50,0,0,"32,846"
               Central Bicol State University of,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture  (Camarines Sur State,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Agricultural College),"4,509","1,040","4,648",436,"9,859",70,0,115,"7,448","3,690","2,790",0,0,"1,045",0,0,"4,589",335,413,652,0,271,0,225,0,0,"42,135"
               Catanduanes State Colleges,"2,125",122,220,50,"5,917",0,0,0,"4,550","2,225","7,156",0,0,125,0,0,"2,925",35,0,0,0,362,0,125,0,0,"25,937"
"               Dr. Emilio B. Espinosa, Sr. Memorial",,,,,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Agriculture and Technology,"1,300",243,"1,097",100,"4,389",97,0,0,984,"1,413",110,0,0,186,0,0,903,190,65,366,0,50,0,131,0,0,"11,624"
               Partido State University,"1,694",658,"1,068",10,"4,780",41,0,0,"5,617","1,121",430,0,0,553,0,0,"6,202",500,20,873,0,76,0,35,0,0,"23,678"
               Sorsogon State College,"3,270","1,215","4,350",200,"4,588",300,0,"1,200","7,000","1,950",220,0,0,800,0,0,"7,007",0,0,"1,100",0,170,0,0,0,0,"33,370"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region VI - WESTERN VISAYAS,"31,082","10,648","87,732","4,939","116,428",337,0,112,"69,156","23,590","3,155",0,0,"5,729",0,0,"42,893","3,140","1,670","5,712",0,"3,370",40,925,943,364,"411,965"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aklan State University,"2,371","1,039","17,973",64,"4,952",40,0,0,"3,743",718,110,0,0,522,0,0,"7,500",137,94,0,0,75,0,89,0,24,"39,451"
               Capiz State University,"4,530",800,"7,954","1,956","8,000",0,0,0,"17,981","6,470",110,0,0,400,0,0,0,500,500,0,0,470,0,0,0,0,"49,671"
               Carlos C. Hilado Memorial State College,"2,400",872,"13,410",0,"9,715",0,0,0,"3,700","1,400",110,0,0,"1,780",0,0,"2,965",80,215,0,0,420,0,75,0,0,"37,142"
               Guimaras State College,460,140,"1,296",70,"1,350",0,0,0,"1,200","1,040",98,0,0,320,0,0,590,0,200,430,0,0,0,310,0,0,"7,504"
               Iloilo State College of Fisheries,"1,262",602,"4,961",30,"2,960",150,0,0,"3,651","1,500",380,0,0,217,0,0,"2,651",174,70,215,0,105,0,139,0,0,"19,067"
               Negros State College of Agriculture,740,498,"3,628",128,"6,605",15,0,0,"3,139","2,024",288,0,0,125,0,0,"2,795",254,90,441,0,3,0,110,0,0,"20,883"
               Northern Iloilo Polytechnic State College,"2,914",820,"7,199",0,"4,941",0,0,0,"2,668",989,110,0,0,205,0,0,"2,056",482,269,781,0,0,0,0,300,0,"23,734"
               Northern Negros State College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,"1,641",798,"2,059",443,"1,114",112,0,112,"1,493",943,"1,543",0,0,0,0,0,352,503,232,495,0,227,40,152,543,0,"12,802"
               University of Antique (Polytechnic State,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     College of Antique),"1,800",579,"10,319",550,"8,953",0,0,0,"4,824","1,276",122,0,0,350,0,0,"1,573",510,0,400,0,330,0,0,0,0,"31,586"
               Western Visayas College of Science and Technology,"4,100",920,"10,300","1,478","13,182",0,0,0,"11,760","2,130",122,0,0,190,0,0,"14,800",0,0,"1,000",0,0,0,0,0,0,"59,982"
               West Visayas State University,"8,864","3,580","8,633",220,"54,656",20,0,0,"14,997","5,100",162,0,0,"1,620",0,0,"7,611",500,0,"1,950",0,"1,740",0,50,100,340,"110,143"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region VII - CENTRAL VISAYAS,"39,363","4,758","35,192","1,638","70,131",227,0,240,"39,875","45,568",849,0,0,"3,624",0,0,"28,482","1,955",792,"7,990",0,"1,639",0,"1,255",400,100,"284,078"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cebu Normal University,500,500,"3,000",0,"16,892",0,0,200,"12,000","20,000",122,0,0,"1,000",0,0,"10,000",50,50,0,0,250,0,200,0,0,"64,764"
               Cebu Technological University (Cebu,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Science and Technology),"30,953",500,"16,148",355,"22,210",0,0,0,"2,500","11,797",150,0,0,180,0,0,"2,087",250,0,"5,391",0,0,0,400,400,100,"93,421"
               Bohol Island State University  (Central,,,,,,,,,,,,,,,,,,,,,,,,,,,
