mooe_code,category,list,appropriation,expenditures,balances
"""12-16",Capital Outlay,Concreting of Basco-Song Street-Uyugan,1000000,752878.64,247121.36
"""12-17",Capital Outlay,Concreting of Audleken Junction to Rudleken Port Road-Phase I,1000000,954984.89,45015.11
"""12-18",Capital Outlay,Concreting of Maleng Street-Uyugan,650000,476538.6,173461.4
"""12-19",Capital Outlay,Construction of Ipnavoaman Flood Control,650000,508806.08,141193.92
"""12-20",Capital Outlay,MLGU-Ivana Health Center,500000,409536.57,90463.43
"""12-21",Capital Outlay,Construction of Multi-Purpose Building and Facilities,2000000,1595778.91,404221.09
"""12-22",Capital Outlay,Clay Brick Making Facility,200000,-,200000
"""12-23",Capital Outlay,Completion of Uyugan LGU Multi-purpose Building,1500000,993766.18,506233.82
"""12-24",Capital Outlay,Construction of Uyugan Elementary School Multi-purpose Building,1800000,1354868.16,435131.84
"""12-25",MOOE,Food Security Program,-,-,-
12-25A,MOOE,Food Security Program-Crops Development,2000000,850020.94,1149979.06
12-25B,MOOE,Food Security-Fisheries Development Program,600000,296356.51,303643.49
"""12-26",MOOE,"Environmental Management, Protection, Rehabilitation and Maintenance of Watershed Areas and Reforestation Project",2000000,1341873.28,658126.72
"""12-27",MOOE,FMR-Repair/Improvement and Rehabilitationof Roads and Bridges Provincewide,2000000,937447.58,1062552.42
"""12-28",MOOE,Social/Cultural Development Enhancemenmt Program,4054959.19,2120438.19,1944521
"""12-29",MOOE,Itbayat District Hospital,751436.91,485532.18,275904.73
"""12-30",MOOE,Repair of Provincial Capital,479184.94,72208.01,406976.93
"""11-02",MOOE,Contractual Obligation and Manual Activities-Cultural Development Programs,-,-,-
11-02C,MOOE,Contractual Obligation and Manula Activities-Cultural Development Programs-UNESCO Nomination Dossier,700000,-,700000
"""11-07",MOOE,Infrastructure (Repair and Maintenance)-Repair of Water Laboratory Piping (PLGU-DOH Counter Funding),50000,-,50000
"""11-09",MOOE,Infrastructure (Repair and Maintenance)-Installation of Capitol Pressurizer Tank and Cistern,150000,-,150000
"""11-10",MOOE,Infrastructure (Repair and Maintenance)-Chawadi/Manarao Water Development Project,450000,-,450000
"""11-15",MOOE,Infrastructure (Repair and Maintenance)-Updating of Provincial Revenue Code,500000,-,500000
"""11-16",MOOE,Infrastructure (Repair and Maintenance)-Itbayat District Hospital,300000,-,300000
"""11-19",MOOE,Food Security Program-Food Crops Development Program,-,-,-
11-19C,MOOE,Food Security Program-Expansion and Development of Chinapoliran Multi-Commodity Production Project,355000,-,355000
"""11-22",Capital Outlay,Repair of Provincial Capitol,1500000,1424071.56,75928.44
"""11-23",Capital Outlay,Improvement of Mahatao Fish Shelter Port,-,-,-
11-23B,Capital Outlay,Improvement of Mahatao Fish Shelter Port-Balasting/Breaking of Coral Reef,1000000,449146.47,550853.53
11-23C,Capital Outlay,"Improvement of Mahatao Fish Shelter Port-Improvement of Bulkhead ""B"" (EEA)",1000000,878503.14,121496.86
"""11-24",Capital Outlay,PEO Heavy Equipment Yard,2000000,1817173.66,182826.34
"""11-25",Capital Outlay,PEO MPB Warehouse,1000000,994567.28,5432.72
"""11-26",Capital Outlay,Replacement of IDH Building Roof,1200000,1122291.85,77708.14
"""11-27",Capital Outlay,Improvement of Sabtang Community Hospital-Phase II,700000,563593.2,136405.8
"""11-28",Capital Outlay,PEO Flood Control Wall,2500000,2400195.23,99804.77
"""11-29",Capital Outlay,"Concreting of 900LM hateng to 5UPI Provincial Roads, Sinakan, Sabtang",600000,-,600000
"""11-30",Capital Outlay,P. Agricuture-All Terrain Tractor-Itbayat,1000000,-,1000000
"""11-31",Capital Outlay,Provincial Government Untility Vehicle and Furniture and Fixture,2400000,2175295.06,224704.94
-,Grand Total,Grand Total,17405000,11824837.46,5580162.54
"""11-34",Supplemental Budget No.1 Series of 2012,Improvement of Basco Water Works (Augmentation for 11-17),2060632.8,-,2060632.8
-,Supplemental Budget No.1 Series of 2013,Total,2060632.8,-,2060632.8
"""10-51",MOOE,Livestock Development,500000,497688.28,2311.72
-,MOOE,Total,500000,497688.28,2311.72
