function_or_program_or_project_or_activity_a,function_or_program_or_project_or_activity_b,appropriation,allotment,obligation,balance_of_appropriation,balance_of_allotments
Internal Audit Service-(IASO)-21206,Internal Audit Service-(IASO)-21206,205560,5560,0,200000,5560
Internal Audit Service-(IASO)-21206,Maintenance and Other Operating Expenses,205560,5560,0,200000,5560
Enhancing Skills (Continuing Values and Skills Enhancement for Provincial Government Employees)-(PHRMO)-21207,Enhancing Skills (Continuing Values & Skills Enhancement for Provincial Government Employees)-(PHRMO)-21207,830.84,830.84,0,0,830.84
Enhancing Skills (Continuing Values and Skills Enhancement for Provincial Government Employees)-(PHRMO)-21207,Maintenance and Other Operating Expenses,830.84,830.84,0,0,830.84
Judicious Resolution of Court Cases Involving the Province of Nueva Vizcaya-(PLO)-21208,Judicious Resolution of Court Cases Involving the Province of Nueva Vizcaya-(PLO)-21208,1211.24,1211.24,0,0,1211.24
Judicious Resolution of Court Cases Involving the Province of Nueva Vizcaya-(PLO)-21208,Maintenance and Other Operating Expenses,1211.24,1211.24,0,0,1211.24
"Tax Information Campaign Campus Hakot Mo, Bayd Mo-(PTO)-21209","Tax Information Campaign Campus Hakot Mo, Bayd Mo-(PTO)-21209",13,13,0,0,13
"Tax Information Campaign Campus Hakot Mo, Bayd Mo-(PTO)-21209",Maintenance and Other Operating Expenses,13,13,0,0,13
Sustaining the Nueva Vizcaya People's Coordinating Council-(NVPCC/GO)-21210,Sustaining the Nueva Vizcaya People's Coordinating Council-(NVPCC/GO)-21210,50000,0,0,50000,0
Sustaining the Nueva Vizcaya People's Coordinating Council-(NVPCC/GO)-21210,Maintenance and Other Operating Expenses,50000,0,0,50000,0
Rehabilitaion and Archival of All Assessment Records-(PASSO)-21211,Rehabilitaion & Archival of All Assessment Records-(PASSO)-21211,33.85,33.85,0,0,33.85
Rehabilitaion and Archival of All Assessment Records-(PASSO)-21211,Maintenance and Other Operating Expenses,33.85,33.85,0,0,33.85
Upgrading of Main Feederline from the BIR Building Traversing the Multi-Purpose Building and Straight to the PHRMO Building Ending at the BAEXT Hall-(PGSO)-21212,Upgrading of Main Feederline from the BIR Building Traversing the Multi-Purpose Building and Straight to the PHRMO Building Ending at the BAEXT Hall-(PGSO)-21212,47843.83,47843.83,0,0,47843.83
Upgrading of Main Feederline from the BIR Building Traversing the Multi-Purpose Building and Straight to the PHRMO Building Ending at the BAEXT Hall-(PGSO)-21212,Maintenance and Other Operating Expenses,47843.83,47843.83,0,0,47843.83
Operation of the LGU Based Participatory Monitoring and Evaluation System-(PPDO)-21213,Operation of the LGU Based Participatory Monitoring and Evaluation System-(PPDO)-21213,1225,1225,0,0,1225
Operation of the LGU Based Participatory Monitoring and Evaluation System-(PPDO)-21213,Maintenance and Other Operating Expenses,1225,1225,0,0,1225
Application of Civil Remedies against Delinquent Real Property-(PTO)-21214,Application of Civil Remedies against Delinquent Real Property-(PTO)-21214,52465,52465,0,0,52465
Application of Civil Remedies against Delinquent Real Property-(PTO)-21214,Maintenance and Other Operating Expenses,52465,52465,0,0,52465
Provincial Peace and Order Council Program-(GO/DILG)-21215,Provincial Peace and Order Council Program-(GO/DILG)-21215,21017.35,21017.35,0,0,21017.35
Provincial Peace and Order Council Program-(GO/DILG)-21215,Maintenance and Other Operating Expenses,21017.35,21017.35,0,0,21017.35
Social Development Committee-2130 Diabetic Screening and Education-Amaranth-(Order of Amaranth)-21303,Social Development Committee-2130 Diabetic Screening and Education-Amaranth-(Order of Amaranth)-21303,40000,40000,0,0,40000
Social Development Committee-2130 Diabetic Screening and Education-Amaranth-(Order of Amaranth)-21303,Maintenance and Other Operating Expenses,40000,40000,0,0,40000
Replacement of Electrical Wires (OR/DR) at DDH-(DDH)-21304,Replacement of Electrical Wires (OR/DR) at DDH-(DDH)-21304,1929,1929,0,0,1929
Replacement of Electrical Wires (OR/DR) at DDH-(DDH)-21304,Maintenance and Other Operating Expenses,1929,1929,0,0,1929
Health Aide to Barangays-Liga ng Barangay-(ABC)-21305,Health Aide to Barangays-Liga ng Barangay-(ABC)-21305,17368,17368,0,0,17368
Health Aide to Barangays-Liga ng Barangay-(ABC)-21305,Maintenance and Other Operating Expenses,17368,17368,0,0,17368
Upgrading of Electrical System at NVPH-(NVPH)-21307,Upgrading of Electrical System at NVPH-(NVPH)-21307,1072.04,1072.04,0,0,1072.04
Upgrading of Electrical System at NVPH-(NVPH)-21307,Maintenance and Other Operating Expenses,1072.04,1072.04,0,0,1072.04
Provision of Lighting at DDH-(DDH)-21308,Provision of Lighting at DDH-(DDH)-21308,60,60,0,0,60
Provision of Lighting at DDH-(DDH)-21308,Maintenance and Other Operating Expenses,60,60,0,0,60
Purchase of Generator at DDH-(DDH)-21309,Purchase of Generator at DDH-(DDH)-21309,0.04,0.04,0,0,0.04
Purchase of Generator at DDH-(DDH)-21309,Maintenance and Other Operating Expenses,0.04,0.04,0,0,0.04
Construction of Comfort Rooms and Additional Work Area in the Dietary Building at KMH-(KMH)-21310,Construction of Comfort Rooms and Additional Work Area in the Dietary Building at KMH-(KMH)-21310,862.97,862.97,0,0,862.97
Construction of Comfort Rooms and Additional Work Area in the Dietary Building at KMH-(KMH)-21310,Maintenance and Other Operating Expenses,862.97,862.97,0,0,862.97
Construction of Cafeteria Phase II at NVPH-(NVPH)-21311,Construction of Cafeteria Phase II at NVPH-(NVPH)-21311,2843.69,2843.69,0,0,2843.69
Construction of Cafeteria Phase II at NVPH-(NVPH)-21311,Maintenance and Other Operating Expenses,2843.69,2843.69,0,0,2843.69
"Rural Livelihood Training and Enterpreneurship Development Program for Woman's Group, Selected Indigenous People and OSY-(SMU in Coor with PCAO)-21313","Rural Livelihood Training and Enterpreneurship Development Program for Woman's Group, Selected Indigenous People and OSY-(SMU in Coor with PCAO)-21313",50000,50000,0,0,50000
"Rural Livelihood Training and Enterpreneurship Development Program for Woman's Group, Selected Indigenous People and OSY-(SMU in Coor with PCAO)-21313",Maintenance and Other Operating Expenses,50000,50000,0,0,50000
Auxuliary Social Services for Persons with Disabilities-(PSWDO)-21315,Auxuliary Social Services for Persons with Disabilities-(PSWDO)-21315,20,20,0,0,20
Auxuliary Social Services for Persons with Disabilities-(PSWDO)-21315,Maintenance and Other Operating Expenses,20,20,0,0,20
Enhancing Local Skills and Resources of the Provincial Federation of Day Care Workers-(PSWD)-21316,Enhancing Local Skills and Resources of the Provincial Federation of Day Care Workers-(PSWD)-21316,350,350,0,0,350
Enhancing Local Skills and Resources of the Provincial Federation of Day Care Workers-(PSWD)-21316,Maintenance and Other Operating Expenses,350,350,0,0,350
Disaster Preparedness and Management Program-(PDMC)-21318,Disaster Preparedness and Management Program-(PDMC)-21318,350,350,0,0,350
Disaster Preparedness and Management Program-(PDMC)-21318,Maintenance and Other Operating Expenses,350,350,0,0,350
Project Rescue-(PSWDO)-21319,Project Rescue-(PSWDO)-21319,6262.5,6262.5,0,0,6262.5
Project Rescue-(PSWDO)-21319,Maintenance and Other Operating Expenses,6262.5,6262.5,0,0,6262.5
Construction of the Day Care Center Comfort Room at Upper Batu Buenavista Bayabong-(Tribal Council-Upper Batu)-21321,Construction of the Day Care Center Comfort Room at Upper Batu Buenavista Bayabong-(Tribal Council-Upper Batu)-21321,3117.73,3117.73,0,0,3117.73
Construction of the Day Care Center Comfort Room at Upper Batu Buenavista Bayabong-(Tribal Council-Upper Batu)-21321,Maintenance and Other Operating Expenses,3117.73,3117.73,0,0,3117.73
Leaf Service-(PSWDO)-21323,Leaf Service-(PSWDO)-21323,1475,1475,0,0,1475
Leaf Service-(PSWDO)-21323,Maintenance and Other Operating Expenses,1475,1475,0,0,1475
Sustaining Advocacy Resources for Population Management-(PSWDO)-21324,Sustaining Advocacy Resources for Population Management-(PSWDO)-21324,575,575,0,0,575
Sustaining Advocacy Resources for Population Management-(PSWDO)-21324,Maintenance and Other Operating Expenses,575,575,0,0,575
Project Comrade-(PSWDO)-21325,Project Comrade-(PSWDO)-21325,35,35,0,0,35
Project Comrade-(PSWDO)-21325,Maintenance and Other Operating Expenses,35,35,0,0,35
Spring Development Construction-(VEPSDAI)-21326,Spring Development Construction-(VEPSDAI)-21326,94380.31,94380.31,0,0,94380.31
Spring Development Construction-(VEPSDAI)-21326,Maintenance and Other Operating Expenses,94380.31,94380.31,0,0,94380.31
"Institution of Water System at Lukidnin, Dupax Sur-(Lukidnon Dupax Sur)-21327","Institution of Water System at Lukidnin, Dupax Sur-(Lukidnon Dupax Sur)-21327",50000,0,0,50000,0
"Institution of Water System at Lukidnin, Dupax Sur-(Lukidnon Dupax Sur)-21327",Maintenance and Other Operating Expenses,50000,0,0,50000,0
Gawad kalinga Program and Livelihood Project-(CF/GO)-21328,Gawad kalinga Program and Livelihood Project-(CF/GO)-21328,21068.75,21068.75,0,0,21068.75
Gawad kalinga Program and Livelihood Project-(CF/GO)-21328,Maintenance and Other Operating Expenses,21068.75,21068.75,0,0,21068.75
Economic Development Committee-2140 Agriculture-21401 Promotion of Organic Vegetable-2140102,Economic Development Committee-2140 Agriculture-21401 Promotion of Organic Vegetable-2140102,890.26,890.26,0,0,890.26
Economic Development Committee-2140 Agriculture-21401 Promotion of Organic Vegetable-2140102,Maintenance and Other Operating Expenses,890.26,890.26,0,0,890.26
Operation and Maintenance of NVFITSC-2140105,Operation and Maintenance of NVFITSC-2140105,118.64,118.64,0,0,118.64
Operation and Maintenance of NVFITSC-2140105,Maintenance and Other Operating Expenses,118.64,118.64,0,0,118.64
Fingerling Production-2140107,Fingerling Production-2140107,50537.01,50537.01,19829.84,0,30707.17
Fingerling Production-2140107,Maintenance and Other Operating Expenses,0,0,0,0,0
Fingerling Production-2140107,Capital Outlay,50537.01,50537.01,19829.84,0,30707.17
Exotic Fruit Trees Seedlings and Vegetable Seeds-2140108,Exotic fruit Trees Seedlings and Vegetable Seeds-2140108,33817,33817,0,0,33817
Exotic Fruit Trees Seedlings and Vegetable Seeds-2140108,Maintenance and Other Operating Expenses,33817,33817,0,0,33817
Coconut Seedlings-2140109,Coconut Seedlings-2140109,2430.89,2430.89,0,0,2430.89
Coconut Seedlings-2140109,Maintenance and Other Operating Expenses,2430.89,2430.89,0,0,2430.89
Tissue-Cultureed Banana Plantlets-2140110,Tissue-Cultureed Banana Plantlets-2140110,4822.17,4822.17,0,0,4822.17
Tissue-Cultureed Banana Plantlets-2140110,Maintenance and Other Operating Expenses,4822.17,4822.17,0,0,4822.17
Fruits Tree Development-2140114,Fruits Tree Development-2140114,540.79,540.79,0,0,540.79
Fruits Tree Development-2140114,Maintenance and Other Operating Expenses,540.79,540.79,0,0,540.79
Shallow Tube Wells and Small Farm Reservoir-2140115,Shallow Tube Wells and Small Farm Reservoir-2140115,9805.21,9805.21,0,0,9805.21
Shallow Tube Wells and Small Farm Reservoir-2140115,Maintenance and Other Operating Expenses,9805.21,9805.21,0,0,9805.21
Balik-Igat Project-2140116,Balik-Igat Project-2140116,9536.12,9536.12,0,0,9536.12
Balik-Igat Project-2140116,Maintenance and Other Operating Expenses,9536.12,9536.12,0,0,9536.12
Livestock-21402 Wildlife Restoration and Conservation Project-2140206,Livestock-21402 Wildlife Restoration and Conservation Project-2140206,18632,18632,0,0,18632
Livestock-21402 Wildlife Restoration and Conservation Project-2140206,Maintenance and Other Operating Expenses,18632,18632,0,0,18632
Cooperative-21403 Mango Industry Development-2140302,Cooperative-21403 Mango Industry Development-2140302,200,200,0,0,200
Cooperative-21403 Mango Industry Development-2140302,Maintenance and Other Operating Expenses,200,200,0,0,200
Tourism-21404 Eco-Tourism Protection and Sustainable Site Development-2140401,Tourism-21404 Eco-Tourism Protection and Sustainable Site Development-2140401,95,95,0,0,95
Tourism-21404 Eco-Tourism Protection and Sustainable Site Development-2140401,Maintenance and Other Operating Expenses,95,95,0,0,95
Cave Protection and Sustainable Site Development-2140402,Cave Protection and Sustainable Site Development-2140402,57.5,57.5,0,0,57.5
Cave Protection and Sustainable Site Development-2140402,Maintenance and Other Operating Expenses,57.5,57.5,0,0,57.5
Production of Printed Promotional Materials-2140403,Production of Printed Promotional Materials-2140403,277.63,277.63,0,0,277.63
Production of Printed Promotional Materials-2140403,Maintenance and Other Operating Expenses,277.63,277.63,0,0,277.63
Visit Vizcaya/Eco-Challenge-2140406,Visit Vizcaya/Eco-Challenge-2140406,1735,1735,0,0,1735
Visit Vizcaya/Eco-Challenge-2140406,Maintenance and Other Operating Expenses,1735,1735,0,0,1735
Provincial Environment and Natural Resources Committee-2150 Provincial Solid Waste Management Council (PSWMC)-21503,Provincial Environment and Natural Resources Committee-2150 Provincial Solid Waste Management Council (PSWMC)-21503,46568,46568,0,0,46568
Provincial Environment and Natural Resources Committee-2150 Provincial Solid Waste Management Council (PSWMC)-21503,Maintenance and Other Operating Expenses,46568,46568,0,0,46568
Community-Based Reforestation Project-(NVSU-Bambang)-21504,Community-Based Reforestation Project-(NVSU-Bambang)-21504,937.04,937.04,0,0,937.04
Community-Based Reforestation Project-(NVSU-Bambang)-21504,Maintenance and Other Operating Expenses,937.04,937.04,0,0,937.04
Provincial Ecological Waste Management Program-21506,Provincial Ecological Waste Management Program-21506,160977.25,160977.25,0,0,160977.25
Provincial Ecological Waste Management Program-21506,Maintenance and Other Operating Expenses,160977.25,160977.25,0,0,160977.25
Establishment of Repository of Economically Indigenous and Endangered Tree Species in Declared Areas for Biodiversity Conversation and Environmental Restoration (Bangan Hill)-(NVSU/ENRO)-21507,Establishment of Repository of Economically Indigenous and Endangered Tree Species in Declared Areas for Biodiversity Conversation and Environmental Restoration (Bangan Hill)-(NVSU/ENRO)-21507,7388.9,7388.9,0,0,7388.9
Establishment of Repository of Economically Indigenous and Endangered Tree Species in Declared Areas for Biodiversity Conversation and Environmental Restoration (Bangan Hill)-(NVSU/ENRO)-21507,Maintenance and Other Operating Expenses,7388.9,7388.9,0,0,7388.9
Tree for Legacy-21508,Tree for Legacy-21508,791.13,791.13,0,0,791.13
Tree for Legacy-21508,Maintenance and Other Operating Expenses,791.13,791.13,0,0,791.13
Save Magat River Project-21511,Save Magat River Project-21511,3090.95,3090.95,0,0,3090.95
Save Magat River Project-21511,Maintenance and Other Operating Expenses,3090.95,3090.95,0,0,3090.95
Reforestation Project-(SK-BALETE)-21517,Reforestation Project-(SK-BALETE)-21517,6854.2,6854.2,0,0,6854.2
Reforestation Project-(SK-BALETE)-21517,Maintenance and Other Operating Expenses,6854.2,6854.2,0,0,6854.2
Mt. Pullol Forest Development-(Assiociation of Mt. Pullol Occupants)-21518,Mt. Pullol Forest Development-(Assiociation of Mt. Pullol Occupants)-21518,11342,11342,0,0,11342
Mt. Pullol Forest Development-(Assiociation of Mt. Pullol Occupants)-21518,Maintenance and Other Operating Expenses,11342,11342,0,0,11342
Colocol Linis Ganda Gabay Buhay-21519,Colocol Linis Ganda Gabay Buhay-21519,1030.74,1030.74,0,0,1030.74
Colocol Linis Ganda Gabay Buhay-21519,Maintenance and Other Operating Expenses,1030.74,1030.74,0,0,1030.74
Establishment of Boho Plantation-(MLGU Aritao)-21522,Establishment of Boho Plantation-(MLGU Aritao)-21522,5000,5000,0,0,5000
Establishment of Boho Plantation-(MLGU Aritao)-21522,Maintenance and Other Operating Expenses,5000,5000,0,0,5000
Provincial Council for Sustainable Development (PCSD)-21523,Provincial Council for Sustainable Development (PCSD)-21523,16486.75,16486.75,0,0,16486.75
Provincial Council for Sustainable Development (PCSD)-21523,Maintenance and Other Operating Expenses,16486.75,16486.75,0,0,16486.75
Dupax del Sur Watershed Management Project-(DENR-PAMB/LGU Dupax del Sur),Dupax del Sur Watershed Management Project-(DENR-PAMB/LGU Dupax del Sur),1284.25,1284.25,0,0,1284.25
Dupax del Sur Watershed Management Project-(DENR-PAMB/LGU Dupax del Sur),Maintenance and Other Operating Expenses,1284.25,1284.25,0,0,1284.25
Surmounting Seasonal Crop Depedency Through Establish of Gender Sensitive Plant Nursery and Livestock Poultry Project-(PAIW-KIPWOK)-21527,Surmounting Seasonal Crop Depedency Through Establish of Gender Sensitive Plant Nursery and Livestock Poultry Project-(PAIW-KIPWOK)-21527,571.97,571.97,0,0,571.97
Surmounting Seasonal Crop Depedency Through Establish of Gender Sensitive Plant Nursery and Livestock Poultry Project-(PAIW-KIPWOK)-21527,Maintenance and Other Operating Expenses,571.97,571.97,0,0,571.97
Infrastructure-2160 Road Maintenance-21603 Junction Canili-Galintuja Road-2160301,Infrastructure-2160 Road Maintenance-21603 Junction Canili-Galintuja Road-2160301,1180.35,1180.35,0,0,1180.35
Infrastructure-2160 Road Maintenance-21603 Junction Canili-Galintuja Road-2160301,Maintenance and Other Operating Expenses,1180.35,1180.35,0,0,1180.35
Junction National Galintuja-Delactan-Magino Road-2160302,Junction National Galintuja-Delactan-Magino Road-2160302,1380.58,1380.58,0,0,1380.58
Junction National Galintuja-Delactan-Magino Road-2160302,Maintenance and Other Operating Expenses,1380.58,1380.58,0,0,1380.58
Junction Batu-Balintugon Road-2160303,Junction Batu-Balintugon Road-2160303,1806.44,1806.44,0,0,1806.44
Junction Batu-Balintugon Road-2160303,Maintenance and Other Operating Expenses,1806.44,1806.44,0,0,1806.44
Oyao-Ganao Road-2160304,Oyao-Ganao Road-2160304,1597.94,1597.94,0,0,1597.94
Oyao-Ganao Road-2160304,Maintenance and Other Operating Expenses,1597.94,1597.94,0,0,1597.94
CVR Diadi-Escoting-Arwas-Talictic Road-2160305,CVR Diadi-Escoting-Arwas-Talictic Road-2160305,4072.2,4072.2,0,0,4072.2
CVR Diadi-Escoting-Arwas-Talictic Road-2160305,Maintenance and Other Operating Expenses,4072.2,4072.2,0,0,4072.2
Bridges-21604 Ammococan Hanging Bridge-2160401,Bridges-21604 Ammococan Hanging Bridge-2160401,100561,100561,0,0,100561
Bridges-21604 Ammococan Hanging Bridge-2160401,Capital Outlay,100561,100561,0,0,100561
Flood Control and Drainage-21607 Provincial Flood Control and Drainage MP Development Plan-2160702,Flood Control and Drainage-21607 Provincial Flood Control and Drainage MP Development Plan-2160702,250000,250000,0,0,250000
Flood Control and Drainage-21607 Provincial Flood Control and Drainage MP Development Plan-2160702,Capital Outlay,250000,250000,0,0,250000
AO 2--7-33 (Concreting of Various Provincial Roads)-21609 Concreting of Almaguer-Ineangan Road-2160901,Concreting of Almaguer-Ineangan Road-2160901,5655.28,5655.28,0,0,5655.28
AO 2--7-33 (Concreting of Various Provincial Roads)-21609 Concreting of Almaguer-Ineangan Road-2160901,Capital Outlay,5655.28,5655.28,0,0,5655.28
Concreting of Masoc-Ambaguio Road-2160902,Concreting of Masoc-Ambaguio Road-2160902,294951.37,294951.37,0,0,294951.37
Concreting of Masoc-Ambaguio Road-2160902,Capital Outlay,294951.37,294951.37,0,0,294951.37
"Concreting of La Torre-Casat-Wacal, Solano Road-2160903","Concreting of La Torre-Casat-Wacal, Solano Road-2160903",127358.29,127358.29,0,0,127358.29
"Concreting of La Torre-Casat-Wacal, Solano Road-2160903",Capital Outlay,127358.29,127358.29,0,0,127358.29
Concreting of CVR Gabut-Ineangan Road-2160904,Concreting of CVR Gabut-Ineangan Road-2160904,46737.32,46737.32,0,0,46737.32
Concreting of CVR Gabut-Ineangan Road-2160904,Capital Outlay,46737.32,46737.32,0,0,46737.32
Concreting of Batu-Santo-Domingo-Manamtam Road-2160905,Concreting of Batu-Santo-Domingo-Manamtam Road-2160905,67397.95,67397.95,0,0,67397.95
Concreting of Batu-Santo-Domingo-Manamtam Road-2160905,Capital Outlay,67397.95,67397.95,0,0,67397.95
Concreting of San Fernando-Litlit Road-2160906,Concreting of San Fernando-Litlit Road-2160906,8167.51,8167.51,0,0,8167.51
Concreting of San Fernando-Litlit Road-2160906,Capital Outlay,8167.51,8167.51,0,0,8167.51
Concreting Junction Hollywood-Mabasa-Inaban Road-2160907,Concreting Junction Hollywood-Mabasa-Inaban Road-2160907,586.13,586.13,0,0,586.13
Concreting Junction Hollywood-Mabasa-Inaban Road-2160907,Capital Outlay,586.13,586.13,0,0,586.13
Concreting of Batu-Magapuy-Paitan Road-2160908,Concreting of Batu-Magapuy-Paitan Road-2160908,214696.68,214696.68,0,0,214696.68
Concreting of Batu-Magapuy-Paitan Road-2160908,Capital Outlay,214696.68,214696.68,0,0,214696.68
Concreting of Wacal-Bangaan Road-2160910,Concreting of Wacal-Bangaan Road-2160910,16651.74,16651.74,0,0,16651.74
Concreting of Wacal-Bangaan Road-2160910,Capital Outlay,16651.74,16651.74,0,0,16651.74
Concreting of Lactawan-Aggub-Tucal Road-2160911,Concreting of Lactawan-Aggub-Tucal Road-2160911,57659.8,57659.8,0,0,57659.8
Concreting of Lactawan-Aggub-Tucal Road-2160911,Capital Outlay,57659.8,57659.8,0,0,57659.8
Concreting of CVR Busilac-Magsaysay Road-2160912,Concreting of CVR Busilac-Magsaysay Road-2160912,40766.39,40766.39,0,0,40766.39
Concreting of CVR Busilac-Magsaysay Road-2160912,Capital Outlay,40766.39,40766.39,0,0,40766.39
Concreting of CVR Bambang-Pingkian Road-2160913,Concreting of CVR Bambang-Pingkian Road-2160913,12025.18,12025.18,0,0,12025.18
Concreting of CVR Bambang-Pingkian Road-2160913,Capital Outlay,12025.18,12025.18,0,0,12025.18
2008-2200 Provincial Commitment-2201 Provincial Developmet Council Operation-(PPDO)-220102,2008-2200 Provincial Commitment-2201 Provincial Developmet Council Operation-(PPDO)-220102,3861.68,3861.68,0,0,3861.68
2008-2200 Provincial Commitment-2201 Provincial Developmet Council Operation-(PPDO)-220102,Maintenance and Other Operating Expenses,3861.68,3861.68,0,0,3861.68
Investment Promotion-(PPDO)-220103,Investment Promotion-(PPDO)-220103,100000,100000,0,0,100000
Investment Promotion-(PPDO)-220103,Maintenance and Other Operating Expenses,100000,100000,0,0,100000
Budget Management Development Program-(PBO)-220104,Budget Management Development Program-(PBO)-220104,1662.53,1662.53,0,0,1662.53
Budget Management Development Program-(PBO)-220104,Maintenance and Other Operating Expenses,1662.53,1662.53,0,0,1662.53
Fencing of the Frontage of the Provincial Capitol-(PGSO)-220105,Fencing of the Frontage of the Provincial Capitol-(PGSO)-220105,500000,0,0,500000,0
Fencing of the Frontage of the Provincial Capitol-(PGSO)-220105,Maintenance and Other Operating Expenses,500000,0,0,500000,0
Nueva Vizcaya Sports Development Project-220106,Nueva Vizcaya Sports Development Project-220106,166000,166000,0,0,166000
Nueva Vizcaya Sports Development Project-220106,Maintenance and Other Operating Expenses,166000,166000,0,0,166000
Establishment of the Hospital in the North-(GO)-220107,Establishment of the Hospital in the North-(GO)-220107,3000000,0,0,3000000,0
Establishment of the Hospital in the North-(GO)-220107,Capital Outlay,3000000,0,0,3000000,0
Spanish Exchange Program-(Go/Paid)-220108,Spanish Exchange Program-(Go/Paid)-220108,385.43,385.43,0,0,385.43
Spanish Exchange Program-(Go/Paid)-220108,Maintenance and Other Operating Expenses,385.43,385.43,0,0,385.43
Housing Development Project (NVGK333)-(GO/GK)-220109,Housing Development Project (NVGK333)-(GO/GK)-220109,524343.75,524343.75,0,0,524343.75
Housing Development Project (NVGK333)-(GO/GK)-220109,Maintenance and Other Operating Expenses,524343.75,524343.75,0,0,524343.75
Agriculture Facilities Development Project-220110,Agriculture Facilities Development Project-220110,2830.68,2830.68,0,0,2830.68
