program_or_project,activity,code,appropriation,allotment,appropriation_balance,obligation,allotment_balance
Office of the Mayor- Admin- Capital Outlay,Street Furniture and Fixture- Installation of Signage Post along National Highway (Reference number: 0129-03-12),215,1086400,1000000,86400,999901,99
Office of the Mayor- Admin- Capital Outlay,"Fabrication of Roding Machine- Eng'g Service Center, Brgy. Mag. East (Reference number: 277-10-12 )",226,100000,100000,-,94440,5560
Office of the Mayor- Admin- Capital Outlay,Fabrication of Roding Machine- Communication Equipment,229,76000,76000,-,60715,15285
Office of the Mayor- Admin- Capital Outlay,"Fabrication of Furnitures and Fixtures- Eng'g Service Center, Brgy. Mag East (Reference number: 264-09-12)",260,22374.01,22374.01,-,22213.5,160.51
Office of the Mayor- Admin- Capital Outlay,"Fabrication of Benches- Eng'g Service Center, Brgy. Mag East (Reference number: 263-09-12)",260,21282.62,21282.62,-,21150,132.62
Office of the Mayor- Admin- Capital Outlay,"Fabrication of Bleachers- Eng'g Service Center, Brgy. Mag East (Reference number: 261-09-12)",260,35324.15,35324.15,-,35109,215.15
Office of the Mayor- Admin- Capital Outlay,"Fabrication of Sidecars- Eng'g Service Center, Brgy. Mag East (Reference number: 262-09-12)",260,29143,29143,-,28871.5,271.5
Office of the Mayor- Admin- Capital Outlay,"Fabrication of Sports Facilities- Team and Court Events Sports (Goal, Net and Post), Various Location within Tagum City (Reference number: 256-09-12)",260,50000,50000,-,28948,21052
Office of the Mayor- Admin- Capital Outlay,ConstructionOr Completion of Multi-Purpose Bldg.,215,10000000,9200000,800000,6102586.69,3097413.31
Office of the Mayor- Admin- Capital Outlay,"ConstructionOr Completion of Multi-Purpose Bldg.- Police/Fire Station, Punzalan Avenue, Brgy. Mag. South (Reference number: 0124-03-12)",-,-,400000,-,399836,164
Office of the Mayor- Admin- Capital Outlay,ConstructionOr Completion of Multi-Purpose Bldg.- (NCH Annex Bldg. - Canopy) Brgy. Apokon (Reference number: 0167-05-12),-,-,3000000,-,2895214.25,104785.75
Office of the Mayor- Admin- Capital Outlay,"ConstructionOr Completion of Multi-Purpose Bldg.- New City Hall Site, Brgy. Apokon (Reference number: 0181-05-12)",-,-,2000000,-,1944892.75,55107.25
Office of the Mayor- Admin- Capital Outlay,"ConstructionOr Completion of Multi-Purpose Bldg.- Police or Fire Station, Punzalan Avenue, Brgy. Mag. South (Reference number: 0202-06-12)",-,-,350000,-,344863,5137
Office of the Mayor- Admin- Capital Outlay,"ConstructionOr Completion of Multi-Purpose Bldg.- Construction of Bleacher Main Roof New City Hall Site, Brgy. Apokon ( Reference number: 258-09-12 )",-,-,3450000,-,517780.69,2932219.31
Office of the Mayor- Admin- Capital Outlay,ConstructionOr Completion of Multi-Purpose Bldg.- Fabrication of Giant Christmas Tree (Reference number:235-08-12),260,500000,500000,-,497589.5,2410.5
Office of the City Mayor- City Investment Promotion Office,-,1011-2,1322886.96,1322886.96,-,1265202.19,57684.77
Office of the City Mayor- City Investment Promotion Office- Personal Services,-,-,1072886.96,1072886.96,-,1065202.19,7684.77
Office of the City Mayor- City Investment Promotion Office- Personal Services,Salaries and Wages-Regular,701,512340,512340,-,510213,2127
Office of the City Mayor- City Investment Promotion Office- Personal Services,Salaries and Wages-Casual,705,339270.96,339270.96,-,335697.68,3573.28
Office of the City Mayor- City Investment Promotion Office- Personal Services,PERA,711,48000,48000,-,48000,-
Office of the City Mayor- City Investment Promotion Office- Personal Services,Clothing Allowance,715,8000,8000,-,8000,-
Office of the City Mayor- City Investment Promotion Office- Personal Services,Overtime and Night Pay,723,40000,40000,-,39445.45,554.55
Office of the City Mayor- City Investment Promotion Office- Personal Services,Cash Gift,724,10000,10000,-,10000,-
Office of the City Mayor- City Investment Promotion Office- Personal Services,Year- End Bonus,725,42695,42695,-,42138,557
Office of the City Mayor- City Investment Promotion Office- Personal Services,Life and Retirement Insurance Contributions,731,61481,61481,-,60745.56,735.44
Office of the City Mayor- City Investment Promotion Office- Personal Services,PAG-IBIG Contributions,732,2400,2400,-,2400,-
Office of the City Mayor- City Investment Promotion Office- Personal Services,PHILHEALTH Contributions,733,6300,6300,-,6162.5,137.5
Office of the City Mayor- City Investment Promotion Office- Personal Services,ECC Contributions,734,2400,2400,-,2400,-
Office of the City Mayor- City Investment Promotion Office- Maintenance and Other Operating Expenses,-,-,250000,250000,-,200000,50000
Office of the City Mayor- City Investment Promotion Office- Maintenance and Other Operating Expenses,Advertising Expenses,782,200000,200000,-,200000,-
Office of the City Mayor- City Investment Promotion Office- Maintenance and Other Operating Expenses,Rent Expenses,782,50000,50000,-,-,50000
City Tourism Office,-,1011-3,1119686.87,1119686.87,-,1075395.44,44291.43
City Tourism Office- Personal Services,-,-,1119686.87,1119686.87,-,1075395.44,44291.43
City Tourism Office- Personal Services,Salaries and Wages-Regular,701,633563,633563,-,613856.36,19706.64
City Tourism Office- Personal Services,Salaries and Wages-Casual,705,274011.05,274011.05,-,258164.13,15846.92
City Tourism Office- Personal Services,PERA,711,50000,50000,-,47727.27,2272.73
City Tourism Office- Personal Services,Clothing Allowance,715,12000,12000,-,8000,4000
City Tourism Office- Personal Services,Cash Gift,724,10000,10000,-,10000,-
City Tourism Office- Personal Services,Year- End Bonus,725,51372,51372,-,51372,-
City Tourism Office- Personal Services,Life and Retirement Insurance Contributions,731,76028.32,76028.32,-,73975.68,2052.64
City Tourism Office- Personal Services,PAG-IBIG Contributions,732,2500,2500,-,2400,100
City Tourism Office- Personal Services,PHILHEALTH Contributions,733,7712.5,7712.5,-,7500,212.5
City Tourism Office- Personal Services,ECC Contributions,734,2500,2500,-,2400,100
Office of the City Mayor- Special Community Development Programs Divisions,-,1011-4,3005599.01,3005599.01,-,2954063.61,51535.4
Office of the City Mayor- Special Community Development Programs Divisions- Personal Services,-,-,3005599.01,3005599.01,-,2954063.61,51535.4
Office of the City Mayor- Special Community Development Programs Divisions- Personal Services,Salaries and Wages-Regular,701,1732422,1732422,-,1698329,34093
Office of the City Mayor- Special Community Development Programs Divisions- Personal Services,Salaries and Wages-Casual,705,684981.69,684981.69,-,678535.13,6446.56
Office of the City Mayor- Special Community Development Programs Divisions- Personal Services,PERA,711,146000,146000,-,144000,2000
Office of the City Mayor- Special Community Development Programs Divisions- Personal Services,Clothing Allowance,715,28000,28000,-,24000,4000
Office of the City Mayor- Special Community Development Programs Divisions- Personal Services,Cash Gift,724,30000,30000,-,30000,-
Office of the City Mayor- Special Community Development Programs Divisions- Personal Services,Year End Bonus,725,141829,141829,-,141500,329
Office of the City Mayor- Special Community Development Programs Divisions- Personal Services,Life and Retirement Insurance Contributions,731,207891.32,207891.32,-,203799.48,4091.84
Office of the City Mayor- Special Community Development Programs Divisions- Personal Services,PAG-IBIG Contributions,732,7300,7300,-,7200,100
Office of the City Mayor- Special Community Development Programs Divisions- Personal Services,PHILHEALTH Contributions,733,19875,19875,-,19500,375
Office of the City Mayor- Special Community Development Programs Divisions- Personal Services,ECC Contributions,734,7300,7300,-,7200,100
Office of the City Mayor- BAC,-,-,-,-,-,-,-
Secretariat,-,1011-5,2609286.05,2609286.05,-,2573125.94,36160.11
Secretariat-Personal Services,-,-,2609286.05,2609286.05,-,2573125.94,36160.11
Secretariat-Personal Services,Salaries and Wages-Regular,701,541497,541497,-,525217.95,16279.05
Secretariat-Personal Services,Salaries and Wages-Casual,705,848177.4,848177.4,-,839244.2,8933.2
Secretariat-Personal Services,PERA,711,68000,68000,-,66000,2000
Secretariat-Personal Services,Clothing Allowance,715,12000,12000,-,8000,4000
Secretariat-Personal Services,Honoraria,720,999690.25,999690.25,-,998690.25,1000
Secretariat-Personal Services,Cash Gift,724,15000,15000,-,15000,-
Secretariat-Personal Services,Year-End Bonus,725,46753,46753,-,46753,-
Secretariat-Personal Services,Life and Retirement Insurance Contributions,731,64980.4,64980.4,-,61583.04,3397.36
Secretariat-Personal Services,PAG-IBIG Contributions,732,3400,3400,-,3300,100
Secretariat-Personal Services,PHILHEALTH Contributions,733,6388,6388,-,6037.5,350.5
Secretariat-Personal Services,ECC Contributions,734,3400,3400,-,3300,100
Office of the City Jail Warden,-,1012,86400,86400,-,86400,-
Office of the City Jail Warden- Maintenance and Other Operating Expenses,-,-,86400,86400,-,86400,-
Office of the City Jail Warden- Maintenance and Other Operating Expenses,Donations,878,86400,86400,-,86400,-
Office of the City Mayor- City Civil Security Services,-,1013,862228.76,862228.76,-,852147.56,10081.2
Office of the City Mayor- City Civil Security Services- Personal Services,-,-,862228.76,862228.76,-,852147.56,10081.2
Office of the City Mayor- City Civil Security Services- Personal Services,Salaries and Wages-Casual,705,862228.76,862228.76,-,852147.56,10081.2
Office of the City Mayor- Business Permit and Licensing Division,-,1015,3506748.8,3506748.8,-,3008177.32,498571.48
Office of the City Mayor- Business Permit and Licensing Division- Personal Services,-,-,3190528.4,3190528.4,-,2991956.92,198571.48
Office of the City Mayor- Business Permit and Licensing Division- Personal Services,Salaries and Wages-Regular,701,1835682,1835682,-,1756083,79599
Office of the City Mayor- Business Permit and Licensing Division- Personal Services,Salaries and Wages-Casual,705,682287,682287,-,595130.44,87156.56
Office of the City Mayor- Business Permit and Licensing Division- Personal Services,PERA,711,176000,176000,-,170000,6000
Office of the City Mayor- Business Permit and Licensing Division- Personal Services,Clothing Allowance,715,24000,24000,-,20000,4000
Office of the City Mayor- Business Permit and Licensing Division- Personal Services,Cash Gift,724,50000,50000,-,39750,10250
Office of the City Mayor- Business Permit and Licensing Division- Personal Services,Year- End Bonus,725,163439,163439,-,162289.3,1149.7
Office of the City Mayor- Business Permit and Licensing Division- Personal Services,Life and Retirement Insurance Contributions,731,220282.4,220282.4,-,211366.68,8915.72
Office of the City Mayor- Business Permit and Licensing Division- Personal Services,PAG-IBIG Contributions,732,8800,8800,-,8500,300
Office of the City Mayor- Business Permit and Licensing Division- Personal Services,PHILHEALTH Contributions,733,21238,21238,-,20337.5,900.5
Office of the City Mayor- Business Permit and Licensing Division- Personal Services,ECC Contributions,734,8800,8800,-,8500,300
Office of the City Mayor- Business Permit and Licensing Division- Maintenance and Other Operating Expenses,-,-,300000,300000,-,-,300000
Office of the City Mayor- Business Permit and Licensing Division- Maintenance and Other Operating Expenses,Printed Forms,755,300000,300000,-,-,300000
Office of the City Mayor- Business Permit and Licensing Division- Capital Outlay,-,-,16220.4,16220.4,-,16220.4,-
Office of the City Mayor- Business Permit and Licensing Division- Capital Outlay,Office Equipment- Binder Machine,221,16220.4,16220.4,-,16220.4,-
Legislative Department Office of the City Vice Mayor,-,1016,9604617.05,9604617.05,-,9452462.67,152154.38
Legislative Department Office of the City Vice Mayor- Personal Services,-,-,4545921.03,4545921.03,-,4482089.25,63831.78
Legislative Department Office of the City Vice Mayor- Personal Services,Salaries and Wages-Regular,701,2535264,2535264,-,2488163.55,47100.45
Legislative Department Office of the City Vice Mayor- Personal Services,Salaries and Wages-Casual,705,1023106.39,1023106.39,-,1020693.55,2412.84
Legislative Department Office of the City Vice Mayor- Personal Services,PERA,711,242000,242000,-,237545.45,4454.55
Legislative Department Office of the City Vice Mayor- Personal Services,Representation Allowance,713,84000,84000,-,84000,-
Legislative Department Office of the City Vice Mayor- Personal Services,Clothing Allowance,715,40000,40000,-,40000,-
Legislative Department Office of the City Vice Mayor- Personal Services,Cash Gift,724,50000,50000,-,50000,-
Legislative Department Office of the City Vice Mayor- Personal Services,Year- End Bonus,725,214943,214943,-,213110,1833
Legislative Department Office of the City Vice Mayor- Personal Services,Life and Retirement Insurance Contributions,731,304232.64,304232.64,-,297271.61,6961.03
Legislative Department Office of the City Vice Mayor- Personal Services,PAG-IBIG Contributions,732,12100,12100,-,11900,200
Legislative Department Office of the City Vice Mayor- Personal Services,PHILHEALTH Contributions,733,28175,28175,-,27575,600
Legislative Department Office of the City Vice Mayor- Personal Services,ECC Contributions,734,12100,12100,-,11830.09,269.91
Legislative Department Office of the City Vice Mayor- Maintenance and Other Operating Expenses,-,-,5058696.02,5058696.02,-,4970373.42,88322.6
Legislative Department Office of the City Vice Mayor- Maintenance and Other Operating Expenses,Traveling Expenses - Local,751,963626.46,963626.46,-,957758.26,5868.2
Legislative Department Office of the City Vice Mayor- Maintenance and Other Operating Expenses,Training Expenses,753,892194,892194,-,867932,24262
Legislative Department Office of the City Vice Mayor- Maintenance and Other Operating Expenses,Gasoline Expenses,761,1817151.06,1817151.06,-,1816207.31,943.75
Legislative Department Office of the City Vice Mayor- Maintenance and Other Operating Expenses,Other Supplies Expenses,765,15085,15085,-,15036.9,48.1
Legislative Department Office of the City Vice Mayor- Maintenance and Other Operating Expenses,Telephone Expenses-Landline,772,168468.4,168468.4,-,143105.86,25362.54
Legislative Department Office of the City Vice Mayor- Maintenance and Other Operating Expenses,Telephone Expenses-Mobile,773,324000,324000,-,324000,-
Legislative Department Office of the City Vice Mayor- Maintenance and Other Operating Expenses,Membership Dues and Cont. to Org.,778,10000,10000,-,10000,-
Legislative Department Office of the City Vice Mayor- Maintenance and Other Operating Expenses,Subscription Expenses,786,20000,20000,-,19950,50
Legislative Department Office of the City Vice Mayor- Maintenance and Other Operating Expenses,Subsidy to VMLP,878,300000,300000,-,299968.64,31.36
Legislative Department Office of the City Vice Mayor- Maintenance and Other Operating Expenses,Fidelity Bond Premiums,892,14250,14250,-,14250,-
Legislative Department Office of the City Vice Mayor- Maintenance and Other Operating Expenses,Other Maintenance and Operating Expenses,969,533921.1,533921.1,-,502164.45,31756.65
Office of the SP Legislative,-,1021,19236989.46,19236989.46,-,19159795.2,77194.26
Office of the SP Legislative- Personal Services,-,-,18582489.46,18582489.46,-,18551507.79,30981.67
Office of the SP Legislative- Personal Services,Salaries and Wages-Regular,701,10282764,10282764,-,10278067,4697
Office of the SP Legislative- Personal Services,Salaries and Wages-Casual,705,4470096.46,4470096.46,-,4448312.11,21784.35
Office of the SP Legislative- Personal Services,PERA,711,576000,576000,-,576000,-
Office of the SP Legislative- Personal Services,Representation Allowance,713,792000,792000,-,792000,-
Office of the SP Legislative- Personal Services,Clothing Allowance,715,96000,96000,-,96000,-
Office of the SP Legislative- Personal Services,Cash Gift,724,120000,120000,-,120000,-
Office of the SP Legislative- Personal Services,Year- End Bonus,725,856897,856897,-,856897,-
Office of the SP Legislative- Personal Services,Life and Retirement Insurance Contributions,731,1233932,1233932,-,1233931.68,0.32
Office of the SP Legislative- Personal Services,PAG-IBIG Contributions,732,28800,28800,-,28800,-
Office of the SP Legislative- Personal Services,PHILHEALTH Contributions,733,97200,97200,-,92700,4500
Office of the SP Legislative- Personal Services,ECC Contributions,734,28800,28800,-,28800,-
Office of the SP Legislative- Maintenance and Other Operating Expenses,-,-,654500,654500,-,608287.41,46212.59
Office of the SP Legislative- Maintenance and Other Operating Expenses,Membership Dues and Cont. to Org.,778,-,-,-,-,-
Office of the SP Legislative- Maintenance and Other Operating Expenses,Subscription Expenses,786,12000,12000,-,6000,6000
Office of the SP Legislative- Maintenance and Other Operating Expenses,Subsidy to PCL,878,434000,434000,-,398067,35933
Office of the SP Legislative- Maintenance and Other Operating Expenses,Subsidy to NMYL,878,-,-,-,-,-
Office of the SP Legislative- Maintenance and Other Operating Expenses,Subsidy to 4L,878,208500,208500,-,204220.41,4279.59
Office of the SP Secretariat,-,1022,6052059.87,6052059.87,-,5363764.04,688295.83
Office of the SP Secretariat- Personal Services,-,-,6012359.87,6012359.87,-,5324104.04,688255.83
Office of the SP Secretariat- Personal Services,Salaries and Wages-Regular,701,4035387,4035387,-,3503240.45,532146.55
Office of the SP Secretariat- Personal Services,Salaries and Wages-Casual,705,545907.17,545907.17,-,545511.17,396
Office of the SP Secretariat- Personal Services,PERA,711,292000,292000,-,260000,32000
Office of the SP Secretariat- Personal Services,Representation Allowance,713,66000,66000,-,66000,-
Office of the SP Secretariat- Personal Services,Transportation Allowance,714,66000,66000,-,66000,-
Office of the SP Secretariat- Personal Services,Clothing Allowance,715,56000,56000,-,44000,12000
Office of the SP Secretariat- Personal Services,Cash Gift,724,60000,60000,-,55000,5000
Office of the SP Secretariat- Personal Services,Year- End Bonus,725,333406,333406,-,294471,38935
Office of the SP Secretariat- Personal Services,Life and Retirement Insurance Contributions,731,484247.2,484247.2,-,424181.42,60065.78
Office of the SP Secretariat- Personal Services,PAG-IBIG Contributions,732,14600,14600,-,13200,1400
Office of the SP Secretariat- Personal Services,PHILHEALTH Contributions,733,44212.5,44212.5,-,39300,4912.5
Office of the SP Secretariat- Personal Services,ECC Contributions,734,14600,14600,-,13200,1400
Office of the SP Secretariat- Maintenance and Other Operating Expenses,-,-,39700,39700,-,39660,40
Office of the SP Secretariat- Maintenance and Other Operating Expenses,Postage and Deliveries,771,1000,1000,-,1000,-
Office of the SP Secretariat- Maintenance and Other Operating Expenses,Advertising Expenses,786,32900,32900,-,32900,-
Office of the SP Secretariat- Maintenance and Other Operating Expenses,Printing and Binding Expenses,781,5800,5800,-,5760,40
Human Resource and MGT Office,-,1032,5904967.28,5904967.28,-,5407075.06,497892.22
Human Resource and MGT Office- Personal Services,-,-,5858967.28,5858967.28,-,5362075.46,496891.82
Human Resource and MGT Office- Personal Services,Salaries and Wages-Regular,701,3800418,3800418,-,3431297,369121
Human Resource and MGT Office- Personal Services,Salaries and Wages-Casual,705,721333.88,721333.88,-,714187.32,7146.56
Human Resource and MGT Office- Personal Services,PERA,711,308000,308000,-,282000,26000
Human Resource and MGT Office- Personal Services,Representation Allowance,713,66000,66000,-,66000,-
Human Resource and MGT Office- Personal Services,Clothing Allowance,715,52000,52000,-,44000,8000
Human Resource and MGT Office- Personal Services,Cash Gift,724,65000,65000,-,60000,5000
Human Resource and MGT Office- Personal Services,Year- End Bonus,725,317801,317801,-,288733,29068
Human Resource and MGT Office- Personal Services,Life and Retirement Insurance Contributions,731,456051.4,456051.4,-,410795.64,45255.76
Human Resource and MGT Office- Personal Services,PAG-IBIG Contributions,732,15400,15400,-,14100,1300
Human Resource and MGT Office- Personal Services,PHILHEALTH Contributions,733,41563,41563,-,36862.5,4700.5
Human Resource and MGT Office- Personal Services,ECC Contributions,734,15400,15400,-,14100,1300
Human Resource and MGT Office- Maintenance and Other Operating Expenses,-,-,46000,46000,-,44999.6,1000.4
Human Resource and MGT Office- Maintenance and Other Operating Expenses,Printed Forms Expenses,756,40000,40000,-,39999.6,0.4
Human Resource and MGT Office- Maintenance and Other Operating Expenses,Membership Dues and Cont. to Org.,778,6000,6000,-,5000,1000
Office of the City Planning and Development Coordinator,-,1041,4568134.52,4568134.52,-,4482736.46,85398.06
Office of the City Planning and Development Coordinator- Personal Services,-,-,4567134.52,4567134.52,-,4482736.46,84398.06
Office of the City Planning and Development Coordinator- Personal Services,Salaries and Wages-Regular,701,3161337,3161337,-,3141744.72,19592.28
Office of the City Planning and Development Coordinator- Personal Services,Salaries and Wages-Casual,705,243878.18,243878.18,-,243159,719.18
Office of the City Planning and Development Coordinator- Personal Services,PERA,711,236000,236000,-,234000,2000
Office of the City Planning and Development Coordinator- Personal Services,Representation Allowance,713,66000,66000,-,66000,-
Office of the City Planning and Development Coordinator- Personal Services,Transportation Allowance,714,66000,66000,-,11000,55000
