particulars_1,particulars_2,code,appropriation,allotment,pr,obr,balances
Construction or Rehabilitation of Multi-Purpose Pavement,Unprogram,-,"145,052.48",-,-,-,-
Asphalting of Roads,-,251,"13,000,000.00",11975372.48,"4,162,400.00",5471280.85,"2,341,691.63"
Asphalting of Roads,"Purok Kalamboan, Brgy. North (Reference number: 060-02-12)- Materials",-,"792,615.00","792,615.00",-,"792,340.00",275
Asphalting of Roads,"Purok Kalamboan, Brgy. North (Reference number: 060-02-12)- Labor",-,"161,722.00","161,722.00",-,"161,722.00",-
Asphalting of Roads,"Purok Kalamboan, Brgy. North (Reference number: 060-02-12)- POL",-,"279,055.98","279,055.98",-,"279,055.71",0.27
Asphalting of Roads,"Purok Kalamboan, Brgy. North (Reference number: 060-02-12)- Contingencies",-,"26,607.02","26,607.02",-,"9,764.31","16,842.71"
Total,-,-,"1,260,000.00","1,260,000.00",-,"1,242,882.02","17,117.98"
Asphalting of Roads,"San Isidro labrador Chapel, Purok Lanzones Brgy. Pandapan (Reference number: 061-02-12)- Materials",-,"134,000.00","134,000.00","134,000.00",-,-
Asphalting of Roads,"San Isidro labrador Chapel, Purok Lanzones Brgy. Pandapan (Reference number: 061-02-12)- Labor",-,"45,476.00","45,476.00",-,-,"45,476.00"
Asphalting of Roads,"San Isidro labrador Chapel, Purok Lanzones Brgy. Pandapan (Reference number: 061-02-12)- POL",-,"111,904.48","111,904.48",-,"111,904.32",0.16
Asphalting of Roads,"San Isidro labrador Chapel, Purok Lanzones Brgy. Pandapan (Reference number: 061-02-12)- Contingencies",-,"2,619.52","2,619.52",-,-,"2,619.52"
Total,-,-,"294,000.00","294,000.00","134,000.00","111,904.32","48,095.68"
Asphalting of Roads,"Purok Tandang Sora, Brgy. Poblacion (Reference number: 062-02-12)- Materials",-,"204,615.00","204,615.00","204,615.00",-,-
Asphalting of Roads,"Purok Tandang Sora, Brgy. Poblacion (Reference number: 062-02-12)- Labor",-,"46,300.00","46,300.00",-,"46,300.00",-
Asphalting of Roads,"Purok Tandang Sora, Brgy. Poblacion (Reference number: 062-02-12)- POL",-,"80,480.00","80,480.00",-,80479.95,0.05
Asphalting of Roads,"Purok Tandang Sora, Brgy. Poblacion (Reference number: 062-02-12)- Contingencies",-,"7,741.48","7,741.48",-,"2,794.00","4,947.48"
Total,-,-,"339,136.48","339,136.48","204,615.00","129,573.95","4,947.53"
Asphalting of Roads,Purok Narra (Rd. Going Madayag Residence) Brgy. Visayan Village (Reference number: 063-02-12)- Materials,-,"100,615.00","100,615.00","100,615.00",-,-
Asphalting of Roads,Purok Narra (Rd. Going Madayag Residence) Brgy. Visayan Village (Reference number: 063-02-12)- Labor,-,"34,902.00","34,902.00",-,-,"34,902.00"
Asphalting of Roads,Purok Narra (Rd. Going Madayag Residence) Brgy. Visayan Village (Reference number: 063-02-12)- POL,-,"64,995.00","64,995.00",-,"64,994.98",0.02
Asphalting of Roads,Purok Narra (Rd. Going Madayag Residence) Brgy. Visayan Village (Reference number: 063-02-12)- Contingencies,-,"3,888.00","3,888.00",-,-,"3,888.00"
Total,-,-,"204,400.00","204,400.00","100,615.00","64,994.98","38,790.02"
Asphalting of Roads,Purok Rambutan (Melendres Compound) Brgy. East (Reference number: 066-02-12)- Materials,-,"524,615.00","524,615.00",-,"524,337.30",277.7
Asphalting of Roads,Purok Rambutan (Melendres Compound) Brgy. East (Reference number: 066-02-12)- Labor,-,"60,124.00","60,124.00",-,-,"60,124.00"
Asphalting of Roads,Purok Rambutan (Melendres Compound) Brgy. East (Reference number: 066-02-12)- POL,-,"178,794.00","178,794.00",-,"178,793.86",0.14
Asphalting of Roads,Purok Rambutan (Melendres Compound) Brgy. East (Reference number: 066-02-12)- Contingencies,-,"15,867.00","15,867.00",-,-,"15,867.00"
Total,-,-,"779,400.00","779,400.00",-,"703,131.16","76,268.84"
Asphalting of Roads,"Purok Pioneer, Brgy. Visayan Village (Reference number: 067-02-12)-  Materials",-,"338,615.00","338,615.00","338,615.00",-,-
Asphalting of Roads,"Purok Pioneer, Brgy. Visayan Village (Reference number: 067-02-12)-  Labor",-,"48,314.00","48,314.00",-,"11,803.50","36,510.50"
Asphalting of Roads,"Purok Pioneer, Brgy. Visayan Village (Reference number: 067-02-12)-  POL",-,"101,169.48","101,169.48",-,101169.26,0.22
Asphalting of Roads,"Purok Pioneer, Brgy. Visayan Village (Reference number: 067-02-12)-  Contingencies",-,"11,901.52","11,901.52",-,-,"11,901.52"
Total,-,-,"500,000.00","500,000.00","338,615.00","112,972.76","48,412.24"
Asphalting of Roads,"GKK IKP Suaybaguio Dist., Brgy. North (Reference number: 068-02-12)- Materials",-,"67,000.00","67,000.00","67,000.00",-,-
Asphalting of Roads,"GKK IKP Suaybaguio Dist., Brgy. North (Reference number: 068-02-12)- Labor",-,"28,768.00","28,768.00",-,-,"28,768.00"
Asphalting of Roads,"GKK IKP Suaybaguio Dist., Brgy. North (Reference number: 068-02-12)- POL",-,"30,232.00","30,232.00",-,-,"30,232.00"
Total,-,-,"126,000.00","126,000.00","67,000.00",-,"59,000.00"
Asphalting of Roads,"Villa Rita Subd., Purok 3 Unit 5, Brgy. Apokon (Reference number: 069-02-12)- Materials",-,"338,615.00","338,615.00","338,615.00",-,-
Asphalting of Roads,"Villa Rita Subd., Purok 3 Unit 5, Brgy. Apokon (Reference number: 069-02-12)- Labor",-,"48,314.00","48,314.00",-,-,"48,314.00"
Asphalting of Roads,"Villa Rita Subd., Purok 3 Unit 5, Brgy. Apokon (Reference number: 069-02-12)- POL",-,"101,169.48","101,169.48",-,"101,169.26",0.22
Asphalting of Roads,"Villa Rita Subd., Purok 3 Unit 5, Brgy. Apokon (Reference number: 069-02-12)- Contingencies",-,"11,901.52","11,901.52",-,-,"11,901.52"
Total,-,-,"500,000.00","500,000.00","338,615.00","101,169.26","60,215.74"
Asphalting of Roads,"Purok Erlynville, Brgy. San Miguel (Reference number: 071-02-12)- Materials",-,"405,615.00","405,615.00","405,615.00",-,-
Asphalting of Roads,"Purok Erlynville, Brgy. San Miguel (Reference number: 071-02-12)- Labor",-,"48,314.00","48,314.00",-,"48,314.00",-
Asphalting of Roads,"Purok Erlynville, Brgy. San Miguel (Reference number: 071-02-12)- POL",-,"75,775.48","75,775.48",-,75775.45,0.03
Asphalting of Roads,"Purok Erlynville, Brgy. San Miguel (Reference number: 071-02-12)- Contingencies",-,"14,615.52","14,615.52",-,-,"14,615.52"
Total,-,-,"544,320.00","544,320.00","405,615.00","124,089.45","14,615.55"
Asphalting of Roads,Christ the King Cathedral (parking space) Brgy. South (Reference number: 072-02-12)- Materials,-,"119,000.00","119,000.00","119,000.00",-,-
Asphalting of Roads,Christ the King Cathedral (parking space) Brgy. South (Reference number: 072-02-12)- Labor,-,"34,902.00","34,902.00",-,"33,969.00",933
Asphalting of Roads,Christ the King Cathedral (parking space) Brgy. South (Reference number: 072-02-12)- POL,-,"65,920.00","65,920.00",-,"65,919.88",0.12
Asphalting of Roads,Christ the King Cathedral (parking space) Brgy. South (Reference number: 072-02-12)- Contingencies,-,"4,178.00","4,178.00",-,-,"4,178.00"
Total,-,-,"224,000.00","224,000.00","119,000.00","99,888.88","5,111.12"
Asphalting of Roads,"Infront of Pagsabangan Brgy. Hall, Brgy. Pagsabangan (Reference number: 073-02-12)- Materials",-,"149,000.00","149,000.00","149,000.00",-,-
Asphalting of Roads,"Infront of Pagsabangan Brgy. Hall, Brgy. Pagsabangan (Reference number: 073-02-12)- Labor",-,"35,726.00","35,726.00",-,-,"35,726.00"
Asphalting of Roads,"Infront of Pagsabangan Brgy. Hall, Brgy. Pagsabangan (Reference number: 073-02-12)- POL",-,"62,554.05","62,554.05",-,-,"62,554.05"
Asphalting of Roads,"Infront of Pagsabangan Brgy. Hall, Brgy. Pagsabangan (Reference number: 073-02-12)- Contingencies",-,"5,475.95","5,475.95",-,-,"5,475.95"
Total,-,-,"252,756.00","252,756.00","149,000.00",-,"103,756.00"
Asphalting of Roads,Floraville - Purok Cadena de Amor Phase 2 Brgy. Visayan Village (Reference number: 074-02-12)- Materials,-,"613,615.00","613,615.00",-,"612,984.00",631
Asphalting of Roads,Floraville - Purok Cadena de Amor Phase 2 Brgy. Visayan Village (Reference number: 074-02-12)- Labor,-,"60,124.00","60,124.00",-,"31,227.44","28,896.56"
Asphalting of Roads,Floraville - Purok Cadena de Amor Phase 2 Brgy. Visayan Village (Reference number: 074-02-12)- POL,-,"152,710.00","152,710.00",-,"152,709.54",0.46
Asphalting of Roads,Floraville - Purok Cadena de Amor Phase 2 Brgy. Visayan Village (Reference number: 074-02-12)- Contingencies,-,"21,551.00","21,551.00",-,-,"21,551.00"
Total,-,-,"848,000.00","848,000.00",-,"796,920.98","51,079.02"
Asphalting of Roads,"Adela Subd., Purok 3 Unit 6, Brgy. Apokon (Reference number: 075-02-12)- Materials",-,"338,615.00","338,615.00","338,615.00",-,-
Asphalting of Roads,"Adela Subd., Purok 3 Unit 6, Brgy. Apokon (Reference number: 075-02-12)- Labor",-,"48,314.00","48,314.00",-,-,"48,314.00"
Asphalting of Roads,"Adela Subd., Purok 3 Unit 6, Brgy. Apokon (Reference number: 075-02-12)- POL",-,"101,219.48","101,219.48",-,-,"101,219.48"
Asphalting of Roads,"Adela Subd., Purok 3 Unit 6, Brgy. Apokon (Reference number: 075-02-12)- Contingencies",-,"11,851.52","11,851.52",-,-,"11,851.52"
Total,-,-,"500,000.00","500,000.00","338,615.00",-,"161,385.00"
Asphalting of Roads,"North Eagle IV, Brgy. Mankilam (Reference number: 076-02-12)- Materials",-,"338,615.00","338,615.00","338,615.00",-,-
Asphalting of Roads,"North Eagle IV, Brgy. Mankilam (Reference number: 076-02-12)- Labor",-,"48,314.00","48,314.00",-,"40,703.49","7,610.51"
Asphalting of Roads,"North Eagle IV, Brgy. Mankilam (Reference number: 076-02-12)- POL",-,"101,219.48","101,219.48",-,"101,219.37",0.11
Asphalting of Roads,"North Eagle IV, Brgy. Mankilam (Reference number: 076-02-12)- Contingencies",-,"11,851.52","11,851.52",-,"10,930.32",921.2
Total,-,-,"500,000.00","500,000.00","338,615.00","152,853.18","8,531.82"
Asphalting of Roads,"Purok 3, Brgy. La Filipina (Reference number: 077-02-12)- Materials",-,"338,615.00","338,615.00",-,-,-
Asphalting of Roads,"Purok 3, Brgy. La Filipina (Reference number: 077-02-12)- Labor",-,"48,314.00","48,314.00",-,"38,345.08","9,968.92"
Asphalting of Roads,"Purok 3, Brgy. La Filipina (Reference number: 077-02-12)- POL",-,"101,219.48","101,219.48",-,-,"101,219.48"
Asphalting of Roads,"Purok 3, Brgy. La Filipina (Reference number: 077-02-12)- Contingencies",-,"11,851.52","11,851.52",-,-,"11,851.52"
Total,-,-,"500,000.00","500,000.00","338,615.00","38,345.08","123,039.92"
Asphalting of Roads,"Purok Bulaklak 3, Brgy. North (Reference number: 078-02-12)- Materials",-,"338,615.00","338,615.00","338,615.00",-,-
Asphalting of Roads,"Purok Bulaklak 3, Brgy. North (Reference number: 078-02-12)- Labor",-,"48,314.00","48,314.00",-,"48,314.00",-
Asphalting of Roads,"Purok Bulaklak 3, Brgy. North (Reference number: 078-02-12)- POL",-,"101,219.48","101,219.48",-,"101,219.37",0.11
Asphalting of Roads,"Purok Bulaklak 3, Brgy. North (Reference number: 078-02-12)- Contingencies",-,"11,851.52","11,851.52",-,"8,314.51","3,537.01"
Total,-,-,"500,000.00","500,000.00","338,615.00","157,847.88","3,537.12"
Asphalting of Roads,"Purok Garcia - Greenland, Brgy. Mankilam (Reference number: 079-02-12)- Materials",-,"948,615.00","948,615.00","948,615.00",-,-
Asphalting of Roads,"Purok Garcia - Greenland, Brgy. Mankilam (Reference number: 079-02-12)- Labor",-,"153,482.00","153,482.00",-,"112,293.78","41,188.22"
Asphalting of Roads,"Purok Garcia - Greenland, Brgy. Mankilam (Reference number: 079-02-12)- POL",-,"179,810.00","179,810.00",-,"179,809.89",0.11
Asphalting of Roads,"Purok Garcia - Greenland, Brgy. Mankilam (Reference number: 079-02-12)- Contingencies",-,"34,093.00","34,093.00",-,-,"34,093.00"
Total,-,-,"1,316,000.00","1,316,000.00","948,615.00","292,103.67","75,281.33"
Asphalting of Roads,"Purok Jumabon, Brgy. Cuambogan (Reference number: 080-02-12)- Materials",-,"509,615.00","509,615.00",-,"509,340.00",275
Asphalting of Roads,"Purok Jumabon, Brgy. Cuambogan (Reference number: 080-02-12)- Labor",-,"112,284.00","112,284.00",-,"54,768.68","57,515.32"
Asphalting of Roads,"Purok Jumabon, Brgy. Cuambogan (Reference number: 080-02-12)- POL",-,"121,160.00","121,160.00",-,-,"121,160.00"
Asphalting of Roads,"Purok Jumabon, Brgy. Cuambogan (Reference number: 080-02-12)- Contingencies",-,"18,541.00","18,541.00",-,-,"18,541.00"
Total,-,-,"761,600.00","761,600.00",-,"564,108.68","197,491.32"
Asphalting of Roads,"Purok Mahusay (Topline), Brgy. West (Reference number: 081-02-12)- Materials",-,"524,615.00","524,615.00",-,-,"524,615.00"
Asphalting of Roads,"Purok Mahusay (Topline), Brgy. West (Reference number: 081-02-12)- Labor",-,"113,062.00","113,062.00",-,-,"113,062.00"
Asphalting of Roads,"Purok Mahusay (Topline), Brgy. West (Reference number: 081-02-12)- POL",-,"133,490.00","133,490.00",-,-,"133,490.00"
Asphalting of Roads,"Purok Mahusay (Topline), Brgy. West (Reference number: 081-02-12)- Contingencies",-,"18,433.00","18,433.00",-,-,"18,433.00"
Total,-,-,"789,600.00","789,600.00",-,-,"789,600.00"
Asphalting of Roads,"Purok Malipayon (Rd. Going Engr. Zaragosa Residence), Brgy. West (Reference number: 082-02-12)- Materials",-,"405,615.00","405,615.00","2,250.00","403,157.30",207.7
Asphalting of Roads,"Purok Malipayon (Rd. Going Engr. Zaragosa Residence), Brgy. West (Reference number: 082-02-12)- Labor",-,"107,386.00","107,386.00",-,-,"107,386.00"
Asphalting of Roads,"Purok Malipayon (Rd. Going Engr. Zaragosa Residence), Brgy. West (Reference number: 082-02-12)- POL",-,"108,268.00","108,268.00",-,-,"108,268.00"
Asphalting of Roads,"Purok Malipayon (Rd. Going Engr. Zaragosa Residence), Brgy. West (Reference number: 082-02-12)- Contingencies",-,"14,891.00","14,891.00",-,-,"14,891.00"
Total,-,-,"636,160.00","636,160.00","2,250.00","403,157.30","230,752.70"
Asphalting of Roads,"Purok Pag-asa - Talisay, Brgy. West (Reference number: 083-02-12)- Materials",-,"375,615.00","375,615.00",-,"375,337.30",277.7
Asphalting of Roads,"Purok Pag-asa - Talisay, Brgy. West (Reference number: 083-02-12)- Labor",-,"108,210.00","108,210.00",-,-,"108,210.00"
Asphalting of Roads,"Purok Pag-asa - Talisay, Brgy. West (Reference number: 083-02-12)- POL",-,"102,255.00","102,255.00",-,-,"102,255.00"
Asphalting of Roads,"Purok Pag-asa - Talisay, Brgy. West (Reference number: 083-02-12)- Contingencies",-,"13,920.00","13,920.00",-,-,"13,920.00"
Total,-,-,"600,000.00","600,000.00",-,"375,337.30","224,662.70"
Asphalting of Roads,Unprogram,-,"1,024,627.52",-,-,-,-
Concreting of Roads,-,251,"13,000,000.00","4,920,000.00","458,480.00","3,860,846.48","600,673.52"
Concreting of Roads,"Sator Avenue, Brgy. Mankilam (Reference number: 017-01-12)- Materials",-,"351,180.00","351,180.00",-,"342,687.00","8,493.00"
Concreting of Roads,"Sator Avenue, Brgy. Mankilam (Reference number: 017-01-12)- Labor",-,"79,824.00","79,824.00",-,"79,824.00",-
Concreting of Roads,"Sator Avenue, Brgy. Mankilam (Reference number: 017-01-12)- Contingencies",-,"3,996.00","3,996.00",-,"3,728.44",267.56
Total,-,-,"435,000.00","435,000.00",-,"426,239.44","8,760.56"
Concreting of Roads,"Capitol Avenue (Add'l Lane), Brgy. Mankilam (Reference number: 018-01-12)- Materials",-,"117,725.00","117,725.00",-,"110,205.00","7,520.00"
Concreting of Roads,"Capitol Avenue (Add'l Lane), Brgy. Mankilam (Reference number: 018-01-12)- Labor",-,"27,855.50","27,855.50",-,"27,855.50",-
Concreting of Roads,"Capitol Avenue (Add'l Lane), Brgy. Mankilam (Reference number: 018-01-12)- Contingencies",-,"4,419.50","4,419.50",-,"4,328.56",90.94
Total,-,-,"150,000.00","150,000.00",-,"142,389.06","7,610.94"
Concreting of Roads,"Along Davao City Central Warehouse Club, Brgy. Magugpo East (Reference number: 030-01-12)- Materials",-,"243,500.00","243,500.00",-,"229,488.00","14,012.00"
Concreting of Roads,"Along Davao City Central Warehouse Club, Brgy. Magugpo East (Reference number: 030-01-12)- Labor",-,"53,007.50","53,007.50",-,"53,007.50",-
Concreting of Roads,"Along Davao City Central Warehouse Club, Brgy. Magugpo East (Reference number: 030-01-12)- Contingencies",-,"3,492.50","3,492.50",-,847.25,"2,645.25"
Total,-,-,"300,000.00","300,000.00",-,"283,342.75","16,657.25"
Concreting of Roads,"Garcia St. (Add'l Lane), Mag. South (Reference number: 020-01-12)- Materials",-,"309,675.00","309,675.00",-,"306,975.00","2,700.00"
Concreting of Roads,"Garcia St. (Add'l Lane), Mag. South (Reference number: 020-01-12)- Labor",-,"66,673.00","66,673.00",-,"66,672.09",0.91
Concreting of Roads,"Garcia St. (Add'l Lane), Mag. South (Reference number: 020-01-12)- Contingencies",-,"3,652.00","3,652.00",-,"3,622.00",30
Total,-,-,"380,000.00","380,000.00",-,"377,269.09","2,730.91"
Concreting of Roads,"New City Hall (Near Children's Park), Brgy, Apokon (Reference number: 027-01-12)- Materials",-,"716,980.00","716,980.00",-,"711,774.00","5,206.00"
Concreting of Roads,"New City Hall (Near Children's Park), Brgy, Apokon (Reference number: 027-01-12)- Labor",-,"277,270.50","277,270.50",-,"31,620.00","245,650.50"
Concreting of Roads,"New City Hall (Near Children's Park), Brgy, Apokon (Reference number: 027-01-12)- Contingencies",-,"5,749.50","5,749.50",-,-,"5,749.50"
Total,-,-,"1,000,000.00","1,000,000.00",-,"743,394.00","256,606.00"
Concreting of Roads,"Mel Village, Brgy. Visayan Village (Reference number: 029-01-12)- Materials",-,"390,985.00","390,985.00",-,"387,650.00","3,335.00"
Concreting of Roads,"Mel Village, Brgy. Visayan Village (Reference number: 029-01-12)- Labor",-,"79,824.00","79,824.00",-,-,"79,824.00"
Concreting of Roads,"Mel Village, Brgy. Visayan Village (Reference number: 029-01-12)- Contingencies",-,"4,191.00","4,191.00",-,-,"4,191.00"
Total,-,-,"475,000.00","475,000.00",-,"387,650.00","87,350.00"
Concreting of Roads,"Mirafuentes Main Road, Brgy. Magugpo North (Reference number: 032-01-12)- Materials",-,"828,630.00","828,630.00",-,"822,294.00","6,336.00"
Concreting of Roads,"Mirafuentes Main Road, Brgy. Magugpo North (Reference number: 032-01-12)- Labor",-,"164,868.50","164,868.50",-,"40,576.00","124,292.50"
Concreting of Roads,"Mirafuentes Main Road, Brgy. Magugpo North (Reference number: 032-01-12)- Contingencies",-,"6,501.50","6,501.50",-,-,"6,501.50"
Total,-,-,"1,000,000.00","1,000,000.00",-,"862,870.00","137,130.00"
Concreting of Roads,Circumferential Road to Gazmen Road Brgy. La Filipina (Reference number: 026-01-12)- Materials,-,"492,250.00","492,250.00",-,"487,378.00","4,872.00"
Concreting of Roads,Circumferential Road to Gazmen Road Brgy. La Filipina (Reference number: 026-01-12)- Labor,-,"103,388.00","103,388.00",-,"84,634.14","18,753.86"
Concreting of Roads,Circumferential Road to Gazmen Road Brgy. La Filipina (Reference number: 026-01-12)- Contingencies,-,"4,362.00","4,362.00",-,-,"4,362.00"
Total,-,-,"600,000.00","600,000.00",-,"572,012.14","27,987.86"
Concreting of Roads,"Garciaville, Brgy. Mankilam (Reference number: 037-01-12)- Materials",-,"458,480.00","458,480.00","458,480.00",-,-
Concreting of Roads,"Garciaville, Brgy. Mankilam (Reference number: 037-01-12)- Labor",-,"114,201.00","114,201.00",-,"65,680.00","48,521.00"
Concreting of Roads,"Garciaville, Brgy. Mankilam (Reference number: 037-01-12)- Contingencies",-,"7,319.00","7,319.00",-,-,"7,319.00"
Total,-,-,"580,000.00","580,000.00","458,480.00","65,680.00","55,840.00"
Concreting of Roads,Unprogram,-,"8,080,000.00",-,-,-,-
Concreting of Alleys,-,251,"1,000,000.00",-,-,-,-
Concreting of Alleys,Unprogram,-,"1,000,000.00",-,-,-,-
Fabrication of Park Benches,-,260,"300,000.00",-,-,-,-
Fabrication of Park Benches,Unprogram,-,"300,000.00",-,-,-,-
Acquisition of Land,-,201,"13,000,000.00","6,269,148.33",-,"6,269,148.33",-
Acquisition of Land,Acquisition of Land,-,"6,269,148.33","6,269,148.33",-,"6,269,148.33",-
Acquisition of Land,Unprogram,-,"6,730,851.67",-,-,-,-
Construction of Bridges,-,251,"500,000.00",-,-,-,-
Construction of Bridges,Unprogram,-,"500,000.00",-,-,-,-
Development of Nabintad Park,-,252,"500,000.00",-,-,-,-
Development of Nabintad Park,Unprogram,-,"500,000.00",-,-,-,-
Development of Canocotan Circuit,-,205,"3,000,000.00",-,-,-,-
Development of Canocotan Circuit,Unprogram,-,"3,000,000.00",-,-,-,-
Development and Maintenance of Energy Park,-,252,"1,000,000.00",-,-,-,-
Development and Maintenance of Energy Park,Unprogram,-,"1,000,000.00",-,-,-,-
Development of Bird Park,-,252,"1,500,000.00",1000000,-,"557,688.00","442,312.00"
Development of Bird Park,"Mandapaan Creek, Brgy. New Balamban (Reference number: 117-03-12)- Materials",-,"511,030.00","511,030.00",-,"506,525.00","4,505.00"
Development of Bird Park,"Mandapaan Creek, Brgy. New Balamban (Reference number: 117-03-12)- Labor",-,"266,930.00","266,930.00",-,"51,163.00","215,767.00"
Development of Bird Park,"Mandapaan Creek, Brgy. New Balamban (Reference number: 117-03-12)- POL",-,"207,000.00","207,000.00",-,-,"207,000.00"
Development of Bird Park,"Mandapaan Creek, Brgy. New Balamban (Reference number: 117-03-12)- Contingencies",-,"15,040.00","15,040.00",-,-,"15,040.00"
Total,-,-,"1,000,000.00","1,000,000.00",-,"557,688.00","442,312.00"
Development of Bird Park,Unprogram,-,"500,000.00",-,-,-,-
Land Development and Improvement,-,202,"1,000,000.00",-,-,-,-
Land Development and Improvement,Unprogram,-,"1,000,000.00",-,-,-,-
Peace and Order Fund: Development of Park and Highways,-,252,"3,000,000.00","1,360,000.00","25,740.00","1,018,577.17","315,682.83"
Peace and Order Fund: Development of Park and Highways,"Merville Subdivision, Brgy. Magdum (Reference number: 046-01-12)- Materials",-,"190,670.00","190,670.00",-,"187,352.60","3,317.40"
