puv,route
Bus,Pacita Complex - SM Fairview via EDSA
Bus,Pacita Complex (SPL) - Letre via EDSA
Bus,Pacita Complex (SPL) - Lagro via Fairview
Bus,Pacita Complex - Navotas Term via EDSA
Bus,"Pacita - Novaliches Term via Quirino, Mindanao Ave, EDSA"
Bus,"Pacita - Novaliches Term via Malinta Ex, EDSA"
Bus,PalaPala Dasma Cavite - Navo Term via EDSA
Bus,Pandacan (Beata) - Quiapo via C. Palanca
Bus,"Pasig City - MOA via Shaw Blvd, Magsaysay"
Bus,Sapang Palay - Sta Cruz via Malinta Exit
Bus,Sapang Palay (Bul.) - Sta.Cruz via Sta.Ma.
Bus,"Sapang Palay (SJDM,Bul)-Sta.CruzviaQuiri"
Bus,"Sapang Palay - Baclaran via EDSA, East Ave"
Bus,"Sapang Palay - Sta Cruz (DJose), Sta Maria NE"
Bus,Sapang Palay - Sta Cruz via Marilao Exit
Bus,Sapang Palay - Sta Cruz (DJose) via Sta Maria NE
Bus,"San Jose Del Monte - Baclaran via Commonwealth Ave, Ayala"
Bus,SM Southmall - SM Fairview via Quezon Ave
Bus,"San Mateo - Baclaran via EDSA, Ayala, Commonwealth Ave"
Bus,Sta Maria - Baclaran via Taft Ave
Bus,"Sta Maria - Baclaran, NLEX, EDSA"
Bus,"Sta Maria - Santolan, QC & VV"
Bus,Sta Maria - Baclaran via McArthur
Bus,"Sta Maria - Baclaran via McArthur, EDSA, Ayala"
Bus,Taguig - Navotas
Bus,"Taguig - SM Fairview via Lagro, Ayala, Buendia, EDSA"
Bus,Taytay - Quiapo via Manila East Road
Bus,"Taytay - Quiapo via Ortigas Ave, Manila East Road &VV"
Bus,Tramo/Buendia-C5
Jeepney,"Alabang - Baclaran via Sn Dionisio, Zapote"
Jeepney,Alabang - Balibago
Jeepney,Alabang - Balibago Sta Rosa Lag. via SSH
Jeepney,Alabang - Biñan via National Rd
Jeepney,Alabang - Bulihan via National Road
Jeepney,Alabang - Calamba via Expressway
Jeepney,Alabang - Calamba via National Rd
Jeepney,Alabang - Carmona
Jeepney,Alabang - Carmona Bulihan
Jeepney,Alabang - Carmona to Buhi
Jeepney,Alabang - Carmona via Expressway
Jeepney,Alabang - FTI via SSH
Jeepney,Alabang - GMA Alab Carmona to Bulihan
Jeepney,"Alabang - GMA via Carmona, Expressway"
Jeepney,"Alabang - GMA via Carmona, Nat'l Rd"
Jeepney,Alabang - GMA via National Road
Jeepney,Alabang - GMA via South Expressway
Jeepney,Alabang - Langgam (San Pedro)
Jeepney,"Alabang - Muntinlupa - Langgam,San Pedro"
Jeepney,Alabang - Zapote (Las Piñas)
Jeepney,Alabang - GMA via Carmona to Bulihan
Jeepney,Alabang - GMA via South Expressway Carmona Exit
Jeepney,Alabang - Queen's Row via Daang Hari andVV
Jeepney,Angono - Cubao Aurora 20th Ave PTuazon
Jeepney,Angono - EDSA/Shaw Blvd
Jeepney,Angono - NCC Market via Felix Avenue
Jeepney,Angono - Pasig (TP)
Jeepney,Angono - Pasig (TP) via Angono Bayan
Jeepney,Angono - Robinson's Galleria
Jeepney,Angono - Rosario
Jeepney,Angono - Taytay(TP)
Jeepney,Angono (Rizal) - Agora Market (SJ) via Manggahan
Jeepney,Angono - Cubao via Angono
Jeepney,Antipolo - Cubao via Imelda Ave
Jeepney,Antipolo - Cubao via Marcos Hi-way
Jeepney,Antipolo - Cubao via Sumulong Hi-way
Jeepney,Antipolo - EDSA/Shaw Blvd
Jeepney,Antipolo - JRC via Ortigas Avenue
Jeepney,Antipolo - Pasig (TP)
Jeepney,Antipolo - Rosario
Jeepney,Antipolo (Cogeo) - Marikina via MarcosHwy
Jeepney,Antipolo (Cogeo) - Marikina via Sumulong
Jeepney,Antipolo (Cogeo) - Marikina via Francisville
Jeepney,Antipolo (Cogeo) - Marikina via Marcos Hiway
Jeepney,Antipolo (Town Proper) - Marikina via Sumulong
Jeepney,Antipolo - EDSA/Shaw via JRC
Jeepney,Ayala (Landmark) - Bahayang Pag-asa & VV
Jeepney,Ayala - Bahayang Pag-asa via Ayala Ctr Ter
Jeepney,Baclaran - Bacoor
Jeepney,Baclaran - Bacoor via Redemptorist
Jeepney,Baclaran - Dapitan via Mabini
Jeepney,Baclaran - Dasmariñas Bagong Bayan
Jeepney,Baclaran - Imus via Quirino Ave
Jeepney,Baclaran - Zapote (Bacoor) via Cavite
Jeepney,Baclaran - Zapote (Bacoor) via Coastal Rd
Jeepney,Baclaran - Bahayang Pagasa Subd viaCoastal
Jeepney,Baclaran - Imus via Imus Terminal
Jeepney,Bagbaguin - Malinta
Jeepney,Bagong NayonII - Marikina via A Tuazon
Jeepney,Bagong NayonII - Marikina via Marcos Hiway
Jeepney,Bagumbayan (Taguig) - Sucat
Jeepney,Bagumbayan (Taguig) - Pasig (TP) via Sn Joaq
Jeepney,Balagtas - Malinta via McArthur Hi-way
Jeepney,Baliuag (Bulacan) - Malinta
Jeepney,Baliwag - Malinta via McArthur Hi-Way
Jeepney,BBB - Malolos via McArthur Hiway
Jeepney,Bigte (Norgray Bul) - Novaliches via Quirino
Jeepney,Binakayan (Kawit) - Zapote (Las Piñas)
Jeepney,Binangonan - EDSA/Shaw and VV
Jeepney,Binangonan - EDSA/Shaw Blvd via Angono
Jeepney,Binangonan - EDSA/Shaw via Manggahan F'wy
Jeepney,Binangonan - JRC via Angono
Jeepney,Binangonan - JRC via Angono Floodway
Jeepney,Binangonan - JRC via EDSA/Shaw Angono
Jeepney,Binangonan - JRC via Manggahan Floodway
Jeepney,Binangonan - Marcos Hiway/Imelda Avenue
Jeepney,Binangonan - Pasig (TP)
Jeepney,Binangonan - Rosario
Jeepney,Binangonan - JRC via Angono Villa Mangahan
Jeepney,"Binangonan - JRC via Angono, Taytay, Cainta"
Jeepney,Binangonan - JRC via EDSA/Shaw Villa Manggahn
Jeepney,Binangonan - LRT/MrknRBanksviaMlaEastImldM
Jeepney,Binangonan - Marcos Hway LRT Station RBank
Jeepney,Binangonan - Marcos Hway/Imelda Mla EastRd
Jeepney,Binangonan - Riverbanks via MlaEastImeldaMH
Jeepney,Bintog - Malinta via McArthur Hi-way
Jeepney,Blumentritt - Divisoria
Jeepney,"Brgy Bagong Silangan - Ever Gotesco, Commonwealth Ave"
Jeepney,Brgy Mali San Mateo (Rizal) - Philcoa via Const
Jeepney,Brgy Pntong Bukawe (San Mateo) Robinson via Marikina
Jeepney,Brgy San Rafael (Rodriguez) - QC Hall via Maly
Jeepney,Brgy San Rafael (Rodriguez) - QMC via Brgy Maly
Jeepney,Bulacan - Malinta via Mc Arthur Highway
Jeepney,Buso-Buso - Marikina
Jeepney,Cainta - Jala-Jala
Jeepney,Cainta - Morong via Binangonan
Jeepney,Cainta - Tanay via Binangonan
Jeepney,Cainta Junction - Cubao via Ortigas Ave Ext
Jeepney,Cainta Junction - Cubao
Jeepney,Cainta Junction - Cubao via Imelda Ave
Jeepney,Cainta Junction - Ortigas Ave/ADB
Jeepney,Calawis (Antipolo) - Marikina via Marcos Hiway
Jeepney,"Calumpang - Cubao via 20th Ave, P Tuazon"
Jeepney,Camella Homes Spring - LPinas via MAlvarez
Jeepney,Camella Homes Springville (Cavite) - Talon (LP)
Jeepney,Camella Springville (Bac Cav) - Talon (LP)
Jeepney,Camella Springville - LPñas via MarcosHway
Jeepney,Camella (Gawaran) - Lozada Mkt via MAlvarez
Jeepney,Cartimar - Guadalupe Nuevo via Buendia Ave
Jeepney,Cogeo - Cubao via Marcos Highway
Jeepney,"CogeoGte2-PenaanviaPadilla,MHwy-PaloAlto"
Jeepney,Cogeo - Paenaan via Padilla Marcos Highway
Jeepney,"Commonwealth Market - Rodriguez, Rizal"
Jeepney,Commonwealth Market - Southville Resettlemnt
Jeepney,Cubao - Angono
Jeepney,Cubao - E Rodriguez (Montalban)
Jeepney,Cubao - Montalban
Jeepney,Cubao - Padilla (Bagong Nayon II)
Jeepney,Cubao - Padilla via Marcos Hi-way
Jeepney,Cubao - Padilla via Peace Village
Jeepney,"Cubao - Rodriguez (TP), Mont via San Mateo"
Jeepney,Cubao - Silangan (San Mateo) via Aurora
Jeepney,Cubao - Silangan (San Mateo) via Marikina
Jeepney,Cubao - Silangan (San Mateo) via Woodland
Jeepney,Cubao - Taytay
Jeepney,Cubao - Taytay via Aurora Blvd
Jeepney,Cubao - Taytay via Imelda Ave
Jeepney,Cubao - MontalbanviaMntlbnTermRdrguezJPRzl
Jeepney,Dasmariñas Resettlement Area (Paliprn) - Baclaran via Coastal Road
Jeepney,Dasmariñas Resettlement Area - Baclaran via Coastal Road
Jeepney,Dasmariñas Resettlement Area - Zapote
Jeepney,Dasmariñas Resettlement Area - Baclaran and VV
Jeepney,Divisoria - Malinta via JA Santos
Jeepney,E Rodriguez (Marikina) - San Rafael
Jeepney,Eastern Rizal - Pasig (Market)
Jeepney,EDSA/Shaw Central - Morong via Antipolo
Jeepney,EDSA/Shaw Central - Morong
Jeepney,EDSA/Shaw Central - Morong via EDSA
Jeepney,EDSA/Shaw Central - Morong viaCainta Tay
Jeepney,EDSA/Shaw Central - Pasig (TP)
Jeepney,EDSA/Shaw Central - Tanay via Angono
Jeepney,EDSA/Shaw Central - Tanay via Antipolo
Jeepney,EDSA/Shaw Central - Tanay via Binangonan
Jeepney,EDSA/Shaw Central - Taytay
Jeepney,"EDSA/Shaw Central - Morong via Ant.,Teresa"
Jeepney,EDSA/Shaw Central - Taytay via EDSA Central Terminal
Jeepney,EDSA/Shaw Central - Morong via Floodway Angono
Jeepney,EDSA/Shaw Central - Tanay via Floodway Angono
Jeepney,EDSA/Shaw Central - Morong via Binangonan Cardona
Jeepney,"EDSA/Shaw Central - San Juan, Taytay via Sandov"
Jeepney,Evergreen Subdivision - Philcoa via Commonwealth Ave
Jeepney,Francisco Homes (SJDM) - Cubao (Araneta Center)
Jeepney,Francisco Homes - Aurora Blvd/Illinois
Jeepney,Francisco Homes - Nova (TP) via Quirino
Jeepney,Francisco Homes - Philcoa
Jeepney,Francisco Homes - Philcoa Quirino Highway
Jeepney,GMA-Pal-BacCvt(MolCstlRd)BacMallofAsiaVV
Jeepney,Golden City Subd - Molino Mrket via Talon
Jeepney,Grotto (SJDM) - Novaliches (TP)
Jeepney,Gumaok (SJDM) - Novaliches (TP)
Jeepney,Hdela CostaII - SM Fairview via Quirino Hway
Jeepney,Heritage Homes - Monumento via NLEX
Jeepney,Heritage Homes - Monumento via McArthur Hway
Jeepney,Imus - Zapote
Jeepney,Jordan Plaines - Sapang Palay via Tungku
Jeepney,Karuhatan - Ugong
Jeepney,Kasiglahan - Wawa (Montalban)
Jeepney,Katarungan Vill (Munti) - Alabang via Bilibid
Jeepney,Kawit (Cavite) - Zapote (Las Piñas)
Jeepney,Kaybiga - Malinta
Jeepney,Libertad - Malibay
Jeepney,Licao - Licao Tungkong Mangga
Jeepney,Litex Mkt - Mali San Mateo via Constitutionl
Jeepney,Litex - Montalban via Gravel Pit Road & VV
Jeepney,Malabon - Obando
Jeepney,Malabon - Paco (Obando)
Jeepney,Malabon (TP) - Obando via Paco
Jeepney,Malanday - Bulacan
Jeepney,Mali San Mateo Rizal - Philcoa via Const Hills
Jeepney,Malinta - Bocaue via McArthur Highway
Jeepney,Malinta - Hagonoy (Bul) via Meycauayan
Jeepney,Malinta - Malolos
Jeepney,Malinta - Malolos via McArthur Hi-way
Jeepney,Malinta - Meycauayan via McArthur Hi-way
Jeepney,Malinta - Monumento via McArthur Hi-way
Jeepney,Malinta - Norzagaray via McArthur Hi-way
Jeepney,Malinta - Novaliches
Jeepney,Malinta - Plaridel via McArthur Highway
Jeepney,Malinta - Sta Maria
Jeepney,Malinta - Sta Maria via McArthur Hi-way
Jeepney,Malolos - BBB (Val) via McArthur Hi-way
Jeepney,Malolos (Bul)-Mlinta via McArthur Hi-way
Jeepney,Mambugan - Marikina via A Tuazon
Jeepney,Mambugan - Marikina via Cogeo
Jeepney,Marcos Ave - Montalban via Litex
Jeepney,Marcos Ave - Montalban via Marcos Ave
Jeepney,Marcos Ave (Commonwealth) - Montalban
Jeepney,Marikina - Maarat
Jeepney,Marikina - Montalban
Jeepney,Marikina - Palmera Tierra Monte
Jeepney,Marikina - Pinugay (PHILCOMSAT)
Jeepney,Marikina - San Mateo
Jeepney,Marikina - Taytay
Jeepney,Marikina (TP) - Paenaan via Marcos Hi-way
Jeepney,Marikina - Montalban via Burgos DaangBakal
Jeepney,Meycauayan - Bignay via Punturin
Jeepney,Meycauayan - Monumento via Expressway
Jeepney,Meycauayan - Monumento via McArthurHiway
Jeepney,Meycauayan - Punturin (Valenzuela)
Jeepney,"Molino - Zapote all in Bacoor, Cavite"
Jeepney,Molino (SM) Bacoor Cavite - Alabang Muntinlupa via SM
Jeepney,Molino - Soldiers Hills via Marcos Alvarez
Jeepney,Molino - Soldiers Hills4 via Marcos Alvarez
Jeepney,Montalban - Marikina
Jeepney,Montalban - San Mateo
Jeepney,"Montalban - San Mateo, LRT, Marikina Riverbanks via Marcos Hway"
Jeepney,Montalban - Marikina - LRT Santolan Station/Riverbanks Terminal
Jeepney,Monumento - Paco (Obando) via Dagohoy
Jeepney,Monumento - Paco (Obando) via MH Del Pilar
Jeepney,Monumento - Polo via Acacia MH Del Pilar
Jeepney,Monumento - St Francis via Bustamante
Jeepney,Monumento - Sta Maria via Expressway
Jeepney,Monumento - Sta Maria via McArthur Hiway
Jeepney,Monumento - St Francis via Expway St Michael
Jeepney,Monumento - Sto Niño via Expressway
Jeepney,Monumento - Tabing Ilog via St Francis/Mic
Jeepney,"Monumento - Marilao via NLEX, St Michael, Lias"
Jeepney,Monumento - Paco (Obando) via MH Del Pilar via Daghoy
Jeepney,Monumento - Paco (Obando) via MH Del Pilar via Navrte
Jeepney,Monumento - Prenza (Marilao) via McArthur Hway
Jeepney,Norzagaray (Pob) - SM Fairview via Quirino
Jeepney,Novaliches - Palmera (SJDM)
Jeepney,Novaliches-Sapang Palay via Quirino Hway
Jeepney,Ocean Park - Manila Loop Service
Jeepney,"Pabahay 2000 (Muzon, SJDM) - SM Fairview"
Jeepney,"Pabahay 2000 (SJDM) - Rizal Ave, Extension"
Jeepney,"Pabahay ni Erap (Rodriguez Rizal) - Batasan, Commonwealth"
Jeepney,Pabahay ni Erap (Sub-urban) - Commonwealth Market
Jeepney,"Pacita Complex (San Pedro, Laguna) - Sucat (Paranaque)"
Jeepney,Pacita Complex - Sucat via SLExp Serv.Rd
Jeepney,Padilla/Cogeo - Cubao via Marcos Highway
Jeepney,Paliparan - Baclaran via Molino RD3
Jeepney,Pasig - Taytay via Pasig Market
Jeepney,Pasig (TP) - Taytay via Sixto Antonio
Jeepney,Pasig (TP) - Taytay
Jeepney,Pasig (TP) - Taytay via C. Raymundo Ave
Jeepney,Philcoa - Rodriguez (Montalban)
Jeepney,Philcoa - Rodriguez Montbn via Comwealth
Jeepney,Plaridel - BBB(Val) via McArthur Hi-way
Jeepney,Polo - Sangandaan via Tenejeros
Jeepney,Queens Row Vill - Talon via M Alvarez
Jeepney,Quezon City Hall - San Rafael(Rod)via Maly
Jeepney,Robinson's Galleria - Tanay via Antipolo
Jeepney,Rodriguez - San Rafael
Jeepney,Rodriguez (Marikina) - San Rafael
Jeepney,Rodriguez (Relocn) - CommMrketviaGrvlpit&VV
Jeepney,Rodriguez (Rizal) - Litex Market via Litex
Jeepney,Rodriguez - Quezon City Hall via Mali
Jeepney,Rosario Jct - San Juan via Pinaglabanan
Jeepney,Rosario Jct - San Juan Taytay via Sandoval
Jeepney,Samp (Tanay) - Mayamot (Antipolo City) via Pnugay
Jeepney,San Juan (Pinaglaban) - San Juan Taytay Resetmt
Jeepney,San Rafael (Rizal) - Quezon City Hall
Jeepney,Sapang Palay - Novaliches
Jeepney,Silang - Zapote (Las Pinas)
Jeepney,SM Ayala (Greenbelt) - Bahayang Pag-asa
Jeepney,SM Molino - SM Tunasan (Muntinlupa)
Jeepney,San Rafael - Philcoa via Constitutional QCHall
Jeepney,Soldiers Hills 2 - Las Piñas via M.Alvares
Jeepney,Soldiers Hills 2 - Talon via M Alvarez
Jeepney,Soldiers Hills (Ph4) -Talon via M Alvarez
Jeepney,T Martirez - Zapote (Las Piñas) via Aguinaldo
Jeepney,Tagaytay - SM Mall of Asia
Jeepney,Tagaytay City - Zapote (Las Pinas)
Jeepney,Talon - Molino Pagasa via Marcos Alvarez
Jeepney,Talon - Molino Pagasa via Marcos A Paliprn
Jeepney,Tanza - Zapote (Las Piñas)
Jeepney,Tanza - Zapote via Las Piñas
Jeepney,Taytay - Rosario
Jeepney,"Taytay - SM Mall (C-5,Pas) via San Juan Reclm Fldwy"
Jeepney,"Taytay - SM Mall (C-5,Pas) via San Juan Hway 2000"
Jeepney,Trece Martirez - Zapote (Las Piñas)
UV Express,Alabang - Imus Toll Bridge
UV Express,Alabang - Paliparan via Daang Hari3
UV Express,Angono - EDSA Central
UV Express,Antipolo - Ayala
UV Express,Antipolo - Ayala via Binangonan
UV Express,Antipolo - Ayala via C-5
UV Express,Antipolo - Ayala via Tikling
UV Express,Antipolo - Cubao
UV Express,Antipolo - EDSA Central
UV Express,Antipolo - SM Megamall
UV Express,Antipolo - Ayala via Circumferencial Rd
UV Express,"Antipolo - Cubao via Masangkay, Matinez, JPRiz"
UV Express,Antipolo - Robinson's Galeria (Pasig)
UV Express,Apalit (Pamp) - Central Integrated Term (QC)
UV Express,Bahayang Pagasa (Imus) - Festival Mall (Alab)
UV Express,Bahay Pag-asa - Park n Ride (Lawton) via Coast Rd
UV Express,Balagtas - Monumento
UV Express,Balibago - EDSA Starmall
UV Express,Balibago - SM Southmall
UV Express,Biñan (Laguna) - SM Makati (Makati)
UV Express,Binangonan - EDSA Central
UV Express,Binangonan - Sta Lucia (Cainta)
UV Express,Binangonan - Marikina Riverbank via LRT Santolan
UV Express,"Brgy. Mamatid (Cabuyao, Laguna) - Festival Mall"
UV Express,"Bulinao, Tabuk City - Tuguegarao City, Cag."
UV Express,Calamba (Laguna) - Southmall (Las Piñas)
UV Express,Calumpit (Bulacan) - CIT (Quezon Ave)
UV Express,Camella Homes - Ayala Center
UV Express,Camella Homes - Metropolis (Alabang)
UV Express,Camella Homes - SM Southmall
UV Express,Camella Springville - Alabang
UV Express,Cardona - EDSA Central
UV Express,Cardona - EDSA Starmall
UV Express,Carmona (Cav.) - Festival Mall (Alabang)
UV Express,Cogeo - Cubao via Marcos Highway
UV Express,"Cogeo - Cubao via Marcos Highway, Aurora Blvd"
UV Express,"Cubao - Padilla via Ermin Garcia, Marcos Hwy"
UV Express,Dasmariñas (Cav) - Festival Mall (Alabang)
UV Express,"Dau (Mabalacat, Pampanga) - Balintawak via NLEX"
UV Express,Dela Salle Dasmariñas - SM Southmall
UV Express,Deparo - SM North
UV Express,"Divisoria Mall (GMA, Cav) - Festival Mall (Alabang)"
UV Express,"Famy (Lag) - Sta Teresita (Sampaloc, Mla) via SM Mkna"
UV Express,Francisco Homes - SM Fairview
UV Express,"Francisco Homes (SJDM, Bul) - Blumentritt (Mla)"
UV Express,Francisco Homes - Central Integrated Terminal via Lagro
UV Express,Golden City (Dasma) - Ayala Center
UV Express,Greenland Executive Village (Cainta) - Ayala
UV Express,Heritage (Bulacan) - SM North (QC)
UV Express,Imus - Ayala
UV Express,Imus - Metropolis Mall (Alabang)
UV Express,Imus - Ayala Center Terminal via Binakayan
UV Express,LRT Santolan Station - Antipolo City
UV Express,Malhacan - Quezon Avenue via NLEX
UV Express,Malhacn(MeycBul)-CntrlIntgrtdTermviaNLEX
UV Express,Malolos - Monumento
UV Express,Malolos - Central Integrated Terminal
UV Express,Malolos - Cubao/CIT
UV Express,Malolos - Cubao
UV Express,"Mamatid (Cabuyao, Lag) - Festival Mall (Alabang)"
UV Express,Marilao - SM North Ave
UV Express,Marilao - Central Integrated Terminal(QC)
UV Express,Marilao Terminal - Quezon Ave Terminal (MRT)
UV Express,Marilao - North Rail Road Term
UV Express,Masinag - Ayala
UV Express,Masinag - SM Megamall
UV Express,Meycauayan - Recto
UV Express,Meycauayan - Central Integrated Terminal
UV Express,Molino 4 Bacoor - Ayala Center Terminal via Skyway
UV Express,Molino - Alabang via Daang Hari
UV Express,Montalban - Cubao via Batasan Rd
UV Express,Montalban Central Terminal - Cubao Central Terminal
UV Express,Morong - SM Megamall
UV Express,Morong - Ayala Center via Binangonan
UV Express,Naic - Baclaran via Coastal Rd
UV Express,Norzagaray - Cubao (Ali Mall)
UV Express,"Norzagaray (Proper) - Robinsons, Fairview"
UV Express,"Norzagaray - CentrIntTerm via Regldo, Sauyo C5"
UV Express,Obando - MRT North Avenue Quezon City
UV Express,Pacita - Makati Square
UV Express,Pacita Complex - Ayala Ctr Term via San Pedro Exit
UV Express,Pacita Complex - Masagana (T.M. Kalaw)
UV Express,Pacita Complex - SM Makati
UV Express,Pacita Complex - Market-Market via San Pedro
UV Express,"Pacita (SP, Laguna) - Makati Square"
UV Express,Pacita Complex - AyalaCtr via South Woods Exit
UV Express,Pacita Complex - Market-Market via South Wood
UV Express,Paliparan - Harrison Plaza via Molino Rd
UV Express,Paliparan - Lawton & VV
UV Express,Paliparan - Park n Ride via Coastal Rd
UV Express,Paliparan - Pasay Rotonda via Paliparan Term
UV Express,Pasig Market - EDSA/Shaw Blvd & VV
UV Express,Plaridel - R Papa
UV Express,Queen's Row - Park n Ride (Lawton)
UV Express,Queen's Row - Park n Ride via Coastal Rd
UV Express,Real (Calamba Crosng) - Festival Mall (Alabang)
UV Express,Robinson's Cainta - EDSA Central
UV Express,Robinson's (Imus) - Festival Mall (Alabang)
UV Express,Rodriguez - Cubao
UV Express,Rodriguez - Sta Lucia Grandmall (Cainta)
UV Express,Rodriguez (Montalban) - Araneta Center Cubao
UV Express,"Rodriguez (SbUrbn) - Trinoma via Mla Hill, Commonwealth"
UV Express,San Mateo (Rizal) - Ayala Avenue
UV Express,San Pedro (Lag) - PalaPala via SLEx
UV Express,San Pedro (Lag) - Pacita
UV Express,SM Bacoor - SM Southmall
UV Express,SM Marilao (Bul) - Central Integrated Terminal
UV Express,SM Marilao (Bul) - SM North (QC)
UV Express,Springville Molino Bac - Alabang via DaangHari
UV Express,"St.Michael (Mey, Bul) - Monumento"
UV Express,Sta Lucia (Cainta) - Angono
UV Express,Sta Rosa - Park n' Ride
UV Express,Sta Rosa - Starmall
UV Express,Sto Niño (Meyc) - Central Integrated Terminal (QC)
UV Express,Sto Niño (Meyc) - MRT North Ave
UV Express,Sto Niño (Mkna) - Ayala
UV Express,"Sto Niño (Meyc) - Trinoma, MRT, North Ave, Mindanao Ave"
UV Express,"Taal (Bats) - Buendia via Tagaytay, Diokno Hwy"
UV Express,Tabang - Tutuban
UV Express,Tabang - Central Integrated Terminal via NLEX Boni Ave
UV Express,Tanay - EDSA Central
UV Express,Tanay - Starmall via Antipolo
UV Express,Tanay Morong Bgonan Fwy - EDSACntrlMgaMalStrM
UV Express,Tanza (Cav) - SM Mall of Asia
UV Express,Target Mall (Balibago) - Festival Mall (Alabang)
UV Express,Taytay - EDSA Central
UV Express,Trece Martirez - Festival Mall (Alabang)
UV Express,Turo (Bocaue) - Central Integrated Terminal
UV Express,Turo (Bocaue) - Central Integrated Terminal via NLEX
UV Express,Turo (Bocue) - MRT/Quezon Ave Terminal via NLEX
