date,or_jev_number,particulars,type_of_income,total
9/6/1991,OR#1413842,PCGG remittance to CARP Fund,Collateral Income,68461554.49
10/7/1991,OR#1413904,PCGG remittance to CARP Fund,Collateral Income,22976007.53
10/17/1991,OR#1413935,Additional peso value of dollar deposit by PCGG under OR# 1413904 dtd 10/7/91,Collateral Income,850.99
10/18/1991,OR#1413940,ITF- Christies,Proceeds from disposition of Recovered Assets,154242048.1
11/7/1991,OR#1413979,ITF- Christies,Proceeds from disposition of Recovered Assets,208281535.1
12/12/1991,OR#2307405,Sales proceeds from 15 paintings seized(Khashoggi),Proceeds from disposition of Recovered Assets,66716715.4
12/27/1991,JEV# 4591758,Additional peso value of dollar deposit by PCGG under OR# 2307405 dtd 12/27/91,Collateral Income,1019796.93
12/27/1991,JEV# 4591759,Additional peso value of dollar deposit by PCGG under OR# 1413979 dtd 11/7/91,Collateral Income,1400459.08
1/21/1992,OR#2307506,Arthur Defensor-Donation to RP,Collateral Income,9556.29
1/21/1992,OR#2307506,OWNI director's fees,Collateral Income,45000
1/21/1992,OR#2307506,3 months bonus of PCGG director of Philcomsat,Collateral Income,193750
1/21/1992,OR#2307506,Excess allowance of Philcomsat directors,Collateral Income,216666.71
1/21/1992,OR#2307506,partial compromised settlement of MANTRASCO,Collateral Income,10000000
4/13/1992,OR#2307701,Excess director's fee from SMC,Collateral Income,14785748.95
9/14/1992,OR#6640151,SBTC Dollar Account,Proceeds from disposition of Recovered Assets,21223773.66
9/14/1992,OR#6640153,"Proceeds from sequestered deposits, compromise agreements, excess allow Per diems of PCGG Officers/Directors",Collateral Income,62698881.91
10/21/1992,OR#6640173,Phil Gov't portion of the distribution by order of Judge Leval of the 40 Wall Street monies,Proceeds from disposition of Recovered Assets,10231350.82
10/21/1992,OR#6640172,Representing the Phil Portion of the distribution by order of Judge Leval of the 40 Wall Street monies,Proceeds from disposition of Recovered Assets,79825532.86
2/17/1993,OR#6646922,Net proceeds of the partial recovery on partial settlement of Security Pacific Bank and Herald Madison,Collateral Income,4776037.24
2/17/1993,OR#6646923,Payment of E Razon and Philcomsat,Collateral Income,5692736.89
3/26/1993,OR#6646931,Proceeds from sale of 25 paintings seized in Marcos-Kashoggi case and proceeds from 4 commercial properties in New York,Proceeds from disposition of Recovered Assets,39149720.24
3/26/1993,OR#6646932,Excess allowances of PCGG Directors from Philcomsat,Collateral Income,66666.68
4/13/1993,OR#6640216,"Payment in Chemfield Inc re: government share of the total dividend as of Oct 22, 1992",Collateral Income,30000000
4/15/1993,OR#6640237,PCGG remittance to CARP Fund,Collateral Income,8838633.7
6/30/1993,JEV#4593909,"Representing face value of the Phil Currency adjudicated by the US District Court, Hawaii in favor of the Republic of the Phils",Collateral Income,17007100
7/6/1993,OR#6647321,San Miquel Corp director's fee issued by TCG> from January-April 1992,Collateral Income,1008737.07
9/21/1993,OR#6647337,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,112358
10/11/1993,OR#6647341,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
10/21/1993,OR#6647344,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
11/18/1993,JEV#4585300,"Remaining balance of currency notes(ABL Notes Series) adjucated by US Court,Hawaii in favor of the Phil Gov't as Claimant",Proceeds from disposition of Recovered Assets,11173290
12/27/1993,OR#6276214,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
1/5/1994,OR#6276220,Remittance from the Office of the President re: cash dividend from sale of Philippine Overseas Telecommunications Co(POTC),Proceeds from disposition of Recovered Assets,100000000
1/7/1994,OR#6276221,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
1/7/1994,OR#6276222,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,45000
1/7/1994,OR#6276240,Proceeds from sale of oriental Petroleum Minerals Corp,Proceeds from disposition of Recovered Assets,1400000000
2/15/1994,OR#6276239,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,20720
2/17/1994,OR#6276388,Initial payment on shares of stock from Meralco Foundation Inc by GSIS,Collateral Income,690115625
3/9/1994,OR#6276243,Income derived from dividends and other sources by IRC Group of Companies and 1993 Philcomsat dividends,Collateral Income,100000000
3/10/1994,OR#6276412,Payment of shares of stock from Maralco Foundation,Collateral Income,440408430.8
3/18/1994,OR#6276248,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,20720
4/8/1994,OR#6276250,Excess allowances of PCGG Directors from Philcomsat,Collateral Income,40320
4/18/1994,OR#6276503,Payment of dividends for compromise agreement and excess allowance of PCGG director of Philcomsat,Proceeds from disposition of Recovered Assets,23712899.38
4/18/1994,OR#6276251,Sales proceeds of the Summit Drive Property in the USA and proceeds of paintings and work of arts,Proceeds from disposition of Recovered Assets,77432598.63
4/27/1994,OR#6276504,Excess director's fee from SMC,Collateral Income,21836858
4/27/1994,OR#6276505,Cash dividend received fro POTC,Collateral Income,60000000
4/27/1994,JEV# 4613111,Redemption of various T/Bills held by GSIS,Collateral Income,200000000
5/4/1994,OR#6276506,Excess allowance of Philcomsat directors,Collateral Income,40320
5/11/1994,OR#6276507,Additional compensation of PCGG nominated director of Philcomsat,Collateral Income,16559.96
5/24/1994,OR#6276508,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,41440
5/31/1994,JEV# 4613123,"Overstated peso equivalent on $2,810,620,364 (per OR# 627501 re: sale of Summit Drive)",-,-49159.31
6/6/1994,OR#6276510,Excess allowance of Philcomsat directors,Collateral Income,40320
6/13/1994,OR#6276512,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
6/13/1994,OR#6276511,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,20400
6/15/1994,JEV#4613128,"Brokers commission of 1/8 of 1%of the total sale proceeds of 38,700,000 Meralco shares",-,-16946367.19
7/11/1994,OR#6276515,Excess allowance of Philcomsat directors,Collateral Income,40320
8/8/1994,OR#6276518,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
8/8/1994,OR#6276519,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
8/8/1994,OR#6276520,Excess allowance of Philcomsat directors,Collateral Income,40320
8/8/1994,OR#6276521,Cash settlement in accordance with CA dtd4/10/93,Collateral Income,1500000
8/18/1994,JEV# 4613146,Redemption of various T/Bills held by GSIS(Meralco Foundation Inc),Proceeds from disposition of Recovered Assets,600000000
8/19/1994,OR#6276532,Sale of Braque painting by Mansion and Wood Int'l Inc,Proceeds from disposition of Recovered Assets,7138148.02
8/19/1994,OR#6276526,Excess allowance of Philcomsat directors,Collateral Income,74144.27
8/19/1994,OR#6276528,Excess allowance of Philcomsat directors,Collateral Income,327545.49
8/19/1994,OR#6276527,Cash settlement in accordance with CA dtd4/20/93,Collateral Income,1638639.04
8/19/1994,OR#6276529,Share in the profit sharing of Board of Directors,Collateral Income,3028023.72
8/19/1994,OR#6276531,Share in the profit sharing of Board of Directors,Collateral Income,3771928.6
8/19/1994,OR#6276530,Cash settlement in accordance with CA dtd 4/28/93,Collateral Income,10721684.05
8/24/1994,RA # 93-01,PCGG-ITF-RP/Trans Middle East,Collateral Income,18858736
8/24/1994,JEV# 4613150,Escrow to CARP Fund 8/18/94 letter of Chaiman M Gunigundo,Collateral Income,21416734
8/24/1994,RA # 93-01,PCGG-ITF-RP/Palm Ave Holding Realty,Collateral Income,29724530
8/31/1994,JEV# 4613151,Adjustment of PCGG remittance/Chairman M Gunigundo's letter dtd 8/18/94,-,-2545000
9/5/1994,OR#6276534,Excess allowance of Philcomsat Directors,Collateral Income,40320
9/13/1994,OR#6276535,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
9/13/1994,OR#6276536,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
9/30/1994,OR#6276537,Excess allowance of Philcomsat directors,Collateral Income,40320
9/30/1994,JEV# 4613163,Redemption of GSIS T-bills(Meralco Foundation),Collateral Income,242030000
10/7/1994,OR#6276540,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
10/7/1994,OR#6276541,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,19652
10/28/1994,JEV# 4613169,Redemption of GSIS T-bills(Meralco Foundation),Collateral Income,193300000
10/28/1994,JEV#4613170,Redemption of GSIS T-bills(Meralco Foundation),Collateral Income,259500000
11/14/1994,OR#6276543,PCGG Director's fee,Collateral Income,51247.34
11/15/1994,OR#7486607,Cash Conversion of T-bills purchased by SSS from Meralco,Collateral Income,5990343750
11/29/1994,JEV# 4613187,Brokers commission -sale of Meralco shares to SSS and GSIS,-,-16946367.19
11/29/1994,JEV# 4613183,Redemption of GSIS T-bills(Meralco Foundation),Collateral Income,307800000
11/29/1994,JEV# 4613185,Full payment from GSIS-purchase of Meralco shares,Collateral Income,4408410625
12/7/1994,OR#6276544,Excess allowance of Philcomsat directors,Collateral Income,40320
12/14/1994,OR#6276546,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
12/14/1994,OR#6276548,Excess allowance of Philcomsat directors,Collateral Income,40320
12/14/1994,OR#6276545,Excess allowance of Philcomsat directors,Collateral Income,63330
12/31/1994,JEV#4613602,Space rental of PCGG for use of vault space,-,-137280
1/26/1995,OR#7489301,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,20400
2/10/1995,OR#7489304,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,19652
2/10/1995,OR#7489303,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,20720
2/10/1995,OR#7489302,Excess allowance of Philcomsat directors,Collateral Income,40320
3/3/1995,OR#7489310,Sale proceeds-residual assets of Summit Drive,Proceeds from disposition of Recovered Assets,1201325.13
3/3/1995,OR#7489312,Post judgment stipulation and settlement agreement between spouses A Ganut Jr. T Ganutand RP,Proceeds from disposition of Recovered Assets,4833880.42
3/3/1995,OR#7489306,Post judgment stipulation and settlement agreement between spouses A Ganut Jr. T Ganut and RP,Proceeds from disposition of Recovered Assets,15971181.88
3/3/1995,OR#7489307,Post judgment stipulation and settlement agreement between spouses A Ganut Jr. T Ganut and RP,Proceeds from disposition of Recovered Assets,29207822.12
3/3/1995,OR#7489311,Sale proceeds-Makiki Heights property,Proceeds from disposition of Recovered Assets,35214472.68
3/3/1995,OR#7489308,Sale proceeds-MARCOPPER,Proceeds from disposition of Recovered Assets,294570143.3
3/3/1995,OR#7489314,Excess allowance of Philcomsat directors,Collateral Income,40320
3/3/1995,OR#7489309,Refund of FTB and IRS witholding tax-sale of Summit Drive,Collateral Income,8833362.05
3/3/1995,OR#7489305,Sales proceeds -4 parcel of land in Dasmarinas Village,Collateral Income,200000000
3/28/1995,OR#7489316,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
4/4/1995,OR#7489318,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
4/4/1995,OR#7489317,Excess allowance of Philcomsat directors,Collateral Income,40320
5/4/1995,OR#7489319,Excess allowance of Philcomsat directors,Collateral Income,40320
5/12/1995,OR#7489321,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
5/12/1995,OR#7489320,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,19652
6/5/1995,OR#7489322,Excess allowance of Philcomsat directors,Collateral Income,40320
6/20/1995,OR#7489323,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
6/20/1995,OR#7489325,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
6/20/1995,OR#7489324,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,19652
7/3/1995,OR#7489327,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,40320
7/6/1995,OR#7489326,Compromise Agreement between Enrique Razon and PCGG (4/10/90),Collateral Income,1000000
7/17/1995,OR#7489329,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
8/4/1995,OR#7489330,Excess allowance of Philcomsat directors,Collateral Income,40320
9/8/1995,OR#7489331,Excess allowance of Philcomsat directors,Collateral Income,40320
9/13/1995,OR#7489332,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,19652
9/13/1995,OR#7489333,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,19652
9/25/1995,OR#7489334,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,40800
10/9/1995,OR#7489336,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
10/9/1995,OR#7489335,Excess allowance of Philcomsat directors,Collateral Income,40320
11/8/1995,OR#7489337,Excess allowance of Philcomsat directors,Collateral Income,40320
11/23/1995,OR#7489338,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
12/6/1995,OR#7489339,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
12/6/1995,OR#7489340,Excess allowance of Philcomsat directors,Collateral Income,40320
12/27/1995,OR#7489341,Per diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
12/28/1995,OR#2950301,Cash Dividend from Performance Investment Corp,Collateral Income,10000000
12/28/1995,OR#2950302,Cash Dividend from Mid-Pasig Land Dev't Corp,Collateral Income,10000000
12/28/1995,OR#2950303,Cash Dividend from Independent Realty Corporation,Collateral Income,10000000
1/5/1996,OR#7489343,Excess allowance of Philcomsat Directors,Collateral Income,40320
1/9/1996,OR#7489344,Cash dividends from Meralco shares,Collateral Income,112830180.7
2/8/1996,OR#7489345,Per Diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
2/8/1996,OR#7489346,Excess allowance of Philcomsat Directors,Collateral Income,40320
3/6/1996,OR#7489347,Per Diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
3/6/1996,OR#7489348,Excess allowance of Philcomsat Directors,Collateral Income,40320
4/11/1996,OR#7489349,Excess allowance of Philcomsat Directors,Collateral Income,40320
4/26/1996,OR#7489350,Per Diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
5/15/1996,OR#2952151,Excess allowance of Philcomsat Directors,Collateral Income,40320
