program_project_1,program_project_2,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_status_total_cost_incurred_to_date,number_of_extensions_if_any,remarks
Economic Development,High Value Crops,Burboanan & San Roque,1500000, January 2014, December 2014,83.17%,1247512.92,-,-
Economic Development,Organic Fertilizer and Natural Concoction,Sta. Cruz,1500000, January 2014, December 2014,82.43%,1236500,-,-
Economic Development,Tilapia and Pangasius Production,Sta. Cruz,435232, January 2014, December 2014,85.68%,372899,-,-
Economic Development,Swine Breeding,Sta. Cruz,500000, January 2014, December 2014,68.91%,344530,-,-
Economic Development,Goat Re-stocking,Sta. Cruz,500000, January 2014, December 2014,99.72%,498600,-,-
Economic Development,Aqua-Marine Development Prpgram,Sta. Cruz,2000000, January 2014, December 2014,25.14%,502774,-,-
Economic Development,"Deworming, Vitamins, Supp. and Vaccination",Sta. Cruz,470000, January 2014, December 2014,99.03%,465450,-,-
Economic Development,Upgrading Farm Animals (AI),Sta. Cruz,400000, January 2014, December 2014,77.68%,310710,-,-
Economic Development,Implementation of Animal Welfare Act,Poblacion,270000,-,-,-,-,-,-
Economic Development,Comprehensive Agri Dev't. Plan Formulation,Poblacion,500000,-,-,-,-,-,-
Total Economic Dev't Program,Total Economic Dev't Program,32075232,-,-,-,-,-,-,-
Loan Amortization,6 Wheeler Heavy Duty Dumptruck,Poblacion,1728490.51, March 2014, December 2014,91.84%,1587519.59,-,-
Loan Amortization,Heavy Equipment,Poblacion,22802469.56, March 2014, December 2014,100.00%,22802469.56,-,-
Total Economic Debt Services,Total Economic Debt Services,-,24530960.07,-,-,-,-,-,-
Other Economic Dev't. Services,Equity Counterpart-NHA Project,Poblacion,1800000,-,-,-,-,-,-
Other Economic Dev't. Services,Mobility Support Services (Loan Equity),Poblacion,2000000,-,-,-,-,-,-
Other Economic Dev't. Services,Equity-Tinuy-an TIEZA Project,Poblacion,342704.74,-,-,-,-,-,-
Other Economic Dev't. Services,LGU Equity,Burboanan,6000000, March 2014, December 2014,45.70%,2742453.35,-,-
Total Other Econo. Dev't Prog.,Total Other Econo. Dev't Prog.,10142704.74,-,-,-,-,-,-,-
Environmental Program or Project,Const. of Purok 3 Castillo Village Drainage,Mangagoy,385000,-,-,-,-,-,-
Environmental Program or Project,De-clogging of Canal,"Pob.,Mgy.,Tabon",1000000, January 2014, December 2014,64.89%,648856.25,-,-
Environmental Program or Project,Solid Waste Management Program,All Barangays,8099227.12, January 2014, December 2014,65.95%,5341237.59,-,-
Environmental Program or Project,Forest Protection Program,"Burboanan, San Antonio",3800000, January 2014, December 2014,46.37%,1761916,-,-
Environmental Program or Project,Mangrove Rehabilitation and Protection,"Lawigan, Caguyao Sibaroy",500000, January 2014, December 2014,70.05%,350280,-,-
Environmental Program or Project,Reforestation Program,"San Jose, Burboana San Antonio",500000, January 2014, December 2014,25.95%,129740,-,-
Environmental Program or Project,Seedling Dispersal,"San Jose, Burboana San Antonio",500000, January 2014, December 2014,21.13%,105670,-,-
Environmental Program or Project,Comprehensive Dev't. Plan and Land Use Plan,"Pob., Mgy., Tabon",500000, January 2014, December 2014,66.59%,332963.56,-,-
Environmental Program or Project,Tourism Master Plan Formulation,Burboanan,1000000, January 2014, December 2014,39.58%,395817.55,-,-
Environmental Program or Project,Drainage Master Plan Formulation,"Pob., Mgy., Tabon",500000,-,-,-,-,-,-
Total Enviromental Program,Total Enviromental Program,-,16784227.12,-,-,-,-,-,-
Total 20% Development Fund,Total 20% Development Fund,-,108671356.3,-,-,-,-,-,-
