Harmonization and Development Effectiveness,ADB,NEDA/ DOF,0.90,0.90,0.36,0.36,05-Jan-09,31-Dec-12,Governance and Institutions Development,Multi-regional,Specific regions not identified,TA,TA,,,,,
Improving Public Expenditure Management,ADB,DBM,0.80,0.80,0.33,0.33,18-Dec-08,30-Mar-12,Governance and Institutions Development,Multi-regional,Specific regions not identified,TA,TA,,,,,
Strengthening Provincial and Local Planning and Expenditure Management Phase 2,ADB,NEDA,0.65,0.65,0.47,0.47,30-Apr-08,31-Jul-11,Governance and Institutions Development,Multi-regional,Specific regions not identified,TA,TA,,,,,
Support to Local Government Revenue Generation and Land Administration Reforms,ADB,ADB PhCO (with LGUs as beneficiaries),1.50,1.50,1.26,1.26,19-May-11,30-Sep-13,Governance and Institutions Development,Multi-regional,Specific regions not identified,TA,TA,,,,,
Strengthening Institutionsfor an Improved Investment Climate,ADB,NEDA/DTI/DOF,1.00,1.00,0.00,0.00,26-Oct-11,31-Jan-14,"Industry, Trade and Tourism",Multi-regional,Specific regions not identified,TA,TA,,,,,
Structural Transformation Study of the Philippine Economy,ADB,ADB PhCO (with DTI as one of the consulted agencies),0.15,0.15,0.04,0.04,18-Nov-10,31-May-12,"Industry, Trade and Tourism",Multi-regional,Specific regions not identified,TA,TA,,,,,
Rural Community-Based Renewable Energy Development in Mindanao,ADB,NEA,2.00,2.00,0.05,0.05,27-Apr-11,31-Aug-13,Infrastructure,Multi-regional,Mindanao-wide,TA,TA,,,,,
Urban Water Supply and Sanitation Project,ADB,MCWD,2.00,2.00,0.58,0.58,19-Jan-11,31-Mar-12,Infrastructure,Multi-regional,Specific regions not identified,TA,TA,,,,,
Strengthening Transparency and Accountability in the Road Subsector,ADB,DPWH,1.00,1.00,0.00,0.00,15-Jan-10,31-Mar-12,Infrastructure,Multi-regional,Specific regions not identified,TA,TA,,,,,
Water District Development Sector,ADB,LWUA,1.20,1.20,1.08,1.08,09-Oct-08,31-Dec-11,Infrastructure,Multi-regional,Specific regions not identified,TA,TA,,,,,
Education Improvement Sector Development Program,ADB,DepEd,1.50,1.50,0.00,0.00,09-Dec-11,31-Dec-12,Social Reform and Community Development,Multi-regional,Specific regions not identified,TA,TA,,,,,
Social Protection Support Project- Developing Social Protection (Support for Social Protection Reform),ADB,DSWD,1.40,1.40,0.02,0.02,12-Jan-11,31-Jan-13,Social Reform and Community Development,Multi-regional,Specific regions not identified,TA,TA,,,,,
Capacity Development for Social Protection,ADB,DSWD,0.80,0.80,0.22,0.22,12-Oct-10,31-Jul-12,Social Reform and Community Development,Multi-regional,Specific regions not identified,TA,TA,,,,,
Social Protection Support Project - Gender Impacts (Strengthened Gender Impacts of Social Protection),ADB,DSWD,0.30,0.30,0.00,0.00,12-Oct-10,31-Jan-13,Social Reform and Community Development,Multi-regional,Specific regions not identified,TA,TA,,,,,
Public-Private Partnership in Health,ADB,DBP,1.00,1.00,0.32,0.32,14-May-09,30-Nov-12,Social Reform and Community Development,Multi-regional,Specific regions not identified,TA,TA,,,,,
Computer Access Membership Program,ADB,ADB PhCO (with support from DepEd),0.50,0.50,0.35,0.35,11-Aug-10,30-Apr-13,Social Reform and Community Development,Multi-regional,"CAMP sites in Luzon, Visayas and Mindanao",TA,TA,,,,,
"Support for the Preparation of the Harmonized Sector Assessments, Strategies & Roadmaps in the Philippines",ADB,ADB PhCO (with GOP as beneficiaries),0.23,0.23,0.17,0.17,12-Dec-09,31-Mar-12,Governance and Institutions Development,Nationwide,Nationwide,TA,TA,,,,,
Strengthening PPP in the Philippines,ADB,ADB PhCO (cofinanced with Canada and AusAID) (with GOP as beneficiaries),9.70,9.70,1.28,1.28,24-Mar-11,31-Jul-13,Governance and Institutions Development,Nationwide,Nationwide,TA,TA,,,,,
Strategic Policy Actions for Succesful Structural Transformation and Inclusive Growth,ADB,ADB PhCO (with GOP as beneficiaries),0.23,0.23,0.00,0.00,24-Oct-11,30-Nov-12,Governance and Institutions Development,Nationwide,Nationwide,TA,TA,,,,,
Results-Oriented Strategic Planning and Development Management for Inclusive Growth,ADB,ADB PhCO (with NEDA as beneficiaries),1.00,1.00,0.06,0.06,13-Apr-11,30-Apr-13,Governance and Institutions Development,NCR,NCR,TA,TA,,,,,
AusAID,,,,,,,,,,,,,,,,,,
SPRMP Provincial Road Management Facility PRMF,AusAID,DILG,100.00,79.14,34.61,35.72,01-Sep-09,30-Jun-15,Infrastructure,Nationwide,Nationwide,Capital Grant,Capital Grant,,,,,
Natural Hazard Risk Partnerships ,AusAID,NDCC/ PAGASA (TBC),1.38,1.17,1.38,1.17,15-Jan-08,30-Jun-11,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,Specific regions not identified,Mixed,Mixed (Project Type),,,,,
Basic Education Sector Reform (SPHERE) ,AusAID,DepEd,41.00,34.36,31.00,31.99,05-Jan-07,30-Jun-14,Social Reform and Community Development,Multi-regional,"NCR, CAR, I, II, III, IVA, IVB, V, VI, VII, VIII, IX, X, XI, XII, XIII",Mixed,Mixed (Project Type),,,,,
South East Asia FMD Program Phase III (2009-2011) (YOY Allocation),AusAID,World Organisation for Animal Health (OIE) (GOP as one of the beneficiaries) ,0.60,0.48,0.60,0.48,03-Mar-09,30-Jun-11,Social Reform and Community Development,Multi-regional,Specific regions not identified,Mixed,funding to a project-type grant,,,,,
Strengthen Implementation of Visayas Education,AusAID,DepEd,23.54,17.39,23.54,17.39,03-Feb-04,30-Apr-11,Social Reform and Community Development,Multi-regional,"VI,VII,VIII",Mixed,Project-type with otuputs,,,,,
Supporting Peace in Mindanao (amount covered is from 2005-2011 only),AusAID,PG ARMM,5.94,4.53,5.94,4.53,05-Feb-05,30-Jun-15,Social Reform and Community Development,Multi-regional,Mindanao-wide,Mixed,Mixed For revalidation,,,,,
UN-Maternal & Neonatal Mortality Reduction Program (YOY Allocation),AusAID,with GOP as one of the beneficiaries,3.50,3.21,3.50,3.21,30-May-10,30-Dec-13,Social Reform and Community Development,Multi-regional,Specific regions not identified,Mixed,Mixed for revalidation,,,,,
Disability Inclusive Development,AusAID,DOH (TBC),0.30,0.28,0.30,0.28,01-Jan-10,31-Dec-16,Social Reform and Community Development,Nationwide,Nationwide,Mixed,Mixed,,,,,
ASEAN Public Sector Linkages Program,AusAID,with GOP as one of the beneficiaries,0.20,0.18,0.20,0.18,23-Mar-10,30-Jun-13,Governance and Institutions Development,Multi-regional,Depends on the region assisted by the fund,Others,Others (Fund Support),,,,,
Australia WB Philippine Development Trust Fund (continuing initiative),AusAID,with GOP as one of the beneficiaries,50.00,39.57,29.49,30.43,01-Jan-09,31-Dec-11,Governance and Institutions Development,Multi-regional,Depends on the region assisted by the fund,Others,Others (Fund Support),,,,,
Philippines - Public Sector Linkages Program (YOY Allocation),AusAID,with GOP as beneficiary (Public Sector Bodies and Public Universities),4.00,2.96,4.00,2.96,19-Feb-04,30-Jun-12,Governance and Institutions Development,Multi-regional,Depends on the region assisted by the fund,Others,Others (Fund Support),,,,,
Philippine Human Rights Initiatives (YOY Allocation),AusAID,with GOP as beneficiary,0.99,0.91,0.99,0.91,15-Jan-10,30-Jun-12,Social Reform and Community Development,Multi-regional,Specific regions not identified,Others,Not specified,,,,,
Philippines’ Response to Indigenous and Muslim Education (PRIME),AusAID,DepEd,20.00,18.39,2.53,2.61,23-Sep-10,25-May-16,Social Reform and Community Development,Multi-regional,"I, II, CAR, IV-B, IX, X, XI, XII, CARAGA",Others,Fund Facility for Education,,,,,
Extension of Support to Econ Governance Initiative,AusAID,AusAID (with GOP as beneficiary),2.33,2.14,2.33,2.14,30-Apr-10,30-Jun-12,Governance and Institutions Development,Nationwide,Nationwide,TA,TA,,,,,
Philippines- Social Protection Initiative,AusAID,DSWD,5.30,4.19,1.98,2.05,03-Feb-09,30-Jun-15,Social Reform and Community Development,NCR,NCR,TA,TA,,,,,
Phil Aus Human Resource & Org Devt Facility (PAHRODF),AusAID,NEDA,73.99,58.56,5.02,5.18,23-Mar-09,30-Jun-15,Governance and Institutions Development,Nationwide,Nationwide,TCP,TCP,,,,,
Scholarships Philippines ADS- Initiial (YOY Allocation),AusAID,with GOP as one of the beneficiaries,2.98,2.74,2.98,2.74,01-Jan-10,31-Dec-13,Social Reform and Community Development,Nationwide,Nationwide,TCP,TCP (Scholarship),,,,,
CIDA,,,,,,,,,,,,,,,,,,
Improving Business Climate,CIDA,IFC (with GOP LGUs as beneficiaries),2.10,2.12,,1.42,04-Feb-11,30-Dec-13,"Industry, Trade and Tourism",Multi-regional,Specific regions not identified,Mixed,Mixed,,,,,
PEACE LINKS FUND ,CIDA,Embassy of Canada to the Philippines (with LGUs as beneficiaries),1.00,0.93,,0.87,26-Mar-07,30-Jun-17,Social Reform and Community Development,Multi-regional,Muslim Mindanao,Mixed,Mixed,,,,,
E. Gov. for Efficiency and Effectiveness,CIDA,Agriteam Canada (with GOP IAs as beneficiaries) ,10.00,6.46,,9.73,29-Nov-04,29-Dec-11,Governance and Institutions Development,Nationwide,Nationwide,Mixed,Mixed,,,,,
Philippines 2012 Canada Fund,CIDA,Embassy of Canada to the Philippines (with LGUs as one of the beneficiaries),0.42,0.42,,0.30,01-Apr-11,31-Mar-12,Governance and Institutions Development,Multi-regional,Specific regions not identified,Others,Others,,,,,
CANADA FUND-PHILIPPINES 2011,CIDA,Embassy of Canada to the Philippines (LGUs and NGOs),0.37,0.33,,0.56,01-Apr-10,30-Jun-11,Governance and Institutions Development,Multi-regional,Specific regions not identified,Others,Others ,,,,,
Gender Resp Eco Actions Transformation o (Gender Responsive Economic Actions - Transformation of Women),CIDA,Philippines Commission on Women Government of the Philippines,7.00,4.46,,5.79,08-Sep-06,31-Dec-13,Social Reform and Community Development,Multi-regional,Specific regions not identified,TCP,TCP,,,,,
Local Governance Support for LED,CIDA,Canadian Urban Institute (with LGUs as beneficiaries),18.00,14.87,,6.98,29-Aug-06,28-Sep-17,Governance and Institutions Development,Nationwide,Nationwide,TCP,TCP,,,,,
Promoting Rural Industry Market Enhancement (Promote Rural and Market Enhancement),CIDA,"Philippine Development Assistance Programme, Inc. (monitored by NEDA)",4.95,3.81,,5.11,31-Dec-04,31-Mar-11,"Industry, Trade and Tourism",Nationwide,Nationwide,TCP,TCP,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,
Measures Ensuring Reliable and Sustainable Drinking Water Supply for Metro Manila After Damages Caused by Catastrophic Typhoon Project,Czech Republic,MWSS,39.20,1.81,,1.12,01-Aug-06,01-Jun-12,Infrastructure,NCR,NCR,Emergency / Relief,Emergency/ Relief,,,,,
European Union,,,,,,,,,,,,,,,,,,
European Union Humanitarian Aid (ECHO) - Disaster Preparedness,EU,various,11.72,17.23,10.20,14.58,01-Jan-08,31-Dec-13,Social Reform and Community Development,Multi-regional,Specific regions not identified,Emergency / Relief,Emergency/Relief,,,,,
European Union Humanitarian Aid (ECHO) - Emergency Response,EU,various,30.14,44.32,30.14,43.40,01-Jan-08,31-Dec-12,Social Reform and Community Development,Multi-regional,Specific regions not identified,Emergency / Relief,Emergency/Relief,,,,,
Mindanao Health Sector Policy Support Programme,EU,"DOH, WB, GRM",11.22,16.50,10.61,14.17,01-Jan-08,31-Dec-12,Social Reform and Community Development  ,ARMM,ARMM,Mixed,"TA/TCP
(Service contracts (TA, TC, audit), Sector Budget Support through World Bank)",,,,,
Mindanao Trust Fund - Reconstruction & Development Programme 2007+2009+2010 ,EU,with GOP as beneficiary,5.00,7.35,4.60,6.40,01-Jan-08,31-Dec-13,Social Reform and Community Development,Multi-regional,Mindanao-wide,Mixed,TCP/Capital Grant,,,,,
Health Sector Policy Support Programme,EU,"DOH, WB, COA, GIZ",31.05,39.00,31.01,43.17,01-Jan-06,31-Dec-10,Social Reform and Community Development  ,Multi-regional,"I, II, IV, VI, VII, VIII, X, XII, CARAGA, CAR",Mixed,"TA/TCP
(Service contracts (TA, TC, audit), Sector Budget Support)",,,,,
Trade-related Technical Assistance Programme I,EU,"NEDA, ECA and others",2.93,4.09,2.93,4.00,01-Jan-06,31-Dec-09,"Industry, Trade and Tourism",NCR,NCR,Mixed,TA/TCP,,,,,
Trade-related Technical Assistance Programme II,EU,"NEDA, ECA and others",6.25,9.19,4.85,6.80,01-Jan-08,31-Dec-12,"Industry, Trade and Tourism",NCR,NCR,Mixed,TA/TCP,,,,,
Small Projects Facility 2,EU,various NGO and LGU,6.15,8.57,4.28,6.18,01-Jan-09,31-Dec-12,Governance and Institutions Development,Multi-regional,Specific regions not identified,Others,Others (EU co-financing projects from NGO or LGU after Call for Proposal),,,,,
Health Sector Policy Support Programme II,EU,DOH,35.00,48.72,10.00,14.17,01-Jan-11,31-Dec-14,Social Reform and Community Development  ,Nationwide,Nationwide,Others,Others (Sector Budget Support),,,,,
"Formulation, Identification of Programmes, Evaluations, other Short Term Technical Assistance",EU,various,1.43,2.10,1.30,1.87,01-Jan-08,31-Dec-12,Governance and Institutions Development,Multi-regional,Specific regions not identified,TA,TA,,,,,
FAO,,,,,,,,,,,,,,,,,,
Restoring Agricultural Livelihoods in Conflict-Affected Areas in Maguindanao Province of the Autonomous Region of Muslim Mindanao (ARMM) ,FAO,DA,1.35,1.35,1.01,1.01,01-Jun-11,30-Jun-12,"Agriculture, Agrarian Reform and Natural Resources",ARMM,ARMM,Emergency / Relief,Emergency/ Relief,,,,,
Increasing Rice Yield and Productivity through the Promotion of Small-Scale Irrigation and Integrated Crop Management Systems in Rainfed Areas  (EC Food Facility),FAO,DA,5.98,5.98,5.90,5.90,01-Oct-09,31-Jul-11,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,"I, III",Emergency / Relief,Emergency/ Relief,,,,,
Support to early recovery needs of conflict-and flood-affected areas in Central Mindanao ,FAO,DA,0.30,0.30,0.03,0.03,01-Oct-11,30-Jun-12,"Agriculture, Agrarian Reform and Natural Resources",XII,XII,Emergency / Relief,Emergency/ Relief,,,,,
Strengthening the Philippines' Institutional Capacity to Adapt to Climate Change (MDGF-1656) -FAO Component,FAO,DA,0.95,0.95,0.87,0.87,01-Feb-09,30-Jun-12,"Agriculture, Agrarian Reform and Natural Resources",CAR,CAR,TCP,TCP,,,,,
"Inter-agency programme for nurturing peace, security and decent work through community development in conflict areas of the Philippines (Bondoc Peninsula)",FAO,OPAPP,0.99,0.99,0.44,0.44,30-Mar-10,28-Feb-13,"Agriculture, Agrarian Reform and Natural Resources",IVA,IVA,TCP,TCP,,,,,
National Capability Building for Philippine Land Degradation Assessment and Climate Change Adaptation,FAO,DA-BSWM,0.48,0.48,0.11,0.11,01-Jan-11,31-Dec-12,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,Specific regions not identified,TCP,TCP,,,,,
TCP Facility,FAO,with GOP as one of the beneficiaries,0.12,0.12,0.06,0.06,01-Jun-10,30-Jun-12,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,Specific regions not identified,TCP,TCP,,,,,
Ensuring Food Security and Nutrition for Children 0-2 Years Old in the Philippines (MDGF-2030),FAO,NNC,0.22,0.22,0.14,0.14,01-May-10,30-Nov-12,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,"V, VI, IX ",TCP,TCP,,,,,
Initiative on Soaring Food Prices (ISFP): Increasing Rice Supply in Regions VIII and X by Improving Farmers’ Capability through TA Trainings and Demonstration of Rice Production Technologies cum Small-Scale Irrigation Facilities,FAO,DA-BSWM,0.50,0.50,0.50,0.50,01-Dec-08,30-Jun-11,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,"VIII, X",TCP,TCP,,,,,
Enhancing Natural Resources Management through Enterprise Development ,FAO,DENR-FMB,0.30,0.30,0.27,0.27,01-Jul-08,29-Feb-12,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,"I, II, III, IVA, VI, VIII, X ",TCP,TCP,,,,,
UN-REDD Philippines Programme: Supporting Initial Readiness Process  ,FAO,DENR-FMB,0.32,0.32,0.01,0.01,,,"Agriculture, Agrarian Reform and Natural Resources",Nationwide,Nationwide,TCP,TCP,,,,,
Strengthening capacities for climate risk management and disaster preparedness in selected provinces of the Philippines (Bicol Region),FAO,DA-RFU5 ,0.47,0.47,0.47,0.47,01-May-09,31-Dec-11,"Agriculture, Agrarian Reform and Natural Resources",V,V,TCP,TCP,,,,,
GIZ,,,,,,,,,,,,,,,,,,
Forestry Protection in Panay (Forest and Climate Protection in Panay [ForClimPanay]) ,GIZ,DENR,1.95,2.56,0.71,0.93,01-Nov-10,31-Jan-14,"Agriculture, Agrarian Reform and Natural Resources",VII,VII,TA,TA,,,,,
Support to the National School Health Program (Fit for School),GIZ,"DepEd, DepEd ARMM",2.60,3.42,0.38,0.50,01-May-11,4/31/2014,Social Reform and Community Development,ARMM,ARMM,TCP,TCP,,,,,
Adaptation to Climate Change in Coastal Regions (AccCoast),GIZ,DENR,4.40,5.78,1.16,1.53,01-Jan-11,6/31/2014,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,Specific regions in Visayas and Mindanao not identified,TCP,TCP,,,,,
Integrated Solid Waste Management II (SWM4LGUs),GIZ,DENR-EMB,0.90,1.18,0.46,0.61,01-Jan-11,31-Dec-12,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,Specific regions in Visayas and Mindanao not identified,TCP,TCP,,,,,
REDD Project,GIZ,DENR,2.77,3.64,1.83,2.41,01-Nov-09,31-Mar-13,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,Specific regions in Visayas and Mindanao not identified,TCP,TCP,,,,,
Sustainable Management of Natural Resources Phase 2 (Program on Sustainable Management of Natural Resources Phase II (EnRD)),GIZ,"DENR, DA, DAR",19.53,25.67,9.80,12.88,01-Jul-09,6/31/2014,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,Specific regions in Visayas and Mindanao not identified,TCP,TCP,,,,,
COSERAM,GIZ,"DILG, NEDA, DENR, OPAPP, NCIP,",7.84,10.30,1.37,1.80,01-Jan-11,31-Dec-14,Governance and Institutions Development,Multi-regional,Specific regions in Visayas and Mindanao not identified,TCP,TCP,,,,,
Decentralization Program Phase 2,GIZ,"NEDA, DILG",4.11,5.40,2.73,3.59,01-Oct-09,30-Jun-13,Governance and Institutions Development,Multi-regional,Specific regions in Visayas and Mindanao not identified,TCP,TCP,,,,,
Study and Expert Fund,GIZ,NEDA,6.74,8.86,3.85,5.06,01-Dec-94,31-Dec-14,Governance and Institutions Development,Multi-regional,Specific regions not identified,TCP,TCP,,,,,
"Private Sector Development Program Phase 3 (Private Sector Promotion III, Small and Medium Enterprise Development for Sustainable Employment Program)",GIZ,DTI,3.75,4.93,2.47,3.25,01-Oct-10,31-Dec-12,"Industry, Trade and Tourism",Multi-regional,Specific regions in Visayas and Mindanao not identified,TCP,TCP,,,,,
Micro insurance Innovation Program (Micro Insurance Innovation Program for Social Security),GIZ,"DoF/NCC, DoH",3.10,4.07,2.27,2.98,01-Sep-09,31-Dec-12,"Industry, Trade and Tourism",Multi-regional,Specific regions in Visayas and Mindanao not identified,TCP,TCP,,,,,
Disaster Prevention in Urban Areas,GIZ,"DILG, NEDA, HLURB, NDRRMC",1.35,1.77,1.28,1.68,01-Nov-09,31-Dec-12,"Agriculture, Agrarian Reform and Natural Resources",VIII,VIII,TCP,TCP,,,,,
IFAD,,,,,,,,,,,,,,,,,,
Institutional Strengthening of Result-Based Monitoring and Evaluation (RbME) for the NEDA and Implementing Agencies of the Philippines ,IFAD,NEDA,0.20,0.20,0.12,0.12,01-Sep-10,31-Dec-12,Governance and Institutions Development,Nationwide,Nationwide,TCP,TCP,,,,,
ILO,,,,,,,,,,,,,,,,,,
"Inter-agency Programme to Nurture Peace, Security and Decent work through Local Development in Conflict Areas of the Philippines (Bondoc Peninsula)- ILO Component",ILO,"FAO, OPAPP, DOLE, DA, LGUs, Social partners",1.50,1.50,0.69,0.69,01-Mar-10,28-Feb-13,Social Reform and Community Development,IVA,IVA,TCP,TCP,,,,,
"Ensuring Food Security and Nutrition for Children 0-24 Months  in the Philippines:
MDG Fund Joint Program with UNICEF, ILO, WFP, FAO, WHO - ILO Component
",ILO,"DOH/National Nutrition Council, DOLE, LGUs, Social Partners",0.29,0.29,0.15,0.15,01-Sep-09,31-Aug-12,Social Reform and Community Development,Multi-regional,"V, VI,IX",TCP,TCP,,,,,
"MDG Fund Joint Programme on Alternatives to Migration: Decent Work for Filipino Youth, 
Youth, Employment and Migration (YEM):
Joint Program between ILO, IOM, UNICEF, UNFPA
",ILO,"DOLE, DepEd, TESDA, DTI and LGUsin Agusan del Sur, Antique, Masbate, and Maguindanao, Social partners",2.27,2.27,1.00,1.00,01-Jul-09,31-Jul-12,Social Reform and Community Development,Multi-regional,"V, VI, ARMM, XIII",TCP,TCP,,,,,
Going-back Moving-on: Economic and Social Empowerment of Returned Victims of Trafficking in Thailand and the Philippines,ILO,"DOLE, DFA, DSWD, OWWA,Kanlungan Centre Foundation, Inc., BatisCenter for Women",0.38,0.38,0.38,0.38,01-Jan-09,31-May-12,Social Reform and Community Development,Multi-regional,"NCR, I, III",TCP,TCP,,,,,
Popularizing healthy lifestyles among workers and employers in the BPO industry,ILO,"UNAIDS, WHO, UNDP, DOH, DOLE,ECOP, FFW, TUCP",0.12,0.12,0.06,0.06,01-Jun-11,30-Apr-12,"Agriculture, Agrarian Reform and Natural Resources",Nationwide,Nationwide,TCP,TCP,,,,,
Greener Business Asia,ILO,"DOLE, Social Partners",0.12,0.12,0.12,0.12,01-Jan-10,31-Dec-12,"Industry, Trade and Tourism",Nationwide,Nationwide,TCP,TCP,,,,,
Green Jobs in Asia,ILO,"DOLE,NHA, Social Partners",0.10,0.10,0.10,0.10,01-Jan-10,31-Dec-12,"Industry, Trade and Tourism",Nationwide,Nationwide,TCP,TCP,,,,,
"Promoting Decent Work Across Borders: 
A Pilot Project for Migrant Health Professionals and Skilled Workers
",ILO,"DOLE, DFA, DOH, CHED, PHHRDN, PSI-Link, PRAs, PNA and their counterparts in India and Vietnam",0.85,0.85,0.07,0.07,01-Feb-11,31-Jan-14,Social Reform and Community Development,Nationwide,Nationwide,TCP,TCP,,,,,
"Towards a Child Labour-Free Philippines: Supporting the ‘Philippine Program Against Child Labour’ in Building on Past Gains and Addressing Challenges  
(IPEC)
",ILO,"DOLE, National Child Labor Committee, Social partners and other stakeholders",4.75,4.75,1.76,1.76,,01-Jan-10,Social Reform and Community Development,Nationwide,Nationwide,TCP,TCP,,,,,
Support to Poverty Reduction and Promotion of Human Rights of IPs within the context of Ancestral Domain Development and Protection (Lake Sebu),ILO,"NCIP, DOLE, Social Partners",0.23,0.23,0.23,0.23,01-Dec-08,31-Dec-11,Social Reform and Community Development,XII,XII,TCP,TCP,,,,,
"Climate Resilient Farming Communities in Agusan del Norte through Innovative Risk Transfer Mechanism under the Joint Program on the Strengthening the Philippines' Institutional Capacity to Adapt to Climate Change (UNDP, FAO, UNEP, WHO, UN-Habitat, ILO)",ILO,"DOLE, DTI, Province of Agusan del Norte",0.60,0.60,0.59,0.59,01-Jan-09,30-Jun-12,"Agriculture, Agrarian Reform and Natural Resources",XIII,XIII,TCP,TCP,,,,,
"Support to Poverty Reduction, Promotion of Human Rights and Protection of the Environment in the Context of Ancestral Domain Development and Protection
(IPDP Caraga)
",ILO,"NCIP, DOLE, Social Partners",1.90,1.90,1.51,1.51,01-Jun-09,30-Jun-12,Social Reform and Community Development,XIII,XIII,TCP,TCP,,,,,
IOM,,,,,,,,,,,,,,,,,,
"Transitional Shelter Assistance for IDP Families in Maguindanao, Philippines",IOM,"DSWD, DA, TESDA, LGUs",0.37,0.37,0.37,0.37,01-Apr-10,31-Mar-11,Social Reform and Community Development,ARMM,ARMM,Emergency / Relief,Emergency / Relief,,,,,
Camp Coordination and Camp Management (CCCM) and Protection Support to Vulnerable Families in Conflict Affected Areas in Central Mindanao,IOM,"DSWD, LGUs",0.37,0.37,0.37,0.37,01-Apr-10,31-Mar-11,Social Reform and Community Development,ARMM,ARMM,Emergency / Relief,Emergency / Relief,,,,,
