object_of_expenditure_1,object_of_expenditure_2,object_of_expenditure_3,object_of_expenditure_4,code,class,appropriation,allotment,balance_of_appropriation,obligation,unobligated_balance,disbursement
Other Infrastructure,Capital Outlay,"Construction in Progress - Roads, Highways and Bridges",Concreting Diego Silang St. Roads,11-7244-12,-,-,-,-,2811954.63,-,-
Other Infrastructure,Capital Outlay,"Construction in Progress - Roads, Highways and Bridges",Const or Rehab Roads New Passi,11-7246-12,-,-,-,-,250000,-,-
Other Infrastructure,Capital Outlay,"Construction in Progress - Irrigation, Canals and Laterals","Construction in Progress - Irrigation, Canals and Laterals",-,270,7500000,7500000,-,-,2838404.11,-
Other Infrastructure,Capital Outlay,"Construction in Progress - Irrigation, Canals and Laterals",Const City Drainage-City Wide,09-5441-12,-,-,-,-,2000000,-,782717.1
Other Infrastructure,Capital Outlay,"Construction in Progress - Irrigation, Canals and Laterals",Const Drainage Canal,10-5788-12,-,-,-,-,250000,-,246595.37
Other Infrastructure,Capital Outlay,"Construction in Progress - Irrigation, Canals and Laterals",Const and Rehab Drainage Canal,10-6328-12,-,-,-,-,250000,-,174719.5
Other Infrastructure,Capital Outlay,"Construction in Progress - Irrigation, Canals and Laterals",Const and Rehab Drainage Canal,10-6672-12,-,-,-,-,249517.54,-,183132.39
Other Infrastructure,Capital Outlay,"Construction in Progress - Irrigation, Canals and Laterals",Const Brgy Buenaflor Drainage Canals,-,-,-,-,-,2500000,-,-
Other Infrastructure,Capital Outlay,"Construction in Progress - Irrigation, Canals and Laterals",Const or Rehab Brgy EJC Montilla Drainage Canals,10-6803-12,-,-,-,-,250000,-,-
Other Infrastructure,Capital Outlay,"Construction in Progress - Irrigation, Canals and Laterals",Const or Rehab Tina Drainage Canals,10-6811-12,-,-,-,-,250000,-,174345.01
Other Infrastructure,Capital Outlay,"Construction in Progress - Irrigation, Canals and Laterals",Rehab Drainage Canal-Lancheta,-,-,-,-,-,250000,-,134357
Other Infrastructure,Capital Outlay,"Construction in Progress - Irrigation, Canals and Laterals",Const Drainage Canal City,11-7291-12,-,-,-,-,912078.35,-,-
Other Infrastructure,Capital Outlay,Construction in Progress - Flood Controls,Construction in Progress - Flood Controls,-,271,1000000,1000000,-,-,-,-
Other Infrastructure,Capital Outlay,Construction in Progress - Flood Controls,Const. Flood Control System - Flood Control,11-7276-12,-,-,-,-,1000000,-,-
Development Fund - Loans Equity,Development Fund - Loans Equity,Development Fund - Loans Equity,Development Fund - Loans Equity,-,1902-23,-,-,-,-,-,-
Development Fund - Loans Equity,Financial Expenses,Financial Expenses,Financial Expenses,-,-,-,-,-,-,-,-
Development Fund - Loans Equity,Capital Outlay,DBP- Heavey Equipments,DBP- Heavey Equipments,-,443-3,8000000,8000000,-,-,8000000,-
Housing and Community Development,Housing and Community Development,Housing and Community Development,Housing and Community Development,-,1902-30,-,-,-,-,-,-
Housing and Community Development,Capital Outlay,Electrification,Electrification,-,264-08,2837071,2837071,-,-,282583.56,-
Housing and Community Development,Capital Outlay,Electrification,Electrification-New Lagao,07-4424-12 ,-,-,-,-,284993.1,-,-
Housing and Community Development,Capital Outlay,Electrification,Electrification-Upper Katungal,09-5125-12,-,-,-,-,471832.46,-,-
Housing and Community Development,Capital Outlay,Electrification,"Electrification, Power and Energy",10-6673-12,-,-,-,-,150000,-,-
Housing and Community Development,Capital Outlay,Electrification,"Electrification, Power and Energy",10-6804-12,-,-,-,-,735590.88,-,-
Housing and Community Development,Capital Outlay,Electrification,Electrification,11-6948-12,-,-,-,-,912071,-,-
Education and Manpower Development,Education and Manpower Development,Education and Manpower Development,Education and Manpower Development,-,1902-31,-,-,-,-,-,-
Education and Manpower Development,Capital Outlay,Gymnasium,Gymnasium,-,264-01,13000000,13000000,-,-,4500030.14,-
Education and Manpower Development,Capital Outlay,Gymnasium,Cultural Sports Center,04-2424-12,-,-,-,-,4500000,-,-
Education and Manpower Development,Capital Outlay,Gymnasium,Cultural Sports Center,10-5787-12,-,-,-,-,254069.86,-,-
Education and Manpower Development,Capital Outlay,Gymnasium,Cultural Sports Center,10-6511-12,-,-,-,-,3475900,-,-
Education and Manpower Development,Capital Outlay,Old Municipal Hall Bldg Museum,Old Municipal Hall Bldg Museum,-,264-81,1000000,1000000,-,-,97362.24,-
Education and Manpower Development,Capital Outlay,Old Municipal Hall Bldg Museum,Museum,10-6717-12,-,-,-,-,902637.76,-,-
Purchase of Dumptrucks,Purchase of Dumptrucks,Purchase of Dumptrucks,Purchase of Dumptrucks,-,1902-36,-,-,-,-,-,-
Purchase of Dumptrucks,Capital Outlay,Construction of Heavey Equipment,Construction of Heavey Equipment,-,230,1000000,1000000,-,-,1000000,-
Purchase of Dumptrucks,Capital Outlay,Construction of Heavey Equipment,2 Units Dumptruck 6 Wheelers,02-0757-12,-,-,-,-,9000000,-,8200000
Grand Total,Grand Total,Grand Total,Grand Total,-,-,63377089.53,63377089.53,-,38753968.5,24623121.03,19853000.99
,,,,,,,,,,,
,Note:,,,,,,,,,,
,Resolution No. 04 Series of 2011 (2012 20% DF Budget),50652071,,,,,,,,,
,Resolution No. 101-Series of 2012,34500766,,,,,,,,,
,Resolution No. 114 Series of 2012,9274952.53,,,,,,,,,
,Total Appropriation 20% DF,63377089.53,,,,,,,,,
