particulars_1,particulars_2,particulars_3,contractor,status,date,appropriation,obr_number,allotment,payment,checked_number,date,balance
"Public, Buildings, Parks, Plaza and Monuments",Constrcution MPH/Covered Court/Day Care Ct/PNP Substance,Construction Mayor's Extension Office,R2A Construction,Completed,4/14/2011,2200000,2011-04-0725,2200000,2197882.79,437558,12/23/2011,2117.21
"Public, Buildings, Parks, Plaza and Monuments",Constrcution MPH/Covered Court/Day Care Ct/PNP Substance,Construction Stage at Covered Court Repaintint Barangay Hall,Arellano General Contractor,Completed,11/25/2011,765000,2011-00-2388,765000,763950.58,437558,5/14/2012,1049.42
"Public, Buildings, Parks, Plaza and Monuments",Constrcution MPH/Covered Court/Day Care Ct/PNP Substance,Completion Barangay Hall,Arellano General Contractor,Completed,8/17/2011,4600000,2011-08-1910,4600000,4593563.83,11553,11/21/2011,6436.17
"Public, Buildings, Parks, Plaza and Monuments",Constrcution MPH/Covered Court/Day Care Ct/PNP Substance,Const. Revilla Type Barangay Hall,-,-,-,2700000,-,2700000,-,-,-,2700000
"Public, Buildings, Parks, Plaza and Monuments",Constrcution MPH/Covered Court/Day Care Ct/PNP Substance,Repair and Bantay Dagat Headquarters,Mirasol Medina,Completed,5/2/2011,670000,2011-05-0875,670000,665199.96,26891,9/22/2011,4800.04
"Public, Buildings, Parks, Plaza and Monuments",Constrcution MPH/Covered Court/Day Care Ct/PNP Substance,Construction Barangay Hall,-,-,-,5000000,-,5000000,-,-,-,5000000
"Public, Buildings, Parks, Plaza and Monuments",Constrcution MPH/Covered Court/Day Care Ct/PNP Substance,Construction Apartment Type Niche,Herban Builders,Completed,5/2/2011,1500000,2011-05-0878,1500000,1494839.12,1494839.12,11/28/2011,5160.88
"Public, Buildings, Parks, Plaza and Monuments",Constrcution MPH/Covered Court/Day Care Ct/PNP Substance,Construction Bantay Dagat Headquarters-bacoor Bay Area,R2A Construction,Completed,5/2/2011,360000,2011-05-0871,360000,356423.76,356423.76,7/4/2011,3576.24
Drainage Canals/Flood Control,Drainage Canals/Flood Control,Drainage Canals/Flood Control,-,-,-,-,-,-,-,-,-,-
Drainage Canals/Flood Control,Construction Drainage/canal various Barangay,Construction Drainage/canal various Barangay,-,-,-,-,-,-,-,-,-,-
Drainage Canals/Flood Control,Rehabilitation Drainage Canal and Outfall,Rehabilitation Drainage Canal and Outfall,R2A Construction,Completed,4/14/2011,350000,2011-04-0729,346842.34,350000,26689,8/10/2011,3157.65
Drainage Canals/Flood Control,Construction Drainage Outfall,Construction Drainage Outfall,N. Lim Dy Construction,Completed,5/2/2011,1100000,2011-05-0877,1095341.94,1100000,26893,9/22/2011,4658.06
Drainage Canals/Flood Control,Construction of Boundary Markers,Construction of Boundary Markers,-,-,-,-,-,-,-,-,-,-
Drainage Canals/Flood Control,Installation Lighted Panflex/Signages/StreetNames,Installation Lighted Panflex/Signages/StreetNames,-,-,-,500000,-,500000,-,-,-,500000
Other Structures,Installation Streetlights,Installation Streetlights,-,-,-,2400000,-,2400000,-,-,-,2400000
Other Structures,Installation Streetlights,Installation/rehabilitation Streetlights/Traffic Lights,Almakar Builders,Completed,8/17/2011,1000000,2011-08-1911,1000000,993802.2,11591,12/26/2011,6197
Other Structures,Installation Streetlights,Installation Streetlights anfd Geometric Improvement Cirmon,Almakar Builders,Partial,4/4/2011,3000000,2011-04-0728,3000000,1130175.72,-,-,4276.022.08
Grand Total,Grand Total,Grand Total,-,-,-,78843109.58,-,78843109.58,46129837.92,-,-,32713271.66
