accnt_code_activity,activity,accnt_code_accnt_title,accnt_title,class,appropriation,obligation,balance
8918,"Purchase, construction and improvement of governmant facilities - Econ.",251,"Construction of slope protection at Purok Badjao, Brgy. Bawing",Capital Outlay,700000,-,700000
8918,"Purchase, construction and improvement of governmant facilities - Econ.",251,Road concreting of Sitio Pao-Pao Upper Blagan-Datal Laguh-Fataldao Farm-to-Market Road (LGU Counterpart),Capital Outlay,1722350,1722350,-
8918,"Purchase, construction and improvement of governmant facilities - Econ.",251,"Road concreting with underground drainage at Salvani St., City Heights",Capital Outlay,5000000,-,5000000
8918,"Purchase, construction and improvement of governmant facilities - Econ.",251,"Continuation of drainage trunkline, Brgy. Fatima",Capital Outlay,10000000,-,10000000
8918,"Purchase, construction and improvement of governmant facilities - Econ.",251,"Continuation of road concreting along Napal Road 2, Brgy. Conel",Capital Outlay,1865890,1865864.02,25.98
8918,"Purchase, construction and improvement of governmant facilities - Econ.",251,"Completion of covered court, Purok 5, Brgy. Plaza, and Brgy. Ligaya",Capital Outlay,1300000,-,1300000
8918,"Purchase, construction and improvement of governmant facilities - Econ.",254,"Repair of water system at Purok Bangsamoro, Brgy. Calumpang",Capital Outlay,800000,-,800000
8918,"Purchase, construction and improvement of governmant facilities - Econ.",254,"Completion of water system facilities for MDG Faces, Phase II, Promise Land, Brgy. Mabuhay",Capital Outlay,1000000,-,1000000
8918,"Purchase, construction and improvement of governmant facilities - Econ.",254,"Rehabilitation/expansion of water system, San Jose",Capital Outlay,2200000,-,2200000
8918,"Purchase, construction and improvement of governmant facilities - Econ.",256,"Riprapping of drainage canal at Nursery Rd., Brgy. Lagao",Capital Outlay,1500000,-,1500000
8918,"Purchase, construction and improvement of governmant facilities - Econ.",256,"Replacement of submersible pump and water distribution lines at Ligaya Elementary School, Brgy. Ligaya",Capital Outlay,200000,-,200000
8918,"Purchase, construction and improvement of governmant facilities - Econ.",256,"Construction of box culvert at Purok Taliwara, Brgy. Upper Labay",Capital Outlay,2000000,-,2000000
8918,"Purchase, construction and improvement of governmant facilities - Econ.",256,"Construction of floodway along Bula-Lagao Arradaza Rd. (from P. Acharon Blvd. to NFA) Bula-Lagao, City Heights, San Isidro",Capital Outlay,10000000,8917309.55,1082690.45
8918,"Purchase, construction and improvement of governmant facilities - Econ.",256,"Repair of Upper Labay Spring Development Level III, Brgy. Upper Labay",Capital Outlay,756124,-,756124
8918,"Purchase, construction and improvement of governmant facilities - Econ.",256,"Construction of underground drainage and gutter at Bayabas St. to cor. Alerta St., Dadiangas North",Capital Outlay,2000000,-,2000000
8918,"Purchase, construction and improvement of governmant facilities - Econ.",256,"Construction of underground drainage from NLSA Rd. along Leon Llido St. to cor. Yumang St., Brgy. San Isidro",Capital Outlay,3000000,-,3000000
8918,"Purchase, construction and improvement of governmant facilities - Econ.",256,"Continuation of underground drainage from PNP to cor. Daproza Ave., Dadiangas West",Capital Outlay,1400000,-,1400000
8918,"Purchase, construction and improvement of governmant facilities - Econ.",256,"Improvement of Floodway 3 towards Sarangani Bay, Brgy. Baluan",Capital Outlay,1320000,-,1320000
8918,"Purchase, construction and improvement of governmant facilities - Econ.",256,"Proposed drianage construction at Zone 2-B, Brgy. Bula",Capital Outlay,2000000,-,2000000
8918,"Purchase, construction and improvement of governmant facilities - Econ.",256,"Construction of drainage along Tiongson St. to J. Catolico Ave. (from Junction Ventilacion St. to J. Catolico), Brgy. Lagao",Capital Outlay,5000000,-,5000000
9913,Interest Payment - LBP,975,Interets Expenses,Financial Expenses,25842687,996555.7,24846131.3
