development_projects_1,development_projects_2,development_projects_3,status,continuing_appropriations_and_previous_years_balances,current_appropriation,total,expenditures_prev._years_appropriations,expenditures_current,total,balance
Social Development Program,Other Structures,"Rehabilitation of Concrete Stairway, N. Delos Santos Elementary School (Brgy. Maingaran)",-,-,80000,80000,-,80000,80000,-
Social Development Program,Other Structures,"Construction of School Stage, N. Delos Santos Elementary School (Brgy. Maingaran)",-,-,350000,350000,-,346664.84,346664.84,3335.16
Social Development Program,Other Structures,"Embankment of School Site, N. Delos Santos Elementary School (Brgy. Maingaran)",-,-,200000,200000,-,28025.93,28025.93,171974.07
Social Development Program,Other Structures,Construction of Concrete Wall & Public Toilet at Public Market (Brgy. Malinta),-,-,200000,200000,-,196265.1,196265.1,3734.9
Social Development Program,Other Structures,"Construction of Perimeter Fence, Capitolina 0. Legazpi Elem. School (Brgy. Malinta)",-,-,485000,485000,-,466719.84,466719.84,18280.16
Social Development Program,Other Structures,"Construction of Perimeter Fence, Enrique Legazpi High School (Brgy. Malinta)",-,-,393000,393000,-,373744.41,373744.41,19255.59
Social Development Program,Other Structures,"Construction of Reformatory Cell, Barangay Plaza (Brgy. Mapina)",-,-,120000,120000,-,85200,85200,34800
Social Development Program,Other Structures,"Construction of Perimeter Fence, Nursery Elementary School (Brgy. Nursery)",-,-,815000,815000,-,781023.46,781023.46,33976.54
Social Development Program,Other Structures,"Construction of Perimeter Fence, Nursery High School (Brgy. Nursery)",-,-,150000,150000,-,-,-,150000
Social Development Program,Other Structures,Embankment of Nursery High School Compound (Brgy. Nursery),-,-,600000,600000,-,585278.23,585278.23,14721.77
Social Development Program,Other Structures,Construction of Day Care Center - Progressive Type (Brgy. Pating),-,-,1373637,1373637,-,674904.82,674904.82,698732.18
Social Development Program,Other Structures,Construction of Reformatory Cell (Brgy. Tugbo),-,-,120000,120000,-,85200,85200,34800
Social Development Program,Other Structures,"Embankment of School Site, Usab High School (Brgy. Usab)",-,-,500000,500000,-,74180.28,74180.28,425819.72
Social Development Program,Other Structures,"Construction of Waiting Shed, Usab High School (Brgy. Usab)",-,-,50000,50000,-,36650,36650,13350
Social Development Program,Other Structures,"Construction of Perimeter Fence, Usab High School (Brgy. Usab)",-,-,260000,260000,-,252025.68,252025.68,7974.32
Social Development Program,Other Structures,"Construction of Perimeter Fence, Usab Elementary School (Brgy. Usab)",-,-,475000,475000,-,452578.97,452578.97,22421.03
Social Development Program,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation or Construction of Water System (Brgy. Anas),-,-,180000,180000,-,180000,180000,-
Social Development Program,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Construction of Shallow Wells (Brgy. Asid),-,-,240000,240000,-,62800,62800,177200
Social Development Program,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Const. of 4 Units Shallow Wells (Brgy. Bantique),-,-,120000,120000,-,-,-,120000
Social Development Program,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Construction of Water System (Brgy. Batuhan),-,-,120000,120000,-,114814.61,114814.61,5185.39
Social Development Program,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Construction of Shallow Wells (Brgy. Bivonci),-,-,90000,90000,-,59950,59950,30050
Social Development Program,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Construction of Shallow Wells (Brgy. Bayombon),-,-,180000,180000,-,119700,119700,60300
Social Development Program,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of Water System (Brgy. Bolo),-,-,400000,400000,-,400000,400000,-
Social Development Program,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Construction of Water System (Brgy. B.Titonci),-,-,800000,800000,-,497850,497850,302150
Social Development Program,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Construction of Water System (Brgy. Caqav),-,-,180000,180000,-,180000,180000,-
Social Development Program,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Construction of Shallow Wells (Brgy. Cawayan Int.),-,-,120000,120000,-,120000,120000,-
Social Development Program,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Construction of Shallow Wells at JZSES (Brgy. Centro),-,-,90000,90000,-,59950,59950,30050
Social Development Program,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Construction of Water System (Brgy. 'Pang),-,-,130000,130000,-,92500,92500,37500
Social Development Program,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Construction of Water System (Brgy. Mainciaran),-,-,500000,500000,-,500000,500000,-
Social Development Program,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Construction of Shallow Wells (Brgy. Malinta),-,-,240000,240000,-,214000,214000,26000
Social Development Program,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Replacement of Water Distribution Lines (Brgy. Malinta),-,-,350000,350000,-,222500,222500,127500
Social Development Program,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Construction of Water System at Sitio Pasil (Brgy. Pawa),-,-,150000,150000,-,103000,103000,47000
Social Development Program,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Construction of Water System at Sitio Sinko (Brgy. Pawa),-,-,200000,200000,-,132250,132250,67750
Social Development Program,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Const. of Water System (Brgy. Sinalorman),-,-,400000,400000,-,228500,228500,171500
Social Development Program,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Construction of Shallow Wells (Brgy. Tugbo),-,-,60000,60000,-,45000,45000,15000
Social Development Program,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Construction of Shallow Wells (Brgy. U. Dacu),-,-,240000,240000,-,200500,200500,39500
Social Development Program,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Construction of Shallow Wells (Brgy. Usab),-,-,120000,120000,-,116850,116850,3150
Economic Development Program,Office Buildings,Construction of Senior Citizen Center(Brgy. Bagumbayan),-,-,120000,120000,-,119988.66,119988.66,11.34
Economic Development Program,Office Buildings,"Additional Funds for the Repiar of City Hall Building, Installation of Partitions (Brgy. Kalipay)",-,-,500000,500000,-,485396.02,485396.02,14603.98
Economic Development Program,Others Structures,Construction of Perimeter Fence at Brgy. Multi-Purpose Hall (Brgy. Bapor),-,-,250000,250000,-,-,-,250000
Economic Development Program,Others Structures,Construction of Stage at New Brgy. Plaza (Brgy. Kalipay),-,-,280000,280000,-,274902.1,274902.1,5097.9
Economic Development Program,Others Structures,Construction of Perimeter Fence at Civil Service Commission,-,-,150000,150000,-,-,-,150000
Economic Development Program,Others Structures,Rehabilitation of Pamilihang Bayan,-,-,1000000,1000000,-,703296,703296,296704
Economic Development Program,Others Structures,"Construction of Ten(10) Unit Stalls (Grater Machines, Brgy. Pating)",-,-,147000,147000,-,-,-,147000
Economic Development Program,Others Structures,Construction of Terminal Railing @ CFC (Brgy. Pating),-,-,120000,120000,-,-,-,120000
Economic Development Program,Others Structures,"Construction of Two (2) Units - 12 Stalls (Dry Goods @ Terminal, Brgy. Pating)",-,-,728855,728855,-,-,-,728855
Economic Development Program,Others Structures,Installation of Twelve (12) Units Stall Masbate City Terminal (Brgy. Pating),-,-,274145,274145,-,202845,202845,71300
Economic Development Program,Others Structures,Rehabilitation or Improvement of Slaughterhouse (Brgy. Maingaran),-,-,115000,115000,-,-,-,115000
Economic Development Program,"Roads, Highways and Bridges",Rehabilitation of Asid Interior Farm-to-Market Road,-,-,500000,500000,-,391516.49,391516.49,108483.51
Economic Development Program,"Roads, Highways and Bridges",Rehabilitation of Asid-Cagay Farm-to-Market Road,-,-,1500000,1500000,-,1172107.1,1172107.1,327892.9
Economic Development Program,"Roads, Highways and Bridges",Rehabilitation of Junction Coastal Road Bantigue Farm-to-Market Road,-,-,500000,500000,-,484106.51,484106.51,15893.49
Economic Development Program,"Roads, Highways and Bridges",Construction of Triple Barrel Box Culvert (Brgy. Batuhan),-,-,5000000,5000000,-,2691068.15,2691068.15,2308931.85
Economic Development Program,"Roads, Highways and Bridges",Construction of Concrete Pathways (Brgy. Batuhan),-,-,1000000,1000000,-,977052.76,977052.76,22947.24
Economic Development Program,"Roads, Highways and Bridges",Rehabilitation of Batuhan-Cawayan Interior-Mapiña Farm-to-Market Road,-,-,1500000,1500000,-,1453256.87,1453256.87,46743.13
Economic Development Program,"Roads, Highways and Bridges",Rehabilitation of Biyong Road,-,-,500000,500000,-,429029.06,429029.06,70970.94
Economic Development Program,"Roads, Highways and Bridges",Road Opening from Bayombon High School,-,-,2000000,2000000,-,1573770,1573770,426230
Economic Development Program,"Roads, Highways and Bridges",Barangay Road Opening (Brgy. B.Titong),-,-,150000,150000,-,150000,150000,-
Economic Development Program,"Roads, Highways and Bridges",Construction of Footbridge Between Anas & B. Titong,-,-,200000,200000,-,136900,136900,63100
Economic Development Program,"Roads, Highways and Bridges",Rehabilitation of Cawayan Exterior Road,-,-,500000,500000,-,488924.07,488924.07,11075.93
Economic Development Program,"Roads, Highways and Bridges",Construction of Sidewalk Railings (Brgy. Centro),-,-,650000,650000,-,-,-,650000
Economic Development Program,"Roads, Highways and Bridges",Construction of Box Culvert at Corner Danao & Almero Streets (Brgy. Espinosa),-,-,120000,120000,-,69350,69350,50650
Economic Development Program,"Roads, Highways and Bridges",Construction of Barangay Access Road (Brgy. Espinosa),-,-,1000000,1000000,-,965850,965850,34150
Economic Development Program,"Roads, Highways and Bridges",Construction of Pathways (Brgy. F. Magallanes),-,-,350000,350000,-,52225.44,52225.44,297774.56
Economic Development Program,"Roads, Highways and Bridges",Embankment of Road (Brgy. Ibingay),-,-,250000,250000,-,229900.51,229900.51,20099.49
Economic Development Program,"Roads, Highways and Bridges",Rehabilitation or Repair of Igang Farm-to-Market Road,-,-,1500000,1500000,-,1309352.58,1309352.58,190647.42
Economic Development Program,"Roads, Highways and Bridges",Construction of Concrete Pathways (Brgy. Kinamaligan),-,-,600000,600000,-,593014.24,593014.24,6985.76
Economic Development Program,"Roads, Highways and Bridges",Embankment of Barangay Road (Brgy. Maingaran),-,-,200000,200000,-,28374.8,28374.8,171625.2
Economic Development Program,"Roads, Highways and Bridges",Rehabilitation of Malinta-Sinalongan Road,-,-,1000000,1000000,-,676697.54,676697.54,323302.46
Economic Development Program,"Roads, Highways and Bridges",Rehabilitation of Barangay Road (Brgy. Mapiña),-,-,500000,500000,-,-,-,500000
Economic Development Program,"Roads, Highways and Bridges",Rehabilitation of Ubo Farm-to-Market Road (Brgy. Mapiña),-,-,500000,500000,-,435718.98,435718.98,64281.02
Economic Development Program,"Roads, Highways and Bridges",Construction or Rehabilitation of Pathways (Brgy. Nursery),-,-,800000,800000,-,542580.83,542580.83,257419.17
Economic Development Program,"Roads, Highways and Bridges",Construction of Concrete Footbridge (Brgy. Nursery),-,-,200000,200000,-,140555,140555,59445
Economic Development Program,"Roads, Highways and Bridges",Construction of Himumoro Diversion Road (Brgy. Nursery),-,-,2000000,2000000,-,1731314.14,1731314.14,268685.86
Economic Development Program,"Roads, Highways and Bridges",Installation of Concrete Railings-Pawa Bridge,-,-,50000,50000,-,35650,35650,14350
Economic Development Program,"Roads, Highways and Bridges",Concreting of Pathways (Brgy. Pawa),-,-,150000,150000,-,22068.68,22068.68,127931.32
Economic Development Program,"Roads, Highways and Bridges",Rehabilitation of Coastal Road (Brgy. Pawa),-,-,4900000,4900000,-,4774984.49,4774984.49,125015.51
Economic Development Program,"Roads, Highways and Bridges",Construction of Concrete Pathways (Brgy. Sinalongan),-,-,800000,800000,-,766437.06,766437.06,33562.94
Economic Development Program,"Roads, Highways and Bridges",Rehabilitation of Sinalongan-Cagay Farm-to-Market Road,-,-,500000,500000,-,499437.48,499437.48,562.52
Economic Development Program,"Roads, Highways and Bridges",Rehabilitation of Himumoro Road (Brgy. Nursery),-,-,1000000,1000000,-,974310.52,974310.52,25689.48
Economic Development Program,"Roads, Highways and Bridges",Rehabilitation of Cagba Interior Farm-to-Market Road,-,-,500000,500000,-,455599.1,455599.1,44400.9
Economic Development Program,"Parks, Plazas and Monuments",Concreting of New Brgy. F. Magallanes Plaza,-,-,250000,250000,-,249616.15,249616.15,383.85
Economic Development Program,"Parks, Plazas and Monuments",Concreting of Purok Plaza (Brgy. Nursery),-,-,500000,500000,-,497922.47,497922.47,2077.53
Economic Development Program,"Irrigation, Canals and Laterals",Construction of Drainage System (Brgy. Cawayan Exterior),-,-,200000,200000,-,136600,136600,63400
Economic Development Program,"Irrigation, Canals and Laterals",Construction of Drainage System (Brgy. F. Magallanes),-,-,230000,230000,-,230000,230000,-
Economic Development Program,"Irrigation, Canals and Laterals",Construction of Drainage System (Brgy. Ibingay),-,-,200000,200000,-,135800,135800,64200
Economic Development Program,"Irrigation, Canals and Laterals",Improvement of Drainage Canal at AAES (Brgy. Kalipay),-,-,200000,200000,-,136600,136600,63400
Economic Development Program,"Irrigation, Canals and Laterals",Extension of Drainage Outlet (Brgy. Pating),-,-,200000,200000,-,110387,110387,89613
Economic Development Program,"Ports, Lighthouses and Harbors",Extension of Port (Brgy. Bantigue),-,-,200000,200000,-,139600,139600,60400
Economic Development Program,"Ports, Lighthouses and Harbors",Repair of Port (Brgy. Bolo),-,-,150000,150000,-,150000,150000,-
Economic Development Program,"Ports, Lighthouses and Harbors",Rehabilitation and Extension of Port (Brgy. Cawayan Ext.),-,-,200000,200000,-,136050,136050,63950
Economic Development Program,Seawall,Construction of Seawall (Brgy. Bolo),-,-,200000,200000,-,138645,138645,61355
Total Appropriations,Total Appropriations,Total Appropriations,-,-,57916637,57916637,-,43614281.01,43614281.01,14302355.99
