development_projects_1,development_projects_2,development_projects_3,development_projects_4,status,continuing_appropriations_and_previous_years_balances,current_appropriation,total,expenditures_prev._years_appropriations,expenditures_current,total,balance,remarks
Social Development Program ,Buildings,School Building,Construction of One (1) Unit 1 CL Building at Espinosa Elem. School (Brgy. Espinosa),-,-,750000,750000,-,727736.04,727736.04,22263.96,-
Social Development Program ,Buildings,School Building,Construction of One (1) Unit 1 CL Building at Igang Elem. School (Brgy. Igang),-,-,750000,750000,-,346455.65,346455.65,403544.35,-
Social Development Program ,Buildings,School Building,Construction of One (1) Unit 2 CL Building at Nursery High School (Brgy. Nursery),-,-,1500000,1500000,-,1510577.09,1510577.09,-10577.09,-
Social Development Program ,Buildings,School Building,Rehabilitation of Marcos Type School Building (Brgy. Sinalongan),-,-,250000,250000,-,-,-,250000,-
Social Development Program ,Buildings,Other Structures,Renovation of Barangay Health Center (Brgy. Asid),-,-,150000,150000,-,-,383391.35,-233391.35,-
Social Development Program ,Buildings,Other Structures,Construction of Comfort Room (3 Seater Toilet Detached Type) at Asid E/S,-,-,120000,120000,-,-,-,120000,-
Social Development Program ,Buildings,Other Structures,Construction of Perimeter Fence at Bagumbayan Elementary School,-,-,80000,80000,-,-,-,80000,-
Social Development Program ,Buildings,Other Structures,Construction of School Stage at Gov. Rafael Letada Memorial Elem. School (Brgy. Biyong),-,-,350000,350000,-,-,-,350000,-
Social Development Program ,Buildings,Other Structures,Construction of Comfort Room (3 Seater Toilet Detached Type) at Gov. Letada Elementary School (Brgy. Biyong),-,-,120000,120000,-,-,-,120000,-
Social Development Program ,Buildings,Other Structures,"Repair of Day Care Center (Purok 2, Brgy. Cagay",-,-,80000,80000,-,-,-,80000,-
Social Development Program ,Buildings,Other Structures,Construction of Public Toilet (Brgy. F. Magallanes),-,-,200000,200000,-,-,-,200000,-
Social Development Program ,Buildings,Other Structures,Construction of Perimeter Fence at AAES (Brgy. Kalipay),-,-,1400000,1400000,-,1242932.63,1242932.63,157067.37,-
Social Development Program ,Buildings,Other Structures,Construction of Comfort Room at Mapiña Elementary School,-,-,120000,120000,-,-,-,120000,-
Social Development Program ,Buildings,Other Structures,"Improvement of Day Care Center (Two-Storey Multi-Purpose Bldg., Brgy. Pating)",-,-,1200000,1200000,-,587735.52,587735.52,612264.48,-
Social Development Program ,Buildings,Other Structures,Repair of Day Care Center at Sitio Calulod (Brgy. Pawa),-,-,120000,120000,-,-,-,120000,-
Social Development Program ,Buildings,Other Structures,"Construction of Health Center (Purok Sampaguita, Brgy. Tugbo)",-,-,250000,250000,-,-,-,250000,-
Social Development Program ,Buildings,Other Structures,"Repair of Day Care Center (Purok Santan,Brgy. Tugbo)",-,-,120000,120000,-,-,-,120000,-
Social Development Program ,Buildings,Other Structures,Construction of Comfort Room (3 Seater Toilet-Detached Type) at Tugbo E/S,-,-,120000,120000,-,-,-,120000,-
Social Development Program ,Buildings,Other Structures,School Site Improvement (Brgy. Tugbo),-,-,500000,500000,-,-,-,500000,-
Social Development Program ,Buildings,Other Structures,Construction of Comfort Room (3 Seater Toilet-Detached Type) at Usab E/S,-,-,120000,120000,-,-,-,120000,-
Social Development Program ,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations & Conduits","Installation of 4-Units Jetmatic Pumps (Purok 1, 2, 4, & 7, Brgy. Asid)",-,-,90000,90000,-,-,-,90000,-
Social Development Program ,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations & Conduits",Construction of Shallow Well (Brgy. Cawayan Exterior),-,-,30000,30000,-,-,-,30000,-
Social Development Program ,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations & Conduits",Rehabilitation of Shallow Wells (Brgy. Kinamaligan),-,-,75000,75000,-,-,-,75000,-
Social Development Program ,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations & Conduits",Construction of Shallow Wells (Brgy. Kinamaligan),-,-,40000,40000,-,-,-,40000,-
Social Development Program ,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations & Conduits",Rehabilitation of Water System (Brgy. Maingaran),-,-,30000,30000,-,-,-,30000,-
Social Development Program ,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations & Conduits",Construction of Shallow Well (Brgy. Maingaran),-,-,30000,30000,-,-,-,30000,-
Social Development Program ,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations & Conduits",Construction of Shallow Well (Brgy. Mapiña),-,-,30000,30000,-,-,-,30000,-
Social Development Program ,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations & Conduits",Rehabilitation of Shallow Wells (Brgy. Usab),-,-,150000,150000,-,-,-,150000,-
Social Development Program ,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations & Conduits",Construction of Shallow Well (Brgy. Ubungan Dacu),-,-,30000,30000,-,-,-,30000,-
Economic Development Program ,"Land, Land Improvement",Land,Solid Waste Facility,-,-,12000000,12000000,-,-,-,12000000,-
Economic Development Program ,Buildings,Office Buildings,Construction of Multi-Purpose Hall (Brgy. Anas),-,-,600000,600000,-,-,-,600000,-
Economic Development Program ,Buildings,Office Buildings,Construction of Multi-Purpose Hall (Brgy. Centro),-,-,750000,750000,-,541069.98,541069.98,750000,-
Economic Development Program ,Buildings,Office Buildings,Construction or Extension of 1-2 Storey Market Administrative Office (Brgy. Pating),-,-,650000,650000,-,-,-,650000,-
Economic Development Program ,Buildings,Office Buildings,Construction or Extension of 1-2 Storey PNP Sub-Station Office at Market Site (Pating),-,-,340960,340960,-,-,-,340960,-
Economic Development Program ,Buildings,Office Buildings,Additional Fund for GSO Building,-,-,4000000,4000000,-,1982294.39,1982294.39,4000000,-
Economic Development Program ,Buildings,Other Structures,Repair of Public Market (Brgy. Bolo),-,-,200000,200000,-,-,-,200000,-
Economic Development Program ,Buildings,Other Structures,Construction of Multi-Purpose Project or Solar Dryer at Delos Reyes E/S (Brgy. Pating),-,-,180000,180000,-,122700,122700,57300,-
Economic Development Program ,Buildings,Other Structures,Rehabilitation of Roofing of Covered Arcade at Ibañez Extension (Brgy. Pating),-,-,150000,150000,-,145950,145950,4050,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges","Construction of Concrete Footbridge (Purok 5, Brgy. Bagumbayan)",-,-,200000,200000,-,-,-,200000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges","Construction of Concrete Footbridge (Purok 6, Brgy. Bagumbayan)",-,-,200000,200000,-,-,-,200000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Road Opening form Coastal Road to Sitio Sabang (Brgy. Bantigue),-,-,1500000,1500000,-,1387731.34,1387731.34,112268.66,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Rehabilitation of Existing Footbridge (Installation of Railings),-,-,1600000,1600000,-,1630397.32,1630397.32,-30397.32,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Road Opening from National Road to Bayombon High School,-,-,60000,60000,-,-,-,60000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Widening of School Access Road of Gov. Rafael Letada Memorial E/S (Brgy. Biyong),-,-,2000000,2000000,-,1538586.98,1538586.98,2000000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges","Construction of Footbridge (Purok 6, Brgy. Cagay)",-,-,200000,200000,-,-,-,200000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges","Construction of Footbridge (Purok 6, Brgy. Cagay)",-,-,300000,300000,-,-,-,300000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Rehabilitation of Briz Street (Brgy. Centro),-,-,-,-,-,-,-,-,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Rehabilitation of Corpuz Street (Brgy. Centro),-,-,500000,500000,-,-,-,500000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges","Construction of Concrete Footbridge (Purok 1, Brgy. Mapiña)",-,-,250000,250000,-,-,-,250000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges","Construction of Concrete Footbridge (Purok 1, Brgy. Mapiña)",-,-,200000,200000,-,-,-,200000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Rehabilitation of Almero St. (Brgy. Ibingay),-,-,-,-,-,-,-,-,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Rehabilitation of Pathway besides PLDT (Brgy. Ibingay),-,-,500000,500000,-,-,-,500000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Rehabilitation of Pathway besides PLDT (Brgy. Ibingay),-,-,100000,100000,-,-,-,100000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Rehabilitation of Navarro Subdivision Road(Brgy. Ibingay),-,-,150000,150000,-,-,-,150000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges","Road Opening (Sitio Sampalok, Brgy. Malinta)",-,-,-,-,-,-,-,-,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges","Construction of Concrete Footbridge (Purok 1, Brgy. Mapiña)",-,-,1000000,1000000,-,144816.49,144816.49,1000000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges","Construction of Concrete Footbridge (Purok 1, Brgy. Mapiña)",-,-,60000,60000,-,-,-,60000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Concreting of Road 1 back of Market Admin Office (Brgy. Pating),-,-,-,-,-,-,-,-,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Concreting of Road 2 infront of Market Admin Office (Brgy. Pating),-,-,480000,480000,-,-,-,480000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Construction of Concrete Footbridge at Sitio Guwaan (Brgy. Pawa),-,-,450000,450000,-,-,-,450000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges","Construction of Concrete Footbridge (Sitio Ilawod, Brgy. Pawa)",-,-,280000,280000,-,-,-,280000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges","Construction of Concrete Footbridge (Sitio Ilawod, Brgy. Pawa)",-,-,280000,280000,-,-,-,280000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Rehabilitation of Coastal Road (Brgy. Ubungan Dacu),-,-,3624968,3624968,-,3646087.97,3646087.97,-21119.97,-
Economic Development Program ,Public Infrastructures,"Parks, Plazas and Monuments",Improvement of Barangay Plaza (Brgy. F. Magallanes),-,-,1000000,1000000,-,779283.58,779283.58,220716.42,-
Economic Development Program ,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Construction of Cross Drain Pipe from Dela Rosa residence to Tahoma Residence (Brgy. Bapor),-,-,200000,200000,-,-,-,200000,-
Economic Development Program ,Public Infrastructures,"Irrigation, Canals and Laterals",Widening of Road and Construction of Lined Canal at Osmeña Street (Brgy. Bapor),-,-,1400000,1400000,-,913902,913902,486098,-
Economic Development Program ,Public Infrastructures,"Irrigation, Canals and Laterals",Widening of Road and Construction of Lined Canal at Osmeña Street (Brgy. Bapor),-,-,500000,500000,-,355350,355350,144650,-
Economic Development Program ,Public Infrastructures,"Irrigation, Canals and Laterals",Construction of Irrigation System (Brgy. Igang),-,-,-,-,-,-,-,-,-
Economic Development Program ,Public Infrastructures,"Irrigation, Canals and Laterals",Construction of Covered Lined Canal back of Market Admin Office (Brgy. Pating),-,-,140000,140000,-,-,-,140000,-
Economic Development Program ,Public Infrastructures,"Irrigation, Canals and Laterals",Construction of Covered Lined Canal at Ibañez Extension (Brgy. Pating),-,-,240000,240000,-,161550,161550,78450,-
Economic Development Program ,Public Infrastructures,"Irrigation, Canals and Laterals",Construction of Canal Covered Slab at Market Site (Brgy. Pating),-,-,160000,160000,-,-,-,160000,-
Economic Development Program ,Public Infrastructures,"Irrigation, Canals and Laterals","Construction of Drainage Canal (Purok Bangus, Brgy. Pating)",-,-,120000,120000,-,82150,82150,37850,-
Economic Development Program ,Public Infrastructures,"Irrigation, Canals and Laterals","Construction of Drainage Canal (Purok Bangus, Brgy. Pating)",-,-,220000,220000,-,148750,148750,71250,-
Economic Development Program ,Public Infrastructures,"Irrigation, Canals and Laterals","Construction of Drainage Canal (Purok Bangkulis, Brgy. Pating)",-,-,-,-,-,-,-,-,-
Economic Development Program ,Public Infrastructures,"Waterways, Seawalls, Riverwall and Others","Construction of River Control Dike (Purok Rubia 2, Brgy. Tugbo)",-,-,150000,150000,-,-,-,150000,-
Economic Development Program ,Public Infrastructures,Other Public Infrastructures,"Construction of Post Harvest Facility (Solar Dryer, Brgy. Sinalongan)",-,-,500000,500000,-,348976,348976,151024,-
 Total Appropriations, Total Appropriations, Total Appropriations, Total Appropriations,-,-,53070928,53070928,-,5919835.64,5919835.64,47151092.36,-
