development_projects_1,development_projects_2,development_projects_3,development_projects_4,status,continuing_appropriations_and_previous_years_balances,current_appropriation,total,expenditures_previous_years_appropriations,expenditures_current,total,balance,remarks
Economic Development Program,Buildings,Office Buildings,Construction or Extension of 1-2 Storey PNP Sub-Station Office at Market Site (Pating),-,-,340960,340960,-,258260,258260,82700,-
Economic Development Program,Buildings,Office Buildings,Additional Fund for GSO Building,-,-,4000000,4000000,-,3964588.78,3964588.78,35411.22,-
Economic Development Program,Buildings,Other Structures,Repair of Public Market (Brgy. Bolo),-,-,200000,200000,-,198507.5,198507.5,1492.5,-
Economic Development Program,Buildings,Other Structures,Construction of Multi-Purpose Project or Solar Dryer at Delos Reyes E/S (Brgy. Pating),-,-,180000,180000,-,170713,170713,9287,-
Economic Development Program,Buildings,Other Structures,Rehabilitation of Roofing of Covered Arcade at Ibanez Extension (Brgy. Pating),-,-,150000,150000,-,145950,145950,4050,-
Economic Development Program,Public Infrastructures,"Roads, Highways and Bridges","Construction of Concrete Footbridge (Purok 5, Brgy. Bagumbayan)",-,-,200000,200000,-,200000,200000,-,-
Economic Development Program,Public Infrastructures,"Roads, Highways and Bridges","Construction of Concrete Footbridge (Purok 6, Brgy. Bagumbayan)",-,-,200000,200000,-,200000,200000,-,-
Economic Development Program,Public Infrastructures,"Roads, Highways and Bridges",Road Opening form Coastal Road to Sitio Sabang (Brgy. Bantigue),-,-,1500000,1500000,-,1387731.34,1387731.34,112268.66,-
Economic Development Program,Public Infrastructures,"Roads, Highways and Bridges",Opening of School Access Road Cawayan Interior to Nicolas Danao Elementary School (Brgy. Bantigue),-,-,1600000,1600000,-,1630397.32,1630397.32,-30397.32,-
Economic Development Program,Public Infrastructures,"Roads, Highways and Bridges",Rehabilitation of Existing Footbridge (Installation of Railings),-,-,60000,60000,-,47100,47100,12900,-
Economic Development Program,Public Infrastructures,"Roads, Highways and Bridges",Road Opening from National Road to Bayombon High School,-,-,2000000,2000000,-,1986955.01,1986955.01,13044.99,-
Economic Development Program,Public Infrastructures,"Roads, Highways and Bridges",Widening of School Access Road of Gov. Rafael Letada Memorial E/S (Brgy. Biyong),-,-,200000,200000,-,189750,189750,10250,-
Economic Development Program,Public Infrastructures,"Roads, Highways and Bridges","Construction of Footbridge (Purok 6, Brgy. Cagay)",-,-,300000,300000,-,228250,228250,71750,-
Economic Development Program,Public Infrastructures,"Roads, Highways and Bridges",Rehabilitation of Briz Street (Brgy. Centro),-,-,500000,500000,-,500000,500000,-,-
Economic Development Program,Public Infrastructures,"Roads, Highways and Bridges",Rehabilitation of Corpuz Street (Brgy. Centro),-,-,250000,250000,-,177900,177900,72100,-
Economic Development Program,Public Infrastructures,"Roads, Highways and Bridges","Construction of Concrete Footbridge (Purok 7, Brgy. Espinosa)",-,-,200000,200000,-,159100,159100,40900,-
Economic Development Program,Public Infrastructures,"Roads, Highways and Bridges",Rehabilitation of Almero St. (Brgy. Ibingay),-,-,500000,500000,-,376750,376750,123250,-
Economic Development Program,Public Infrastructures,"Roads, Highways and Bridges",Rehabilitation of Pathway besides PLDT (Brgy. Ibingay),-,-,100000,100000,-,100000,100000,-,-
Economic Development Program,Public Infrastructures,"Roads, Highways and Bridges",Rehabilitation of Navarro Subdivision Road (Brgy. Ibingay),-,-,150000,150000,-,111600,111600,38400,-
Economic Development Program,Public Infrastructures,"Roads, Highways and Bridges","Road Opening (Sitio Sampalok, Brgy. Malinta)",-,-,1000000,1000000,-,965443.24,965443.24,34556.76,-
Economic Development Program,Public Infrastructures,"Roads, Highways and Bridges","Construction of Concrete Footbridge (Purok 1, Brgy. Mapina)",-,-,60000,60000,-,47100,47100,12900,-
Economic Development Program,Public Infrastructures,"Roads, Highways and Bridges",Concreting of Road 1 back of Market Admin Office (Brgy. Pating),-,-,480000,480000,-,480000,480000,-,-
Economic Development Program,Public Infrastructures,"Roads, Highways and Bridges",Concreting of Road 2 infront of Market Admin Office (Brgy. Pating),-,-,450000,450000,-,450000,450000,-,-
Economic Development Program,Public Infrastructures,"Roads, Highways and Bridges",Construction of Concrete Footbridge at Sitio Guwaan (Brgy. Pawa),-,-,280000,280000,-,211900,211900,68100,-
Economic Development Program,Public Infrastructures,"Roads, Highways and Bridges","Construction of Concrete Footbridge (Sitio Ilawod, Brgy. Pawa)",-,-,280000,280000,-,211900,211900,68100,-
Economic Development Program,Public Infrastructures,"Roads, Highways and Bridges",Rehabilitation of Coastal Road (Brgy. Ubungan Dacu),-,-,3624968,3624968,-,3624968,3624968,-,-
Economic Development Program,Public Infrastructures,"Parks, Plazas and Monuments",Improvement of Barangay Plaza (Brgy. F. Magallanes),-,-,1000000,1000000,-,985308.58,985308.58,14691.42,-
Economic Development Program,Public Infrastructures,"Parks, Plazas and Monuments","Sub-Total (Parks, Plazas, Monuments)",-,-,1000000,1000000,-,985308.58,985308.58,14691.42,-
Economic Development Program,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Construction of Cross Drain Pipe from Dela Rosa residence to Tahoma Residence (Brgy. Bapor),-,-,200000,200000,-,196797,196797,3203,-
Economic Development Program,Public Infrastructures,"Irrigation, Canals and Laterals",Widening of Road and Construction of Lined Canal at Osmena Street (Brgy. Bapor),-,-,1400000,1400000,-,1368352,1368352,31648,-
Economic Development Program,Public Infrastructures,"Irrigation, Canals and Laterals",Construction of Irrigation System (Brgy. Igang),-,-,500000,500000,-,355350,355350,144650,-
Economic Development Program,Public Infrastructures,"Irrigation, Canals and Laterals",Construction of Covered Lined Canal back of Market Admin Office (Brgy. Pating),-,-,140000,140000,-,140000,140000,-,-
Economic Development Program,Public Infrastructures,"Irrigation, Canals and Laterals",Construction of Covered Lined Canal at Ibanez Extension (Brgy. Pating),-,-,240000,240000,-,240000,240000,-,-
Economic Development Program,Public Infrastructures,"Irrigation, Canals and Laterals",Construction of Canal Covered Slab at Market Site (Brgy. Pating),-,-,160000,160000,-,155242,155242,4758,-
Economic Development Program,Public Infrastructures,"Irrigation, Canals and Laterals","Construction of Drainage Canal (Purok Bangus, Brgy. Pating)",-,-,120000,120000,-,120000,120000,-,-
Economic Development Program,Public Infrastructures,"Irrigation, Canals and Laterals","Construction of Drainage Canal (Purok Bangkulis, Brgy. Pating)",-,-,220000,220000,-,148750,148750,71250,-
Economic Development Program,Public Infrastructures,"Waterways, Seawalls, Riverwall and Others ","Construction of River Control Dike (Purok Rubia 2, Brgy. Tugbo)",-,-,150000,150000,-,148591,148591,1409,-
Economic Development Program,Public Infrastructures,"Other Public Infrastructures
","Construction of Post Harvest Facility (Solar Dryer, Brgy. Sinalongan)",-,-,500000,500000,-,492426,492426,7574,-
Total Appropriations,Total Appropriations,Total Appropriations,Total Appropriations,Total Appropriations,-,53070928,53070928,-,44789968.61,44789968.61,8280959.39,-
