development_projects_1,development_projects_2,development_projects_3,development_projects_4,status,continuing_appropriations_and_previous_years_balances,current_appropriation,total,expenditures_previous_years_appropriations,expenditures_current,total,balance,remarks
Social Development Program ,Buildings,Other Structures,Construction of Comfort Room (3 Seater Toilet Detached Type) at Asid E/S,-,-,120000,120000,-,0,0,120000,-
Social Development Program ,Buildings,Other Structures,Construction of Perimeter Fence at Bagumbayan Elementary School,-,-,80000,80000,-,0,0,80000,-
Social Development Program ,Buildings,Other Structures,Construction of School Stage at Gov. Rafael Letada Memorial Elem. School (Brgy. Biyong),-,-,350000,350000,-,0,0,350000,-
Social Development Program ,Buildings,Other Structures,Construction of Comfort Room (3 Seater Toilet Detached Type) at Gov. Letada Elementary School (Brgy. Biyong),-,-,120000,120000,-,0,0,120000,-
Social Development Program ,Buildings,Other Structures,"Repair of Day Care Center (Purok 2,Brgy. Cagay)",-,-,80000,80000,-,0,0,80000,-
Social Development Program ,Buildings,Other Structures,Construction of Public Toilet (Brgy. F. Magallanes),-,-,200000,200000,-,0,0,200000,-
Social Development Program ,Buildings,Other Structures,Construction of Perimeter Fence at AAES (Brgy. Kalipay),-,-,1400000,1400000,-,207162.55,207162.55,1192837.45,-
Social Development Program ,Buildings,Other Structures,Construction of Comfort Room at Mapina Elementary School,-,-,120000,120000,-,0,0,120000,-
Social Development Program ,Buildings,Other Structures,"Improvement of Day Care Center (Two-Storey Multi-Purpose Bldg., Brgy. Pating)",-,-,1200000,1200000,-,176228.8,176228.8,1023771.2,-
Social Development Program ,Buildings,Other Structures,Repair of Day Care Center at Sitio Calulod (Brgy. Pawa),-,-,120000,120000,-,0,0,120000,-
Social Development Program ,Buildings,Other Structures,"Construction of Health Center (Purok Sampaguita, Brgy. Tugbo)",-,-,250000,250000,-,0,0,250000,-
Social Development Program ,Buildings,Other Structures,"Repair of Day Care Center (Purok Santan, Brgy. Tugbo)",-,-,120000,120000,-,0,0,120000,-
Social Development Program ,Buildings,Other Structures,Construction of Comfort Room (3 Seater Toilet-Detached Type) at Tugbo E/S,-,-,120000,120000,-,0,0,120000,-
Social Development Program ,Buildings,Other Structures,School Site Improvement (Brgy. Tugbo),-,-,500000,500000,-,0,0,500000,-
Social Development Program ,Buildings,Other Structures,Construction of Comfort Room (3 Seater Toilet-Detached Type) at Usab E/S,-,-,120000,120000,-,0,0,120000,-
Social Development Program ,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations and Conduits","Installation of 4-Units Jetmatic Pumps (Purok 1, 2, 4, and 7, Brgy. Asid)",-,-,90000,90000,-,0,0,90000,-
Social Development Program ,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Construction of Shallow Well (Brgy. Cawayan Exterior),-,-,30000,30000,-,0,0,30000,-
Social Development Program ,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of Shallow Wells (Brgy. Kinamaligan),-,-,75000,75000,-,0,0,75000,-
Social Development Program ,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Construction of Shallow Wells (Brgy. Kinamaligan),-,-,40000,40000,-,0,0,40000,-
Social Development Program ,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of Water System (Brgy. Maingaran),-,-,30000,30000,-,0,0,30000,-
Social Development Program ,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Construction of Shallow Well (Brgy. Maingaran),-,-,30000,30000,-,0,0,30000,-
Social Development Program ,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Construction of Shallow Well (Brgy. Mapina),-,-,30000,30000,-,0,0,30000,-
Social Development Program ,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of Shallow Wells (Brgy. Usab),-,-,150000,150000,-,0,0,150000,-
Social Development Program ,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Construction of Shallow Well (Brgy. Ubungan Dacu),-,-,30000,30000,-,0,0,30000,-
Economic Development Program ,"Land, Land Improvement",Land,Solid Waste Facility,-,-,12000000,12000000,-,-,-,12000000,-
Economic Development Program ,Buildings,Office Buildings,Construction of Multi-Purpose Hall (Brgy. Anas),-,-,600000,600000,-,0,0,600000,-
Economic Development Program ,Buildings,Office Buildings,Construction of Multi-Purpose Hall (Brgy. Centro),-,-,750000,750000,-,0,0,750000,-
Economic Development Program ,Buildings,Office Buildings,Construction or Extension of 1-2 Storey Market Administrative Office (Brgy. Pating),-,-,650000,650000,-,0,0,650000,-
Economic Development Program ,Buildings,Office Buildings,Construction or Extension of 1-2 Storey PNP Sub-Station Office at Market Site (Pating),-,-,340960,340960,-,0,0,340960,-
Economic Development Program ,Buildings,Office Buildings,Additional Fund for GSO Building,-,-,4000000,4000000,-,0,0,4000000,-
Economic Development Program ,Buildings,Other Structures,Repair of Public Market (Brgy. Bolo),-,-,200000,200000,-,0,0,200000,-
Economic Development Program ,Buildings,Other Structures,Construction of Multi-Purpose Project or Solar Dryer at Delos Reyes E or S (Brgy. Pating),-,-,180000,180000,-,0,0,180000,-
Economic Development Program ,Buildings,Other Structures,Rehabilitation of Roofing of Covered Arcade at Ibanez Extension (Brgy. Pating),-,-,150000,150000,-,0,0,150000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges","Construction of Concrete Footbridge(Purok 5, Brgy. Bagumbayan)",-,-,200000,200000,-,0,0,200000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges","Construction of Concrete Footbridge (Purok 6, Brgy. Bagumbayan)",-,-,200000,200000,-,0,0,200000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Rehabilitation of Existing Footbridge (Installation of Railings),-,-,1600000,1600000,-,652158.93,652158.93,947841.07,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Road Opening from National Road toBayombon High School,-,-,60000,60000,-,0,0,60000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Widening of School Access Road of Gov. Rafael Letada Memorial E/S (Brgy. Biyong),-,-,2000000,2000000,-,298043.73,298043.73,2000000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges","Construction of Footbridge (Purok 6, Brgy. Cagay)",-,-,200000,200000,-,0,0,200000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges","Construction of Footbridge (Purok 6, Brgy. Cagay)",-,-,300000,300000,-,0,0,300000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Rehabilitation of Briz Street (Brgy. Centro),-,-,-,-,-,-,-,-,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Rehabilitation of Corpuz Street (Brgy. Centro),-,-,500000,500000,-,0,0,500000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges","Construction of Concrete Footbridge (Purok 1, Brgy. Mapina)",-,-,250000,250000,-,0,0,250000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges","Construction of Concrete Footbridge (Purok 1, Brgy. Mapina)",-,-,200000,200000,-,0,0,200000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Rehabilitation of Almero St. (Brgy. Ibingay),-,-,-,-,-,-,-,-,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Rehabilitation of Pathway besides PLDT (Brgy. Ibingay),-,-,500000,500000,-,0,0,500000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Rehabilitation of Pathway besides PLDT (Brgy. Ibingay),-,-,100000,100000,-,0,0,100000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Rehabilitation of Navarro Subdivision Road (Brgy. Ibingay),-,-,150000,150000,-,0,0,150000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges","Road Opening (Sitio Sampalok, Brgy. Malinta)",-,-,-,-,-,-,-,-,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges","Construction of Concrete Footbridge (Purok 1, Brgy. Mapina)",-,-,1000000,1000000,-,144816.49,144816.49,855183.51,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges","Construction of Concrete Footbridge (Purok 1, Brgy. Mapina)",-,-,60000,60000,-,0,0,60000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Concreting of Road 1 back of Market Admin Office (Brgy. Pating),-,-,-,-,-,-,-,-,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Concreting of Road 2 infront of Market Admin Office (Brgy. Pating),-,-,480000,480000,-,0,0,480000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Construction of Concrete Footbridge at Sitio Guwaan (Brgy. Pawa),-,-,450000,450000,-,0,0,450000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges","Construction of Concrete Footbridge (Sitio Ilawod, Brgy. Pawa)",-,-,280000,280000,-,0,0,280000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges","Construction of Concrete Footbridge (Sitio Ilawod, Brgy. Pawa)",-,-,280000,280000,-,0,0,280000,-
Economic Development Program ,Public Infrastructures,"Roads, Highways and Bridges",Rehabilitation of Coastal Road (Brgy. Ubungan Dacu),-,-,3624968,3624968,-,2187652.78,2187652.78,1437315.22,-
Economic Development Program ,Public Infrastructures,"Parks, Plazas and Monuments",Improvement of Barangay Plaza (Brgy. F. Magallanes),-,-,1000000,1000000,-,0,0,1000000,-
Economic Development Program ,Public Infrastructures,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Construction of Cross Drain Pipe from Dela Rosa residence to Tahoma Residence (Brgy. Bapor),-,-,200000,200000,-,-,0,200000,-
Economic Development Program ,Public Infrastructures,"Irrigation, Canals and Laterals",Widening of Road and Construction of Lined Canal at Osmena Street (Brgy. Bapor),-,-,1400000,1400000,-,0,0,1400000,-
Economic Development Program ,Public Infrastructures,"Irrigation, Canals and Laterals",Widening of Road and Construction of Lined Canal at Osmena Street (Brgy. Bapor),-,-,500000,500000,-,0,0,500000,-
Economic Development Program ,Public Infrastructures,"Irrigation, Canals and Laterals",Construction of Irrigation System (Brgy. Igang),-,-,-,-,-,-,-,0,-
Economic Development Program ,Public Infrastructures,"Irrigation, Canals and Laterals",Construction of Covered Lined Canal back of Market Admin Office (Brgy. Pating),-,-,140000,140000,-,0,0,140000,-
Economic Development Program ,Public Infrastructures,"Irrigation, Canals and Laterals",Construction of Covered Lined Canal at Ibanez Extension (Brgy. Pating),-,-,240000,240000,-,0,0,240000,-
Economic Development Program ,Public Infrastructures,"Irrigation, Canals and Laterals",Construction of Canal Covered Slab at Market Site (Brgy. Pating),-,-,160000,160000,-,0,0,160000,-
Economic Development Program ,Public Infrastructures,"Irrigation, Canals and Laterals","Construction of Drainage Canal (Purok Bangus, Brgy. Pating)",-,-,120000,120000,-,0,0,120000,-
Economic Development Program ,Public Infrastructures,"Irrigation, Canals and Laterals","Construction of Drainage Canal (Purok Bangus, Brgy. Pating)",-,-,220000,220000,-,0,0,220000,-
Economic Development Program ,Public Infrastructures,"Irrigation, Canals and Laterals","Construction of Drainage Canal (Purok Bangkulis, Brgy. Pating)",-,-,-,-,-,-,-,-,-
Economic Development Program ,Public Infrastructures,"Waterways, Seawalls, Riverwall and Others","Construction of River Control Dike (Purok Rubia 2, Brgy. Tugbo)",-,-,150000,150000,-,-,0,150000,-
Economic Development Program ,Public Infrastructures,Other Public Infrastructures,"Construction of Post Harvest Facility (Solar Dryer, Brgy. Sinalongan)",-,-,500000,500000,-,0,0,500000,-
 Total Appropriations, Total Appropriations, Total Appropriations, Total Appropriations, Total Appropriations, Total Appropriations,53070928,53070928,-,5919835.64,5919835.64,47151092.36,-
