particulars_1,particulars_2,particulars_3,ldrrmf_quick_response_fund_ 30_percent,ldrrmf_mitigation_fund_70_percent_mooe,ldrrmf_mitigation_fund_70_percent_capital_outlay,ndrrmf,from_other_lgus,from_other_sources,total,remarks,,
Utilization,Trust Fund CY 2012,"Construction of Oslao Slope Protection, San Francisco",-,-, - ,-,-,-, -   ,-,,
Utilization,Trust Fund CY 2012,Mainstreaming of DRR CCA in Local Plan - Training Expenses,-, - ,1071459.65,-,-,-,1071459.65,-,,
Utilization,Trust Fund CY 2012,Mainstreaming of DRR CCA in Local Plan - Travelling Expenses,-, - ,12914,-,-,-,12914,-,,
Utilization,Trust Fund CY 2012,"Improvement of Capitol Retaining Wall, Surigao City",-,-,-,-,-,-, -   ,-,,
Utilization,Trust Fund CY 2011,"Highway Junction-Malinao Road,  Phase 1 (Gen. Luna)",-, - ,784940.95,-,-,-,784940.95,-,,
Utilization,Trust Fund CY 2011,Jubgan Bridge (San Francisco),-, - ,5429451.22,-,-,-,5429451.22,-,,
Utilization,Trust Fund CY 2011,Bioborjan Bridge (San Francisco),-, - ,4139.5,-,-,-,4139.5,-,,
Utilization,Trust Fund CY 2011,Anislagan Bridge (Placer),-, - ,798001.95,-,-,-,798001.95,-,,
Utilization,Trust Fund CY 2011,Tag-ayan Bridge (Mainit),-, - ,529139.7,-,-,-,529139.7,-,,
Utilization,Trust Fund CY 2011,Tagana-an Bridge (Tagana-an),-, - ,296000,-,-,-,296000,-,,
Utilization,Trust Fund CY 2011,Anaoaon-Malimono Rd./Cantapoy-Pili Rd. /Duncella Br (Cluster),-, - ,2224804.56,-,-,-,2224804.56,-,,
Utilization,Trust Fund CY 2011,Campo-Payapag-Little Baguio Road /Mahanub-Puyawon Road/Marga-Capayahan (cluster),-, - ,2321155.15,-,-,-,2321155.15,-,,
Utilization,Trust Fund CY 2011,Others - PSSO-Relief Goods     ,-, - , - ,-,-,-, -   ,-,,
Utilization,Trust Fund CY 2011,Others - PHO-Drugs and Medicine,-,2504143.75, - ,-,-,-,2504143.75,-,,
Utilization,Trust Fund CY 2011,Others - Agri-Crops/Fishery/Biologics,-,725603.05, - ,-,-,-,725603.05,-,,
Utilization,Trust Fund CY 2011,Others - PEO-Fuel,-,981552, - ,-,-,-,981552,-,,
Utilization,Trust Fund CY 2011,Others - PEO-Spare parts,-,1222820.64, - ,-,-,-,1222820.64,-,,
Utilization,Trust Fund CY 2011,Others - PEO-Supplies for documentation,-,1179830, - ,-,-,-,1179830,-,,
Utilization,Trust Fund CY 2011,Others - PEO-Overtime,-,98430.27, - ,-,-,-,98430.27,-,,
Utilization,Repair/Improvement of Infrastructure,"Repair of Baybay-Matin-ao Road, Burgos",-,249235.15, - ,-,-,-,249235.15,-,,
Utilization,Repair/Improvement of Infrastructure,"Repair of Baybay-Matin-ao Road, Burgos",-,-,933544.03,-,-,-,933544.03,-,,
Utilization,Repair/Improvement of Infrastructure,"Repair of Consuelo-Corazon Sta. Cruz Road, General Luna",-, - ,1472369.5,-,-,-,1472369.5,-,,
Utilization,Repair/Improvement of Infrastructure,"Repair of Claver - Sapa Road, Claver",-, - ,1971464.91,-,-,-,1971464.91,-,,
Utilization,Repair/Improvement of Infrastructure,Rehabilitation Roxas-Libertad Road,-, - ,685266.05,-,-,-,685266.05,-,,
Utilization,Repair/Improvement of Infrastructure,Rehabilitation Antipolo-Mabini Road,-, - ,889357.55,-,-,-,889357.55,-,,
Utilization,Repair/Improvement of Infrastructure,Rehabilitation Nuevo Campo-Sn Benito Road,-, - ,488741.9,-,-,-,488741.9,-,,
Utilization,Repair/Improvement of Infrastructure,Rehabilitation Magtangale Feeder Road (San Francisco),-, - ,481374.58,-,-,-,481374.58,-,,
Utilization,Repair/Improvement of Infrastructure,"Rehabilitation Alipao CIS, Alegria SDN",-, - ,979218.21,-,-,-,979218.21,-,,
Utilization,Total Utilization,Total Utilization,-,8283697.2,27759194.4, -   , -   , -   ,36042891.6,-,,
Unutilized Balance,Unutilized Balance,Unutilized Balance, -   ,11482516.3,24224790.56,-,-,-,35707306.86,-,,
