particulars_1,particulars_2,particulars_3,ldrrmf_quick_response_fund_ 30_percent,ldrrmf_mitigation_fund_70_percent_mooe,ldrrmf_mitigation_fund_70_percent_capital_outlay,ndrrmf,from_other_lgus,from_other_sources,total,remarks
Utilization,Trust Fund CY 2011,Others - Agri-Crops/Fishery/Biologics,-,981552,-,-,-,-,-,-
Utilization,Trust Fund CY 2011,Others - PEO-Fuel,-,1222820.64,-,-,-,-,-,-
Utilization,Trust Fund CY 2011,Others - PEO-Spare parts,-,1179830,-,-,-,-,-,-
Utilization,Trust Fund CY 2011,Others - PEO-Supplies for documentation,-,98430.27,-,-,-,-,-,-
Utilization,Trust Fund CY 2011,Others - PEO-Overtime,-,249235.15,-,-,-,-,-,-
Utilization,Repair/Improvement of Infrastructure,"Repair of Baybay-Matin-ao Road, Burgos",-,-,933544.03,-,-,-,933544.03,-
Utilization,Repair/Improvement of Infrastructure,"Repair of Consuelo-Corazon Sta. Cruz Road, General Luna",-,-,1472369.5,-,-,-,1472369.5,-
Utilization,Repair/Improvement of Infrastructure,"Repair of Claver - Sapa Road, Claver",-,-,1971464.91,-,-,-,1971464.91,-
Utilization,Repair/Improvement of Infrastructure,Rehabilitation Roxas-Libertad Road,-,-,685266.05,-,-,-,685266.05,-
Utilization,Repair/Improvement of Infrastructure,Rehabilitation Antipolo-Mabini Road,-,-,889357.55,-,-,-,889357.55,-
Utilization,Repair/Improvement of Infrastructure,Rehabilitation Nuevo Campo-Sn Benito Road,-,-,488741.9,-,-,-,488741.9,-
Utilization,Repair/Improvement of Infrastructure,Rehabilitation Magtangale Feeder Road (San Francisco),-,-,481374.58,-,-,-,481374.58,-
Utilization,Repair/Improvement of Infrastructure,"Rehabilitation Alipao CIS, Alegria SDN",-,-,979218.21,-,-,-,979218.21,-
Utilization,Total Utilization,Total Utilization,-,7893798.2,27759194.4,0,0,0,35652992.6,-
Unutilized Balance,Unutilized Balance,Unutilized Balance,-,9236204.47,26838551.39,-,-,-,36074755.86,-
