function_or_program_or_project_or_activity_1,function_or_program_or_project_or_activity_2,account_code,appropriation,allotment,obligation,balance_of_appropriations,balance_of_allotments
"Completion of Multi-Purpose Covered Court, Barangay Anomar","Construction of MTP Covered Court, Barangay Anomar Capital Outlay",2303Kj,397701.05,397701.05,397701.05,0,0
"Completion of Multi-Purpose Covered Court, Barangay Anomar",Construction of Covered Court at Barangay Rizal National High School - Capital Outlay,2303Kp,352929.28,352929.28,0,0,352929.28
Water System - Capital Outlay,Water System - Capital Outlay,2304,350000,217500,85885,132500,131615
Garbage or Sanitary Landfill - ,Garbage or Sanitary Landfill - ,2306,-,-,-,-,-
Garbage or Sanitary Landfill - ,"Sur. City Waste Treatment Facility, Sanitary Landfill Site Management Operation - Maintenance and Other Operating Expenses",2306h,1500000,0,0,1500000,0
Others ,Others ,2399,-,-,-,-,-
"Maintenance of Purok 3 Farm to Market Road, Barangay Poctoy","Maintenance of Purok 3 Farm to Market Road, Barangay Poctoy",2399h,-,-,-,-,-
"Maintenance of Purok 3 Farm to Market Road, Barangay Poctoy","Integrated Forest, Riverbank, Coastal Development and Management Project -Maintenance and Other Operating Expenses",2399hb,1500000,0,0,1500000,0
Fabrication or Installation of Street Lighting at Bioborjan - ,Fabrication or Installation of Street Lighting at Bioborjan - ,2399n,-,-,-,-,-
Fabrication or Installation of Street Lighting at Bioborjan - ,Installation and Repair of Street or Sodium Lights-Capital Outlay,2399nb,2500000,2200000,0,300000,2200000
Unprogrammed ,Unprogrammed ,2999,-,-,-,-,-
Unprogrammed ,LGU-Counterpart for Gem-USAID Projects -Capital Outlay,2999C,500000,0,0,500000,0
Unprogrammed ,LGU-Equity for the Operation of City MRDP Project - Maintenance and Other Operating Expenses,2999e,3500000,875000,0,2625000,875000
Unprogrammed ,Impementation of Land Administration and Management Project-Maintenance and Other Operating Expenses ,2999h,500000,125000,0,375000,125000
Unprogrammed ,Installation of Signages to all Tourism or Scenic Spots In the City-Maintenance and Other Operating Expenses,2999I,150000,0,0,150000,0
Unprogrammed ,Barangay Digital Cadastral Map Development-Maintenance and Other Operating Expenses,2999j,250000,125000,9239,125000,115761
Housing and Community Development,Housing and Community Development,6000,-,-,-,-,-
Sanitary Services,Sanitary Services,6520,-,-,-,-,-
Solid Waste Management-Maintenance and Other Operating Expenses,Solid Waste Management-Maintenance and Other Operating Expenses,6524,400000,100000,57096.63,300000,42903.37
Maintenance of Sanitary Landfill - Maintenance and Other Operating Expenses,Maintenance of Sanitary Landfill - Maintenance and Other Operating Expenses,6525,1850000,837500,797828.26,1012500,39671.74
Community Development ,Community Development ,6540,-,-,-,-,-
Zoning Board (Land Use) ,Zoning Board (Land Use) ,6542,-,-,-,-,-
Zoning Board (Land Use) ,Mass Land Titling Program - Maintenance and Other Operating Expenses,6542d,500000,125000,0,375000,125000
Economic Services,Economic Services,8000,-,-,-,-,-
Economic Services,Livelihood Skill and Productivity Program-Maintenance and Other Operating Expenses ,8970,2800000,700000,270583.69,2100000,429416.31
Other Purposes ,Other Purposes ,9000,-,-,-,-,-
Miscellaneous Other Purposes ,Miscellaneous Other Purposes ,9900,-,-,-,-,-
"Contributions to Non-Government Entities, Not Elsewhere Classified","Contributions to Non-Government Entities, Not Elsewhere Classified",9907,-,-,-,-,-
"Contributions to Non-Government Entities, Not Elsewhere Classified",Community Based Monitoring System-Maintenance and Other Operating Expenses,9907y,500000,125000,35944.85,375000,89055.15
