function_or_program_or_project_or_activity_1,function_or_program_or_project_or_activity_2,account_code,appropriation,allotment,obligation,balance_of_appropriations,balance_of_allotments
Buildings ,Installation of Docking Facilities at Surigao River-Capital Outlay,2303bT,100000,100000,0,0,100000
Buildings ,Construction of Health Center-Capital Outlay,2303c,725000,362500,78973.65,362500,283526.35
Buildings ,Construction or Repair Of Day Care Center-Capital Outlay,2303d,500000,500000,354305,0,145695
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay","Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay",2303df,-,-,-,-,-
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay",Barangay Rizal Day Care Center-Capital Outlay,2303dfA,250000,0,0,250000,0
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay",Renovation of Day Care Center at Barangay Balibayon-Capital Outlay ,2303dH,250000,0,0,250000,0
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay",Construction of Day Care Center at Barangay Cagniog-Capital Outlay,2303dI,250000,0,0,250000,0
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay",Renovation of Day Care Center at Barangay Capalayan-Capital Outlay,2303dj,250000,250000,228490.73,0,21509.27
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay",Construction of Day Care Center at Barangay Day-Asan-Capital Outlay,2303dk,250000,250000,206681,0,43319
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay","Construction of Day Care Center at Sitio Panubigon, Barangay Lipata-Capital Outlay",2303dl,250000,0,0,250000,0
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay",Construction of Day Care Center at Barangay Nabago-Capital Outlay,2303dm,250000,250000,243681.5,0,6318.5
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay",Construction of Day Care Center at Barangay Orok-Capital Outlay,2303dn,250000,250000,176033,0,73967
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay",Construction of Day Care Center at Barangay San Juan -Capital Outlay ,2303do,250000,250000,183753.97,0,66246.03
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay",Renovation and Expansion of Day Care Center Barangay San Pedro -Capital Outlay ,2303dp,250000,0,0,250000,0
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay",Construction of Day Care Center Barangay Talisay- Capital Outlay,2303dq,250000,250000,133471,0,116529
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay","Repair of Day Careneter 1 and 11 Bagong Silang, Barangay Washington- Capital Outlay",2303dR,250000,0,0,250000,0
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay","Construction, Completion or Repair and Improvement of Government and Other Public Buildings-Capital Outlay ",2303e,500000,500000,165738.21,0,334261.79
"Construction of Multi-Purpose Covered Court, Barangay Mat-I National High School","Construction of Multi-Purpose Covered Court, Barangay Mat-I National High School",2303j,-,-,-,-,-
"Construction of Multi-Purpose Covered Court, Barangay Mat-I National High School","Flooring of Covered Court, Barangay San Pedo -Capital Outlay", 2303jf,293145.75,293145.75,0,0,293145.75
"Construction of Multi-Purpose Covered Court, Barangay Mat-I National High School","Construction of Covered Court, Sitio Kabugwason, Barangay Ipil -Capital Outlay ",2303jg,331792.58,331792.58,331792.58,0,0
"Completion of Multi-Purpose Covered Court, Barangay Anomar","Completion of Multi-Purpose Covered Court, Barangay Anomar",2303k,-,-,-,-,-
"Completion of Multi-Purpose Covered Court, Barangay Anomar","Completion of Covered Court, Orok Elementary School -Capital Outlay ",2303ki,226323.06,0,0,226323.06,0
"Completion of Multi-Purpose Covered Court, Barangay Anomar","Construction of MTP Covered Court, Barangay Anomar Capital Outlay",2303kJ,397701.05,397701.05,397701.05,0,0
"Completion of Multi-Purpose Covered Court, Barangay Anomar",Construction of Covered Court at Barangay Rizal National High School - Capital Outlay,2303kP,352929.28,352929.28,352929.28,0,0
Water System - Capital Outlay,Water System - Capital Outlay,2304,350000,350000,309554.3,0,40445.7
Garbage or Sanitary Landfill,Garbage or Sanitary Landfill,2306,-,-,-,-,-
"Sur. City Waste Treatment Facility, Sanitary Landfill Site Management Operation - Maintenance and Other Operating Expenses","Sur. City Waste Treatment Facility, Sanitary Landfill Site Management Operation - Maintenance and Other Operating Expenses",2306h,1500000,0,0,1500000,0
Others ,Others ,2399,-,-,-,-,-
"Maintenance of Purok 3 Farm to Market Road, Barangay Poctoy","Maintenance of Purok 3 Farm to Market Road, Barangay Poctoy",2399h,-,-,-,-,-
"Maintenance of Purok 3 Farm to Market Road, Barangay Poctoy","Integrated Forest, Riverbank, Coastal Development and Management Project -Maintenance and Other Operating Expenses",2399hb,1500000,0,0,1500000,0
Fabrication or Installation of Street Lighting at Bioborjan - ,Fabrication or Installation of Street Lighting at Bioborjan - ,2399n,-,-,-,-,-
Fabrication or Installation of Street Lighting at Bioborjan - ,Installation and Repair of Street or Sodium Lights-Capital Outlay,2399nb,2500000,2375000,2304705,125000,70295
Unprogrammed ,Unprogrammed ,2999,-,-,-,-,-
Unprogrammed ,LGU-Counterpart for Gem-USAID Projects -Capital Outlay,2999C,500000,0,0,500000,0
Unprogrammed ,LGU-Equity for the Operation of City MRDP Project - Maintenance and Other Operating Expenses,2999e,3500000,875000,0,2625000,875000
Unprogrammed ,Impementation of Land Administration and Management Project-Maintenance and Other Operating Expenses ,2999h,500000,500000,154176.9,0,345823.1
Unprogrammed ,Installation of Signages to all Tourism or Scenic Spots In the City-Maintenance and Other Operating Expenses,2999i,150000,150000,59800,0,90200
Unprogrammed ,Barangay Digital Cadastral Map Development-Maintenance and Other Operating Expenses,2999j,250000,125000,56093.29,0,90200
Housing and Community Development,Housing and Community Development,6000,-,-,-,-,-
Sanitary Services,Sanitary Services,6520,-,-,-,-,-
Sanitary Services,Solid Waste Management-Maintenance and Other Operating Expenses,6524,400000,300000,264605.7,100000,35394.3
Sanitary Services,Maintenance of Sanitary Landfill - Maintenance and Other Operating Expenses,6525,1850000,1337500,1290568.27,512500,46931.73
Community Development ,Community Development ,6540,-,-,-,-,-
Zoning Board (Land Use) ,Zoning Board (Land Use) ,6542,-,-,-,-,-
Zoning Board (Land Use) ,Mass Land Titling Program - Maintenance and Other Operating Expenses,6542d,500000,125000,45000,375000,80000
Economic Services,Economic Services,8000,-,-,-,-,-
Economic Services,Livelihood Skill and Productivity Program-Maintenance and Other Operating Expenses ,8970,2800000,700000,466635.72,2100000,233364.28
Other Purposes ,Other Purposes ,9000,-,-,-,-,-
Miscellaneous Other Purposes ,Miscellaneous Other Purposes ,9900,-,-,-,-,-
"Contributions to Non-Government Entities, Not Elsewhere Classified","Contributions to Non-Government Entities, Not Elsewhere Classified",9907,-,-,-,-,-
"Contributions to Non-Government Entities, Not Elsewhere Classified",Community Based Monitoring System-Maintenance and Other Operating Expenses,9907y,500000,275000,131653.61,225000,143346.39
