function_or_program_or_project_or_activity_1,function_or_program_or_project_or_activity_2,account_code,appropriation,allotment,obligation,balance_of_appropriations,balance_of_allotments
Extension and On-Site Research Services ,Extension and On-Site Research Services ,2111,-,-,-,-,-
Extension and On-Site Research Services ,Extension Research and Institutional Support Services-Maintenance and Other Operating Expenses,2111M,500000,125000,79680,375000,45320
Rural Livelihood Financial Support,Rural Livelihood Financial Support,2112,-,-,-,-,-
Rural Livelihood Financial Support,Cooperative Development-Maintenance and Other Operating Expenses,2112B,0,0,0,0,0
Rural Livelihood Financial Support,Micro-Enterprise Development -Maintenance and Other Operating Expenses,2112F,300000,300000,158812,0,141188
Livestock Development ,Livestock Development ,2113,-,-,-,-,-
Livestock Development ,"Artificial Insemination and Natural Breed Services For Cattle, Carabao-Maintenance and Other Operating Expenses",2113C,650000,362500,169013.12,287500,193486.88
Livestock Development ,Animal Production-Maintenance and Other Operating Expenses,2113F ,600000,350000,186996,250000,163004
Livestock Development ,Animal Health Promotion and Disease Control-Maintenance and Other Operating Expenses ,2113G,1200000,600000,272713.07,600000,327286.93
Others,Others,2199,-,-,-,-,-
Others,LGU - Equity of DAR or Spot Projects-Maintenance and Other Operating Expenses,2199M,350000,110000,88843.25,240000,21156.75
Others,Local Countryside Development Program-Capital Outlay,2199N,0,0,0,0,0
Others,Infrastructure Development Support Project-Capital Outlay,2199Na,1793987.37,1793987.37,804707.59,0,989279.78
Veterinary Support Program,Veterinary Support Program,2200,-,-,-,-,-
Veterinary Support Program,Meat Processing Project-Maintenance and Other Operating Expenses,2201,250000,62500,26014.41,187500,36485.59
Infra Programs,Infra Programs,2300,-,-,-,-,-
Roads and Bridges ,Roads and Bridges ,2301,-,-,-,-,-
Barangay Infrastructure Development Programs or Projects-Capital Outlay ,Barangay Infrastructure Development Programs or Projects-Capital Outlay ,23012,4300000,2075000,1194317.49,2225000,880682.51
Barangay Infrastructure Development Programs or Projects-Capital Outlay ,Maintenance of Barangay Roads and Bridges-Maintenance and Other Operating Expenses,2301C,2500000,1500000,1093232.31,1000000,406767.69
Barangay Infrastructure Development Programs or Projects-Capital Outlay ,"Construction of Road at Interior P. Reyes Extension Phase I, Barangay Taft-Capital Outlay",2301cD,500000,0,0,500000,0
Barangay Infrastructure Development Programs or Projects-Capital Outlay ,Construction of Nueva Street to Espina Road Phase II-Capital Outlay,2301cg,850000,0,0,850000,0
Barangay Infrastructure Development Programs or Projects-Capital Outlay ,Construction of Road at Interior P. Reyes Extension Phase III-Capital Outlay,2301ch,850000,0,0,850000,0
"Repair and Regraving of Tunga-Tunga Road to Dumping Site Road, Barangay Silop","Repair and Regraving of Tunga-Tunga Road to Dumping Site Road, Barangay Silop",2301e,-,-,-,-,-
"Repair and Regraving of Tunga-Tunga Road to Dumping Site Road, Barangay Silop","Concreting of Barangay Road, Purok 4 Barangay Silop-Capital Outlay",2301ec,300000,0,0,300000,0
"Repair and Regraving of Tunga-Tunga Road to Dumping Site Road, Barangay Silop","Concreting of Barangay Road, Barangay Alegria-Capital Outlay",2301ed,449000,0,0,449000,0
"Concreting of Kaskag Roads, Barangay Washington","Concreting of Kaskag Roads, Barangay Washington",2301f,-,-,-,-,-
"Concreting of Kaskag Roads, Barangay Washington",Improvement of Access Road towards Landfill Site Phase I-Capital Outlay,2301fp,2000000,0,0,2000000,0
Repair and Regraving of Canlanipa to Nueva Street Barangay Canlanipa ,Repair and Regraving of Canlanipa to Nueva Street Barangay Canlanipa ,2301gn,-,-,-,-,-
Repair and Regraving of Canlanipa to Nueva Street Barangay Canlanipa ,"Construction and Imprvement of Estero, Canlanipa Homes-Capital Outlay",2301gn,109550.21,0,0,109550.21,0
Drainage,Drainage,2302,-,-,-,-,-
Drainage,"Construction, Repair or Improvement of San Juan Drainage- Capital Outlay",2302b,500000,0,0,500000,0
Drainage,"Construction, Improvement or Rehabilitation of City Drainage-Capital Outlay",2302c,1125000,1125000,427344.77,0,697655.23
Buildings ,Buildings ,2303,-,-,-,-,-
Buildings ,Construction of 3 Storey Government Building,2303b,-,-,-,-,-
Buildings ,Improvement of the City Tourism Assistance Center- Capital Outlay,2303bq,100000,0,0,100000,0
Buildings ,"Construction of Tourism Pavilion, Barangay Day-Asan-Capital Outlay",2303bR,500000,500000,367120,0,132880
Buildings ,Construction and Repair of Barangay Zaragosa Bahay Tourista-Capital Outlay,2303bs,700000,0,0,700000,0
Buildings ,Construction of Health Center-Capital Outlay,2303c,725000,362500,78973.65,362500,283526.35
Buildings ,Construction or Repair Of Day Care Center-Capital Outlay,2303d,500000,200000,57125,300000,142875
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay","Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay",2303df,-,-,-,-,-
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay",Barangay Rizal Day Care Center-Capital Outlay,2303dfA,250000,0,0,250000,0
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay",Renovation of Day Care Center at Barangay Balibayon-Capital Outlay ,2303dH,250000,0,0,250000,0
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay",Construction of Day Care Center at Barangay Cagniog-Capital Outlay,2303dI,250000,0,0,250000,0
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay",Renovation of Day Care Center at Barangay Capalayan-Capital Outlay,2303dj,250000,250000,171142.65,0,78857.35
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay",Construction of Day Care Center at Barangay Day-Asan-Capital Outlay,2303dk,250000,0,0,250000,0
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay","Construction of Day Care Center at Sitio Panubigon, Barangay Lipata-Capital Outlay",2303dl,250000,0,0,250000,0
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay",Construction of Day Care Center at Barangay Nabago-Capital Outlay,2303dm,250000,250000,243681.5,0,6318.5
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay",Construction of Day Care Center at Barangay Orok-Capital Outlay,2303dn,250000,0,0,250000,0
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay",Construction of Day Care Center at Barangay San Juan -Capital Outlay ,2303do,250000,0,0,250000,0
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay",Renovation and Expansion of Day Care Center Barangay San Pedro -Capital Outlay ,2303dp,250000,0,0,250000,0
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay",Construction of Day Care Center Barangay Talisay- Capital Outlay,2303dq,250000,0,0,250000,0
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay","Repair of Day Careneter 1 and 11 Bagong Silang, Barangay Washington- Capital Outlay",2303dR,250000,0,0,250000,0
"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay","Construction, Completion or Repair and Improvement of Government and Other Public Buildings-Capital Outlay ",2303e,500000,500000,129728.21,0,370271.79
"Construction of Multi-Purpose Covered Court, Barangay Mat-I National High School","Construction of Multi-Purpose Covered Court, Barangay Mat-I National High School",2303j,-,-,-,-,-
"Construction of Multi-Purpose Covered Court, Barangay Mat-I National High School","Flooring of Covered Court, Barangay San Pedo -Capital Outlay", 2303jf,293145.75,293145.75,0,0,293145.75
"Construction of Multi-Purpose Covered Court, Barangay Mat-I National High School","Construction of Covered Court, Sitio Kabugwason, Barangay Ipil -Capital Outlay ",2303jg,331792.58,331792.58,331792.58,0,0
"Completion of Multi-Purpose Covered Court, Barangay Anomar","Completion of Multi-Purpose Covered Court, Barangay Anomar",2303k,-,-,-,-,-
"Completion of Multi-Purpose Covered Court, Barangay Anomar","Completion of Covered Court, Orok Elementary School -Capital Outlay ",2303ki,226323.06,0,0,226323.06,0
"Completion of Multi-Purpose Covered Court, Barangay Anomar","Construction of MTP Covered Court, Barangay Anomar Capital Outlay",2303kJ,397701.05,397701.05,397701.05,0,0
"Completion of Multi-Purpose Covered Court, Barangay Anomar",Construction of Covered Court at Barangay Rizal National High School - Capital Outlay,2303kP,352929.28,352929.28,352929.28,0,0
Water System - Capital Outlay,Water System - Capital Outlay,2304,350000,217500,194630.3,132500,22869.7
Garbage or Sanitary Landfill,Garbage or Sanitary Landfill,2306,-,-,-,-,-
"Sur. City Waste Treatment Facility, Sanitary Landfill Site Management Operation - Maintenance and Other Operating Expenses","Sur. City Waste Treatment Facility, Sanitary Landfill Site Management Operation - Maintenance and Other Operating Expenses",2306h,1500000,0,0,1500000,0
Others ,Others ,2399,-,-,-,-,-
"Maintenance of Purok 3 Farm to Market Road, Barangay Poctoy","Maintenance of Purok 3 Farm to Market Road, Barangay Poctoy",2399h,-,-,-,-,-
"Maintenance of Purok 3 Farm to Market Road, Barangay Poctoy","Integrated Forest, Riverbank, Coastal Development and Management Project -Maintenance and Other Operating Expenses",2399hb,1500000,0,0,1500000,1500000
Fabrication or Installation of Street Lighting at Bioborjan - ,Fabrication or Installation of Street Lighting at Bioborjan - ,2399n,-,-,-,-,-
Fabrication or Installation of Street Lighting at Bioborjan - ,Installation and Repair of Street or Sodium Lights-Capital Outlay,2399nb,2500000,2200000,"2,134.800.00",300000,65200
Unprogrammed ,Unprogrammed ,2999,-,-,-,-,-
Unprogrammed ,LGU-Counterpart for Gem-USAID Projects -Capital Outlay,2999C,500000,0,0,500000,0
Unprogrammed ,LGU-Equity for the Operation of City MRDP Project - Maintenance and Other Operating Expenses,2999e,3500000,875000,0,2625000,875000
Unprogrammed ,Impementation of Land Administration and Management Project-Maintenance and Other Operating Expenses ,2999h,500000,125000,49998,375000,75002
Unprogrammed ,Installation of Signages to all Tourism or Scenic Spots In the City-Maintenance and Other Operating Expenses,2999i,150000,150000,59800,0,90200
Unprogrammed ,Barangay Digital Cadastral Map Development-Maintenance and Other Operating Expenses,2999j,250000,125000,56093.29,125000,68906.71
Housing and Community Development,Housing and Community Development,6000,-,-,-,-,-
Sanitary Services,Sanitary Services,6520,-,-,-,-,-
Sanitary Services,Solid Waste Management-Maintenance and Other Operating Expenses,6524,400000,250000,154523.2,150000,95476.8
Sanitary Services,Maintenance of Sanitary Landfill - Maintenance and Other Operating Expenses,6525,1850000,1337500,1046165.23,512500,291334.77
Community Development ,Community Development ,6540,-,-,-,-,-
Zoning Board (Land Use) ,Zoning Board (Land Use) ,6542,-,-,-,-,-
Zoning Board (Land Use) ,Mass Land Titling Program - Maintenance and Other Operating Expenses,6542d,500000,125000,45000,375000,80000
Economic Services,Economic Services,8000,-,-,-,-,-
Economic Services,Livelihood Skill and Productivity Program-Maintenance and Other Operating Expenses ,8970,2800000,700000,466635.72,2100000,233364.28
Other Purposes ,Other Purposes ,9000,-,-,-,-,-
Miscellaneous Other Purposes ,Miscellaneous Other Purposes ,9900,-,-,-,-,-
"Contributions to Non-Government Entities, Not Elsewhere Classified","Contributions to Non-Government Entities, Not Elsewhere Classified",9907,-,-,-,-,-
"Contributions to Non-Government Entities, Not Elsewhere Classified",Community Based Monitoring System-Maintenance and Other Operating Expenses,9907y,500000,275000,131653.61,225000,143346.39
