item_number,title_of_program_or_project_or_activities,description_of_program_project_or_acivities_1,description_of_program_project_or_acivities_2,description_of_program_project_or_acivities_3,location,project_cost,implementing_office_or_department,obligation,implementation,status_compeleted_or_on_going,balance,starting_date_or_completion_date
6,Loan Amortization of City Hall,Barangay Development Program (Infrastructure Projects),"Assistance to Barangay Bonga, Bacon District for the de-clogging o canals","Assistance to Barangay Bonga, Bacon District for the de-clogging o canals","Bonga, Bacon District, Sorsogon, City",6400000,CMO,100000,By Administration,Unstarted Papers under Process,6300000,-
6,Loan Amortization of City Hall,Barangay Development Program (Infrastructure Projects),"Assistance to Barangay Gatbo, Bacon District or the improvement of multi-purpose building","Assistance to Barangay Gatbo, Bacon District or the improvement of multi-purpose building","Gatbo, Bacon District, Sorsogon, City",-,CMO,100000,By Administration,Unstarted Papers under Process,6200000,-
6,Loan Amortization of City Hall,Barangay Development Program (Infrastructure Projects),"Assistance to Barangay Osiao, Bacon District for the repair of Pathway","Assistance to Barangay Osiao, Bacon District for the repair of Pathway","Osiao, Bacon District, Sorsogon, City",-,CMO,100000,By Administration,Not yet completed,6100000,-
6,Loan Amortization of City Hall,Barangay Development Program (Infrastructure Projects),"Assistance to Barangay Poblacion, Bacon District for the repair of Barangay Hall","Assistance to Barangay Poblacion, Bacon District for the repair of Barangay Hall","Poblacion, Bacon District, Sorsogon, City",-,CMO,100000,By Administration,Not yet completed,6000000,-
6,Loan Amortization of City Hall,Barangay Development Program (Infrastructure Projects),"Assistance to Barangay Barayong, West District for the Construction Rehabilitation Of Multi-Purpose hall and other facilities","Assistance to Barangay Barayong, West District for the Construction rehabilitation Of Multi-Purpose hall and other facilities","Barayong, West District, Sorsogon, City",-,CMO,100000,By Administration,On-going,5900000,4/9/2012
6,Loan Amortization of City Hall,Barangay Development Program (Infrastructure Projects),"Assistance to Barangay Basud, West District ffor the extension  o Pathway at Purok III","Assistance to Barangay Basud, West District ffor the extension  o Pathway at Purok III","Basud, West District, Sorsogon, City",-,CMO,100000,By Administration,For Program of Work,-100000,-
6,Loan Amortization of City Hall,Barangay Development Program (Infrastructure Projects),"Assistance to Barangay Bulabog, West District for the Construction Rehabilitation Of water supply system","Assistance to Barangay Bulabog, West District for the Construction Rehabilitation Of water supply system","Bulabog , West District, Sorsogon, City",-,CMO,100000,By Administration,Not yet started,-200000,-
6,Loan Amortization of City Hall,Barangay Development Program (Infrastructure Projects),"Assistance to Barangay Pangpang, West District for the Construction, Portable water Supply System","Assistance to Barangay Pangpang, West District for the Construction, Portable water Supply System","Pangpang, West District, Sorsogon, City",-,CMO,100000,By Administration,Not yet started,-300000,-
6,Loan Amortization of City Hall,Barangay Development Program (Infrastructure Projects),"Assistance to Barangay Pefiafrancia, West District for the Construction of Pathway","Assistance to Barangay Pefiafrancia, West District for the Construction of Pathway","Pefiafrancia, West District, Sorsogon, City",-,CMO,100000,By Administration,For Program of Work,-400000,-
6,Loan Amortization of City Hall,Barangay Development Program (Infrastructure Projects),"Assistance to Barangay Balogo, East District for the Repair of Pathway at Purok III","Assistance to Barangay Balogo, East District for the Repair of Pathway at Purok III","Balogo, East District, Sorsogon, City",-,CMO,100000,By Administration,Not yet started,-500000,-
6,Loan Amortization of City Hall,Barangay Development Program (Infrastructure Projects),"Assistance to Barangay Bibincahan, East District for the extension o Barangay Hall","Assistance to Barangay Bibincahan, East District for the extension o Brgy Hall","Bibincahan, East District, Sorsogon, City",-,CMO,100000,By Administration,On-going,-600000,4/27/2012
6,Loan Amortization of City Hall,Barangay Development Program (Infrastructure Projects),"Assistance to Barangay Sirangan, East District for the repair of Evacuation Center o Purok III","Assistance to Barangay Sirangan, East District for the repair of Evacuation Center o Purok III","Sirangan, East District, Sorsogon, City",-,CMO,100000,By Administration,Not yet started,-700000,-
