indicator_1,indicator_2,indicator_3,indicator_4,indicator_5,2007,2008,2009,2010,2011,2012
Social Services and family Welfare Assistance,Reintegration Program,Community Organizing,Organization Capability Building (OCB),Number of Participants,3513,13858,39875,8334,5557,42697
Social Services and family Welfare Assistance,Reintegration Program,Community Organizing,Community-Based Skills Entrepreneurship,Development Training,-,-,-,-,-,-
Social Services and family Welfare Assistance,Reintegration Program,Community Organizing,Community-Based Skills Entrepreneurship,Number of Trainings Conducted,1387,643,310,792,400,900
Social Services and family Welfare Assistance,Reintegration Program,Community Organizing,Community-Based Skills Entrepreneurship,Number of Participants,20815,30495,23845,21210,15073,31812
Social Services and family Welfare Assistance,Reintegration Program,Organizational Support Services,OFW Groceria Project,Number of Trainings/Orientation Conducted,347,153,-,-,-,-
Social Services and family Welfare Assistance,Reintegration Program,Organizational Support Services,OFW Groceria Project,Number of Participants,9910,6643,-,-,-,-
Social Services and family Welfare Assistance,Reintegration Program,Organizational Support Services,OFW Groceria Project,Number of OFW Groceria Projects Maintained,241,496,500,100,1970,-
Social Services and family Welfare Assistance,Reintegration Program,Organizational Support Services,OFW Groceria Project,Total Amount Released/Collected,12050,41361,-,243,61339,-
Social Services and family Welfare Assistance,Reintegration Program,Organizational Support Services,OFW Groceria Project,Number of Members/Beneficiaries,241,496,-,-,-,-
Social Services and family Welfare Assistance,Reintegration Program,Organizational Support Services,OWWA-NLSF Livelihood Development,Number of Livelihood Projects Approved,323,258,217,203,267,169
Social Services and family Welfare Assistance,Reintegration Program,Organizational Support Services,OWWA-NLSF Livelihood Development,Amount of Loans Released,47549,36075,32293,28340,38835,27465
Social Services and family Welfare Assistance,Reintegration Program,Organizational Support Services,OWWA-NLSF Livelihood Development,Total Number of Beneficiaries,323,258,590,585,697,524
Workers Assistance and On-Site Services,Local,Number of Clients Assisted ,Number of Clients Assisted ,Number of Clients Assisted ,156758,169482,86249,33294,65476,870834
Workers Assistance and On-Site Services,On-Site,Number of Clients Assisted,Number of Clients Assisted,Number of Clients Assisted,137915,100083,153520,98130,267693,123436
