particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
     State Universities and Colleges,"155,328","93,700","243,555","11,361","881,558","12,651","26,806","40,678","570,635","296,616","32,040","1,185","46,097","404,003","23,274","6,605","36,380",30,"17,805",373,"11,973","1,586",483,"2,914,722"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          National Capital Region,"19,410","36,732","43,948",427,"379,338","6,171","26,786","3,480","215,647","57,594","13,484",0,"15,540","117,951","8,659",658,"8,817",0,"2,438",0,607,0,0,"957,687"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eulogio 'Amang' Rodriguez Institute of,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,566,"1,000","1,435",0,"7,237",0,0,0,"10,047","1,778",110,0,200,355,125,75,0,0,70,0,75,0,0,"23,073"
               Marikina Polytechnic College,43,123,"1,338",0,357,0,0,0,"3,511",116,110,0,25,70,0,0,0,0,0,0,0,0,0,"5,693"
               Philippine Normal University,"1,421","1,472","2,252",0,"15,137",85,0,0,"12,998","3,228",419,0,"1,700","13,915",95,130,0,0,204,0,100,0,0,"53,156"
               Philippine State College of Aeronautics,320,503,0,0,"4,915",826,0,0,450,500,94,0,"1,040",150,0,0,585,0,0,0,0,0,0,"9,383"
               Polytechnic University of the Philippines,"1,225","6,314","1,780",50,"15,964",266,0,0,"37,605","1,000",110,0,"2,103","25,658",0,0,"3,539",0,0,0,0,0,0,"95,614"
               Rizal Technological University,"1,036",454,850,0,"3,317",6,0,5,"3,917","1,664",485,0,410,"8,091",50,20,742,0,0,0,0,0,0,"21,047"
               Technological University of the Philippines,"1,990","1,520","2,550",0,"12,950",0,0,"1,800","24,373","1,520",110,0,750,"21,970",0,0,0,0,0,0,65,0,0,"69,598"
               University of the Philippines System,"12,809","25,346","33,743",377,"319,461","4,988","26,786","1,675","122,746","47,788","12,046",0,"9,312","47,742","8,389",433,"3,951",0,"2,164",0,367,0,0,"680,123"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region I - ILOCOS,"9,217","5,299","24,003",187,"48,759",268,0,"1,933","33,894","5,869",110,480,"1,420","24,077","1,614",362,"4,751",0,"1,687",0,564,236,150,"164,880"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Don Mariano Marcos Memorial State University,"1,350","2,251","4,253",0,"12,881",0,0,0,"8,626","1,549",0,98,305,"6,042",279,89,"1,519",0,308,0,0,0,0,"39,550"
               Ilocos Sur Polytechnic State College,"1,078",150,684,0,"3,355",0,0,12,"1,788",535,0,60,120,"1,125",0,0,0,0,0,0,0,0,0,"8,907"
               Mariano Marcos State University,"2,263",825,"7,232",136,"11,938",150,0,"1,277","9,251","1,730",0,162,550,"9,255",259,100,"1,976",0,460,0,230,150,150,"48,094"
               Pangasinan State University,"2,914","1,248","8,644",45,"7,594",43,0,644,"5,832","1,461",0,160,114,"6,478",500,100,760,0,400,0,100,86,0,"37,123"
               University of Northern Philippines,"1,612",825,"3,190",6,"12,991",75,0,0,"8,397",594,110,0,331,"1,177",576,73,496,0,519,0,234,0,0,"31,206"
,,,,,,,,,,,,,,,,,,,,,,,,
          Cordillera Administrative Region,"5,462","2,024","10,678",608,"25,945",650,0,639,"9,265","8,561",588,0,357,"19,356","1,817",77,585,0,611,40,"1,313",0,0,"88,576"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Abra State Institute of Science and Technology,700,192,780,0,"2,700",0,0,0,825,"1,594",110,0,160,"1,100",140,0,110,0,130,0,80,0,0,"8,621"
               Apayao State College,378,196,265,86,"1,100",236,0,200,423,250,68,0,170,238,245,10,116,0,66,40,83,0,0,"4,170"
               Benguet State University,"1,388",699,"5,854",47,"7,377",196,0,0,"4,905","4,255",122,0,0,"9,032","1,300",50,0,0,0,0,860,0,0,"36,085"
               Ifugao State University (Ifugao State,,,,,,,,,,,,,,,,,,,,,,,,
                     College of Agriculture and Forestry),"1,013",633,"2,119",189,"5,706",168,0,100,"1,360",764,68,0,0,"2,142",0,0,0,0,389,0,79,0,0,"14,730"
               Kalinga-Apayao State College,483,119,631,286,"2,856",50,0,0,732,798,110,0,27,"1,152",132,17,359,0,26,0,211,0,0,"7,989"
               Mountain Province State Polytechnic College,"1,500",185,"1,029",0,"6,206",0,0,339,"1,020",900,110,0,0,"5,692",0,0,0,0,0,0,0,0,0,"16,981"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,"8,754","5,115","10,597","1,076","27,006",363,0,230,"15,035","26,150","1,543",214,"1,019","16,958","1,526",388,"4,711",0,442,50,832,30,0,"122,039"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batanes State College (Batanes,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),225,63,333,16,235,0,0,0,208,172,90,214,11,25,30,0,33,0,0,0,180,30,0,"1,865"
               Cagayan State University,"3,041","2,057","5,551",0,"12,950",205,0,230,"5,405","10,397",122,0,360,"6,750",370,250,"2,660",0,0,50,270,0,0,"50,668"
               Isabela State University,"3,046","1,338","3,223",36,"6,839",86,0,0,"5,499","12,783","1,115",0,198,"6,839","1,031",72,959,0,442,0,117,0,0,"43,623"
               Nueva Vizcaya State University ( NVSIT,,,,,,,,,,,,,,,,,,,,,,,,
                     and NVSPC),"2,132","1,497","1,280","1,024","5,441",0,0,0,"3,423","1,902",122,0,377,"2,791",50,42,"1,024",0,0,0,130,0,0,"21,235"
               Quirino State College,310,160,210,0,"1,541",72,0,0,500,896,94,0,73,553,45,24,35,0,0,0,135,0,0,"4,648"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region III - CENTRAL LUZON,"9,133","6,042","20,805","1,239","80,659",931,0,180,"65,622","9,889","3,570",71,"3,574","27,854","1,288","1,038","1,826",0,991,15,"1,670",654,0,"237,051"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aurora State College of Technology,500,150,100,24,"1,318",171,0,50,700,170,76,0,250,765,115,100,224,0,75,0,220,0,0,"5,008"
               Bataan Peninsula State University,"1,175","1,631","3,339",711,"9,256",92,0,0,"3,290","3,226",142,0,15,"1,622",0,23,0,0,52,0,0,0,0,"24,574"
               Bulacan Agricultural State College,150,199,375,51,810,0,0,0,970,524,100,0,62,130,41,60,547,0,60,0,69,0,0,"4,148"
               Bulacan State University,"1,175","1,166","1,200",350,"6,992",0,0,0,"18,880",756,"2,659",0,"1,100","6,751",75,20,0,0,207,15,63,600,0,"42,009"
               Central Luzon State University,"1,300",798,"1,512",0,"16,703",103,0,0,"13,834","1,280",0,0,0,220,120,0,115,0,0,0,68,0,0,"36,053"
               Don Honorio Ventura Technological State,,,,,,,,,,,,,,,,,,,,,,,,
                     University (DHVCAT),500,152,"2,292",0,"3,525",0,0,120,"1,494",219,98,0,84,"2,080",0,0,0,0,94,0,0,0,0,"10,658"
               Nueva Ecija University of Science and Technology,929,272,"2,982",30,"6,782",410,0,0,"7,965","1,344",97,0,695,"2,363",185,415,25,0,0,0,500,0,0,"24,994"
               Pampanga Agricultural College,126,107,830,23,"2,638",0,0,0,"2,147",159,0,71,409,"1,465",232,23,45,0,55,0,72,54,0,"8,456"
               Philippine Merchant Marine Academy,835,500,900,10,"24,151",0,0,0,"5,984",229,110,0,540,"3,830",115,75,75,0,165,0,150,0,0,"37,669"
               Ramon Magsaysay Technological University,"1,210",320,"3,475",40,"4,735",150,0,0,"1,855",316,80,0,120,"1,440",55,262,200,0,70,0,328,0,0,"14,656"
               Tarlac College of Agriculture,503,170,"3,295",0,"1,642",0,0,0,"1,738",276,98,0,69,280,80,35,145,0,88,0,80,0,0,"8,499"
               Tarlac State University,730,577,505,0,"2,107",5,0,10,"6,765","1,390",110,0,230,"6,908",270,25,450,0,125,0,120,0,0,"20,327"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-A - CALABARZON,"7,494","4,602","15,866",731,"37,582",407,0,269,"25,136","63,705",544,0,"1,498","18,881","1,060",227,10,0,"1,037",0,109,21,0,"179,179"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batangas State University,"1,080","1,270","3,250",138,"9,015",276,0,172,"6,542","25,562",110,0,295,"5,955",380,60,0,0,579,0,0,0,0,"54,684"
               Cavite State University,"1,499",607,"4,206",230,"7,459",100,0,0,"5,595","6,655",85,0,227,"3,169",350,30,0,0,160,0,0,0,0,"30,372"
               Laguna State Polytechnic University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Laguna State Polytechnic College),"1,172","1,270","2,114",175,"4,814",0,0,0,"3,141","6,068",110,0,551,"4,584",69,21,10,0,109,0,109,21,0,"24,338"
               Southern Luzon State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Luzon Polytechnic College),"1,970",589,"4,498",45,"6,490",31,0,97,"3,178","14,974",117,0,143,"2,645",207,62,0,0,140,0,0,0,0,"35,186"
               University of Rizal System,"1,773",866,"1,798",143,"9,804",0,0,0,"6,680","10,446",122,0,282,"2,528",54,54,0,0,49,0,0,0,0,"34,599"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-B - MIMAROPA,"7,343","2,878","10,340",295,"15,927",450,0,0,"14,427","9,008","1,067",0,"2,215","7,202","1,156",720,100,0,735,25,938,20,0,"74,846"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Marinduque State College,825,500,500,75,"1,300",0,0,0,"1,800",900,94,0,400,"2,220",255,115,100,0,225,25,250,20,0,"9,604"
               Mindoro State College of Agriculture and Technology,453,262,"1,079",0,"1,600",146,0,0,"1,365",439,68,0,92,160,51,5,0,0,30,0,103,0,0,"5,853"
               Occidental Mindoro State College,,,,,,,,,,,,,,,,,,,,,,,,
                     (Occidental Mindoro National College),687,240,685,40,"1,654",100,0,0,"1,000","4,330",82,0,150,"1,090",0,0,0,0,0,0,0,0,0,"10,058"
               Palawan State University,"2,700","1,060","5,632",35,"6,985",0,0,0,"7,500","1,600",220,0,"1,000","1,300",850,600,0,0,480,0,210,0,0,"30,172"
               Romblon State University (Romblon State College),"1,379",537,"1,090",145,"1,400",0,0,0,"1,300",850,523,0,191,"1,147",0,0,0,0,0,0,375,0,0,"8,937"
               Western Philippines University,"1,299",279,"1,354",0,"2,988",204,0,0,"1,462",889,80,0,382,"1,285",0,0,0,0,0,0,0,0,0,"10,222"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region V - BICOL,"11,697","3,789","8,562","2,128","34,289",539,0,"10,901","26,414","19,704","1,057",175,"2,628","36,421","1,260",359,"2,780",0,"1,567",0,546,0,25,"164,841"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bicol University,"3,110","1,589","1,605",918,"13,207",182,0,"9,748","9,422","7,900",0,175,874,"14,626",579,112,918,0,"1,046",0,154,0,0,"66,165"
               Camarines Norte State College,"1,300",452,0,475,"2,055",0,0,0,"2,000",510,300,0,250,"1,785",280,50,475,0,10,0,125,0,25,"10,092"
               Camarines Sur Polytechnic Colleges,"1,000",306,"1,797",25,"4,680",165,0,0,"2,395","4,144",110,0,277,"8,228",0,0,0,0,0,0,0,0,0,"23,127"
               Central Bicol State University of,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture  (Camarines Sur State,,,,,,,,,,,,,,,,,,,,,,,,
                     Agricultural College),"1,640",329,"2,259",416,"4,536",0,0,105,"3,297",751,88,0,250,"2,353",159,127,416,0,121,0,47,0,0,"16,894"
               Catanduanes State Colleges,"1,778",221,384,68,"3,489",0,0,0,"2,657","5,158",118,0,145,"4,400",48,0,0,0,339,0,112,0,0,"18,917"
"               Dr. Emilio B. Espinosa, Sr. Memorial",,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Agriculture and Technology,"1,101",332,852,90,"1,127",65,0,0,900,378,99,0,120,144,149,59,13,0,0,0,58,0,0,"5,487"
               Partido State University,860,329,695,8,"1,787",7,0,0,"2,204",304,122,0,162,"2,205",45,11,378,0,51,0,50,0,0,"9,218"
               Sorsogon State College,908,231,970,128,"3,408",120,0,"1,048","3,539",559,220,0,550,"2,680",0,0,580,0,0,0,0,0,0,"14,941"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VI - WESTERN VISAYAS,"14,398","5,700","26,917","1,488","62,263",95,0,0,"28,746","11,906","1,317",233,"3,207","22,972","2,128",908,748,0,"1,492",0,849,75,120,"185,562"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aklan State University,"1,846",844,"2,031",70,"4,597",75,0,0,"1,698","1,416",92,0,593,"2,060",386,113,0,0,148,0,80,0,100,"16,149"
               Capiz State University,"1,404",493,"3,625",314,"6,017",0,0,0,"2,050","3,746",80,0,285,"6,069",185,125,0,0,135,0,0,0,0,"24,528"
               Carlos C. Hilado Memorial State College,"1,000",335,"1,658",55,"4,450",0,0,0,"3,500",600,230,0,190,60,0,120,0,0,195,0,50,0,0,"12,443"
               Guimaras State College,200,146,410,68,396,0,0,0,305,145,80,0,223,391,0,22,92,0,0,0,37,0,0,"2,515"
               Iloilo State College of Fisheries,616,256,"1,233",144,"1,871",0,0,0,"1,411",529,0,123,128,"2,431",106,10,66,0,8,0,82,0,0,"9,014"
               Negros State College of Agriculture,997,322,662,25,"3,282",0,0,0,"1,072",939,153,0,121,454,301,70,115,0,3,0,90,0,0,"8,606"
               Northern Iloilo Polytechnic State College,"2,015",600,"4,200",180,"4,300",0,0,0,"2,260",668,250,0,180,771,525,323,475,0,330,0,385,0,0,"17,462"
               Northern Negros State College of Science,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,477,415,"1,028",0,390,0,0,0,600,0,200,0,0,520,0,0,0,0,0,0,0,0,0,"3,630"
               University of Antique (Polytechnic State,,,,,,,,,,,,,,,,,,,,,,,,
                     College of Antique),982,142,"1,792",182,"4,320",0,0,0,"1,974",717,122,0,200,"1,442",50,0,0,0,0,0,0,0,0,"11,923"
               Western Visayas College of Science and Technology,"1,198",395,"5,125",430,"6,886",0,0,0,"4,928",353,0,110,115,"4,198",0,0,0,0,0,0,0,0,0,"23,738"
               West Visayas State University,"3,663","1,752","5,153",20,"25,754",20,0,0,"8,948","2,793",110,0,"1,172","4,576",575,125,0,0,673,0,125,75,20,"55,554"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VII - CENTRAL VISAYAS,"14,713","2,223","4,040",697,"28,872",7,0,"2,747","15,775","41,292",692,0,970,"17,216",520,462,"2,674",0,"1,019",0,451,100,0,"134,470"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cebu Normal University,200,320,200,0,"8,307",0,0,200,"4,700","19,142",110,0,360,"4,121",20,15,0,0,164,0,50,0,0,"37,909"
               Cebu Techhnological University (Cebu,,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Science and Technology),"11,250",423,180,65,"6,942",0,0,0,"1,054","7,460",180,0,150,"1,227",50,0,"1,749",0,100,0,150,100,0,"31,080"
               Central Visayas State College of,,,,,,,,,,,,,,,,,,,,,,,,
"                     Agriculture, Forestry and Technology","2,258","1,211","2,481",385,"7,582",0,0,0,"5,081",674,220,0,245,"1,331",435,419,595,0,650,0,101,0,0,"23,668"
               Negros Oriental State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Central Visayas Polytechnic College),887,219,936,82,"4,670",7,0,"2,507","4,171","13,865",100,0,120,"10,397",15,28,216,0,0,0,80,0,0,"38,300"
               Siquijor State College,118,50,243,165,"1,371",0,0,40,769,151,82,0,95,140,0,0,114,0,105,0,70,0,0,"3,513"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VIII - EASTERN VISAYAS,"13,493","5,920","17,622",883,"39,918",525,0,813,"27,370","10,760","2,778",0,"3,305","24,876",339,217,"2,552",0,"2,875",0,"1,170",0,0,"155,416"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eastern Samar State University,"1,165",600,"1,130",130,"3,397",80,0,0,"1,115","1,116","1,350",0,205,"1,065",245,100,275,0,120,0,165,0,0,"12,258"
               Eastern Visayas State University (Leyte,,,,,,,,,,,,,,,,,,,,,,,,
                     Institute of Technology),"2,470",765,"2,822",12,"5,222",0,0,0,"4,085","2,488",110,0,600,"4,133",0,0,"1,525",0,60,0,155,0,0,"24,447"
               Leyte Normal University,"1,350",745,"1,750",0,"5,126",0,0,0,"4,043","1,198",122,0,449,"4,895",0,0,0,0,0,0,0,0,0,"19,678"
               Visayas State University (Leyte State University),"1,956","1,154","3,097",0,"6,026",0,0,0,"8,466","1,035",162,0,416,"5,870",8,8,288,0,530,0,70,0,0,"29,086"
               Naval Institute of Technology,"1,146",360,"1,300",35,"2,532",60,0,250,"1,250","1,000",400,0,130,"1,925",0,0,0,0,0,0,0,0,0,"10,388"
               Palompon Institute of Technology,957,312,"1,560",200,"2,336",35,0,0,968,269,122,0,324,756,10,85,200,0,35,0,81,0,0,"8,250"
               Southern Leyte State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Leyte State College of,,,,,,,,,,,,,,,,,,,,,,,,
                     Sci. and Tech. and TONC),"1,595",462,"1,329",68,"2,801",30,0,0,"2,141",998,98,0,277,"1,844",36,19,264,0,141,0,159,0,0,"12,262"
               Samar State College of Agriculture and Forestry,222,150,250,120,400,50,0,0,200,100,80,0,20,120,30,0,0,0,0,0,80,0,0,"1,822"
               Samar State University (Samar State,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),674,316,"1,866",100,"3,054",50,0,0,"1,034","1,357",122,0,364,"1,468",10,0,0,0,650,0,10,0,0,"11,075"
               Tiburcio Tancinco Memorial Institute of,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,600,485,550,48,"3,802",130,0,120,"2,700",355,122,0,120,800,0,5,0,0,760,0,150,0,0,"10,747"
               University of Eastern Philippines,"1,358",571,"1,968",170,"5,222",90,0,443,"1,368",844,90,0,400,"2,000",0,0,0,0,579,0,300,0,0,"15,403"
,,,,,,,,,,,,,,,,,,,,,,,,
