roman,particulars,amt_a,amt_b,amt_c,amt_d,sw1,sw_title
,               034  Land and Land Improvements Outlay,5525203,7440751,7513183,4733193,,
,               035  Buildings and Structures Outlay,10837703,25084050,25169597,17726689,,
,"               036  Office Equipment, Furniture and Fixtures",5583390,9848458,9969495,5778923,,
,               037  Work Animals Outlay,50840,175,250175,1320,,
,               038  Transportation Equipment,2524880,6230852,6249912,1836139,,
,               040  Machineries and Equipment,11996851,12012261,11914185,9888476,,
,               041  Public Infrastructures,138463865,149080079,149080079,117938375,,
,               042  Reforestation Projects,227806,1545459,1545459,1329443,1,
,,,,,,,
,TOTAL CAPITAL OUTLAYS,180596163,220658227,220858227,168021826,1,
,,,,,,,
III.,NET LENDING,,,,,,
,,,,,,,
,               960  Net Lending,14393000,12157000,12157000,15000000,1,
,,,,,,,
,TOTAL NET LENDING,14393000,12157000,12157000,15000000,1,
,,,,,,,
,TOTAL OBLIGATIONS OF THE NATIONAL GOVERNMENT,1314613561,1414700000,1426001790,1541000000,1,
