particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
          Bureau of Fisheries and Aquatic Resources,"111,553","24,783","43,207","1,416","326,232","27,503","5,507",0,"39,374","62,936","1,300",0,"14,705","333,061","4,447","1,520","2,311",0,797,0,70,0,0,"1,000,722"
          Bureau of Post-Harvest Research and Extension,"2,278",409,"1,030",15,"1,780",36,0,0,903,5,72,0,430,"3,940",106,4,0,0,47,0,40,0,0,"11,095"
          Cotton Development Administration,726,349,"1,467",0,"1,609",88,0,0,290,89,52,0,125,"1,665",59,0,116,0,0,0,13,0,0,"6,648"
          Fertilizer and Pesticide Authority,"2,904",952,"1,392",26,"5,028",157,0,0,"2,284",97,80,0,321,"3,379",301,11,38,0,42,0,0,0,0,"17,012"
          Fiber Industry Development Authority,"6,033","1,837","1,007",119,"8,512","7,313",0,0,"3,902",272,672,0,635,"6,698",176,0,653,0,75,0,82,0,0,"37,986"
          Livestock Development Council,111,48,76,0,225,0,0,0,170,48,111,0,106,679,0,0,9,0,0,0,0,0,0,"1,583"
          National Agricultural and Fishery Council,"26,368","3,803","1,210",0,"45,330",386,0,"10,078","3,388","11,938",153,0,"5,272","18,674","1,632","1,360","15,219",0,0,0,32,315,0,"145,158"
          National Meat Inspection Service,"6,500","2,160","5,280",16,"8,212",240,0,0,"4,305","3,400",80,0,200,"13,300","1,500",50,0,30,148,0,0,0,0,"45,421"
          Philippine Carabao Center,"3,301","1,837","4,618",71,"21,947",349,0,0,"6,000",762,132,0,272,"18,603",318,198,215,0,24,0,37,0,0,"58,684"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Budget and Management,"12,724","15,427","8,475",85,"25,535","6,338",44,0,"21,586","8,842","4,565",0,"2,412","100,496","10,447",360,"15,871",0,517,0,45,325,0,"234,094"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"12,724","15,427","8,475",85,"25,535","6,338",44,0,"21,586","8,842","4,565",0,"2,412","100,496","10,447",360,"15,871",0,517,0,45,325,0,"234,094"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Education,"906,149","164,494","1,749,771","231,356","7,104,561","11,666","1,808","3,591,117","706,872","2,186,436","12,507",71,"41,443","2,208,741","465,439","5,796","26,642",0,"3,483",149,538,"1,003","1,386","19,421,428"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"902,920","162,270","1,746,317","231,339","7,091,087","9,502","1,808","3,591,117","686,433","2,182,930","12,166",71,"40,951","2,173,378","463,695","5,553","25,414",0,"3,419",149,528,"1,003","1,386","19,333,436"
          National Book Development Board,318,802,100,0,839,"1,707",0,0,"1,300",334,110,0,75,"3,696","1,191",65,"1,139",0,0,0,0,0,0,"11,676"
          National Council for Children's Television,122,151,0,11,33,0,0,0,1,"1,445",92,0,0,665,23,0,2,0,0,0,0,0,0,"2,545"
          National Museum,"1,909",938,"2,443",0,"3,509",1,0,0,"17,421",71,96,0,225,"21,797",331,40,15,0,13,0,0,0,0,"48,809"
          Philippine High School for the Arts,880,333,911,6,"9,093",456,0,0,"1,717","1,656",43,0,192,"9,205",199,138,72,0,51,0,10,0,0,"24,962"
,,,,,,,,,,,,,,,,,,,,,,,,
     State Universities and Colleges,"128,242","82,717","166,570","7,393","852,914","10,139","26,802","41,745","517,193","288,982","129,848","1,602","33,033","424,010","17,402","3,331","34,274",169,"7,619",82,"9,387",843,877,"2,785,174"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          National Capital Region,"19,476","35,202","52,722",431,"427,972","5,366","26,786","3,777","220,273","69,409","91,258",0,"9,604","100,654","9,243",667,"8,758",0,"2,466",0,663,19,0,"1,084,746"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eulogio 'Amang' Rodriguez Institute of,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,72,702,"26,199",0,"6,251",0,0,0,"8,047",684,73,0,302,98,139,24,0,0,97,0,65,0,0,"42,753"
               Marikina Polytechnic College,124,391,"1,458",0,"2,331",0,0,0,"6,214",258,74,0,56,297,0,51,23,0,0,0,35,19,0,"11,331"
               Philippine Normal University,"1,194","1,598","1,054",4,"6,898",107,0,0,"15,492","1,301",100,0,"1,606","15,242",248,100,0,0,202,0,164,0,0,"45,310"
               Philippine State College of Aeronautics,192,623,"1,224",0,"2,825",17,0,2,285,494,36,0,280,109,3,49,315,0,0,0,0,0,0,"6,454"
               Polytechnic University of the Philippines,"1,225","4,314","1,780",50,"15,746",266,0,0,"31,952","8,441",115,0,"1,103","20,294",0,0,"3,298",0,0,0,0,0,0,"88,584"
               Rizal Technological University,571,558,254,0,"1,807",0,0,0,"10,888",489,140,0,402,"4,184",0,10,"1,007",0,0,0,32,0,0,"20,342"
               Technological University of the Philippines,"1,194","1,011","1,421",0,"9,263",0,0,"1,200","12,705","1,654",115,0,176,"13,519",0,0,0,0,0,0,0,0,0,"42,258"
               University of the Philippines System,"14,904","26,005","19,332",377,"382,851","4,976","26,786","2,575","134,690","56,088","90,605",0,"5,679","46,911","8,853",433,"4,115",0,"2,167",0,367,0,0,"827,714"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region I - ILOCOS,"6,835","4,967","11,606",43,"54,119",64,0,501,"31,796","3,676",929,0,"1,123","27,836","1,431",94,"3,348",0,672,0,636,0,0,"149,676"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Don Mariano Marcos Memorial State University,"1,411","2,274","5,732",0,"20,592",0,0,0,"11,406",682,48,0,220,"8,587",0,0,"1,269",0,17,0,0,0,0,"52,238"
               Ilocos Sur Polytechnic State College,664,162,845,0,"2,946",0,0,0,277,514,648,0,88,0,903,0,0,0,0,0,0,0,0,"7,047"
               Mariano Marcos State University,757,583,"1,691",34,"10,592",6,0,499,"6,606",676,107,0,342,"12,073",108,8,549,0,99,0,102,0,0,"34,832"
               Pangasinan State University,"2,772","1,270","1,505",5,"10,974",2,0,2,"6,080","1,314",62,0,241,"6,281",10,40,"1,100",0,54,0,279,0,0,"31,991"
               University of Northern Philippines,"1,231",678,"1,833",4,"9,015",56,0,0,"7,427",490,64,0,232,895,410,46,430,0,502,0,255,0,0,"23,568"
,,,,,,,,,,,,,,,,,,,,,,,,
          Cordillera Administrative Region,"5,428","1,376","4,371",543,"28,203",252,0,378,"7,437","3,484",438,0,120,"31,778","1,139",143,361,0,20,0,"1,343",0,0,"86,814"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Abra State Institute of Science and Technology,"1,098",260,501,0,"2,629",1,0,0,510,220,67,0,44,"2,834",57,82,22,0,2,0,138,0,0,"8,465"
               Apayao State College,275,79,365,28,"1,804",50,0,100,225,146,68,0,0,"1,493",0,0,0,0,0,0,0,0,0,"4,633"
               Benguet State University,"1,188",699,"2,049",47,"9,552",196,0,0,"4,905","1,275",85,0,0,"9,412","1,000",50,0,0,0,0,710,0,0,"31,168"
               Ifugao State University (Ifugao State,,,,,,,,,,,,,,,,,,,,,,,,
                     College of Agriculture and Forestry),901,104,532,91,"4,243",0,0,200,788,410,68,0,0,"12,076",0,0,0,0,0,0,0,0,0,"19,413"
               Kalinga-Apayao State College,716,184,685,377,"5,650",5,0,0,673,"1,088",82,0,20,"1,828",82,11,339,0,18,0,495,0,0,"12,253"
               Mountain Province State Polytechnic College,"1,250",50,239,0,"4,325",0,0,78,336,345,68,0,56,"4,135",0,0,0,0,0,0,0,0,0,"10,882"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,"5,697","4,408","4,327",922,"24,225",209,1,0,"13,732","17,078","10,102",0,"1,226","20,018",830,182,"3,181",0,284,0,458,0,0,"106,880"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batanes State College (Batanes,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),121,28,478,0,894,0,1,0,182,141,3,0,10,357,14,0,0,0,0,0,0,0,0,"2,229"
               Cagayan State University,"1,740","1,272",958,8,"10,335",0,0,0,"4,201","1,619","8,846",0,227,"4,727",708,73,"1,148",0,66,0,57,0,0,"35,985"
               Isabela State University,"2,482","1,985","1,215",0,"5,461",179,0,0,"4,369","13,618","1,000",0,457,"8,335",77,50,"1,144",0,218,0,289,0,0,"40,879"
               Nueva Vizcaya State University ( NVSIT,,,,,,,,,,,,,,,,,,,,,,,,
                     and NVSPC),"1,106",976,"1,594",914,"6,890",30,0,0,"3,869","1,627",182,0,496,"4,706",31,56,889,0,0,0,96,0,0,"23,462"
               Quirino State College,248,147,82,0,645,0,0,0,"1,111",73,71,0,36,"1,893",0,3,0,0,0,0,16,0,0,"4,325"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region III - CENTRAL LUZON,"8,562","4,343","12,774",802,"63,928",741,0,"1,501","53,086","43,459","5,178",79,"4,579","31,257",681,823,"1,886",0,441,0,"1,614",61,0,"235,795"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aurora State College of Technology,667,170,155,42,"1,277",172,0,36,724,"1,824",86,0,108,"1,105",35,12,184,0,22,0,228,0,0,"6,847"
               Bataan Peninsula State University,"1,099",600,"3,332",701,"4,937",0,0,0,"1,983","3,038",50,0,83,"1,961",14,98,121,0,63,0,191,0,0,"18,271"
               Bulacan Agricultural State College,101,99,585,0,511,0,0,0,"1,059",729,98,0,78,303,27,36,549,0,6,0,81,0,0,"4,262"
               Bulacan State University,"1,051",708,162,0,"4,724",0,0,0,"9,124","2,652","1,445",0,130,"7,864",6,20,0,0,0,0,70,0,0,"27,956"
               Central Luzon State University,"1,514",579,910,0,"13,542",106,0,0,"12,032",0,90,0,"1,056","6,276",0,0,45,0,0,0,71,0,0,"36,221"
               Don Honorio Ventura Technological State,,,,,,,,,,,,,,,,,,,,,,,,
                     University (DHVCAT),411,249,457,0,"3,631",0,0,260,949,"2,829",98,0,148,"1,916",0,0,0,0,94,0,0,0,0,"11,042"
               Nueva Ecija University of Science and Technology,863,210,"2,330",30,"5,714",360,0,0,"5,308","4,660",85,0,"1,211","1,503",0,388,3,0,0,0,358,0,0,"23,023"
               Pampanga Agricultural College,187,123,933,0,"6,152",0,0,0,"2,300","1,257",0,79,509,974,299,25,50,0,18,0,80,61,0,"13,047"
               Philippine Merchant Marine Academy,988,573,"1,578",28,"15,657",6,0,0,"8,126",266,97,0,707,"5,237",86,70,71,0,92,0,17,0,0,"33,599"
               Ramon Magsaysay Technological University,525,323,818,1,"4,359",92,0,0,"1,349","25,475",180,0,156,942,54,26,133,0,40,0,149,0,0,"34,622"
               Tarlac College of Agriculture,398,205,"1,096",0,"2,154",0,0,45,"1,875",262,114,0,192,367,14,53,396,0,106,0,146,0,0,"7,423"
               Tarlac State University,758,504,418,0,"1,270",5,0,"1,160","8,257",467,"2,835",0,201,"2,809",146,95,334,0,0,0,223,0,0,"19,482"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-A - CALABARZON,"6,640","4,547","11,987",122,"26,809",84,0,"1,213","22,727","22,917","1,584",0,"1,184","12,325",598,112,125,0,541,0,511,14,0,"114,040"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batangas State University,720,"1,298","2,363",120,"6,634",20,0,45,"5,669","5,470",110,0,255,"5,650",25,50,0,0,501,0,0,14,0,"28,944"
               Cavite State University,"2,253",742,"1,350",0,"3,100",44,0,768,"4,232","4,942",466,0,148,"1,126",125,6,35,0,0,0,195,0,0,"19,532"
               Laguna State Polytechnic University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Laguna State Polytechnic College),817,921,"5,312",2,"5,457",0,0,0,"1,925","8,043",110,0,302,"3,054",223,27,90,0,40,0,96,0,0,"26,419"
               Southern Luzon State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Luzon Polytechnic College),"1,846",601,"1,134",0,"4,175",20,0,68,"2,844","3,509",788,0,351,"2,259",225,3,0,0,0,0,0,0,0,"17,823"
               University of Rizal System,"1,004",985,"1,828",0,"7,443",0,0,332,"8,057",953,110,0,128,236,0,26,0,0,0,0,220,0,0,"21,322"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-B - MIMAROPA,"8,575","2,352","5,145",47,"14,529",505,2,0,"11,319","20,215",280,0,"1,769","9,136",206,158,669,0,0,0,345,0,0,"75,252"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Marinduque State College,965,466,390,0,"1,874",0,0,0,"1,616","7,753",0,0,26,"1,171",80,28,174,0,0,0,54,0,0,"14,597"
               Mindoro State College of Agriculture and Technology,766,377,800,0,"1,234",148,1,0,"1,562",777,12,0,77,182,46,0,155,0,0,0,72,0,0,"6,209"
               Occidental Mindoro State College,,,,,,,,,,,,,,,,,,,,,,,,
                     (Occidental Mindoro National College),281,36,385,0,"2,406",26,0,0,459,"5,917",72,0,40,"3,070",0,0,0,0,0,0,0,0,0,"12,692"
               Palawan State University,"1,223",700,"1,251",47,"3,614",49,0,0,"4,832",647,88,0,"1,205","2,429",39,117,190,0,0,0,103,0,0,"16,534"
               Romblon State University (Romblon State College),"1,079",510,821,0,"2,328",78,1,0,990,"4,407",48,0,99,780,41,13,150,0,0,0,116,0,0,"11,461"
               Western Philippines University,"4,261",263,"1,498",0,"3,073",204,0,0,"1,860",714,60,0,322,"1,504",0,0,0,0,0,0,0,0,0,"13,759"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region V - BICOL,"8,389","2,668","5,638","1,626","31,449",291,0,"10,347","24,787","22,225",893,0,"1,549","35,168",925,197,"2,239",0,712,50,386,0,0,"149,539"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bicol University,"1,886","1,071",892,"1,064","10,846",173,0,"10,063","7,033","3,719",321,0,566,"15,425",243,73,"1,067",0,293,0,107,0,0,"54,842"
               Camarines Norte State College,"1,000",223,662,166,"3,572",0,0,0,"2,200","1,191",82,0,250,"1,278",250,50,152,0,7,50,46,0,0,"11,179"
               Camarines Sur Polytechnic Colleges,524,187,730,0,"2,974",37,0,0,"2,482",464,108,0,99,"2,576",0,0,0,0,0,0,0,0,0,"10,181"
               Central Bicol State University of,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture  (Camarines Sur State,,,,,,,,,,,,,,,,,,,,,,,,
                     Agricultural College),"1,536",377,"1,516",372,"4,206",0,0,25,"4,634",990,82,0,262,"6,027",325,44,372,0,107,0,33,0,0,"20,908"
               Catanduanes State Colleges,"1,005",209,786,0,"3,897",0,0,0,"3,028","9,194",61,0,0,"4,373",77,3,194,0,272,0,60,0,0,"23,159"
"               Dr. Emilio B. Espinosa, Sr. Memorial",,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Agriculture and Technology,837,199,203,23,"2,007",0,0,0,"1,469",212,76,0,38,48,1,17,20,0,6,0,97,0,0,"5,253"
               Partido State University,753,192,385,1,"1,310",13,0,0,"1,912","6,144",118,0,151,"3,661",29,10,434,0,27,0,43,0,0,"15,183"
               Sorsogon State College,848,210,464,0,"2,637",68,0,259,"2,029",311,45,0,183,"1,780",0,0,0,0,0,0,0,0,0,"8,834"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VI - WESTERN VISAYAS,"10,543","5,238","17,942","1,210","44,390",57,0,"11,650","23,041","11,855",118,"1,474","1,936","42,305",257,379,"1,046",0,269,0,475,5,415,"174,605"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aklan State University,"1,942",446,846,377,"2,615",0,0,300,"1,315",543,38,0,332,"2,392",66,47,362,0,37,0,60,0,0,"11,718"
               Capiz State University,"1,278",671,"2,269",0,"6,042",0,0,0,"1,691",348,0,80,73,"2,505",36,81,215,0,0,0,84,0,0,"15,373"
               Carlos C. Hilado Memorial State College,808,304,"1,296",0,"3,831",0,0,0,"1,781",280,0,338,54,"1,380",0,21,0,0,135,0,75,0,380,"10,683"
               Guimaras State College,200,60,195,0,896,0,0,0,200,243,80,0,15,220,0,0,0,0,0,0,0,0,0,"2,109"
               Iloilo State College of Fisheries,465,248,499,23,"1,674",2,0,0,"1,502",448,0,262,128,"6,792",143,27,232,0,6,0,126,0,0,"12,577"
               Negros State College of Agriculture,781,309,703,0,"2,542",3,0,0,724,"2,197",0,239,114,554,12,38,237,0,0,0,85,0,0,"8,538"
               Northern Iloilo Polytechnic State College,"1,818",441,"2,257",0,"3,240",0,0,0,"2,324",338,0,208,136,"2,563",0,133,0,0,0,0,0,0,0,"13,458"
               Northern Negros State College of Science,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,124,224,"1,186",0,950,0,0,0,758,0,0,73,0,321,0,0,0,0,0,0,0,0,0,"3,636"
               University of Antique (Polytechnic State,,,,,,,,,,,,,,,,,,,,,,,,
                     College of Antique),690,69,"1,464",332,"3,211",0,0,0,924,"6,957",0,85,155,"2,137",0,18,0,0,19,0,0,0,0,"16,061"
               Western Visayas College of Science and Technology,"1,182",391,"5,471",471,"7,336",0,0,0,"4,072",268,0,78,117,"4,274",0,0,0,0,0,0,0,0,0,"23,660"
               West Visayas State University,"1,255","2,075","1,756",7,"12,053",52,0,"11,350","7,750",233,0,111,812,"19,167",0,14,0,0,72,0,45,5,35,"56,792"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VII - CENTRAL VISAYAS,"5,011",755,"1,770",114,"13,760",5,0,55,"10,786","4,116","12,540",0,673,"11,108",437,43,423,0,163,0,331,0,0,"62,090"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cebu Normal University,12,70,17,0,713,0,0,0,"1,842",0,"8,631",0,0,446,0,0,0,0,15,0,0,0,0,"11,746"
               Cebu Techhnological University (Cebu,,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Science and Technology),"3,116",171,124,0,"4,097",5,0,55,"1,654","2,247","1,556",0,148,"5,034",50,0,0,0,0,0,75,0,0,"18,332"
               Central Visayas State College of,,,,,,,,,,,,,,,,,,,,,,,,
"                     Agriculture, Forestry and Technology",887,262,700,30,"3,876",0,0,0,"1,844",460,110,0,119,"4,421",65,43,205,0,46,0,74,0,0,"13,142"
               Negros Oriental State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Central Visayas Polytechnic College),750,188,711,45,"3,845",0,0,0,"4,303","1,228","2,153",0,315,"1,097",322,0,184,0,0,0,63,0,0,"15,204"
               Siquijor State College,246,64,218,39,"1,229",0,0,0,"1,143",181,90,0,91,110,0,0,34,0,102,0,119,0,0,"3,666"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VIII - EASTERN VISAYAS,"11,943","4,794","12,587",522,"32,974",344,8,319,"17,827","6,464","1,243",0,"2,355","33,039",161,228,"4,501",169,554,6,988,529,0,"131,555"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eastern Samar State University,"1,972",602,"1,637",0,"2,345",53,0,8,"1,489",324,124,0,175,"1,892",101,31,44,0,0,6,141,0,0,"10,944"
               Eastern Visayas State University (Leyte,,,,,,,,,,,,,,,,,,,,,,,,
                     Institute of Technology),"2,240",875,"1,327",0,"3,095",0,0,0,"2,443","1,518",96,0,394,"7,241",4,26,"1,268",0,57,0,101,0,0,"20,685"
               Leyte Normal University,728,511,"1,094",0,"4,323",0,0,0,"4,144",883,122,0,384,"6,394",0,0,0,0,0,0,0,0,0,"18,583"
               Visayas State University (Leyte State University),"1,837",967,"1,587",0,"7,406",0,0,0,"2,393",778,132,0,442,"6,672",0,0,86,0,0,0,20,0,0,"22,320"
               Naval Institute of Technology,"1,140",244,446,297,547,23,0,211,815,110,116,0,16,"2,014",0,0,395,0,0,0,0,0,0,"6,374"
               Palompon Institute of Technology,750,298,769,0,"1,387",1,0,0,707,175,119,0,249,854,9,13,544,0,0,0,76,0,0,"5,951"
               Southern Leyte State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Leyte State College of,,,,,,,,,,,,,,,,,,,,,,,,
                     Sci. and Tech. and TONC),"1,091",285,"1,184",19,"3,013",16,8,0,"1,757",357,106,0,225,"2,347",38,22,0,0,1,0,113,529,0,"11,111"
               Samar State College of Agriculture and Forestry,339,79,140,0,616,23,0,0,325,23,98,0,37,246,7,7,0,0,0,0,84,0,0,"2,024"
               Samar State University (Samar State,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),669,344,"1,326",35,"4,091",1,0,0,759,969,122,0,107,973,2,15,638,169,122,0,66,0,0,"10,408"
               Tiburcio Tancinco Memorial Institute of,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,669,345,237,30,"3,748",226,0,100,"2,683","1,170",119,0,126,512,0,3,0,0,347,0,142,0,0,"10,457"
               University of Eastern Philippines,508,244,"2,840",141,"2,403",1,0,0,312,157,89,0,200,"3,894",0,111,"1,526",0,27,0,245,0,0,"12,698"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IX - WESTERN MINDANAO,"5,384","3,340","2,743",33,"14,154",443,5,0,"12,105","3,794",635,0,"2,093","10,504",394,34,557,0,179,0,284,0,0,"56,681"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               J. H. Cerilles State College,878,299,502,5,"1,109",0,0,0,415,263,62,0,32,222,0,10,373,0,3,0,30,0,0,"4,203"
