Region,City_or_province,type_of_bank,30-Jun-12,31-Dec-12
National Capital Region (NCR),Las Pinas City,Las Pinas City,"5,751.31","9,532.17"
National Capital Region (NCR),Las Pinas City,Universal and Commercial Banks,"3,637.11","5,104.11"
National Capital Region (NCR),Las Pinas City,Thrift Banks,"1,052.89","3,343.27"
National Capital Region (NCR),Las Pinas City,Rural and Cooperative Banks,"1,061.32","1,084.79"
National Capital Region (NCR),Makati City,Makati City,"1,938,404.65","1,982,702.31"
National Capital Region (NCR),Makati City,Universal and Commercial Banks,"1,735,869.63","1,829,105.75"
National Capital Region (NCR),Makati City,Thrift Banks,"194,972.06","145,843.88"
National Capital Region (NCR),Makati City,Rural and Cooperative Banks,"7,562.97","7,752.68"
National Capital Region (NCR),Muntinlupa City,Muntinlupa City,"8,464.59","12,495.43"
National Capital Region (NCR),Muntinlupa City,Universal and Commercial Banks,"6,941.96","8,532.85"
National Capital Region (NCR),Muntinlupa City,Thrift Banks,"1,439.11","3,879.71"
National Capital Region (NCR),Muntinlupa City,Rural and Cooperative Banks,83.517,82.865
National Capital Region (NCR),Paranaque City,Paranaque City,"5,126.60","10,423.51"
National Capital Region (NCR),Paranaque City,Universal and Commercial Banks,*,*
National Capital Region (NCR),Paranaque City,Thrift Banks,*,*
National Capital Region (NCR),Paranaque City,Rural and Cooperative Banks,*,*
National Capital Region (NCR),Pasay City,Pasay City,"141,268.37","148,656.14"
National Capital Region (NCR),Pasay City,Universal and Commercial Banks,"140,979.52","147,744.42"
National Capital Region (NCR),Pasay City,Thrift Banks,288.851,911.719
National Capital Region (NCR),Pasay City,Rural and Cooperative Banks,-,0
National Capital Region (NCR),Pateros,Pateros,481.929,559.198
National Capital Region (NCR),Pateros,Universal and Commercial Banks,93.758,147.038
National Capital Region (NCR),Pateros,Thrift Banks,17.777,75.292
National Capital Region (NCR),Pateros,Rural and Cooperative Banks,370.394,336.868
National Capital Region (NCR),Taguig City,Taguig City,"47,898.72","94,509.86"
National Capital Region (NCR),Taguig City,Universal and Commercial Banks,"47,205.34","94,016.29"
National Capital Region (NCR),Taguig City,Thrift Banks,405.194,410.149
National Capital Region (NCR),Taguig City,Rural and Cooperative Banks,288.187,83.427
Region I (Ilocos Region),Region I (Ilocos Region),Region I (Ilocos Region),"20,686.15","23,199.51"
Region I (Ilocos Region),Region I (Ilocos Region),Universal and Commercial Banks,"10,644.07","12,166.01"
Region I (Ilocos Region),Region I (Ilocos Region),Thrift Banks,"4,345.15","5,481.19"
Region I (Ilocos Region),Region I (Ilocos Region),Rural and Cooperative Banks,"5,696.92","5,552.31"
Region I (Ilocos Region),Ilocos Norte,Ilocos Norte,"2,906.92","4,495.73"
Region I (Ilocos Region),Ilocos Norte,Universal and Commercial Banks,"2,357.27","3,642.26"
Region I (Ilocos Region),Ilocos Norte,Thrift Banks,199.883,554.779
Region I (Ilocos Region),Ilocos Norte,Rural and Cooperative Banks,349.765,298.689
Region I (Ilocos Region),Ilocos Sur,Ilocos Sur,"1,645.30","2,489.98"
Region I (Ilocos Region),Ilocos Sur,Universal and Commercial Banks,536.619,"1,374.80"
Region I (Ilocos Region),Ilocos Sur,Thrift Banks,173.659,205.743
Region I (Ilocos Region),Ilocos Sur,Rural and Cooperative Banks,935.024,909.445
Region I (Ilocos Region),La Union,La Union,"4,498.88","3,249.45"
Region I (Ilocos Region),La Union,Universal and Commercial Banks,"3,038.33","1,595.70"
Region I (Ilocos Region),La Union,Thrift Banks,397.437,648.823
Region I (Ilocos Region),La Union,Rural and Cooperative Banks,"1,063.11","1,004.92"
Region I (Ilocos Region),Pangasinan,Pangasinan,"11,635.05","12,964.35"
Region I (Ilocos Region),Pangasinan,Universal and Commercial Banks,"4,711.86","5,553.25"
Region I (Ilocos Region),Pangasinan,Thrift Banks,"3,574.17","4,071.85"
Region I (Ilocos Region),Pangasinan,Rural and Cooperative Banks,"3,349.02","3,339.25"
Region II (Cagayan Valley),Region II (Cagayan Valley),Region II (Cagayan Valley),"20,086.66","22,302.93"
Region II (Cagayan Valley),Region II (Cagayan Valley),Universal and Commercial Banks,"10,792.18","12,599.84"
Region II (Cagayan Valley),Region II (Cagayan Valley),Thrift Banks,"3,485.64","3,802.30"
Region II (Cagayan Valley),Region II (Cagayan Valley),Rural and Cooperative Banks,"5,808.84","5,900.80"
Region II (Cagayan Valley),Batanes,Batanes,18.384,65.476
Region II (Cagayan Valley),Batanes,Universal and Commercial Banks,*,*
Region II (Cagayan Valley),Batanes,Thrift Banks,-,-
Region II (Cagayan Valley),Batanes,Rural and Cooperative Banks,*,*
Region II (Cagayan Valley),Cagayan,Cagayan,"4,154.46","4,431.90"
Region II (Cagayan Valley),Cagayan,Universal and Commercial Banks,"2,181.58","2,423.08"
Region II (Cagayan Valley),Cagayan,Thrift Banks,683.024,741.535
Region II (Cagayan Valley),Cagayan,Rural and Cooperative Banks,"1,289.86","1,267.29"
Region II (Cagayan Valley),Isabela,Isabela,"13,061.04","14,602.93"
Region II (Cagayan Valley),Isabela,Universal and Commercial Banks,"7,844.58","9,070.18"
Region II (Cagayan Valley),Isabela,Thrift Banks,"2,391.93","2,588.29"
Region II (Cagayan Valley),Isabela,Rural and Cooperative Banks,"2,824.53","2,944.46"
Region II (Cagayan Valley),Nueva Vizcaya,Nueva Vizcaya,"2,044.96","2,362.51"
Region II (Cagayan Valley),Nueva Vizcaya,Universal and Commercial Banks,344.706,609.835
Region II (Cagayan Valley),Nueva Vizcaya,Thrift Banks,309.242,355.205
Region II (Cagayan Valley),Nueva Vizcaya,Rural and Cooperative Banks,"1,391.01","1,397.47"
Region II (Cagayan Valley),Quirino,Quirino,807.809,840.122
Region II (Cagayan Valley),Quirino,Universal and Commercial Banks,*,*
Region II (Cagayan Valley),Quirino,Thrift Banks,*,*
Region II (Cagayan Valley),Quirino,Rural and Cooperative Banks,*,*
Region III (Central Luzon),Region III (Central Luzon),Region III (Central Luzon),"71,768.72","81,922.87"
Region III (Central Luzon),Region III (Central Luzon),Universal and Commercial Banks,"39,202.30","45,835.89"
Region III (Central Luzon),Region III (Central Luzon),Thrift Banks,"13,536.34","16,980.25"
Region III (Central Luzon),Region III (Central Luzon),Rural and Cooperative Banks,"19,030.08","19,106.73"
Region III (Central Luzon),Aurora,Aurora,684.485,897.803
Region III (Central Luzon),Aurora,Universal and Commercial Banks,184.053,340.855
Region III (Central Luzon),Aurora,Thrift Banks,142.955,166.923
Region III (Central Luzon),Aurora,Rural and Cooperative Banks,357.477,390.025
Region III (Central Luzon),Bataan,Bataan,"3,599.31","4,164.51"
Region III (Central Luzon),Bataan,Universal and Commercial Banks,"2,165.34","2,538.71"
Region III (Central Luzon),Bataan,Thrift Banks,746.085,914.619
Region III (Central Luzon),Bataan,Rural and Cooperative Banks,687.888,711.184
Region III (Central Luzon),Bulacan,Bulacan,"17,302.20","19,266.80"
Region III (Central Luzon),Bulacan,Universal and Commercial Banks,"6,996.81","8,535.29"
Region III (Central Luzon),Bulacan,Thrift Banks,"3,730.16","4,254.39"
Region III (Central Luzon),Bulacan,Rural and Cooperative Banks,"6,575.23","6,477.12"
Region III (Central Luzon),Nueva Ecija,Nueva Ecija,"13,993.84","15,334.11"
Region III (Central Luzon),Nueva Ecija,Universal and Commercial Banks,"7,800.13","8,434.27"
Region III (Central Luzon),Nueva Ecija,Thrift Banks,"2,571.66","3,030.89"
Region III (Central Luzon),Nueva Ecija,Rural and Cooperative Banks,"3,622.05","3,868.95"
Region III (Central Luzon),Pampanga,Pampanga,"22,189.02","27,200.09"
Region III (Central Luzon),Pampanga,Universal and Commercial Banks,"11,722.63","15,079.85"
Region III (Central Luzon),Pampanga,Thrift Banks,"4,833.45","6,504.80"
Region III (Central Luzon),Pampanga,Rural and Cooperative Banks,"5,632.94","5,615.44"
Region III (Central Luzon),Tarlac,Tarlac,"6,552.94","7,160.58"
Region III (Central Luzon),Tarlac,Universal and Commercial Banks,"3,677.71","3,965.08"
Region III (Central Luzon),Tarlac,Thrift Banks,"1,211.09","1,587.34"
Region III (Central Luzon),Tarlac,Rural and Cooperative Banks,"1,664.14","1,608.16"
Region III (Central Luzon),Zambales,Zambales,"7,446.93","7,898.98"
Region III (Central Luzon),Zambales,Universal and Commercial Banks,"6,655.63","6,941.83"
Region III (Central Luzon),Zambales,Thrift Banks,300.939,521.285
Region III (Central Luzon),Zambales,Rural and Cooperative Banks,490.358,435.858
Region IV-A (CALABARZON),Region IV-A (CALABARZON),Region IV-A (CALABARZON),"67,113.82","83,910.40"
Region IV-A (CALABARZON),Region IV-A (CALABARZON),Universal and Commercial Banks,"34,111.34","40,998.17"
Region IV-A (CALABARZON),Region IV-A (CALABARZON),Thrift Banks,"15,435.86","26,272.85"
Region IV-A (CALABARZON),Region IV-A (CALABARZON),Rural and Cooperative Banks,"17,566.63","16,639.37"
Region IV-A (CALABARZON),Batangas,Batangas,"16,026.18","19,397.17"
Region IV-A (CALABARZON),Batangas,Universal and Commercial Banks,"7,292.23","9,473.81"
Region IV-A (CALABARZON),Batangas,Thrift Banks,"3,720.18","5,212.27"
Region IV-A (CALABARZON),Batangas,Rural and Cooperative Banks,"5,013.77","4,711.10"
Region IV-A (CALABARZON),Cavite,Cavite,"12,024.19","16,010.56"
Region IV-A (CALABARZON),Cavite,Universal and Commercial Banks,"6,722.13","7,323.61"
Region IV-A (CALABARZON),Cavite,Thrift Banks,"2,109.12","5,937.61"
Region IV-A (CALABARZON),Cavite,Rural and Cooperative Banks,"3,192.94","2,749.34"
Region IV-A (CALABARZON),Laguna,Laguna,"18,039.94","22,755.93"
Region IV-A (CALABARZON),Laguna,Universal and Commercial Banks,"9,347.63","11,194.77"
Region IV-A (CALABARZON),Laguna,Thrift Banks,"4,069.56","7,094.08"
Region IV-A (CALABARZON),Laguna,Rural and Cooperative Banks,"4,622.75","4,467.07"
Region IV-A (CALABARZON),Quezon,Quezon,"7,928.03","9,719.22"
Region IV-A (CALABARZON),Quezon,Universal and Commercial Banks,"4,228.08","5,235.07"
Region IV-A (CALABARZON),Quezon,Thrift Banks,646.243,"1,328.31"
Region IV-A (CALABARZON),Quezon,Rural and Cooperative Banks,"3,053.71","3,155.84"
Region IV-A (CALABARZON),Rizal,Rizal,"13,095.49","16,027.52"
Region IV-A (CALABARZON),Rizal,Universal and Commercial Banks,"6,521.27","7,770.92"
Region IV-A (CALABARZON),Rizal,Thrift Banks,"4,890.76","6,700.58"
Region IV-A (CALABARZON),Rizal,Rural and Cooperative Banks,"1,683.46","1,556.02"
Region IV-B (MIMAROPA),Rizal,Rizal,"8,781.52","10,264.89"
Region IV-B (MIMAROPA),Rizal,Universal and Commercial Banks,"5,561.89","6,961.18"
Region IV-B (MIMAROPA),Rizal,Thrift Banks,962.985,"1,042.04"
Region IV-B (MIMAROPA),Rizal,Rural and Cooperative Banks,"2,256.65","2,261.67"
Region IV-B (MIMAROPA),Marinduque,Marinduque,140.458,233.559
Region IV-B (MIMAROPA),Marinduque,Universal and Commercial Banks,*,*
Region IV-B (MIMAROPA),Marinduque,Thrift Banks,*,*
Region IV-B (MIMAROPA),Marinduque,Rural and Cooperative Banks,*,*
Region IV-B (MIMAROPA),Occidental Mindoro,Occidental Mindoro,"1,286.09","1,426.70"
Region IV-B (MIMAROPA),Occidental Mindoro,Universal and Commercial Banks,919.805,"1,013.47"
Region IV-B (MIMAROPA),Occidental Mindoro,Thrift Banks,46.016,55.394
Region IV-B (MIMAROPA),Occidental Mindoro,Rural and Cooperative Banks,320.264,357.831
Region IV-B (MIMAROPA),Oriental Mindoro,Oriental Mindoro,"3,386.89","3,460.22"
Region IV-B (MIMAROPA),Oriental Mindoro,Universal and Commercial Banks,"1,954.57","2,098.69"
Region IV-B (MIMAROPA),Oriental Mindoro,Thrift Banks,20.103,27.074
Region IV-B (MIMAROPA),Oriental Mindoro,Rural and Cooperative Banks,"1,412.21","1,334.45"
Region IV-B (MIMAROPA),Palawan,Palawan,"3,784.97","4,987.10"
Region IV-B (MIMAROPA),Palawan,Universal and Commercial Banks,"2,498.32","3,621.80"
Region IV-B (MIMAROPA),Palawan,Thrift Banks,895.774,956.605
Region IV-B (MIMAROPA),Palawan,Rural and Cooperative Banks,390.877,408.699
Region IV-B (MIMAROPA),Romblon,Romblon,183.122,157.311
Region IV-B (MIMAROPA),Romblon,Universal and Commercial Banks,*,*
Region IV-B (MIMAROPA),Romblon,Thrift Banks,*,*
Region IV-B (MIMAROPA),Romblon,Rural and Cooperative Banks,*,*
Region V (Bicol Region),Region V (Bicol Region),Region V (Bicol Region),"19,821.79","22,219.64"
Region V (Bicol Region),Region V (Bicol Region),Universal and Commercial Banks,"11,989.96","13,648.76"
Region V (Bicol Region),Region V (Bicol Region),Thrift Banks,"3,123.90","3,782.48"
Region V (Bicol Region),Region V (Bicol Region),Rural and Cooperative Banks,"4,707.93","4,788.40"
Region V (Bicol Region),Albay,Albay,"5,923.82","6,702.08"
Region V (Bicol Region),Albay,Universal and Commercial Banks,"3,497.16","4,112.57"
Region V (Bicol Region),Albay,Thrift Banks,"1,652.92","1,833.88"
Region V (Bicol Region),Albay,Rural and Cooperative Banks,773.736,755.63
Region V (Bicol Region),Camarines Norte,Camarines Norte,"1,539.50","1,804.24"
Region V (Bicol Region),Camarines Norte,Universal and Commercial Banks,*,*
Region V (Bicol Region),Camarines Norte,Thrift Banks,*,*
Region V (Bicol Region),Camarines Norte,Rural and Cooperative Banks,*,*
Region V (Bicol Region),Camarines Sur,Camarines Sur,"9,372.24","10,373.46"
Region V (Bicol Region),Camarines Sur,Universal and Commercial Banks,"5,886.50","6,423.42"
Region V (Bicol Region),Camarines Sur,Thrift Banks,"1,071.26","1,534.79"
Region V (Bicol Region),Camarines Sur,Rural and Cooperative Banks,"2,414.48","2,415.25"
Region V (Bicol Region),Catanduanes,Catanduanes,590.069,664.177
Region V (Bicol Region),Catanduanes,Universal and Commercial Banks,*,*
Region V (Bicol Region),Catanduanes,Thrift Banks,*,*
Region V (Bicol Region),Catanduanes,Rural and Cooperative Banks,*,*
Region V (Bicol Region),Masbate,Masbate,785.38,964.668
Region V (Bicol Region),Masbate,Universal and Commercial Banks,437.168,539.228
Region V (Bicol Region),Masbate,Thrift Banks,107.019,117.293
Region V (Bicol Region),Masbate,Rural and Cooperative Banks,241.192,308.147
Region V (Bicol Region),Sorsogon,Sorsogon,"1,610.78","1,711.02"
Region V (Bicol Region),Sorsogon,Universal and Commercial Banks,921.181,966.624
Region V (Bicol Region),Sorsogon,Thrift Banks,146.297,147.408
Region V (Bicol Region),Sorsogon,Rural and Cooperative Banks,543.302,596.985
Region VI (Western Visayas),Region VI (Western Visayas),Region VI (Western Visayas),"38,600.48","41,418.31"
Region VI (Western Visayas),Region VI (Western Visayas),Universal and Commercial Banks,"24,562.83","22,613.96"
Region VI (Western Visayas),Region VI (Western Visayas),Thrift Banks,"10,354.34","14,540.77"
Region VI (Western Visayas),Region VI (Western Visayas),Rural and Cooperative Banks,"3,683.32","4,263.59"
Region VI (Western Visayas),Aklan,Aklan,"1,581.07","1,815.49"
Region VI (Western Visayas),Aklan,Universal and Commercial Banks,884.78,"1,078.77"
Region VI (Western Visayas),Aklan,Thrift Banks,493.152,565.628
Region VI (Western Visayas),Aklan,Rural and Cooperative Banks,203.136,171.093
Region VI (Western Visayas),Capiz,Capiz,"1,780.33","1,946.91"
Region VI (Western Visayas),Capiz,Universal and Commercial Banks,897.902,"1,163.52"
Region VI (Western Visayas),Capiz,Thrift Banks,568.006,626.791
Region VI (Western Visayas),Capiz,Rural and Cooperative Banks,314.42,156.601
Region VI (Western Visayas),Iloilo,Iloilo,"14,714.93","17,680.79"
Region VI (Western Visayas),Iloilo,Universal and Commercial Banks,"7,327.10","7,228.89"
Region VI (Western Visayas),Iloilo,Thrift Banks,"5,341.86","7,525.59"
Region VI (Western Visayas),Iloilo,Rural and Cooperative Banks,"2,045.98","2,926.32"
Region VI (Western Visayas),Negros Occidental,Negros Occidental,"19,275.32","18,725.67"
Region VI (Western Visayas),Negros Occidental,Universal and Commercial Banks,"14,685.10","12,416.64"
Region VI (Western Visayas),Negros Occidental,Thrift Banks,"3,686.04","5,536.13"
Region VI (Western Visayas),Negros Occidental,Rural and Cooperative Banks,904.178,772.898
Region VI (Western Visayas),Antique and Guimaras,Antique and Guimaras,"1,248.84","1,249.45"
Region VI (Western Visayas),Antique and Guimaras,Universal and Commercial Banks,767.954,726.133
Region VI (Western Visayas),Antique and Guimaras,Thrift Banks,265.277,286.631
Region VI (Western Visayas),Antique and Guimaras,Rural and Cooperative Banks,215.605,236.681
Region VII (Central Visayas),Region VII (Central Visayas),Region VII (Central Visayas),"69,030.53","86,036.36"
Region VII (Central Visayas),Region VII (Central Visayas),Universal and Commercial Banks,"53,442.48","65,829.17"
Region VII (Central Visayas),Region VII (Central Visayas),Thrift Banks,"11,236.97","15,585.77"
Region VII (Central Visayas),Region VII (Central Visayas),Rural and Cooperative Banks,"4,351.09","4,621.42"
Region VII (Central Visayas),Cebu,Cebu,"56,564.80","76,944.17"
Region VII (Central Visayas),Cebu,Universal and Commercial Banks,"44,985.28","61,108.02"
Region VII (Central Visayas),Cebu,Thrift Banks,"8,563.23","12,728.62"
Region VII (Central Visayas),Cebu,Rural and Cooperative Banks,"3,016.29","3,107.53"
Region VII (Central Visayas),Negros Oriental,Negros Oriental,"7,643.26","4,112.72"
Region VII (Central Visayas),Negros Oriental,Universal and Commercial Banks,"5,595.28","1,917.84"
Region VII (Central Visayas),Negros Oriental,Thrift Banks,999.884,"1,142.80"
Region VII (Central Visayas),Negros Oriental,Rural and Cooperative Banks,"1,048.10","1,052.08"
Region VII (Central Visayas),Bohol and Siquijor,Bohol and Siquijor,"4,822.47","4,979.47"
Region VII (Central Visayas),Bohol and Siquijor,Universal and Commercial Banks,"2,861.92","2,803.30"
Region VII (Central Visayas),Bohol and Siquijor,Thrift Banks,"1,673.85","1,714.35"
Region VII (Central Visayas),Bohol and Siquijor,Rural and Cooperative Banks,286.702,461.821
Region VIII (Eastern Visayas),Region VIII (Eastern Visayas),Region VIII (Eastern Visayas),"12,269.67","13,479.47"
Region VIII (Eastern Visayas),Region VIII (Eastern Visayas),Universal and Commercial Banks,"7,022.89","7,984.65"
Region VIII (Eastern Visayas),Region VIII (Eastern Visayas),Thrift Banks,"4,225.64","4,504.83"
Region VIII (Eastern Visayas),Region VIII (Eastern Visayas),Rural and Cooperative Banks,"1,021.14",989.989
Region VIII (Eastern Visayas),Biliran,Biliran,184.541,239.63
Region VIII (Eastern Visayas),Biliran,Universal and Commercial Banks,74.014,145.834
Region VIII (Eastern Visayas),Biliran,Thrift Banks,-,-
Region VIII (Eastern Visayas),Biliran,Rural and Cooperative Banks,110.527,93.796
Region VIII (Eastern Visayas),Eastern Samar,Eastern Samar,"1,038.13",897.544
Region VIII (Eastern Visayas),Eastern Samar,Universal and Commercial Banks,624.908,433.183
Region VIII (Eastern Visayas),Eastern Samar,Thrift Banks,316.724,364.931
Region VIII (Eastern Visayas),Eastern Samar,Rural and Cooperative Banks,96.495,99.431
Region VIII (Eastern Visayas),Leyte,Leyte,"7,916.56","9,223.96"
Region VIII (Eastern Visayas),Leyte,Universal and Commercial Banks,"3,661.79","4,744.37"
Region VIII (Eastern Visayas),Leyte,Thrift Banks,"3,757.08","3,954.92"
Region VIII (Eastern Visayas),Leyte,Rural and Cooperative Banks,497.684,524.668
Region VIII (Eastern Visayas),Northern Samar,Northern Samar,286.561,516.044
Region VIII (Eastern Visayas),Northern Samar,Universal and Commercial Banks,286.561,516.044
Region VIII (Eastern Visayas),Northern Samar,Thrift Banks,0,-
Region VIII (Eastern Visayas),Northern Samar,Rural and Cooperative Banks,0,0
Region VIII (Eastern Visayas),Southern Leyte,Southern Leyte,"1,275.95","1,388.83"
Region VIII (Eastern Visayas),Southern Leyte,Universal and Commercial Banks,900.624,"1,018.43"
Region VIII (Eastern Visayas),Southern Leyte,Thrift Banks,136.541,168.339
Region VIII (Eastern Visayas),Southern Leyte,Rural and Cooperative Banks,238.781,202.062
Region VIII (Eastern Visayas),Western Samar,Western Samar,"1,567.94","1,213.46"
Region VIII (Eastern Visayas),Western Samar,Universal and Commercial Banks,"1,474.99","1,126.79"
Region VIII (Eastern Visayas),Western Samar,Thrift Banks,15.296,16.635
Region VIII (Eastern Visayas),Western Samar,Rural and Cooperative Banks,77.655,70.033
Region IX (Zamboanga Peninsula),Region IX (Zamboanga Peninsula),Region IX (Zamboanga Peninsula),"14,553.46","14,721.72"
Region IX (Zamboanga Peninsula),Region IX (Zamboanga Peninsula),Universal and Commercial Banks,"8,850.00","8,272.61"
Region IX (Zamboanga Peninsula),Region IX (Zamboanga Peninsula),Thrift Banks,"1,380.50","1,532.20"
Region IX (Zamboanga Peninsula),Region IX (Zamboanga Peninsula),Rural and Cooperative Banks,"4,322.95","4,916.91"
Region IX (Zamboanga Peninsula),Zamboanga del Norte,Zamboanga del Norte,"4,847.18","4,301.56"
Region IX (Zamboanga Peninsula),Zamboanga del Norte,Universal and Commercial Banks,"2,243.80","1,523.03"
Region IX (Zamboanga Peninsula),Zamboanga del Norte,Thrift Banks,525.971,570.478
Region IX (Zamboanga Peninsula),Zamboanga del Norte,Rural and Cooperative Banks,"2,077.42","2,208.06"
Region IX (Zamboanga Peninsula),Zamboanga del Sur,Zamboanga del Sur,"7,328.36","8,495.82"
Region IX (Zamboanga Peninsula),Zamboanga del Sur,Universal and Commercial Banks,"4,909.25","5,706.05"
Region IX (Zamboanga Peninsula),Zamboanga del Sur,Thrift Banks,825.364,923.73
Region IX (Zamboanga Peninsula),Zamboanga del Sur,Rural and Cooperative Banks,"1,593.75","1,866.05"
Region IX (Zamboanga Peninsula),Zamboanga Sibugay,Zamboanga Sibugay,"2,142.02","1,660.61"
Region IX (Zamboanga Peninsula),Zamboanga Sibugay,Universal and Commercial Banks,"1,461.07",779.814
Region IX (Zamboanga Peninsula),Zamboanga Sibugay,Thrift Banks,29.165,37.992
