selected_accounts,selected_accounts_type_1,selected_accounts_type_2,11-Mar,11-Jun,11-Sep,11-Dec
"Net Profit Before Share in the Profit/(Loss) of Unconsolidated Subsidiaries, Associates and Joint Ventures Accounted for Using the Equity Method","Net Profit Before Share in the Profit/(Loss) of Unconsolidated Subsidiaries, Associates and Joint Ventures Accounted for Using the Equity Method","Net Profit Before Share in the Profit/(Loss) of Unconsolidated Subsidiaries, Associates and Joint Ventures Accounted for Using the Equity Method",2.246,4.78,7.702,10.277
"Share in the Profit/(Loss) of Unconsolidated Subsidiaries, Associates and Joint Ventures Accounted for Using the Equity Method","Share in the Profit/(Loss) of Unconsolidated Subsidiaries, Associates and Joint Ventures Accounted for Using the Equity Method","Share in the Profit/(Loss) of Unconsolidated Subsidiaries, Associates and Joint Ventures Accounted for Using the Equity Method",-0.011,-0.018,0.163,0.094
"Share in the Profit/(Loss) of Unconsolidated Subsidiaries, Associates and Joint Ventures Accounted for Using the Equity Method",Share in the Profit/(Loss) of Unconsolidated Subsidiaries,Share in the Profit/(Loss) of Unconsolidated Subsidiaries,-0.019,-0.033,0.143,0.089
"Share in the Profit/(Loss) of Unconsolidated Subsidiaries, Associates and Joint Ventures Accounted for Using the Equity Method",Share in the Profit/(Loss) of Associates,Share in the Profit/(Loss) of Associates,0.012,0.028,0.047,0.061
"Share in the Profit/(Loss) of Unconsolidated Subsidiaries, Associates and Joint Ventures Accounted for Using the Equity Method",Share in the Profit/(Loss) of Joint Ventures,Share in the Profit/(Loss) of Joint Ventures,-0.004,-0.013,-0.026,-0.056
Total Profit/Loss Before Tax and Before Minority Interest,Total Profit/Loss Before Tax and Before Minority Interest,Total Profit/Loss Before Tax and Before Minority Interest,2.235,4.762,7.865,10.371
Total Profit/Loss Before Tax and Before Minority Interest,Income Tax Expense,Income Tax Expense,0.376,0.381,0.894,1.109
Total Profit/Loss After Tax and Before Minority Interest ,Total Profit/Loss After Tax and Before Minority Interest ,Total Profit/Loss After Tax and Before Minority Interest ,1.859,4.382,6.971,9.262
Total Profit/Loss After Tax and Before Minority Interest ,Minority Interest in Profit/(Loss) of Subsidiaries (for consolidated report only),Minority Interest in Profit/(Loss) of Subsidiaries (for consolidated report only),0,0,0,0
Net Profit or Loss,Net Profit or Loss,Net Profit or Loss,1.859,4.382,6.971,9.262
Net Profit or Loss,Earning Asset Yield 1/,Earning Asset Yield 1/,9.09,9.16,8.65,8.02
Net Profit or Loss,Funding Cost 2/,Funding Cost 2/,3.5,3.45,3.18,2.92
Net Profit or Loss,Interest Spread 3/,Interest Spread 3/,5.59,5.72,5.47,5.1
Net Profit or Loss,Net Interest Margin 4/,Net Interest Margin 4/,5.65,5.78,5.55,5.24
Net Profit or Loss,Net Interest Income to Total Operating Income,Net Interest Income to Total Operating Income,70.64,70.7,72.87,74.87
Net Profit or Loss,Cost to Income Ratio 5/,Cost to Income Ratio 5/,71.55,70.01,69.63,67.98
Net Profit or Loss,Return on Assets ,Return on Assets ,1,1.28,1.32,1.53
Net Profit or Loss,Return on Equity ,Return on Equity ,8.5,10.9,11,13.12
,,,,,,
INCOME STATEMENT AND KEY RATIOS,,,,,,
Thrift Banking System for the periods indicated in billion pesos,,,,,,
,,,,,,
"1/ Ratio of Annualized Interest Income to Average Earning Assets [(Due from BSP) + (Due from Other Banks) + (Financial Assets - Debt Securities, gross, net of amortization) + (Derivatives with Positive Fair Value HFT - Interest Rate Contracts) + (Derivatives with Positive Fair Value Held for Hedging - Interest Rate Contracts) + (TLP, gross, net of amortization)]",,,,,,
2/ Ratio of annualized Interest Expense to Interest Bearing Liabilities [(Financial Liabilities HFT) + (Financial Liabilities Designated at FVPL) + (Deposit Liabilities) + (Bills Payable) + (Bonds Payable) + (Unsecured Subordinated Debt (USD)) + (Redeemable Preferred Shares) + (Derivatives w/ Negative Fair Value Held for Hedging) + (Finance Lease Payment Payable)],,,,,,
3/ Earning assets Yield - Funding Cost,,,,,,
4/ Ratio of Annualized Net Interest Income [(Interest Income) - (Interest Expense) - (Provision for Losses on Accrued Interest Income from Financial Assets)] to Average Earning Assets,,,,,,
"5/ Ratio of Annualized Non-Interest Expense, Net of Impairment Losses to Annualized Total Operating Income [(Net Interest Income) + (Non-Interest Income)]",,,,,,
Note: Details may not add up to totals due to rounding-off,,,,,,
"Source: Supervisory Data Center, Supervision and Examination Sector",,,,,,
Updated as of 11 April 2012,,,,,,
