selected_account_a,selected_account_b,sellected_account_c,42077,Jun-14,Sep-14,
Non-Interest Expense,Depreciation/Amortization,Depreciation/Amortization,0.81954,1.6126,2.47781,
Non-Interest Expense,Impairment Losses,Impairment Losses,0.24296,0.01252,0.06055,
Non-Interest Expense,Impairment Losses,"Investment in Subsidiaries, Associates and Joint Ventures",0,0,0,
Non-Interest Expense,Impairment Losses,"Bank Premises, Furniture, Fixture and Equipment",0,0,0.00411,
Non-Interest Expense,Impairment Losses,ROPA,0.00043,0.00246,0.02863,
Non-Interest Expense,Impairment Losses,Impairment Losses - Non-Current Assets Held for Sale,0,0,0,
Non-Interest Expense,Impairment Losses,Goodwill,0.2423,0.00018,0.00028,
Non-Interest Expense,Impairment Losses,Other Intangible Assets,0.0001,0.0081,0.0161,
Non-Interest Expense,Impairment Losses,Other Assets,0.00014,0.00179,0.01142,
Non-Interest Expense,Provisions,Provisions,0.31306,0.63575,1.08267,
Losses/Recoveries on Financial Assets Total,Losses/Recoveries on Financial Assets Total,Losses/Recoveries on Financial Assets Total,-1.13347,-1.90801,-3.19601,
Losses/Recoveries on Financial Assets,Provision for Credit Losses on Loans and Receivables and Other Financial Assets,Provision for Credit Losses on Loans and Receivables and Other Financial Assets,-1.19641,-2.06978,-3.37175,
Losses/Recoveries on Financial Assets,Bad Debts Written Off,Bad Debts Written Off,-0.00886,-0.01518,-0.11518,
Losses/Recoveries on Financial Assets,Recovery on Charged-Off Assets,Recovery on Charged-Off Assets,0.0718,0.17695,0.29091,
"Net Profit Before Share in the Profit/(Loss) of Unconsolidated Subsidiaries, Associates and Joint Ventures Accounted for Using the Equity Method Total","Net Profit Before Share in the Profit/(Loss) of Unconsolidated Subsidiaries, Associates and Joint Ventures Accounted for Using the Equity Method Total","Net Profit Before Share in the Profit/(Loss) of Unconsolidated Subsidiaries, Associates and Joint Ventures Accounted for Using the Equity Method Total",2.46096,5.93428,9.04252,
"Share in the Profit/(Loss) of Unconsolidated Subsidiaries, Associates and Joint Ventures Accounted for Using the Equity Method Total","Share in the Profit/(Loss) of Unconsolidated Subsidiaries, Associates and Joint Ventures Accounted for Using the Equity Method Total","Share in the Profit/(Loss) of Unconsolidated Subsidiaries, Associates and Joint Ventures Accounted for Using the Equity Method Total",0.0015,0.04427,0.06237,
"Share in the Profit/(Loss) of Unconsolidated Subsidiaries, Associates and Joint Ventures Accounted for Using the Equity Method",Share in the Profit/(Loss) of Unconsolidated Subsidiaries,Share in the Profit/(Loss) of Unconsolidated Subsidiaries,-0.01302,-0.00325,-0.00702,
"Share in the Profit/(Loss) of Unconsolidated Subsidiaries, Associates and Joint Ventures Accounted for Using the Equity Method",Share in the Profit/(Loss) of Associates,Share in the Profit/(Loss) of Associates,0.01445,0.04695,0.07516,
"Share in the Profit/(Loss) of Unconsolidated Subsidiaries, Associates and Joint Ventures Accounted for Using the Equity Method",Share in the Profit/(Loss) of Joint Ventures,Share in the Profit/(Loss) of Joint Ventures,0.00007,0.00057,-0.00577,
Total Profit/Loss Before Tax and Before Minority Interest,Total Profit/Loss Before Tax and Before Minority Interest,Total Profit/Loss Before Tax and Before Minority Interest,2.46246,5.97854,9.10489,
Total Profit/Loss Before Tax and Before Minority Interest,Income Tax Expense,Income Tax Expense,1.12661,1.51763,2.2423,
Total Profit/Loss After Tax and Before Minority Interest ,Total Profit/Loss After Tax and Before Minority Interest ,Total Profit/Loss After Tax and Before Minority Interest ,1.33584,4.46091,6.86259,
Total Profit/Loss After Tax and Before Minority Interest ,Minority Interest in Profit/(Loss) of Subsidiaries (for consolidated report only),Minority Interest in Profit/(Loss) of Subsidiaries (for consolidated report only),0,0,0,
Net Profit or Loss Total,Net Profit or Loss Total,Net Profit or Loss Total,1.33584,4.46091,6.86259,
Key  Ratios,Earning Asset Yield 1/,Earning Asset Yield 1/,7.24093,7.01087,7.03891,
Key  Ratios,Funding Cost 2/,Funding Cost 2/,2.16632,2.01069,1.97729,
Key  Ratios,Interest Spread 3/,Interest Spread 3/,5.07461,5.00018,5.06162,
Key  Ratios,Net Interest Margin 4/,Net Interest Margin 4/,5.27964,5.186,5.2496,
Key  Ratios,Net Interest Income to Total Operating Income ,Net Interest Income to Total Operating Income ,74.2758,78.67251,77.87522,
Key  Ratios,Cost to Income Ratio 5/,Cost to Income Ratio 5/,67.3499,69.40441,69.88243,
Key  Ratios,Return on Assets ,Return on Assets ,0.85205,0.85997,0.9162,
Key  Ratios,Return on Equity ,Return on Equity ,6.84749,7.29985,7.82553,
,,,,,,
,,,,,,
"1/ Ratio of Annualized Interest Income to Average Earning Assets [(Due from BSP) + (Due from Other Banks) + (Financial Assets - Debt Securities, gross, net of amortization) + (Derivatives with Positive Fair Value HFT - Interest Rate Contracts) + (Derivatives with Positive Fair Value Held for Hedging - Interest Rate Contracts) + (TLP, gross, net of amortization)]",,,,,,
2/ Ratio of annualized Interest Expense to Interest Bearing Liabilities [(Financial Liabilities HFT) + (Financial Liabilities Designated at FVPL) + (Deposit Liabilities) + (Bills Payable) + (Bonds Payable) + (Unsecured Subordinated Debt (USD)) + (Redeemable Preferred Shares) + (Derivatives w/ Negative Fair Value Held for Hedging) + (Finance Lease Payment Payable)],,,,,,
3/ Earning assets Yield - Funding Cost,,,,,,
4/ Ratio of Annualized Net Interest Income [(Interest Income) - (Interest Expense) - (Provision for Losses on Accrued Interest Income from Financial Assets)] to Average Earning Assets,,,,,,
"5/ Ratio of Annualized Non-Interest Expense, Net of Impairment Losses to Annualized Total Operating Income [(Net Interest Income) + (Non-Interest Income)]",,,,,,
Note: Details may not add up to totals due to rounding-off,,,,,,
,,,,,,
"Source : Supervisory Data Center, Supervision and Examination Sector, Bangko Sentral ng Pilipinas",,,,,,
Updated as of 5 November 2014,,,,,,
,,,,,,
Income Statement and Key Ratios Thrift Banking System as of end of period indicated,,,,,,
,,,,,,
,,,,,,
,,,,,,
