region,province,municipality,division,school_id,school_name,school_type,year_1_male,year_1_female,year_2_male,year_2_female,year_3_male,year_3_female,year_4_male,year_4_female
I (Ilocos Region),Ilocos Sur,Alilem,Ilocos Sur,300033,Alilem NHS (Alilem Daya HS),HS,70,63,62,61,63,52,38,43
I (Ilocos Region),La Union,Rosario,La Union,300110,Alipang NHS,HS,18,20,25,12,23,21,19,23
I (Ilocos Region),Pangasinan,City of Alaminos,Alaminos City,300157,Alos NHS,HS,95,90,107,70,77,84,74,71
I (Ilocos Region),Pangasinan,Sison,"Pangasinan II, Binalonan",300270,Amagbagan Integrated School,HS,48,20,34,36,31,24,21,24
I (Ilocos Region),Pangasinan,Villasis,"Pangasinan II, Binalonan",300271,Amamperez Agro-Industrial HS,HS,42,32,47,39,40,44,36,31
I (Ilocos Region),Ilocos Sur,Santa Cruz,Ilocos Sur,300034,Amarao NHS,HS,44,24,34,34,43,33,33,24
I (Ilocos Region),Pangasinan,San Fabian,"Pangasinan II, Binalonan",300272,Ambalangan Dalin NHS,HS,30,30,36,23,28,20,27,20
I (Ilocos Region),Ilocos Sur,Tagudin,Ilocos Sur,320910,Ambalayat IS,HS,30,23,35,26,17,21,26,18
I (Ilocos Region),La Union,Rosario,La Union,300091,Amlang-Nagtagaan NHS,HS,55,33,46,37,34,41,30,31
I (Ilocos Region),Pangasinan,Anda,"Pangasinan I, Lingayen",300158,Anda NHS,HS,82,77,76,83,76,55,64,70
I (Ilocos Region),La Union,Tubao,La Union,300092,Anduyan NHS,HS,42,37,34,43,37,41,29,41
I (Ilocos Region),Pangasinan,Asingan,"Pangasinan II, Binalonan",300273,Angela Valdez Ramos NHS,HS,136,109,121,106,146,108,118,110
I (Ilocos Region),Pangasinan,San Fabian,"Pangasinan II, Binalonan",300274,Anonang NHS,HS,68,64,62,60,65,55,58,57
I (Ilocos Region),Pangasinan,City of Urdaneta,Urdaneta City,300392,Anonas NHS,HS,62,39,46,49,41,43,44,42
I (Ilocos Region),Pangasinan,Santo Tomas,"Pangasinan II, Binalonan",300275,Antonio P. Villar NHS,HS,80,69,91,85,101,57,90,62
I (Ilocos Region),Pangasinan,Alcala,"Pangasinan II, Binalonan",300276,Arboleda NHS,HS,57,47,65,61,57,58,59,47
I (Ilocos Region),La Union,Aringay,La Union,300093,Aringay NHS,HS,230,220,169,194,165,204,178,177
I (Ilocos Region),La Union,Aringay,La Union,321004,Aringay NHS - Basca Annex,HS,18,18,18,19,23,20,13,19
I (Ilocos Region),Pangasinan,Asingan,"Pangasinan II, Binalonan",300277,Ariston-Bantog NHS,HS,74,61,44,69,67,59,45,65
I (Ilocos Region),Pangasinan,Bolinao,"Pangasinan I, Lingayen",300159,Arnedo NHS,HS,65,56,56,49,41,59,53,76
I (Ilocos Region),Pangasinan,Sison,"Pangasinan II, Binalonan",300278,Artacho NHS,HS,68,61,50,54,64,61,43,49
I (Ilocos Region),La Union,Bagulin,La Union,321006,Baay Integrated School,HS,25,27,16,20,16,23,16,12
I (Ilocos Region),Ilocos Norte,Bacarra,Ilocos Norte,300002,Bacarra NCHS,HS,261,250,262,205,251,205,207,201
I (Ilocos Region),La Union,Bauang,La Union,300094,Baccuit NHS,HS,57,55,59,43,51,65,44,49
I (Ilocos Region),Pangasinan,San Carlos City,San Carlos City,300377,Bacnar NHS,HS,52,44,38,36,55,27,29,33
I (Ilocos Region),Pangasinan,Mabini,"Pangasinan I, Lingayen",321106,Bacnit IS,HS,20,23,28,16,15,20,19,10
I (Ilocos Region),La Union,Bacnotan,La Union,300095,Bacnotan NHS,HS,291,237,272,221,221,246,220,237
I (Ilocos Region),Pangasinan,City of Urdaneta,Urdaneta City,300393,Bactad East National High School,HS,21,14,17,14,24,15,18,21
I (Ilocos Region),Pangasinan,City of Urdaneta,Urdaneta City,300394,Badipa NHS,HS,97,94,103,93,108,69,84,69
I (Ilocos Region),Pangasinan,Manaoag,"Pangasinan II, Binalonan",300280,Baguinay NHS,HS,15,23,24,23,16,18,19,24
I (Ilocos Region),La Union,Santo Tomas,La Union,300096,Bail NHS,HS,31,33,43,29,36,44,33,37
I (Ilocos Region),Pangasinan,Urbiztondo,"Pangasinan I, Lingayen",300160,Balangay NHS,HS,41,48,56,30,47,37,40,52
I (Ilocos Region),La Union,Balaoan,La Union,300106,Balaoan NHS-Castor Concepcion MNHS,HS,154,127,124,111,126,109,119,110
I (Ilocos Region),Ilocos Norte,Laoag City (Capital),Laoag City,305602,Balatong Integrated School,HS,54,43,33,27,36,26,0,0
I (Ilocos Region),La Union,San Gabriel,La Union,300097,Balbalayang NHS,HS,35,43,42,44,28,37,29,43
I (Ilocos Region),Pangasinan,Bolinao,"Pangasinan I, Lingayen",300161,Balingasay NHS,HS,76,78,69,70,74,72,66,54
I (Ilocos Region),La Union,Bauang,La Union,300098,Ballay NHS,HS,20,13,33,11,24,21,19,18
I (Ilocos Region),Pangasinan,Mapandan,"Pangasinan I, Lingayen",300162,Baloling NHS,HS,21,20,29,20,20,22,23,17
I (Ilocos Region),Pangasinan,Balungao,"Pangasinan II, Binalonan",300281,Balungao NHS,HS,130,125,106,132,120,106,93,109
I (Ilocos Region),Pangasinan,Bautista,"Pangasinan II, Binalonan",300282,Baluyot NHS,HS,31,16,41,22,29,15,31,17
I (Ilocos Region),Pangasinan,Santa Barbara,"Pangasinan I, Lingayen",300163,Banaoang NHS,HS,93,70,90,76,76,59,72,67
I (Ilocos Region),Ilocos Sur,Banayoyo,Ilocos Sur,300037,Banayoyo NHS,HS,79,49,57,53,63,53,40,38
I (Ilocos Region),Ilocos Norte,Bangui,Ilocos Norte,320801,BANBAN NHS,HS,44,57,30,27,39,38,40,32
I (Ilocos Region),Pangasinan,Agno,"Pangasinan I, Lingayen",300164,Bangan-Oda NHS,HS,65,52,57,43,56,49,54,46
I (Ilocos Region),La Union,City of San Fernando (Capital),San Fernando City,300099,Bangbangolan NHS,HS,29,20,29,29,30,22,22,24
I (Ilocos Region),Ilocos Norte,Bangui,Ilocos Norte,300003,Bangui NHS,HS,70,78,59,82,70,77,64,75
I (Ilocos Region),Ilocos Norte,Bangui,Ilocos Norte,320802,Bangui NHS (Lanao Campus),HS,31,40,36,32,47,41,42,44
I (Ilocos Region),Pangasinan,Bani,"Pangasinan I, Lingayen",321124,Bani East IS,HS,27,39,0,0,0,0,0,0
I (Ilocos Region),Pangasinan,Bani,"Pangasinan I, Lingayen",300165,Bani NHS,HS,94,92,127,97,97,90,87,106
I (Ilocos Region),Ilocos Norte,Banna (Espiritu),Ilocos Norte,300004,Banna NHS,HS,45,46,54,49,34,47,29,41
I (Ilocos Region),Pangasinan,Bani,"Pangasinan I, Lingayen",300166,Banog Sur NHS,HS,26,17,27,28,19,20,22,16
I (Ilocos Region),Pangasinan,Sison,"Pangasinan II, Binalonan",321204,Bantay Insik Integrated School,HS,18,13,18,12,11,20,8,8
I (Ilocos Region),Ilocos Sur,Bantay,Ilocos Sur,300038,Bantay NHS,HS,48,52,47,41,56,42,39,38
I (Ilocos Region),Pangasinan,Umingan,"Pangasinan II, Binalonan",300283,Baracbac NHS,HS,24,35,31,21,28,23,25,35
I (Ilocos Region),Pangasinan,Villasis,"Pangasinan II, Binalonan",300284,Barangobong NHS,HS,21,20,24,24,17,31,26,24
I (Ilocos Region),Pangasinan,Mabini,"Pangasinan I, Lingayen",321126,Barlo Integrated School,HS,22,20,0,0,0,0,0,0
I (Ilocos Region),Pangasinan,Basista,"Pangasinan I, Lingayen",300167,Basista NHS,HS,261,282,238,219,240,229,197,215
I (Ilocos Region),Ilocos Sur,Santa,Ilocos Sur,300039,Basug NHS,HS,22,7,18,6,13,14,12,9
I (Ilocos Region),Ilocos Norte,City of Batac,Ilocos Norte,300005,Batac NHS,HS,71,66,61,52,58,67,63,62
I (Ilocos Region),Ilocos Norte,City of Batac,Ilocos Norte,320803,Batac NHS (Payao Campus),HS,32,37,55,31,33,39,48,23
I (Ilocos Region),Ilocos Norte,City of Batac,Ilocos Norte,320804,Batac NHS (Poblacion Campus),HS,213,202,154,172,142,169,155,169
I (Ilocos Region),Pangasinan,Binalonan,"Pangasinan II, Binalonan",300285,Batasan NHS,HS,35,34,30,19,45,22,29,16
I (Ilocos Region),Pangasinan,Bautista,"Pangasinan II, Binalonan",300286,Bautista NHS,HS,225,209,200,194,187,179,164,191
I (Ilocos Region),La Union,Bauang,La Union,300100,BAWANTA NATONAL HIGH SCHOOL,HS,37,30,35,37,33,27,31,27
I (Ilocos Region),Pangasinan,Bayambang,"Pangasinan I, Lingayen",300168,Bayambang NHS (Bayambang),HS,796,736,670,662,623,736,560,638
I (Ilocos Region),Pangasinan,Infanta,"Pangasinan I, Lingayen",300169,Bayambang NHS (Infanta),HS,42,43,28,38,32,31,35,26
I (Ilocos Region),Pangasinan,Urbiztondo,"Pangasinan I, Lingayen",321102,Bayaoas IS,HS,117,97,95,82,119,87,89,94
I (Ilocos Region),Pangasinan,Basista,"Pangasinan I, Lingayen",300170,Bayoyong NHS,HS,9,17,9,15,14,15,7,9
I (Ilocos Region),Ilocos Sur,San Ildefonso,Ilocos Sur,300040,Belen NHS,HS,23,30,26,22,22,27,23,27
I (Ilocos Region),Pangasinan,Bayambang,"Pangasinan I, Lingayen",300171,Beleng NHS,HS,46,38,45,35,44,32,26,34
I (Ilocos Region),Pangasinan,Pozzorubio,"Pangasinan II, Binalonan",300287,Benigno V. Aldana NHS,HS,311,314,299,293,229,269,258,275
I (Ilocos Region),Pangasinan,Alcala,"Pangasinan II, Binalonan",300288,Bersamin Agro-Industrial HS,HS,62,43,52,39,44,29,34,35
I (Ilocos Region),Pangasinan,Bolinao,"Pangasinan I, Lingayen",300172,Binabalian NHS,HS,105,111,90,98,85,104,75,100
I (Ilocos Region),Ilocos Sur,Sinait,Ilocos Sur,320906,Binacud IS,HS,14,9,19,7,14,14,0,0
I (Ilocos Region),Pangasinan,San Fabian,"Pangasinan II, Binalonan",300289,Binday NHS,HS,28,36,37,31,41,37,30,29
I (Ilocos Region),Pangasinan,Binmaley,"Pangasinan I, Lingayen",300232,Binmaley SOF (Pangasinan COF),HS,231,176,145,162,129,164,130,130
I (Ilocos Region),La Union,Bacnotan,La Union,321008,Bitalag Integrated School,HS,50,32,46,35,47,27,34,31
I (Ilocos Region),Pangasinan,Pozzorubio,"Pangasinan II, Binalonan",300290,Bobonan NHS,HS,66,50,51,43,58,50,41,47
I (Ilocos Region),Pangasinan,Aguilar,"Pangasinan I, Lingayen",300173,Bocboc East NHS,HS,96,93,95,79,82,67,61,55
I (Ilocos Region),Pangasinan,Mangatarem,"Pangasinan I, Lingayen",300174,Bogtong NHS,HS,53,52,43,62,44,40,40,37
I (Ilocos Region),Pangasinan,Bolinao,"Pangasinan I, Lingayen",321117,Bolinao IS,HS,125,141,74,75,44,44,0,0
I (Ilocos Region),Pangasinan,Bolinao,"Pangasinan I, Lingayen",300175,Bolinao SOF,HS,75,70,110,73,101,80,73,65
I (Ilocos Region),Pangasinan,San Carlos City,San Carlos City,300378,Bolingit NHS,HS,50,38,43,33,50,44,65,39
I (Ilocos Region),Pangasinan,Dagupan City,Dagupan City,300367,Bonuan Buquig NHS,HS,348,259,316,271,209,221,202,229
I (Ilocos Region),Pangasinan,Santa Barbara,"Pangasinan I, Lingayen",300176,Botao NHS,HS,69,55,66,50,55,54,63,48
I (Ilocos Region),Pangasinan,Calasiao,"Pangasinan I, Lingayen",300177,Bued NHS,HS,165,121,156,126,155,142,140,115
I (Ilocos Region),Pangasinan,Calasiao,"Pangasinan I, Lingayen",300178,Buenlag NHS,HS,79,71,72,56,56,69,42,53
I (Ilocos Region),Pangasinan,Bugallon,"Pangasinan I, Lingayen",321107,Bugallon IS,HS,217,197,168,169,156,167,132,117
I (Ilocos Region),Pangasinan,Binalonan,"Pangasinan II, Binalonan",300291,Bugayong IS,HS,42,30,34,24,19,37,34,30
I (Ilocos Region),Pangasinan,Sison,"Pangasinan II, Binalonan",300292,Bulaoen East NHS,HS,24,15,30,23,25,27,28,27
I (Ilocos Region),La Union,Balaoan,La Union,300101,Bungol NHS,HS,35,41,31,33,46,36,29,31
I (Ilocos Region),La Union,Luna,La Union,321015,Bungro-Sucoc Integrated School,HS,18,13,14,10,19,11,18,17
I (Ilocos Region),Ilocos Norte,Burgos,Ilocos Norte,300006,Burgos Agro-Industrial School,HS,78,71,77,75,69,50,63,66
I (Ilocos Region),Ilocos Sur,Burgos,Ilocos Sur,300041,Burgos NHS,HS,98,79,110,76,60,69,64,66
I (Ilocos Region),Pangasinan,Burgos,"Pangasinan I, Lingayen",300179,Burgos NHS,HS,141,141,148,133,137,135,136,149
I (Ilocos Region),La Union,Burgos,La Union,300102,Burgos NHS,HS,60,50,61,54,50,38,47,49
I (Ilocos Region),La Union,Burgos,La Union,321009,Burgos NHS - Annex,HS,29,26,28,23,20,26,24,20
I (Ilocos Region),La Union,Balaoan,La Union,300103,Butubut NHS,HS,39,29,33,33,36,29,38,33
I (Ilocos Region),La Union,Caba,La Union,300104,Caba NHS,HS,104,82,85,91,69,72,64,63
I (Ilocos Region),Pangasinan,Umingan,"Pangasinan II, Binalonan",300293,Cabalitian NHS,HS,21,14,11,12,13,21,16,21
I (Ilocos Region),Pangasinan,Mabini,"Pangasinan I, Lingayen",300180,Cabanaetan NHS,HS,19,23,25,18,19,19,22,13
I (Ilocos Region),Pangasinan,Manaoag,"Pangasinan II, Binalonan",300294,Cabanbanan NHS,HS,56,66,56,43,68,57,64,68
I (Ilocos Region),La Union,Santo Tomas,La Union,321023,Cabaruan Integrated School,HS,11,18,0,0,0,0,0,0
I (Ilocos Region),Pangasinan,City of Urdaneta,Urdaneta City,300395,Cabaruan NHS,HS,55,38,48,36,51,38,50,49
I (Ilocos Region),Pangasinan,Mangatarem,"Pangasinan I, Lingayen",300181,Cabayaoasan NHS,HS,81,88,74,68,65,81,64,69
I (Ilocos Region),Pangasinan,Laoac,"Pangasinan II, Binalonan",300295,Cabilaoan Agro-Industrial HS,HS,75,57,68,58,61,54,56,56
I (Ilocos Region),Ilocos Sur,Santa Catalina,Ilocos Sur,300042,Cabittaogan National High School,HS,50,37,23,38,33,36,34,34
I (Ilocos Region),Ilocos Sur,Cabugao,Ilocos Sur,300043,Cabugao NHS,HS,124,101,93,84,84,92,63,85
I (Ilocos Region),Pangasinan,City of Urdaneta,Urdaneta City,300396,Cabuloan NHS,HS,38,35,44,33,49,34,37,31
I (Ilocos Region),Pangasinan,Anda,"Pangasinan I, Lingayen",300182,Cabungan National High School,HS,25,31,37,31,29,20,28,32
I (Ilocos Region),Pangasinan,San Nicolas,"Pangasinan II, Binalonan",300296,Cacabugaoan NHS,HS,4,4,7,7,8,2,3,3
I (Ilocos Region),Ilocos Norte,Bacarra,Ilocos Norte,300007,Cadaratan National High School,HS,49,54,46,57,45,50,49,37
I (Ilocos Region),Ilocos Norte,Banna (Espiritu),Ilocos Norte,300008,Caestebanan NHS,HS,26,29,35,23,41,30,27,30
I (Ilocos Region),Pangasinan,Calasiao,"Pangasinan I, Lingayen",300183,Calasiao Comprehensive NHS,HS,640,559,542,481,483,513,399,508
I (Ilocos Region),Pangasinan,Malasiqui,"Pangasinan I, Lingayen",300184,Calbeg NHS,HS,60,40,49,38,44,54,52,35
I (Ilocos Region),Pangasinan,Laoac,"Pangasinan II, Binalonan",321209,Calmay IS,HS,14,16,12,13,0,0,0,0
I (Ilocos Region),Pangasinan,City of Urdaneta,Urdaneta City,300397,Camabu NHS,HS,29,18,30,24,31,33,35,25
I (Ilocos Region),Pangasinan,Binmaley,"Pangasinan I, Lingayen",300185,Camaley NHS,HS,96,72,87,54,53,43,69,53
I (Ilocos Region),Pangasinan,City of Urdaneta,Urdaneta City,300398,Camantiles NHS,HS,56,44,48,48,47,50,50,47
I (Ilocos Region),La Union,Bagulin,La Union,300105,Cambaly NHS,HS,28,25,29,17,23,19,20,31
I (Ilocos Region),Pangasinan,Malasiqui,"Pangasinan I, Lingayen",300186,Canan NHS,HS,65,46,60,41,81,53,49,43
I (Ilocos Region),Pangasinan,Alcala,"Pangasinan II, Binalonan",300297,Canarvacanan NHS,HS,16,16,12,22,14,15,16,27
I (Ilocos Region),Ilocos Sur,City of Candon,Candon City,300047,Candon City High School,HS,45,34,40,27,18,12,19,12
I (Ilocos Region),Ilocos Sur,City of Candon,Candon City,322601,Candon City Information Technology NHS,HS,31,46,25,36,30,24,18,26
I (Ilocos Region),Ilocos Sur,City of Candon,Candon City,300044,Candon National High School,HS,290,286,252,263,193,249,210,233
I (Ilocos Region),Ilocos Sur,Caoayan,Ilocos Sur,300045,Caoayan NHS,HS,49,34,42,30,37,19,33,32
I (Ilocos Region),La Union,Agoo,La Union,321021,CAPAS INTEGRATED SCHOOL,HS,26,13,26,21,12,10,0,0
I (Ilocos Region),Pangasinan,Villasis,"Pangasinan II, Binalonan",300298,Capulaan NHS,HS,37,28,28,28,32,31,33,27
I (Ilocos Region),Pangasinan,Dagupan City,Dagupan City,300369,Carael National HS,HS,107,111,81,84,99,100,73,66
I (Ilocos Region),Ilocos Norte,Badoc,Ilocos Norte,320826,Caraitan Integrated School,HS,31,37,0,0,0,0,0,0
I (Ilocos Region),Ilocos Norte,Carasi,Ilocos Norte,300009,Carasi NHS,HS,10,15,19,13,16,16,16,19
I (Ilocos Region),Ilocos Norte,Banna (Espiritu),Ilocos Norte,300010,Caribquib NHS,HS,21,29,30,19,21,17,31,22
I (Ilocos Region),Pangasinan,Asingan,"Pangasinan II, Binalonan",300299,Carosucan Norte NHS,HS,26,22,29,23,26,21,24,25
I (Ilocos Region),Pangasinan,Asingan,"Pangasinan II, Binalonan",300300,Carosucan Sur NHS,HS,25,27,24,20,37,35,20,29
I (Ilocos Region),Pangasinan,Anda,"Pangasinan I, Lingayen",300187,Carot NHS,HS,41,27,53,38,30,46,32,25
I (Ilocos Region),Pangasinan,City of Urdaneta,Urdaneta City,300399,Casabula NHS,HS,15,11,12,17,15,18,18,18
I (Ilocos Region),La Union,Bauang,La Union,321020,Casilagan Integrated School,HS,24,14,27,26,17,20,0,0
I (Ilocos Region),Pangasinan,Laoac,"Pangasinan II, Binalonan",321218,Castusu IS,HS,34,17,0,0,0,0,0,0
I (Ilocos Region),Pangasinan,City of Urdaneta,Urdaneta City,300400,Catablan IS,HS,51,29,47,35,40,34,48,32
I (Ilocos Region),Ilocos Norte,Banna (Espiritu),Ilocos Norte,300011,Catagtaguen NHS,HS,44,50,34,30,49,46,37,35
I (Ilocos Region),Pangasinan,Malasiqui,"Pangasinan I, Lingayen",321121,Catalino D. Cerezo NHS,HS,17,19,26,29,35,24,0,0
I (Ilocos Region),Pangasinan,Infanta,"Pangasinan I, Lingayen",300189,Cato NHS,HS,84,98,58,65,90,77,73,97
I (Ilocos Region),Pangasinan,Bolinao,"Pangasinan I, Lingayen",321111,Catubig IS,HS,32,23,15,28,17,22,24,19
I (Ilocos Region),Pangasinan,Bolinao,"Pangasinan I, Lingayen",321103,Catuday NHS,HS,26,32,34,23,17,35,14,29
I (Ilocos Region),Pangasinan,City of Urdaneta,Urdaneta City,300401,Cayambanan NHS,HS,33,41,34,31,30,30,49,37
I (Ilocos Region),Pangasinan,City of Alaminos,Alaminos City,300190,Cayucay NHS,HS,41,37,30,29,44,32,33,34
I (Ilocos Region),Ilocos Sur,Cervantes,Ilocos Sur,300046,Cervantes NHS,HS,113,115,102,103,83,97,55,78
I (Ilocos Region),Pangasinan,Alcala,"Pangasinan II, Binalonan",300301,Cipriano P. Primicias NHS,HS,154,137,134,127,132,131,104,111
I (Ilocos Region),Pangasinan,Malasiqui,"Pangasinan I, Lingayen",300191,Clemente Cristobal NHS,HS,26,25,25,22,35,22,24,33
I (Ilocos Region),Pangasinan,San Carlos City,San Carlos City,300379,Cobol NHS,HS,40,33,41,33,28,32,22,21
I (Ilocos Region),Pangasinan,San Carlos City,San Carlos City,300380,Coliling NHS,HS,75,65,65,66,43,57,51,59
I (Ilocos Region),Pangasinan,Bautista,"Pangasinan II, Binalonan",300302,Coloscaoayan NHS,HS,64,59,70,52,66,79,58,61
I (Ilocos Region),La Union,Santol,La Union,300107,Corrooy NHS,HS,40,38,46,38,43,38,20,30
I (Ilocos Region),Ilocos Norte,City of Batac,Ilocos Norte,300012,Crispina Marcos Valdez NHS,HS,38,19,33,32,25,30,23,28
I (Ilocos Region),La Union,Pugo,La Union,300108,Cuenca National High School,HS,24,17,22,27,17,25,13,12
I (Ilocos Region),Ilocos Norte,Currimao,Ilocos Norte,300013,Currimao NHS,HS,37,29,29,38,30,25,30,21
I (Ilocos Region),Ilocos Norte,Currimao,Ilocos Norte,320805,Currimao NHS (Pias-Gaang Campus),HS,54,59,52,51,54,53,34,52
I (Ilocos Region),Pangasinan,Bani,"Pangasinan I, Lingayen",300192,Dacap Norte NHS,HS,107,96,86,95,112,105,99,91
I (Ilocos Region),La Union,Bagulin,La Union,321012,Dagup Integrated School,HS,41,36,28,33,21,23,22,27
I (Ilocos Region),Pangasinan,Dagupan City,Dagupan City,300368,Dagupan City NHS,HS,663,722,650,684,540,640,494,652
I (Ilocos Region),Pangasinan,Urbiztondo,"Pangasinan I, Lingayen",321113,Dalanguiring IS,HS,55,39,42,46,48,36,32,31
I (Ilocos Region),Pangasinan,San Nicolas,"Pangasinan II, Binalonan",300303,Dalumpinas NHS,HS,11,17,8,17,19,7,20,16
I (Ilocos Region),La Union,Santo Tomas,La Union,300109,Damortis NHS,HS,100,77,91,79,83,77,87,78
I (Ilocos Region),Pangasinan,Santa Barbara,"Pangasinan I, Lingayen",300193,Daniel Maramba NHS,HS,413,364,418,357,365,373,359,359
I (Ilocos Region),La Union,Naguilian,La Union,321022,Daramuangan Integrated School,HS,14,10,0,0,0,0,0,0
I (Ilocos Region),Pangasinan,Mangaldan,"Pangasinan II, Binalonan",300304,David NHS,HS,83,40,69,56,70,49,57,42
I (Ilocos Region),Ilocos Norte,Pasuquin,Ilocos Norte,300014,Davila NHS,HS,52,46,54,39,53,37,46,45
I (Ilocos Region),Pangasinan,Bolinao,"Pangasinan I, Lingayen",300194,Dewey NHS,HS,34,36,21,24,24,32,21,22
I (Ilocos Region),Pangasinan,Pozzorubio,"Pangasinan II, Binalonan",321207,Dilan Integrated School,HS,43,31,39,27,27,30,34,21
I (Ilocos Region),Ilocos Sur,Santa Cruz,Ilocos Sur,300049,Dili NHS,HS,82,69,70,59,62,61,49,46
I (Ilocos Region),Ilocos Sur,Salcedo (Baugen),Ilocos Sur,300050,Dinaratan NHS,HS,10,20,13,19,8,15,11,22
I (Ilocos Region),Ilocos Norte,Dingras,Ilocos Norte,300015,Dingras NHS/Lt. Edgar Foz Mem. NHS,HS,78,96,93,65,75,81,77,84
I (Ilocos Region),Ilocos Norte,Dingras,Ilocos Norte,320806,Dingras NHS/Lt. Edgar Foz Mem. NHS (Barong Campus),HS,50,32,35,37,23,25,26,27
I (Ilocos Region),Ilocos Norte,Dingras,Ilocos Norte,320808,Dingras NHS/Lt. Edgar Foz Mem. NHS (San Marcos Campus),HS,27,22,19,20,18,23,27,33
I (Ilocos Region),Ilocos Norte,Dingras,Ilocos Norte,320809,Dingras NHS/Lt. Edgar Foz Mem. NHS (Sulquiano Campus),HS,18,19,19,21,15,15,16,11
I (Ilocos Region),Pangasinan,Lingayen (Capital),"Pangasinan I, Lingayen",321114,Domalandan Center IS,HS,65,64,64,38,58,58,0,0
I (Ilocos Region),Pangasinan,Malasiqui,"Pangasinan I, Lingayen",300195,Domingo P. Boquiren NHS,HS,41,27,44,35,32,40,31,41
I (Ilocos Region),Pangasinan,City of Urdaneta,Urdaneta City,305802,"Don Alipio Fernandez, Sr. IS",HS,26,31,30,15,16,20,19,20
I (Ilocos Region),Pangasinan,Sison,"Pangasinan II, Binalonan",300305,Don Amadeo Perez NHS,HS,29,39,34,36,29,28,32,23
I (Ilocos Region),Pangasinan,City of Urdaneta,Urdaneta City,300402,Don Antonio Bongolan NHS (San Jose NHS),HS,58,48,44,61,46,55,37,36
I (Ilocos Region),Pangasinan,Pozzorubio,"Pangasinan II, Binalonan",300306,Don Benito Agro-Industrial HS,HS,35,43,49,40,36,31,25,28
I (Ilocos Region),La Union,Agoo,La Union,300130,Don Eufemio F. Eriguel MNHS,HS,331,280,264,239,236,238,237,249
I (Ilocos Region),La Union,Bauang,La Union,300112,Don Eulogio De Guzman MNHS,HS,328,320,285,269,248,255,237,269
I (Ilocos Region),Pangasinan,Aguilar,"Pangasinan I, Lingayen",300196,Don G. Dumlao NHS,HS,31,32,27,23,25,31,26,42
I (Ilocos Region),Pangasinan,City of Urdaneta,Urdaneta City,300403,Don Mariano Q. Umipig NHS (Nancayasan NHS),HS,40,28,45,38,43,22,42,30
I (Ilocos Region),Pangasinan,Laoac,"Pangasinan II, Binalonan",321210,Don Maximo G. Gombio Panaga-Tabao Integrated School,HS,17,8,22,9,0,0,0,0
I (Ilocos Region),Pangasinan,Malasiqui,"Pangasinan I, Lingayen",300197,Don Pedro NHS,HS,61,44,58,30,70,38,52,50
I (Ilocos Region),Pangasinan,Villasis,"Pangasinan II, Binalonan",300308,Don Ramon E. Costales MNHS,HS,332,351,307,341,275,314,278,297
I (Ilocos Region),Pangasinan,San Manuel,"Pangasinan II, Binalonan",321208,"Don Robert Estrella, Sr. NHS",HS,20,7,9,12,19,10,13,10
I (Ilocos Region),La Union,Tubao,La Union,300113,Don Rufino Olarte MNHS,HS,42,41,33,37,29,39,36,27
I (Ilocos Region),Ilocos Norte,Piddig,Ilocos Norte,300016,Don Salustiano Aquino Memorial National High School,HS,85,64,65,55,60,66,56,55
I (Ilocos Region),Pangasinan,Sison,"Pangasinan II, Binalonan",321205,Don Valentin Torres Integrated School,HS,21,30,20,15,26,12,24,13
