trader_name,address,telephone_number,officers,e-mail_address,
"Consolidated Distillers Of The Far East, Incorporated","330 G. Puyat Ave.,6/F The World Centre, 330 Sen. Gil Puyat Ave., Makati Cit","(02)867-88-26, 867-88-72",Ferdinand Masi,-,Ferdinand Masi
"Crisnap Agri-Products Supply, Incorporated","#39 P. Paterno St., Doña Aurora, Quezon City","(02)711-39-78, (02)711-39-78",Napoleon Ilustre,crisnap_agriproductssupply@yah,Napoleon Ilustre
Dos Hermanas Multi-Purpose Coop.,"Cor. Filipina & Mabini Sts., Talisay City, Negros Occ.",(034)495-03-53,Antonio Ortiz,-,Antonio Ortiz
Eiger General Merchandise,"Greenfileds Village, Sindalan, San Fernando, Pampanga",(045)436-04-66,Ma. Leewannie Chu,wawa_gopiao218@yahoo.com,Ma. Leewannie Chu
Elaiza Jean Enterprises,"Purok 2, Sayre Highway, Valencia City",(088)828-21-96,Jean Gina Tiu,-,Jean Gina Tiu
"Gonzales De La Rama Farms, Incorporated","Door 5 San Isidro Bldg., 6th St., Bacolod City",(034)434-52-29,Joaquin Gonzales,-,Joaquin Gonzales
Grandcane Company Incorporated,"Gamma St., Greenville 1, Bacolod City",(034)708-08-21,Oscar Toledo,-,Oscar Toledo
"Hawaiian, Philippine Company","Silay-Hawaiian Central, Negros Occidental",(034)495-14-95,Ernesto Toledo,-,Ernesto Toledo
"Herminio Teves & Co., Incorporated","Unit 1, Grnd Flr., 247 El Grande, BF Int., Las Piñas City",(035)531-04-56,Arnolfo Teves,-,Arnolfo Teves
"Hideco Sugar Milling Co., Incorporated","Montebello, Kananga, Leyte","(053)553-00-58, (053)553-00-48",Julio Sy,hisumco_mil@yahoo.com,Julio Sy
Iloilo Grain Complex Corporation,"Arroyo St., Iloilo City",(033)337-33-94,-,-,-
Jare Trading Corporation,"Juliana Subd., Mc Arthur Highway, San Fernando, Pampanga",(045)961-13-61,Jose Gerardo Feliciano,yengalvarez@yahoo.com,Jose Gerardo Feliciano
JJF Commodities And Industrial Sales,"209 Continental St., Davao Executive Homes, Matina, Davao City",(082)298-14-96,Jose Rolfeo Baron,-,Jose Rolfeo Baron
Jomami General Merchandising,"Luy-a, Medellin, Cebu",(032)513-04-12,Jose Mari Miranda,-,Jose Mari Miranda
"Julu Enterprises, Incorporated","Dumoy, Toril Davao City","(082)291-17-90, (082)291-34-00",Edison Lu,juluenterprises@yahoo.com,Edison Lu
Kabankalan Farmers MPC,"JYY Perez St., Kabankalan City, Negros Occ.",(034)471-32-35,Carlos Vidaurrazaga,-,Carlos Vidaurrazaga
"Kahirup Trade, Incorporated","2nd Road, Kahirup Vill., Cubay, Jaro, Iloilo City",(033)320-51-64,Felipe Velasco,kahirup_trade@yahoo.com,Felipe Velasco
Kis Enterprises,"273 Mc Arthur Highway, Maligaya, Tarlac City",(045)985-08-82,Feliciano Baligod,kis_smartbro@yahoo.com,Feliciano Baligod
"Kooll Company, Incorporated","Bo. Bubog, Talisay City, Negros Occidental",(034)495-19-94,Johnny Sy,koollcompany@yahoo.com,Johnny Sy
Lopez Sugar Corporation,"3/F Optima Bldg., 221 Salcedo St., Legaspi Village, Makati City",(02)892-35-48,Mary Ann Pernas,lscmnl@pldtdsl.net,Mary Ann Pernas
Lyl Marketing,"686 Elcano St., Binondo, Manila","(02)242-46-48, (02)242-47-55",Edward Lee,edward@elmc.biz,Edward Lee
Mak-C General Merchandise,"1012 Burgos Corregidor St., Digos City",(082)553-72-93,Cleofe Crispino,cleofecrispino@yahoo.com,Cleofe Crispino
Moonlight 1128 Enterprises,"4013 Socrates St., Sta. Trinidad, Angeles City",(045)322-72-57,Noel Buan,moonlight_1128@yahoo.com,Noel Buan
Negros Del Norte Planters Association Mpc,"NDNPAI Bldg.., VMC Cpd., Victorias City, Negros Occidental",(034)399-33-62,Armin Evangelista,-,Armin Evangelista
"Northern Negros Planters Association., Incorporated","Brgy., Bato, Sagay City, Negros Occ.",(034)709-86-76,John Joseph Ledesma,-,John Joseph Ledesma
Option Mpc,"Palanas, Poblacion 2, Sagay City Negros Occ.",(034)476-55-30,-,-,-
Pamlead Enterprises,"44 Purok 3, Juliana Subd., San Fernando, Pampanga","(045)961-10-31, 0917-800-1623",Alain Pecson,alainmp@yahoo.com,Alain Pecson
Pensumil Employees  Multi Purpose Coop.,"Pensumil Compound, Himaao, Pili, Camarines Sur",(054)473-79-15,Elvira Multo,-,Elvira Multo
"Peter Cremer Philippines, Incorporated","U/908 South Center Tower, 2206 Market St., Madrigal Bus. Park, Muntinlupa",(02)809-77-26,Leo Philip Buñag,cndelosreyes@amtrade.com.ph,Leo Philip Buñag
Pgl Molasses Trading,"31-B 10th St., Bacolod City",(034)433-86-48,Lily Mae Monreal,-,Lily Mae Monreal
"Philadelpia  Partners Trading, Incorporated","San Jose, Plaridel, Bulacan","(044)760-21-61, (045)795-27-32",Rito Santiago,jmsn_santiago@yahoo.com,Rito Santiago
"Philippine Leading Infinite Logistics, Incorporated","Arroyo St., Iloilo City",(033)337-71-62,-,-,-
Philippine Natoka Trading Corporation,"628 Madrid St., San Nicolas, Manila","(02)242-70-40, (02)242-47-55",Edward Lee,edwin@elmc.biz,Edward Lee
Prince Ventures Corporation,"881 Rizal Ave., cor. Doroteo Jose St., Sta. Cruz, Manila",(02)556-35-58,Joseph Tay,jotay05@yahoo.com,Joseph Tay
"Progressive Chemical Trade, Incorporated","2702 One Corporate Center. J.Vargas cor. Meralco Ave., Pasig City","(02)638-22-11, 638-20-99",Ronnie Chan,canary@canary.com.ph,Ronnie Chan
Reinier Enterprises,"35 Molave St., Pilar Vill., San Fernando, Pampanga","(045)455-04-98, (045)860-42-89",Edilberto Roman,RomanMCL@yahoo.com,Edilberto Roman
"San Fernando Eric Commercial, Incorporated","Hyatt Garden Commercial Bldg., Dolores, San Fernando, Pampanga",(045)961-66-47,Alexander Kehyeng,-,Alexander Kehyeng
Schuurmans & Van Ginneken Philippines Incorporated,"Room B-6 WSC Bldg., Locsin cor. Sn Sebastian St., Bacolod","(034)433-26-06, (034)433-25-92",Tark Bartlema,roghin.villaluna@svgph.com,Tark Bartlema
Second Consolidated Sugar Corporation,"Wack-Wack Twin Tower, Wack-Wack Road, Mandaluyong City","(02)816-0601, (02)818-09-96",Jose Maria Santos,scsc_2007@yahoo.com,Jose Maria Santos
"Simon Enterprises, Incorporated","Paknaan, Mandaue City","(032)255-20-20, (032)255-24-13",Oscar Chua,manila.office@grupo.com,Oscar Chua
Sweet Crystals Integrated Sugar Mill Corporation,"Brgy. Planas, Porac, Pampanga",(045)455-18-21,Michael Escaler,-,Michael Escaler
"Tao Commodity Trader, Incorporated","19/F Citibank Tower, 8741 Paseo de Roxas, Makati City",(02)848-10-21,Jose Manuel Lopa,-,Jose Manuel Lopa
"Tranzealand, Incorporated","Rm. 306 Lee Business Center cor., Juan Luna St., Davao City",(082)221-05-77,Ludwig Ruyeras,cmgcor@yahoo.com,Ludwig Ruyeras
Universal Robina Corporation,"Rm.2201, RET, ADB Ave., cor. Poveda Sts., Ortigas Center, Pasig City",(02)637-53-98,Lance Gokongwei,Ruel.Narvaez@urc.com.ph,Lance Gokongwei
"V8 Commercial Co., Incorporated","Suite 1805 Atlanta Centre, no. 31 Annapolis St., Greenhills, San Juan, M.M.",(02)724-94-07,Michael Ongchi,-,Michael Ongchi
Victorias Milling Co. Incorporated,"VMC Compound, Victorias City, Negros Occ.",(034)399-33-80,Hubert Tubio,-,Hubert Tubio
Villarey Enterprises,"Villarey,  Piat, Cagayan",0917-692-0281,Teofilo Esguerra,-,Teofilo Esguerra
VMC Farmers Multi-Purpose Cooperative,"VMC Farmers Bldg., Hilado St., Capitol Shopping Center, Bacolod City",(034)435-06-56,Jose Ledesma Iv,-,Jose Ledesma Iv
WDY Enterprises,"Argawon, San Remigio, Cebu",0917-940-8176,Karen Ho Dy,-,Karen Ho Dy
