program_or_project_1,program_or_project_2,program_or_project_3,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_status_total_cost_incurred_to_date,no_of_extensions_if_any,remarks
Economic Development Program,Capital Expenditures for Livelihood Projects,OTOP Program Development-Livelihood Program,-,100000,-,-,-, - ,-,For Programming
Economic Development Program,Development Projects' Loan Amortization,Loan Amortization for Heavy Equipment Exclusive for the Construction or impvt or main of Brgy Roads (6th year),-,13600000,-,-,-, - ,-,For Programming
Economic Development Program,Development Projects' Loan Amortization,Loan Amortization for Public Market (2nd year),-,21700000,-,-,-, - ,-,For Programming
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Various Local Economic Development Projects,-,4900000,-,-,-, - ,-,For Programming
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Completion of admin buildings at new slaughterhouse,-,650000,-,-,-, - ,-,For Programming
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Improvement of CEO Buildings (replacement of trusses and roofing),-,500000,-,-,-, - ,-,For Programming
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Improvement of Motorpool Building and facilities,-,500000,-,-,-, - ,-,For Programming
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Development. of relocation/resettlement sites,-,3778927,-,-,-, - ,-,For Programming
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Renovation of old PNP Buildings into a Youth Home w/ landscaping,-,200000,-,-,-, - ,-,For Programming
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,"Construction of fence between PNP Station and Mortiz residence, Barangay 22-A",-,100000,-,-,-, - ,-,For Programming
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Landbanking,-,3000000,-,-,-, - ,-,For Programming
Environmental Management Program,Agro-Forestry and Reforestation Project,Establishment of City Forest Nursery,-,300000,-,-,-, - ,-,For Programming
Environmental Management Program,Agro-Forestry and Reforestation Project,Nursery Tools,-,66000,-,-,-, - ,-,For Programming
Environmental Management Program,Agro-Forestry and Reforestation Project,Nursery Inputs and Materials,-,66000,-,-,-, - ,-,For Programming
Environmental Management Program,Agro-Forestry and Reforestation Project,Completion of City Forest Nursery,-,400000,-,-,-, - ,-,For Programming
Environmental Management Program,Solid Waste Management Program,Recycling Program,-,100000,-,-,-, - ,-,For Programming
Environmental Management Program,Solid Waste Management Program,Eco-waste Operations-Composting-Purchase of Enzymes,-,200000,-,-,-, - ,-,For Programming
Environmental Management Program,Solid Waste Management Program,Eco-waste Operations-Composting-Fuel and Oil (Bulldozer or Dumptrucks or Loader),-,300000,-,-,-, - ,-,For Programming
Environmental Management Program,Solid Waste Management Program,Eco-waste Operations-Composting-Composting Materials,-,70000,-,-,-, - ,-,For Programming
Environmental Management Program,Solid Waste Management Program,Eco-waste Operations-Composting-Repair and Maintenance of Compost Bins,-,100000,-,-,-, - ,-,For Programming
Environmental Management Program,Solid Waste Management Program,Eco-waste Operations-Composting-Site clearing,-,50000,-,-,-, - ,-,For Programming
Environmental Management Program,Solid Waste Management Program,Eco-waste Operations-Composting-Filling of soil materials,-,100000,-,-,-, - ,-,For Programming
Environmental Management Program,Solid Waste Management Program,Electrification at eco-waste center,-,250000,-,-,-, - ,-,For Programming
Environmental Management Program,Solid Waste Management Program,Repair and Maintenance of heavy equipment,-,55000,-,-,-, - ,-,For Programming
Environmental Management Program,Solid Waste Management Program,Improvement of dumpsite facilities,-,300000,-,-,-, - ,-,For Programming
Environmental Management Program,Flood Control and Drainage System,Construction of drainage systemto BFP-Mercado Ave. (Phase 2),Motorpool Cmpnd,300000,-,-,-, - ,-,Programming in the process
Environmental Management Program,Flood Control and Drainage System,Additional Construction of drainage canal beside DRBCS ,"Purok 2,Barangay 23",300000,-,-,-, - ,-,"Work on-going, CEO Admin"
Environmental Management Program,Flood Control and Drainage System,"Construction of drainage canal along Corresponding res., ",Barangay 24-A,300000,-,-,-, - ,-,POW Approved
Environmental Management Program,Flood Control and Drainage System,Construction of drainage canal w/ cover in front of ASL Gym,Barangay 22-A,500000,-,-,-, - ,-,POW Approved
Environmental Management Program,Flood Control and Drainage System,Construction of Concreting drainage cover at Villa Veronica,-,1000000,-,-,-, - ,-,"Work on-going, CEO Admin"
Environmental Management Program,Flood Control and Drainage System,"Construction of river control dike, Barangay 1",-,1000000,-,-,-, - ,-,Not yet Programmed
Environmental Management Program,Flood Control and Drainage System,"Construction of box culvert, Barangay Hindangon",-,500000,-,-,-, - ,-,Not yet Programmed
Environmental Management Program,Flood Control and Drainage System,"Construction of culvert beyond Elemtary school, ",Barangay Kibuging,300000,-,-,-,-,-,Programming in the process
Environmental Management Program,Flood Control and Drainage System,Re-Chanelling of Antayon River,Barangay Agay-ayan,300000,-,-,-, - ,-,POW Approved
Environmental Management Program,Flood Control and Drainage System,Maintenanceenance of drainage canal city-wide,-,3000000,-,-,-, - ,-,For Programming
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Organic Agriculture Program,-,495550,-,-,-, - ,-,For Programming
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Participative Subsidy Program for Rice and Corn-Rice production,-,600000,-,-,-, - ,-,For Programming
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Participative Subsidy Program for Rice and Corn-Corn Production,-,300000,-,-,-, - ,-,For Programming
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Livelihood Support for farmers-Vegetable,-,248000,-,-,-, - ,-,For Programming
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Livelihood Support for farmers-Coffee,-,100000,-,-,-, - ,-,For Programming
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,"High Value Commercial Crops Support Program-Seedling dispersal (rubber, coffee, banana)",-,200000,-,-,-, - ,-,For Programming
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Barangay Self-Sufficiency Program,-,380610,-,-,-, - ,-,For Programming
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Agri-Engineering Services,-,130000,-,-,-, - ,-,For Programming
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Plant Nursery,-,130350,-,-,-, - ,-,For Programming
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Tissue Culture Laboratory,-,81269,-,-,-, - ,-,For Programming
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Poultry Improvement and Demo Project,-,46000,-,-,-, - ,-,For Programming
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Livestock Artificial Insemination Project,-,58000,-,-,-, - ,-,For Programming
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Hog Artificial Insemination Project,-,72000,-,-,-, - ,-,For Programming
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Stock Farm,-,92000,-,-,-, - ,-,For Programming
Environmental Management Program,Other Environmental Management Projects-Coastal or Freshwater Habitat Productivity and Protection,Marine Mammal Protection andRehabilitation Project,-,200000,-,-,-, - ,-,For Programming
Environmental Management Program,Other Environmental Management Projects-Coastal or Freshwater Habitat Productivity and Protection,Protection/Rehabilitation of Marine Protected Areas Project,-,150000,-,-,-, - ,-,For Programming
Environmental Management Program,Other Environmental Management Projects-Coastal or Freshwater Habitat Productivity and Protection,Mangrove Rehabilitation/Nursery Management Project,-,150000,-,-,-, - ,-,For Programming
Environmental Management Program,Other Environmental Management Projects-Coastal or Freshwater Habitat Productivity and Protection,Coastal Clean-up,-,100000,-,-,-, - ,-,For Programming
Environmental Management Program,Other Environmental Management Projects-Coastal or Freshwater Habitat Productivity and Protection,"Sustainable Upland, Lowland and Mangrove Ecosystem Protection and Rehabilitation",-,200000,-,-,-,-,-,For Programming
Total,Total,Total,-,108315212,-,-,-, - ,-,-
