program_or_proect_1,program_or_proect_2,program_or_proect_3,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_status_total_cost_incurred_to_date,number_of_extensions_if_any,remarks
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction/Improvement of multi-purpose facility at Topside E/S PS,Barangay Talon,85000,-,-,-,-,-,-
Social Development Program,Barangay Electrification,Repair of Street Lightings,Barangay 12,40000,-,-,-,-,-,-
Social Development Program,Barangay Electrification,Installation of Street Lights,"Purok 7, Barangay 18-A",20000,-,-,-,-,-,-
Social Development Program,Barangay Electrification,Installation of Street Lights,Barangay 22-A,60000,-,-,-,-,-,-
Social Development Program,Barangay Electrification,Installation of Street Lights,"Purok 6, Barangay Agay-ayan",50000,-,-,-,-,-,-
Social Development Program,Barangay Electrification,Installation of Street Lights,Barangay Kibuging,10000,-,-,-,-,-,-
Social Development Program,Barangay Electrification,Installation of Street Lights,Barangay San Miguel,50000,-,-,-,47500,-,-
Economic Development Program,Communal Irrigation System,Eureka CIP (10% local counterpart to NIA),Barangay Eureka,500000,-,-,-,-,-,-
Economic Development Program,Communal Irrigation System,Kalagonoy CIP (10% local counterpart to NIA),Barangay Kalagonoy,250000,-,-,-,-,-,-
Economic Development Program,Communal Irrigation System,Lawaan CIP (10% local counterpart to NIA),Barangay Lawaan,570000,-,-,-,-,-,-
Economic Development Program,Communal Irrigation System,LURISA CIP (10% local counterpart to NIA),LURESA (Brgy Cluster),1150000,-,-,-,-,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,"Concreting of road and Construction of box culvert at Purok 5, Gmelina St., Phase I",Barangay 18-A,300000,-,-,-,285000,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of Motorpool Cmpd. road network,Barangay 22-A,400000,-,-,-,277256.09,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Gravelling of subd. roads at Barangay ,Barangay Bal-ason,200000,-,-,-,8500,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of road (150 mtrs.),Barangay Dinawehan,300000,-,-,-,132320.3,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of road,Barangay Kamanikan,300000,-,-,-,285000,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,"Concreting of road, Kamanikan-Kalipay Section (LGU equity for DA FMR Program)",-,1000000,-,-,-,-,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Additional Concreting of road leading to KISANDI NHS,Barangay Kianlagan ,400000,-,-,-,376340,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of road,Barangay Kibuging,300000,-,-,-,294819.9,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of road,Barangay Kipontos,300000,-,-,-,285000,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of road,Barangay Lawaan,400000,-,-,-,228206.46,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of road at Langguyod,Barangay Libertad,400000,-,-,-,188850.22,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of road leading to GMTC,Barangay Lunao,500000,-,-,-,-,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Gravelling of road leading to Kalumbangan,Barangay Maribucao,200000,-,-,-,87805.48,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of road at resettlement site,"Purok 4, Barangay San Juan",300000,-,-,-,289330.2,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Clearing of proposed road leading to Sikongan Falls,"Kibalisa, Barangay San Juan",10000,-,-,-,-,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,"Concreting of road, Tagpako section (LGU equity for DA FMR Program)",-,200000,-,-,-,-,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of road at Purok 1,Barangay Talon,300000,-,-,-,172312.4,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Rehabilitation and Maintenance of Barangay roads,Hinterland Barangays,15000000,-,-,-,7541468.91,-,-
Economic Development Program,Capital Expenditures for Livelihood Projects,Livelihood Program for fisherfolks and Coops,-,1052950,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Livelihood Projects,Home Extension Services-Livelihood projects thru subsidy program,-,95994,-,-,-,57058,-,-
Economic Development Program,Capital Expenditures for Livelihood Projects,Home Extension Services-Support for Nutrition Program,-,4000,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Livelihood Projects,Livelihood Project (Livestock Dispersal),-,300000,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Livelihood Projects,Livelihood Projects under BuB Program (equity),-,9532562,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Livelihood Projects,Community-Based Trainings for Entp. Development/Livelihood Assistance,-,200000,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Livelihood Projects,Lawi Livelihood Program at 10 Brgys.,-,100000,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Livelihood Projects,OTOP Program Development -Livelihood Program,-,100000,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Livelihood Projects,Livelihood Project for Gingoog Physical Fitness Care Association,-,20000,-,-,-,20000,-,-
Economic Development Program,Capital Expenditures for Livelihood Projects,"Livelihood Project for PWD, Barangay Kamanikan",-,20000,-,-,-,20000,-,-
Economic Development Program,Development Projects' Loan Amortization,Loan Amortization for Heavy Eqpt. Exclusive for the construction or improvement or Maintenance of barangay roads (6th year),-,13600000,-,-,-,3482571.88,-,-
Economic Development Program,Development Projects' Loan Amortization,Loan Amortization for Public Market (2nd year),-,21700000,-,-,-,5371823.69,-,-
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Various Local Economic Development Projects,-,880000,-,-,-,30000,-,-
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Completion of admin Building at new slaughterhouse,-,650000,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Improvement of CEO Building (replacement of trusses and roofing),-,500000,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Improvement of Motorpool Building and facilities,-,500000,-,-,-,118357.22,-,-
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Development of relocation/resettlement sites,-,3778927,-,-,-,2437091.71,-,-
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Renovation of old PNP Building into a Youth Home w/ landscaping,-,200000,-,-,-,178134.84,-,-
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,"Construction of fence between PNP Station and Mortiz residence, Barangay 22-A",-,100000,-,-,-,74028.36,-,-
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Landbanking,-,3000000,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Purchase of Calamity Rescue Equipment,Barangay 14,20000,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Purchase of Emergency or Calamity rescue transport vehicle,Barangay 23,170000,-,-,-,170000,-,-
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Purchase of Emergency or Calamity rescue transport vehicle,Barangay 24,75000,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Purchase of Emergency or Calamity rescue transport vehicle,Barangay Eureka,230000,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Purchase of Emergency or Calamity rescue transport vehicle for LIGA,-,300000,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Purchase of disaster risk reduction equipments for DepED,-,30000,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Purchase of medical eqpt. For Puericulture Center,-,20000,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Purchase of Post Harvest facility for Abaca Farmer's Association,Barangay Pigsalohan,100000,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Construction of Environmental Sanitation Facility at Mamaran E/S,Barangay Libertad,30000,-,-,-,-,-,-
Environmental Management Program,Agro-Forestry and Reforestation Project,Establishment of City Forest Nursery,-,300000,-,-,-,-,-,-
Environmental Management Program,Agro-Forestry and Reforestation Project,Nursery Tools and Equipments,-,66000,-,-,-,-,-,-
Environmental Management Program,Agro-Forestry and Reforestation Project,Nursery Inputs and Materials,-,66000,-,-,-,17000,-,-
Environmental Management Program,Agro-Forestry and Reforestation Project,Completion of City Forest Nursery,-,400000,-,-,-,179065.66,-,-
Environmental Management Program,Agro-Forestry and Reforestation Project,Rubber Tree Plantation,Barangay Maribucao,75000,-,-,-,-,-,-
Environmental Management Program,Agro-Forestry and Reforestation Project,Rubber Tree Plantation,Barangay Mimbalagon,75000,-,-,-,-,-,-
Environmental Management Program,Solid Waste Management Program,Recycling Program,-,100000,-,-,-,98350,-,-
Environmental Management Program,Solid Waste Management Program,Eco-waste Operations-Composting-Purchase of Enzymes,-,200000,-,-,-,-,-,-
Environmental Management Program,Solid Waste Management Program,Eco-waste Operations-Composting-Fuel and Oil (Bulldozer or Dumptrucks or Loader),-,300000,-,-,-,298277.83,-,-
Environmental Management Program,Solid Waste Management Program,Eco-waste Operations-Composting-Composting Materials,-,70000,-,-,-,65740,-,-
Environmental Management Program,Solid Waste Management Program,Eco-waste Operations-Composting-Repair and Maintenance of Compost Bins,-,100000,-,-,-,-,-,-
Environmental Management Program,Solid Waste Management Program,Eco-waste Operations-Composting-Site clearing,-,50000,-,-,-,38399.15,-,-
Environmental Management Program,Solid Waste Management Program,Eco-waste Operations-Composting-Filling of soil materials,-,100000,-,-,-,-,-,-
Environmental Management Program,Solid Waste Management Program,Electrification at eco-waste center (C.O.),-,250000,-,-,-,143750,-,-
Environmental Management Program,Solid Waste Management Program,Repair and Maintenance of heavy equipment,-,55000,-,-,-,4700,-,-
Environmental Management Program,Solid Waste Management Program,Improvement of dumpsite facilities (C.O.),-,300000,-,-,-,9312.82,-,-
Environmental Management Program,Flood Control and Drainage System,Construction of drainage system at Motorpool Cmpd. to BFP-Mercado Ave. (Phase 2),-,300000,-,-,-,129249.48,-,-
Environmental Management Program,Flood Control and Drainage System,"Additional Construction of drainage canal beside DRBCS at Pr. 2, Barangay 23",-,300000,-,-,-,291863.76,-,-
Environmental Management Program,Flood Control and Drainage System,"Construction of drainage canal along Corre's res., Barangay 24-A",-,300000,-,-,-,289516.58,-,-
Environmental Management Program,Flood Control and Drainage System,Construction of drainage canal with cover in front of ASL Gym,-,500000,-,-,-,427344.62,-,-
Environmental Management Program,Flood Control and Drainage System,Construction of Concreting drainage cover at Villa Veronica,-,1000000,-,-,-,551083.54,-,-
Environmental Management Program,Flood Control and Drainage System,"Construction of river control dike, Barangay 1",-,1000000,-,-,-,-,-,-
Environmental Management Program,Flood Control and Drainage System,"Construction of box culvert, Barangay Hindangon",-,500000,-,-,-,-,-,-
Environmental Management Program,Flood Control and Drainage System,"Construction of culvert beyond Elem. School, Barangay Kibuging",-,300000,-,-,-,100041.35,-,-
Environmental Management Program,Flood Control and Drainage System,Re-Chanelling of Antayon River,-,300000,-,-,-,36221.53,-,-
Environmental Management Program,Flood Control and Drainage System,Maintenance of drainage canal city-wide,-,3000000,-,-,-,2671148.35,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Organic Agriculture Program,-,495550,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Participative Subsidy Program for Rice and Corn-Rice Production,-,600000,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Participative Subsidy Program for Rice and Corn-Corn Production,-,300000,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Livelihood Support for farmers-Vegetable,-,248000,-,-,-,248000,-,-
