program_or_project_1,program_or_project_2,program_or_project_3,location,total_cost,date_started,target_completion_date,project_status_percent_of_competion,project_status_total_cost_incurred_to_date,no_of_extensions_if_any,remarks
Economic Development Program,City Streets or Barangay Roads or Bridges,Road concreting along Purok 2-B,Barangay Pigsaluhan ,500000,4/1/2013,4/30/2013,-,-,-,Completed
Economic Development Program,City Streets or Barangay Roads or Bridges,Road concreting ,Barangay San Jose ,800000,4/1/2013,4/30/2013,-,-,-,Completed
Economic Development Program,City Streets or Barangay Roads or Bridges,"Concreting of Road at Resettlement site, Purok 4 ",Barangay San Juan ,500000,6/16/2013,7/11/2013,-,-,-,Completed
Economic Development Program,City Streets or Barangay Roads or Bridges,Road concreting at Kibalisa Dumpsite ,Barangay San Juan ,1000000,5/3/2013,7/1/2013,-,-,-,Completed
Economic Development Program,City Streets or Barangay Roads or Bridges,Road Concreting to Bantaawan near Janople's res. ,Barangay San Luis ,322000,4/16/2013,5/10/2013,-,-,-,Completed
Economic Development Program,City Streets or Barangay Roads or Bridges,Road Concreting to Kibuging at Villarta-Villanueva  portion ,Barangay San Luis ,600000,4/29/2013,6/12/2013,-,-,-,Completed
Economic Development Program,City Streets or Barangay Roads or Bridges,"Initial concreting of Tagpako road, Cueco Bridge to School site",Barangay Tagpako ,800000,4/29/2013,6/12/2013,-,-,-,Completed
Economic Development Program,Capital Expenditures for Livelihood Projects ,Community-Based Trainings for Entp. Development or Livelihood Assitance,City wide,200000,-,-,-,-,-,For Programming 
Economic Development Program,Capital Expenditures for Livelihood Projects ,Lawi Livelihood Program at 10 Barangays,City wide,200000,-,-,-,-,-,For Programming 
Economic Development Program,Capital Expenditures for Livelihood Projects ,OTOP Program Development -Livelihood Program ,City wide,200000,-,-,-,-,-,For Programming 
Economic Development Program,Capital Expenditures for Livelihood Projects ,Support Program for Local Farmers' Livelihood Projects ,City wide,500000,-,-,-,-,-,For Programming 
Economic Development Program,Capital Expenditures for Livelihood Projects ,Participative Subsidy Program (Staple Food) ,City wide,450000,-,-,-,-,-,For Programming 
Economic Development Program,Capital Expenditures for Livelihood Projects ,Support Program for Entrepreneurial Skills Development for IGPs,City wide,100000,-,-,-,-,-,For Programming 
Economic Development Program,Capital Expenditures for Livelihood Projects ,Support Program for Skills Training and Livelihood Projects ,City wide,150000,-,-,-,-,-,For Programming 
Economic Development Program,Capital Expenditures for Livelihood Projects ,Support Program for Livelihood Projects for Coops,City wide,150000,-,-,-,-,-,Completed 
Economic Development Program,Capital Expenditures for Livelihood Projects ,Livelihood for Drift Gill Net (Palugdang),City wide,175000,-,-,-,-,-,For Programming 
Economic Development Program,Capital Expenditures for Livelihood Projects ,Livelihood for Hook and Line(Pahawin),City wide,175000,-,-,-,-,-,For Programming 
Economic Development Program,Capital Expenditures for Livelihood Projects ,Support Program on Panggasius Culture ,City wide,50000,-,-,-,-,-,Completed 
Economic Development Program,Capital Expenditures for Livelihood Projects ,Livelihood Support to Fisherfolks (non-motorized banca),City wide,200000,-,-,-,-,-,Completed 
Economic Development Program,Development Projects' Loan  Amortization ,Loan Amortization for Heavy Equipment Exclusive for the Construction or Improvement or Maintenance Of brgy. Roads (6th year),-,-,-,-,-,-,-,-
Economic Development Program,Development Projects' Loan  Amortization ,Loan amortization for Public Market (2nd year),-,-,-,-,-,-,-,-
Economic Development Program,Capital Expenditures  for Local Social  and Economic Develppment Projects,Various Local Economc Development Projects ,-,-,-,-,-,-,-,-
Economic Development Program,Capital Expenditures  for Local Social  and Economic Develppment Projects,Construction of Livestock Display Area ,Barangay 26 ,2700000,4/29/2013,8/31/2013,-,-,-,Completed 
Economic Development Program,Capital Expenditures  for Local Social  and Economic Develppment Projects,Purchase and Development of Land for Relocation Site ,-,-,-,-,-,-,-,-
Economic Development Program,Capital Expenditures  for Local Social  and Economic Develppment Projects,"Repairs of stalls damaged by fire at Block II, Public Market",Barangay 20,2000000,-,-,-,-,-,POW prepared  pending approval by CMO
Environmental Management Program,Agro-Forestry and Reforestation Project,Establishment of City Forest Nursery,"Kibalisa, San Juan",300000,-,-,-,-,-,work on-going
Environmental Management Program,Agro-Forestry and Reforestation Project,Nursery Tools ,"Kibalisa, San Juan",60000,-,-,-,-,-,Completed 
Environmental Management Program,Agro-Forestry and Reforestation Project,Nursey Inputs and Materials,"Kibalisa, San Juan",60000,-,-,-,-,-,Completed 
Environmental Management Program,Solid Waste Management Program ,Recycling Program ,"Kibalisa, San Juan",100000,-,-,-,-,-,Completed 
Environmental Management Program,Solid Waste Management Program ,Eco-waste Operations-Composting-Purchase of Enzymes,"Kibalisa, San Juan",200000,-,-,-,-,-,Completed 
Environmental Management Program,Solid Waste Management Program ,Eco-waste Operations-Composting-Fuel and oil (Bulldozer or Dumptrucks or Loader),-,300000,-,-,-,-,-,Completed 
Environmental Management Program,Solid Waste Management Program ,Composting Materials ,-,70000,-,-,-,-,-,Completed 
Environmental Management Program,Solid Waste Management Program ,Improvement of Dumpsite Facilities ,-,500000,-,-,-,-,-,For Programming 
Environmental Management Program,Flood Control and Drainage System ,Complete of Drainage Canal along Public Market (R. Baol St.),Barangay 20 ,1600000,6/1/2013,8/31/2013,-,-,-,Completed 
Environmental Management Program,Flood Control and Drainage System ,Complete of Drainage Canal along Dona Graciana St. (SSS to National Highway),Barangay 20 ,1000000,7/1/2013,1/15/2014,-,-,-,Work on-going  CEO Admin
Environmental Management Program,Flood Control and Drainage System ,Construction of Drainage System at Motorpool Compund to BFP site to Mercado Avenue,Barangay 22-A,500000,12/2/2013,1/31/2014,-,-,-,Work on-going  CEO Admin
Environmental Management Program,Flood Control and Drainage System ,Construction of Drainage Canal with cover (Mendoza-Aquino St.),Barangay 12,470000,5/1/2013,6/15/2013,-,-,-,Completed 
Environmental Management Program,Flood Control and Drainage System ,Construction of Drainage Canal,Barangay 18-A,500000,3/1/2013,3/31/2013,-,-,-,Completed 
Environmental Management Program,Flood Control and Drainage System ,Construction of Box Culverts  at T. Baol-Dona Graciana Sts.,Barangay 20,500000,-,-,-,-,-,Completed 
Environmental Management Program,Flood Control and Drainage System ,Construction of Drainage Canal along T. Baol St. ,Barangay 22-A,500000,9/1/2013,10/2/2013,-,-,-,Completed 
Environmental Management Program,Flood Control and Drainage System ,Construction of CHB-lined Open Canal at Purok 2,Barangay 23,200000,6/1/2013,6/15/2013,-,-,-,Completed 
Environmental Management Program,Flood Control and Drainage System ,"Construction of Canal with Concreting Cover at Mango St. , Pr. 2",Barangay 24-A,500000,8/1/2013,8/15/2013,-,-,-,Completed 
Environmental Management Program,Flood Control and Drainage System ,Construction of Drainage Canal at P.Villegas St. Junction Hurtado St.,Barangay 26,300000,9/23/2013,10/15/2013,-,-,-,POW approved; PR on process
Environmental Management Program,Flood Control and Drainage System ,Installation of RCPC at crossing DENR-Molina's Bodega ,Barangay 26,-,-,-,-,-,-,-
Environmental Management Program,Flood Control and Drainage System ,Construction of Drainage Canal at Purok 4,Barangay San Juan ,-,-,-,-,-,-,-
Environmental Management Program,Flood Control and Drainage System ,Construction of Seawall (riprap) at Purok 3,Barangay San Juan ,300000,-,-,-,-,-,Completed 
Environmental Management Program,Flood Control and Drainage System ,Construction of Flood Control Dike along GCC to Soriano,Barangay 24-A,1500000,-,-,-,-,-,Completed 
Environmental Management Program,Flood Control and Drainage System ,Construction of River Control Dike at Catuan River ,Barangay Lunao,1500000,12/2/2013,12/12/2013,-,-,-,Completed 
Environmental Management Program,Flood Control and Drainage System ,Construction of River Control Dike at Purok 6,Barangay Odiongan,2000000,-,-,-,-,-,POW approved; Awarded to FGW Const.
Environmental Management Program,Other Environmental Management Projects-Agriculture Land Productivity,Local Fund for Agricultural Development,City wide ,2000000,-,-,-,-,-,For Programming 
Environmental Management Program,Other Environmental Management Projects-Agriculture Land Productivity,Barangay Self-Sufficiency Program,City wide ,300000,-,-,-,-,-,Completed 
Environmental Management Program,Other Environmental Management Projects-Agriculture Land Productivity,Crop Protection Program,City wide ,200000,-,-,-,-,-,On-going 
Environmental Management Program,Other Environmental Management Projects-Agriculture Land Productivity,Organic Farming Program,City wide ,300000,-,-,-,-,-,On-going 
Environmental Management Program,Other Environmental Management Projects-Agriculture Land Productivity,Mushroom Production (Pure Culture and Spawn),City wide ,20000,-,-,-,-,-,Completed 
Environmental Management Program,Other Environmental Management Projects-Agriculture Land Productivity,Vermiculture ,City wide ,80000,-,-,-,-,-,Completed 
Environmental Management Program,Other Environmental Management Projects-Agriculture Land Productivity,Production Support Program (Tissue Culture Lab),City wide ,100000,-,-,-,-,-,Completed 
Environmental Management Program,Other Environmental Management Projects-Agriculture Land Productivity,Agri-Engineering Services ,City wide ,400000,-,-,-,-,-,On-going 
Environmental Management Program,Other Environmental Management Projects-Agriculture Land Productivity,Poultry Improvement and Demo Project ,Barangay Pangasihan ,55000,-,-,-,-,-,On-going 
Environmental Management Program,Other Environmental Management Projects-Agriculture Land Productivity,Livestock Artificial Insemination Project,"Motorpool, G.C. ",40000,-,-,-,-,-,On-going 
Environmental Management Program,Other Environmental Management Projects-Agriculture Land Productivity,Hog Artificial Insemination Project,"Motorpool, G.C. ",110000,-,-,-,-,-,On-going 
Environmental Management Program,Other Environmental Management Projects-Agriculture Land Productivity,Stock Farm,Barangay Pangasihan ,135000,-,-,-,-,-,On-going 
Environmental Management Program,Other Environmental Management Projects-Coastal or Freshwater Habitat Productivity and Protection ,Marine Mammal Protection and Rehabilitation Project,City wide ,180000,-,-,-,-,-,PR on process
Environmental Management Program,Other Environmental Management Projects-Coastal or Freshwater Habitat Productivity and Protection ,Protection/Rehabilitataion of Marine Protected Areas Project,City wide ,150000,-,-,-,-,-,PR on process
Environmental Management Program,Other Environmental Management Projects-Coastal or Freshwater Habitat Productivity and Protection ,Mangrove Rehabilitataion or Nursery Management Project,City wide ,165000,-,-,-,-,-,PR on process
Environmental Management Program,Other Environmental Management Projects-Coastal or Freshwater Habitat Productivity and Protection ,"Sustainable Upland, Lowland and Mangrove Ecosystem Protection and Rehabilitation",City wide ,300000,-,-,-,-,-,PR on process
Environmental Management Program,Other Environmental Management Projects-Coastal or Freshwater Habitat Productivity and Protection ,Fish Shelter (Payao) Operation ,City wide ,500000,-,-,-,-,-,PR on process
