function,program, activity,project, appropriations , allotment , obligation , unobligated_balance 
Economic Services,Agricultural Services,Iloilo Provincial Integrated Fisheries Development Program,Fishery Law Enforcement,2700000,2430000,769282.25,1660717.75
Economic Services,Agricultural Services,Livelihood Enhancement Through Crops Development Program,Rice Development,3200000,2880000,848360.5,2031639.5
Economic Services,Agricultural Services,Livelihood Enhancement Through Crops Development Program,Corn  Development Program,150000,135000,125516,9484
Economic Services,Agricultural Services,Livelihood Enhancement Through Crops Development Program,Crop Protection,500000,450000,377172,72828
Economic Services,Agricultural Services,Livelihood Enhancement Through Crops Development Program,High Value Crops,700000,630000,481994,148006
Economic Services,Agricultural Services,Research and Institutional Development,Research and Institutional Development,800000,720000,296000,424000
Economic Services,Agricultural Services,Livestock Development Program,Livestock Upgrading Program,700000,630000,27520,602480
Economic Services,Agricultural Services,Livestock Development Program,Provincial Dairy Program,100000,90000,17780,72220
Economic Services,Agricultural Services,Livestock Development Program,Waste Management Program,100000,90000, -   ,90000
Economic Services,Agricultural Services,Agricultural Engineering Projects,Agricultural Engineering Projects,3500000,3150000,998324,2151676
Economic Services,Agricultural Services,Agribusiness and Marketing Assistance Program,Agribusiness and Marketing Assistance Program,300000,270000,141848,128152
Economic Services,Agricultural Services,Establishment of Agri-Aqua Research and Technology Program ,Establishment of Agri-Aqua Research and Technology Program ,3000000,2700000, -   ,2700000
Economic Services,Environment and Natural Resources Program ,Rainwater Hasrvesting Project,Rainwater Hasrvesting Project,1200000,1200000,700931.07,499068.93
Economic Services,Environment and Natural Resources Program ,Upland Development Project,Upland Development Project,1500000,1500000,1192364,307636
Economic Services,Environment and Natural Resources Program ,Watershed Protection and Rehabilitation Projects,Watershed Protection and Rehabilitation Projects,8200000,8200000,6410752,1789248
Economic Services,Environment and Natural Resources Program ,Solid Waste Management Towards Sustainable Development,Solid Waste Management Towards Sustainable Development,1100000,1100000,564961.96,535038.04
Economic Services,Veterinary Services,Animal Health Management,Animal Health Management,1000000,900000,318923,581077
Economic Services,Veterinary Services,Veterinary Quarantine Services,Veterinary Quarantine Services,300000,270000,195422.75,74577.25
Economic Services,Veterinary Services,Provincial Canine Rabies Action Program,Provincial Canine Rabies Action Program,1032000,928800,823153.79,105646.21
Economic Services,Veterinary Services,Barangay Vaccinators (PARA-VETS) ,Barangay Vaccinators (PARA-VETS) ,250000,225000,42312,182688
Economic Services,Loan Amortization,Iloilo Provincial Capitol,Iloilo Provincial Capitol,17500000,17500000, -   ,17500000
Economic Services,Loan Amortization,Heavy Equipment,Heavy Equipment,16000000,16000000, -   ,16000000
Total,Total,Total,Total,36082000,35823800,1379811.54,34443988.46
