products_1,products_2,products_3,products_4,products_5,volume
Taxable Removals ,Petroleum Products (liters) - From Own Production,Not Subject to Excise Tax - Zero excise tax rate,Mixed Xylene/Naphtha/Reformate,Mixed Xylene/Naphtha/Reformate,57.35
Taxable Removals ,Petroleum Products (liters) - From Own Production,Not Subject to Excise Tax - Zero excise tax rate,LPG/Propylene,LPG/Propylene,399.52
Taxable Removals ,Petroleum Products (liters) - From Own Production,Not Subject to Excise Tax - Zero excise tax rate,IFO/SFO/LSFO/HVFO/IF-1/SRFO/HSFO,IFO/SFO/LSFO/HVFO/IF-1/SRFO/HSFO,661.58
Taxable Removals ,Petroleum Products (liters) - From Own Production,Not Subject to Excise Tax - Zero excise tax rate,Ref. Fuel & Loss/(Gain),Ref. Fuel & Loss/(Gain),287.47
Taxable Removals ,Petroleum Products (liters) - From Own Production,Not Subject to Excise Tax - Zero excise tax rate,Fuel Oil,Fuel Oil,883.56
Taxable Removals ,Petroleum Products (liters) - From Own Production,Not Subject to Excise Tax - Zero excise tax rate,Refinery Fuel Oil (Own Use),Refinery Fuel Oil (Own Use),7.9
Taxable Removals ,Petroleum Products (liters) - From Own Production,Not Subject to Excise Tax - Zero excise tax rate,Refinery Fuel Gas (Own Use),Refinery Fuel Gas (Own Use),129.44
Taxable Removals ,Petroleum Products (liters) - From Own Production,Not Subject to Excise Tax - Zero excise tax rate,Refinery Fuel LPG (Own Use),Refinery Fuel LPG (Own Use),3.54
Taxable Removals ,Petroleum Products (liters) - From Own Production,Not Subject to Excise Tax - Deliveries to Tax Exempt,Diesoline B1 (PEZA),Diesoline B1 (PEZA),0
Taxable Removals ,Petroleum Products (liters) - From Own Production,Not Subject to Excise Tax - Deliveries to Tax Exempt,Diesel/ADO 0.5%/0.2%/0.5%,Diesel/ADO 0.5%/0.2%/0.5%,0
Taxable Removals ,Petroleum Products (liters) - From Own Production,Not Subject to Excise Tax - Deliveries to Tax Exempt,IFO/SFO/LSFO/HVFO/IF-1/SRFO/HSFO,IFO/SFO/LSFO/HVFO/IF-1/SRFO/HSFO,0
Taxable Removals ,Petroleum Products (liters) - From Own Production,Not Subject to Excise Tax - Deliveries to Tax Exempt,Ref. Fuel & Loss/(Gain),Ref. Fuel & Loss/(Gain),-103.58
Taxable Removals ,Petroleum Products (liters) - From Own Production,Not Subject to Excise Tax - Deliveries to Tax Exempt,Fuel Oil (PEZA),Fuel Oil (PEZA),0.66
Taxable Removals ,Petroleum Products (liters) - From Own Production,Not Subject to Excise Tax - Subject to VAT,Solvents (kilograms),Solvents (kilograms),1.88
Taxable Removals ,Petroleum Products (liters) - From Own Production,Not Subject to Excise Tax - Subject to VAT,Sulphur (kilograms),Sulphur (kilograms),15.19
Taxable Removals ,Petroleum Products (liters) - From Tax Paid Stocks,Petroleum Products (liters) - From Tax Paid Stocks,Unleaded Premium,Unleaded Premium,0
Taxable Removals ,Petroleum Products (liters) - From Tax Paid Stocks,Petroleum Products (liters) - From Tax Paid Stocks,XLF/XUB/X95/Base Gasoline,XLF/XUB/X95/Base Gasoline,275.39
Taxable Removals ,Petroleum Products (liters) - From Tax Paid Stocks,Petroleum Products (liters) - From Tax Paid Stocks,RLF,RLF,35.34
Taxable Removals ,Petroleum Products (liters) - From Tax Paid Stocks,Petroleum Products (liters) - From Tax Paid Stocks,Aviation Gas,Aviation Gas,0
Taxable Removals ,Petroleum Products (liters) - From Tax Paid Stocks,Petroleum Products (liters) - From Tax Paid Stocks,Kerosene,Kerosene,57.51
Taxable Removals ,Petroleum Products (liters) - From Tax Paid Stocks,Petroleum Products (liters) - From Tax Paid Stocks,Diesel/ADO 0.5%/0.2%/0.5%,Diesel/ADO 0.5%/0.2%/0.5%,929.39
Taxable Removals ,Petroleum Products (liters) - From Tax Paid Stocks,Petroleum Products (liters) - From Tax Paid Stocks,Jet A-1 Fuel,Jet A-1 Fuel,482.24
Taxable Removals ,Petroleum Products (liters) - From Tax Paid Stocks,Petroleum Products (liters) - From Tax Paid Stocks,LPG/Propylene,LPG/Propylene,88.12
Taxable Removals ,Petroleum Products (liters) - From Tax Paid Stocks,Petroleum Products (liters) - From Tax Paid Stocks,IFO/SFO/LSFO/HVFO/IF-1/SRFO/HSFO,IFO/SFO/LSFO/HVFO/IF-1/SRFO/HSFO,354.82
Taxable Removals ,Petroleum Products (liters) - From Tax Paid Stocks,Petroleum Products (liters) - From Tax Paid Stocks,Reformate/Biothane,Reformate/Biothane,15.07
Taxable Removals ,Petroleum Products (liters) - From Tax Paid Stocks,Petroleum Products (liters) - From Tax Paid Stocks,Asphalts (kilograms),Asphalts (kilograms),36.45
Taxable Removals ,Petroleum Products (liters) - From Tax Paid Stocks,Petroleum Products (liters) - From Tax Paid Stocks,RBOB 89R,RBOB 89R,0
Taxable Removals ,Miscellaneous Products (units),Miscellaneous Products (units),Non-Essential Products,Non-Essential Products,19.03
Taxable Removals ,Miscellaneous Products (units),Miscellaneous Products (units),Automobiles,Automobiles,0.07
Export Removals (RR No. 3-2008) ,Tobacco Products,Tobacco Products,Cigarettes (packs),Cigarettes (packs),626.94
Export Removals (RR No. 3-2008) ,Tobacco Products,Tobacco Products,Cigars (pieces),Cigars (pieces),5.95
Export Removals (RR No. 3-2008) ,Alcohol Products,Alcohol Products,Compounded,Compounded,0.04
Export Removals (RR No. 3-2008) ,Alcohol Products,Alcohol Products,Wines (gauge liters),Wines (gauge liters),0.01
Export Removals (RR No. 3-2008) ,Alcohol Products,Alcohol Products,Fermented (liters),Fermented (liters),7.67
