Loan_ID,Loan_Title,Fund_Source,Loan_Type,IA,Sector,Region,Region,1QA,2QA,3QA,4QA,Cumulative_Actual_Disbursement,1QT,2QT,3QT,4QT,Cumulative_Target_Disbursement,1C,2C,3C,4C,Cumulative_Cancellations_Year,Undisbursed_Amount_Prev,Loan_Balance,Disbursement_Rate,Cumulative_Actual_Disbursement,Cumulative_Target_Disbursement,Loan_Amount,Net_Commitment,Availment_Rate,Backlog_Amount,Cumulativ_ Cancellation,Disbursement_Ratio,Loan_Signing_Date,Loan_Closing_Date,Revised_Closing_Date,Loan_Effectivity_Date,Length_In_Years,Age_In_Years,Delay_In_Years,Time_Elapsed,Utilization_Rate,Balance,TE-UR,Loan_Status
A-200165951,Credit Line for Solid Waste Management Project,Germany,Project,DBP,Infrastructure,Nationwide,12/31/10,0.00,2.67,0.00,2.13,4.79,1.22,1.22,1.24,2.13,5.80,0.00,0.00,0.00,0.00,0.00,5.35,5.35,82.55%,22.91,22.91,22.91,22.91,100.00%,0.00,0.00,89.60%,12/30/03,12/30/07,12/31/10,3/30/04,6.76,6.76,0.00,100.00%,100.00%,0.00,0.00%,Closed
A-200565887,Local Government Units Investment Programme,Germany,Project,LBP,Infrastructure,Nationwide,12/31/10,0.00,1.48,0.00,0.00,1.48,0.00,0.77,0.77,0.83,2.37,0.00,0.00,0.00,0.00,0.00,3.80,3.80,62.36%,25.54,27.36,27.36,27.36,93.34%,1.82,0.00,38.80%,12/20/05,12/30/10,,9/5/06,4.32,4.32,0.00,100.06%,93.34%,1.82,6.72%,Closed
A-200665109,Health Sector Reform Project,Germany,Project,DOH,Social Reform and Community Development,,12/31/10,0.07,0.56,0.38,0.00,1.01,0.30,1.51,0.84,0.56,3.21,0.00,0.00,0.00,0.00,0.00,14.26,14.26,31.30%,1.09,12.34,13.86,13.86,8.85%,11.24,0.00,7.05%,12/20/07,12/31/11,12/31/14,6/27/08,6.52,2.51,-4.00,38.56%,7.88%,12.77,30.68%,Ongoing
AI-2001 65 951,Credit Line for Energy Efficiency and Climate Protection in the Philippines (CLEECP),Germany,Project,LBP,Infrastructure,,12/31/10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.52,13.52,0.00%,0.00,10.26,27.72,27.72,0.00%,10.26,0.00,0.00%,12/24/08,12/31/12,12/31/13,11/23/09,4.11,1.10,-3.00,26.88%,0.00%,27.72,26.88%,Ongoing
Austria-6,DPWH Bridge Construction Acceleration Project for Calamity-Stricken Areas,Austria,Project,DPWH,Infrastructure,"Ilocos Sur, Cagayan, Nueva Ecija, Quezon, Palawan",12/31/10,0.30,1.81,0.00,3.75,5.86,2.84,1.78,0.00,4.07,8.68,0.00,0.00,0.00,0.00,0.00,11.02,11.02,67.45%,27.61,32.11,32.77,32.77,85.98%,4.50,0.00,53.15%,4/18/08,4/18/11,11/30/11,6/24/08,3.44,2.52,-0.92,73.37%,84.25%,5.16,-10.88%,Ongoing
Belgian-2,Pasig River Dredging Project,Belgium,Project,PRRC,"Agriculture, Natural Resources and Agrarian Reform",,12/31/10,10.50,20.56,11.48,29.52,72.05,8.86,19.33,12.85,29.53,70.56,0.00,0.00,0.00,0.00,0.00,72.65,72.65,102.11%,104.54,104.54,104.54,104.54,100.00%,0.00,0.00,99.17%,11/11/08,12/15/10,,4/30/09,1.63,1.67,0.04,102.69%,100.00%,0.00,2.69%,Closed
Belgian-3,Laguna Lake Rehabilitation Project,Belgium,Project,RBCO,"Agriculture, Natural Resources and Agrarian Reform",,12/31/10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,396.31,396.31,0.00%,0.00,0.00,0.00%,4/30/10,,,,0.00,0.00,0.00,0.00%,0.00%,396.31,0.00%,Newly Signed
BLA-04055,NorthRail Project Phase 1 Section 1,China,Project,NLRC,Infrastructure,NCR,12/31/10,18.89,24.72,0.00,0.00,43.61,31.35,97.16,23.76,23.76,176.03,0.00,0.00,0.00,0.00,0.00,272.40,272.40,24.77%,171.21,254.72,400.00,400.00,67.21%,83.51,0.00,16.01%,2/26/04,9/13/09,12/31/12,9/13/04,8.30,6.30,-2.00,75.88%,42.80%,228.79,33.08%,Ongoing
BMZ-200165969,"Micro, Small and Medium Enterprise Program",Germany,Project,SB Corp,"Industry, Trade and Tourism",Nationwide,12/31/10,1.27,0.00,1.94,6.02,9.23,1.28,1.57,1.85,2.14,6.84,0.00,0.00,0.00,0.00,0.00,10.53,10.53,134.88%,15.66,16.22,16.22,16.22,96.59%,0.55,0.00,87.63%,12/21/05,12/30/08,12/30/10,8/25/06,4.35,4.35,0.00,100.06%,96.59%,0.55,3.47%,Closed
CHI-1,Banaoang Pump Irrigation Project,China,Project,NIA,"Agriculture, Natural Resources and Agrarian Reform",I,12/31/10,0.29,0.63,2.87,0.88,4.68,3.00,5.83,0.00,0.00,8.83,0.00,0.00,0.00,0.00,0.00,8.83,8.83,52.98%,30.85,35.00,35.00,35.00,88.13%,4.15,0.00,52.98%,10/31/01,6/27/08,12/31/11,6/27/02,9.52,8.52,-1.00,89.49%,88.13%,4.15,1.36%,Ongoing
CHI-5,"Northrail Project Phase I, Section II",China,Project,NLRC,Infrastructure,NCR,12/31/10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,500.00,500.00,0.00%,0.00,0.00,0.00%,1/15/07,,,,0.00,0.00,0.00,0.00%,0.00%,500.00,0.00%,Newly Signed
CHI-6,Agno River Integrated Irrigation Project,China,Project,NIA,"Agriculture, Natural Resources and Agrarian Reform",I,12/31/10,0.00,14.62,5.71,0.00,20.33,1.89,6.63,8.47,11.92,28.91,0.00,0.00,0.00,0.00,0.00,89.15,89.15,70.32%,20.33,15.16,89.15,89.15,134.12%,-5.17,0.00,22.80%,11/9/09,12/31/13,,2/1/10,3.92,0.91,-3.00,23.30%,22.81%,68.82,0.49%,Ongoing
CHI-7,Angat Water Utilization and Aqueduct Improvement Project (AWUAIP)-Phase II,CHINA,Project,MWSS,Infrastructure,,12/31/10,8.16,22.99,0.00,16.74,47.89,0.00,34.20,9.60,11.40,55.20,0.00,0.00,0.00,0.00,0.00,116.60,116.60,86.76%,11.16,9.33,116.60,116.60,119.64%,-1.83,0.00,41.07%,1/7/10,5/7/14,,5/7/10,4.00,0.65,-3.35,16.29%,9.57%,105.44,6.72%,Ongoing
CPH 1001 01 H,"Local Government Financing and Budget Reform Program, Subprogram 2 (LGFBR2)",French Development Agency (FDA),Program,DOF,Governance and Institutions Development,,12/31/10,0.00,193.76,0.00,0.00,193.76,0.00,193.76,0.00,0.00,193.76,0.00,0.00,0.00,0.00,0.00,193.76,193.76,100.00%,193.76,193.76,193.76,193.76,100.00%,0.00,0.00,100.00%,2/15/10,12/31/10,,2/15/10,0.87,0.87,0.00,100.00%,100.00%,0.00,0.00%,Closed
France B150A1,Philippine Rural Electrification Service Project (PRES),France,Project,NPC,Infrastructure,Masbate,12/31/10,0.00,1.90,0.00,0.00,1.90,0.95,0.95,0.00,0.00,1.91,0.00,0.00,0.00,0.00,0.00,0.08,0.09,99.84%,22.94,22.94,22.94,22.94,100.00%,0.00,0.00,2240.00%,10/4/06,6/30/08,5/15/10,10/4/06,3.61,4.24,0.63,117.44%,100.00%,0.00,17.44%,Closed
FRANCE-1,Mega Bridges for Urban and Rural Development,France,Project,DPWH,Infrastructure,,12/31/10,25.23,36.69,12.80,0.00,74.71,0.00,36.69,0.00,0.00,36.69,0.00,0.00,0.00,0.00,0.00,154.30,154.30,203.66%,122.41,132.18,203.35,203.35,92.61%,9.77,0.00,48.42%,9/4/08,9/29/12,9/29/13,10/29/08,4.92,2.17,-2.75,44.15%,60.20%,80.94,-16.05%,Ongoing
FRANCE-2,Tulay ng Pangulo Para sa Kaunlarang Pang-agraryo Project,FRANCE,Project,DAR,Infrastructure,Nationwide,12/31/10,0.00,0.00,16.52,33.52,50.04,0.46,1.86,42.02,0.00,44.34,0.00,0.00,0.00,0.00,0.00,284.19,284.19,112.83%,105.12,140.97,313.27,313.27,74.57%,35.85,0.00,17.61%,12/24/08,12/31/12,3/19/14,3/19/09,5.00,1.79,-3.22,35.71%,33.56%,208.15,2.15%,Ongoing
FRANCE-3,Greater Modular Access (GMA) RoRo Ports,France,Project,DOTC,Infrastructure,,12/31/10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,204.90,204.90,0.00%,0.00,0.00,0.00%,8/26/09,11/23/12,,11/1/09,3.06,1.16,-1.90,38.01%,0.00%,204.90,38.01%,Newly Signed
IFAD-661-PH,Rural Micro-Enterprise Promotion Programme,IFAD,Project,DTI,"Industry, Trade and Tourism",Nationwide,12/31/10,1.27,1.24,0.35,1.05,3.91,1.52,1.30,0.87,0.65,4.34,0.00,0.00,0.00,0.00,0.00,14.33,14.33,90.09%,8.22,10.25,18.64,18.64,80.20%,2.03,0.00,27.29%,11/11/05,6/30/14,,10/31/06,7.67,4.17,-3.50,54.38%,44.10%,10.42,10.28%,Ongoing
KfW-02,Community Based Forest and Mangrove Management Project,Germany,Project,DENR,"Agriculture, Natural Resources and Agrarian Reform","VI, VII",12/31/10,0.00,0.00,0.75,0.70,1.45,0.08,0.08,0.08,0.08,0.32,0.00,0.00,0.00,0.00,0.00,5.78,5.78,452.81%,1.45,0.68,5.78,5.78,213.55%,-0.77,0.00,25.07%,12/24/08,1/13/16,,1/12/10,6.01,0.97,-5.04,16.10%,25.09%,4.33,-8.99%,Ongoing
PH20030908,Development of Sub-specialty Capabilities for Heart-Lung-Kidney Diseases in Selected Regional Hospitals,Netherlands,Project,DOH,Social Reform and Community Development,"NCR, V, VII, X, XI",12/31/10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.00,0.68,0.00,0.00,0.00,0.00,0.00,3.98,3.98,0.00%,15.49,19.95,20.15,20.15,77.65%,4.46,0.00,0.00%,1/20/05,12/31/10,3/1/12,4/25/05,6.86,5.69,-1.17,82.97%,76.87%,4.66,6.10%,Ongoing
PH-4833,Support for Strategic Local Development and Investment Project,WB,Project,LBP,Infrastructure,Nationwide,12/31/10,4.43,9.94,11.73,4.33,30.44,4.43,9.43,7.27,6.22,27.35,0.00,0.00,0.00,0.00,0.00,67.35,67.35,111.30%,66.20,68.00,100.00,100.00,97.35%,1.81,0.00,45.19%,10/3/06,6/30/12,2/28/14,2/28/07,7.01,3.84,-3.16,54.83%,66.20%,33.81,-11.37%,Ongoing
PH-7058,Metro Manila Urban Transport Integration Project,WB,Project,DPWH,Infrastructure,NCR,12/31/10,0.00,0.00,-1.37,-0.13,-1.50,3.30,0.00,0.00,0.00,3.30,0.00,0.00,0.00,0.00,0.00,8.80,8.80,-45.36%,45.39,60.00,60.00,60.00,75.66%,14.61,0.00,-17.00%,8/8/01,3/31/07,3/31/10,12/6/01,8.32,9.07,0.75,109.05%,75.66%,14.61,33.39%,Ongoing
PH-7147,KALAHI-CIDSS Project,WB,Project,DSWD,Social Reform and Community Development,"CAR, IV, V, VI, VII, VIII, IX, X, XI, XII, XIII",12/31/10,0.00,0.00,0.00,0.97,0.97,0.00,0.00,0.78,10.04,10.82,0.00,0.00,0.00,0.00,0.00,9.64,9.64,8.97%,91.33,95.18,100.00,100.00,95.95%,3.85,0.00,10.07%,10/2/02,6/30/09,5/31/11,12/16/02,8.46,8.05,-0.41,95.11%,91.33%,8.67,3.78%,Ongoing
PH-7152,Agrarian Reform Communities Development Project II,WB,Project,DAR,"Agriculture, Natural Resources and Agrarian Reform","II, III, IV, V, VII, IX, X",12/31/10,0.09,0.14,-0.36,0.32,0.19,0.00,0.16,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.16,0.16,118.75%,49.94,50.00,50.00,50.00,99.88%,0.06,0.00,118.75%,1/22/03,12/31/07,6/30/10,6/4/03,7.08,7.58,0.50,107.12%,99.88%,0.06,7.24%,Ongoing
PH-7153,ARMM Social Fund for Peace and Development,WB,Project,ARG,Social Reform and Community Development,ARMM,12/31/10,1.04,-1.35,0.00,0.00,-0.32,0.56,0.15,0.00,0.00,0.71,0.00,0.00,0.00,1.95,1.95,1.41,-0.54,-44.43%,31.65,31.65,33.60,31.65,100.00%,0.00,1.95,58.66%,1/20/03,6/30/08,5/31/10,5/19/03,7.04,7.63,0.59,108.33%,100.00%,0.00,8.33%,Closed
PH-7191,Judicial Reform Support Project,WB,Project,SC,Governance and Institutions Development,Nationwide,12/31/10,0.48,0.50,0.08,0.13,1.19,0.50,2.43,2.91,2.27,8.12,0.00,0.00,0.00,0.00,0.00,10.16,10.16,14.61%,12.45,18.52,21.90,21.90,67.26%,6.06,0.00,11.67%,10/2/03,12/31/09,6/30/12,12/4/03,8.58,7.08,-1.50,82.53%,56.87%,9.45,25.66%,Ongoing
PH-7205,Laguna De Bay Institutional Strengthening and Community Participation (LISCOP) Project,WB,Project,LLDA,"Agriculture, Natural Resources and Agrarian Reform",IV-A,12/31/10,0.10,0.19,0.32,0.22,0.82,0.90,0.90,0.00,0.00,1.80,0.00,0.00,0.00,0.00,0.00,1.80,1.80,45.39%,3.81,5.00,5.00,5.00,76.28%,1.19,0.00,45.39%,1/26/04,1/31/09,1/31/11,4/2/04,6.84,6.75,-0.09,98.76%,76.28%,1.19,22.48%,Ongoing
PH-7290,Second Women's Health and Safe Motherhood Project,WB,Project,DOH,Social Reform and Community Development,"II, V, VIII, CARAGA",12/31/10,0.25,0.24,0.28,1.10,1.87,0.10,0.41,0.30,1.23,2.04,0.00,0.00,0.00,0.00,0.00,13.81,13.81,91.81%,3.94,9.12,16.00,16.00,43.19%,5.18,0.00,13.57%,6/30/05,6/30/12,6/30/13,12/28/05,7.51,5.01,-2.50,66.73%,24.62%,12.06,42.11%,Ongoing
PH-7298,Land Administration & Management Project Phase II,WB,Project,DENR,"Agriculture, Natural Resources and Agrarian Reform","VIII, VII",12/31/10,0.21,1.80,1.71,0.74,4.46,1.02,0.86,0.75,0.61,3.24,0.00,0.00,0.00,0.00,0.00,10.39,10.39,137.68%,12.76,17.17,19.00,19.00,74.30%,4.41,0.00,42.91%,6/30/05,3/31/11,3/30/14,10/11/05,8.47,5.23,-3.25,61.68%,67.17%,6.24,-5.49%,Ongoing
PH-7311,Manila Third Sewerage Project,WB,Project,LBP,Infrastructure,NCR,12/31/10,3.02,7.82,0.00,0.00,10.83,25.85,3.56,3.56,0.00,32.97,0.00,0.00,0.00,0.00,0.00,41.02,41.02,32.86%,37.42,44.02,64.00,64.00,85.01%,6.60,0.00,26.41%,7/22/05,6/30/10,6/30/12,3/6/06,6.32,4.83,-1.50,76.30%,58.47%,26.58,17.83%,Ongoing
PH-7393,National Support for Basic Education,WB,Program,DepEd,Social Reform and Community Development,Nationwide,12/31/10,3.89,27.57,0.63,2.13,34.21,20.83,20.83,10.42,10.42,62.50,0.00,0.00,0.00,0.00,0.00,83.97,83.97,54.73%,154.55,190.00,200.00,200.00,81.34%,35.45,0.00,40.74%,10/3/06,12/31/11,12/31/12,1/1/07,6.00,4.00,-2.00,66.64%,77.28%,45.45,-10.64%,Ongoing
PH-7395,National Sector Support for Health Reform,WB,Program,DOH,Social Reform and Community Development,Nationwide,12/31/10,0.00,0.00,0.00,19.42,19.42,0.00,5.79,22.45,31.18,59.42,0.00,0.00,0.00,0.00,0.00,72.03,72.03,32.68%,57.39,75.98,110.00,110.00,75.54%,18.59,0.00,26.96%,10/3/06,6/30/11,3/30/12,3/27/07,5.01,3.77,-1.25,75.14%,52.17%,52.61,22.97%,Ongoing
PH-7431,National Program Support for Tax Administration,WB,Program,BIR,Governance and Institutions Development,Nationwide,12/31/10,0.07,0.87,0.12,0.13,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.41,10.41,0.00%,1.77,9.42,11.00,11.00,18.82%,7.65,0.00,11.39%,3/30/07,12/31/11,6/30/13,6/25/07,6.02,3.52,-2.50,58.49%,16.12%,9.23,42.37%,Ongoing
PH-7440,Mindanao Rural Development Project-Phase 2,WB,Project,DA,"Agriculture, Natural Resources and Agrarian Reform","XI, XII, CARAGA, ARMM",12/31/10,0.94,1.18,1.73,0.68,4.53,0.89,2.87,4.56,4.61,12.93,0.00,0.00,0.00,0.00,0.00,75.84,75.84,35.03%,12.44,36.00,83.75,83.75,34.56%,23.56,0.00,5.97%,5/3/07,12/31/12,12/31/14,7/3/07,7.50,3.50,-4.00,46.64%,14.85%,71.31,31.79%,Ongoing
PH-7470,National Program Support for Environment and Natural Resources Management Project,WB,Program,DENR,"Agriculture, Natural Resources and Agrarian Reform",,12/31/10,1.45,1.31,0.00,3.60,6.35,1.25,2.41,3.13,3.75,10.55,0.00,0.00,0.00,0.00,0.00,38.58,38.58,60.26%,17.77,26.00,50.00,50.00,68.33%,8.24,0.00,16.47%,8/29/07,12/31/12,12/31/13,11/27/07,6.10,3.10,-3.00,50.76%,35.53%,32.24,15.23%,Ongoing
PH-75520,National Road Improvement Management Project Phase II,WB,Project,DPWH,Infrastructure,Nationwide,12/31/10,0.00,2.02,0.00,0.00,2.02,2.46,4.14,14.95,16.33,37.88,0.00,0.00,0.00,0.00,0.00,225.42,225.42,5.33%,5.60,80.00,232.00,232.00,7.00%,74.40,0.00,0.89%,10/24/08,12/31/12,12/31/14,4/16/09,5.71,1.71,-4.00,29.93%,2.41%,226.40,27.52%,Ongoing
PH-76730,Rural Power Project (Additional Financing),WB,Project,DBP,Infrastructure,,12/31/10,0.76,2.19,0.52,0.00,3.48,3.04,0.00,0.00,0.00,3.04,0.00,0.00,0.00,0.00,0.00,35.95,35.95,114.34%,7.17,22.00,40.00,40.00,32.60%,14.83,0.00,9.67%,5/25/09,12/31/12,,9/25/09,3.27,1.27,-2.00,38.73%,17.93%,32.83,20.80%,Ongoing
PH-76890,Agrarian Reform Communities Development Project II (Additional Financing),WB,Project,DAR,"Agriculture, Natural Resources and Agrarian Reform","II, III, IV-A, IV-B, V, VII, IX, X, XI",12/31/10,1.79,2.11,0.28,0.70,4.87,0.00,5.09,0.88,0.00,5.97,0.00,0.00,0.00,0.00,0.00,5.97,5.97,81.64%,7.66,10.00,10.00,10.00,76.60%,2.34,0.00,81.64%,5/12/09,6/30/10,12/31/10,7/31/09,1.42,1.42,0.00,100.00%,76.60%,2.34,23.40%,Ongoing
PH-7709,Participatory Irrigation Development Project,WB,Project,NIA,"Agriculture, Natural Resources and Agrarian Reform","CAR,II,IV,V,IX,XI",12/31/10,3.75,2.00,3.14,0.98,9.87,3.55,6.02,3.33,6.31,19.21,0.00,0.00,0.00,0.00,0.00,70.36,70.36,51.36%,10.04,6.00,70.36,70.36,167.37%,-4.04,0.00,14.02%,8/7/09,3/31/15,,11/3/09,5.41,1.16,-4.25,21.43%,14.27%,60.32,7.16%,Ongoing
PH-7805,Social Welfare and Development Reform,WB,Program,DSWD,Social Reform and Community Development,,12/31/10,41.01,10.78,10.19,8.04,70.03,41.01,10.78,10.19,8.04,70.03,0.00,0.00,0.00,0.00,0.00,405.00,405.00,100.00%,70.03,100.90,405.00,405.00,69.40%,30.87,0.00,17.29%,1/7/10,6/30/14,,2/19/10,4.36,0.86,-3.50,19.79%,17.29%,334.97,2.50%,Ongoing
