Project Title,Development Partner,Implementing/ Executing Agency,Grant Amount   (in US$ M),"Utilization
(in US$ M)",Project Start Date,Project Closing Date,Utilization Rate (UR),Time Elapsed (TE),TE-UR (%),Sector,Location,Type,"Financial 
Status","Physical
Status",Last Update,As of Date
Bilateral Seminar on Disaster Mitigation and Management,China,DFA,0.09,0.09,5/1/2014,6/1/2014,100,193.55,93.55,Governance and Institutions Development,China,Technical Assistance,Ongoing,Completed,6/30/2014,6/30/2014
Rice donation  for Haiyan victims  (China Govt),China,NFA,0.82,0.82,unknown,3/12/2014,100,NA,NA,Social Reform and Community Development,Region VII (Cebu),Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
540 Units of Prefabricated Houses  for Haiyan victims  (China Govt),China,NHA,3.23,3.23,unknown,3/31/2014,100,NA,NA,Social Reform and Community Development,Region VIII (Leyte),Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
166 Units of Classrooms,China,Philippine Red Cross Society,unidentified,unidentified,unknown,2/10/2014,NA,NA,NA,Social Reform and Community Development,Region VIII (Leyte),Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
Conflict Sensitive Resource and Asset Management (COSERAM),GIZ,"DILG, NEDA, DENR, OPAPP, NCIP",10.29,7.81,1/1/2011,12/1/2014,75.9,89.23,13.33,Governance and Institutions Development,CARAGA,Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
"Indigenous Practices for the Conservation of Biodiversity in 
Northeast Mindanao 
(IP4Biodiv)
",GIZ,"DILG, NEDA, DENR, OPAPP, NCIP",2.3,1.2,7/1/2012,12/31/2014,52.17,79.85,27.67,Governance and Institutions Development,CARAGA,Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
Promotion of Green Economic Development (ProGED),GIZ,DTI,3.94,1.72,1/1/2013,12/31/2015,43.65,49.82,6.16,"Industry, Trade and Tourism","Region VII (Bohol, Cebu)",Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
"Support to the National School Health Program
(Fit for School)",GIZ,"DepED, DepED ARMM",0.69,0.69,5/1/2011,6/30/2015,100,76,-24,Social Reform and Community Development,ARMM,Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
Environment and Rural Development (EnRD),GIZ,"DENR, DA, DAR",30.89,23.95,7/1/2005,12/31/2015,77.53,85.68,8.15,"Agriculture, Agrarian Reform and Natural Resources",Visayas,Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
"Study and Expert Fund
(SFF) ",GIZ,NEDA,11.21,8.53,12/1/1994,12/31/2015,76.09,92.87,16.78,Governance and Institutions Development,unspecified,Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
"National REDD+ System  
Philippines (REDD+)
",GIZ,DENR,6.96,1.75,11/1/2012,4/30/2017,25.14,36.93,11.79,"Agriculture, Agrarian Reform and Natural Resources",unspecified,Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
Adaptation to Climate Change in Coastal Regions (ACCCoast) ,GIZ,DENR,5.77,5.52,1/1/2011,6/30/2014,95.67,100,4.33,"Agriculture, Agrarian Reform and Natural Resources",unspecified,Technical Cooperation,Closed,Completed,6/30/2014,6/30/2014
"Forest and Climate Protection in Panay
(ForClimPanay)
",GIZ,DENR,2.56,2.29,9/1/2010,5/31/2014,89.45,102.19,12.74,"Agriculture, Agrarian Reform and Natural Resources",Region VI (Panay),Technical Cooperation,Closed,Completed,6/30/2014,6/30/2014
Protected Area Management Enhancement in the Philippines (PAME),GIZ,DENR PAWB,11.8,2.73,10/1/2012,3/31/2017,23.14,38.79,15.66,"Agriculture, Agrarian Reform and Natural Resources",unspecified,Technical Cooperation,Ongoing,Behind schedule,6/30/2014,6/30/2014
Support to the Climate Change Commission (Support CCC),GIZ,CCC,3.94,2.7,3/1/2012,8/31/2015,68.53,66.59,-1.94,Governance and Institutions Development,unspecified,Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
Community-based Forest and Mangrove Management Project,KfW,DENR,3.94,2.13,3/1/2009,3/1/2016,54.1,76.14,22.04,"Agriculture, Agrarian Reform and Natural Resources","VI, VII",Mixed,Ongoing,Behind schedule,6/30/2014,6/30/2014
"Essential Drug Supply through Social Franchising ""Health Plus"" (undisbursed funds of EUR 2.8 million from Health Plus were reallocated to Emergency Procurement of drugs and small medical equipment for typhoon Haiyan/Yolanda)",KfW,DOH,4.07,0.37,6/1/2005,8/1/2014,9.09,99.04,89.95,Social Reform and Community Development,Visayas region,Mixed,Ongoing,Behind schedule,6/30/2014,6/30/2014
Revenue Administration Reform Project (RARP),MCC-MCA,BIR,54.3,9.67,5/25/2011,5/25/2016,17.82,61.96,44.14,Governance and Institutions Development,NCR and other selected Regions,Mixed,Ongoing,Behind schedule,6/30/2014,6/30/2014
KALAHI CIDSS (KC),MCC-MCA,DSWD,120,61.19,5/25/2011,5/25/2016,50.99,61.96,10.97,Social Reform and Community Development,"Regions VI Mimaropa, V, VI, VII, VIII, CAR ",Mixed,Ongoing,on schedule,6/30/2014,6/30/2014
Secondary National Roads Development Project (SNRDP),MCC-MCA,DPWH,214.44,68.4,5/25/2011,5/25/2016,31.9,61.96,30.06,Infrastructure Development,Region VIII,Capital Grants ,Ongoing,on schedule,6/30/2014,6/30/2014
Monitoring and Evaluation (M&E),MCC-MCA,MCA-P,8.26,1.71,5/25/2011,5/25/2016,20.65,61.96,41.31,Governance and Institutions Development,"Regions VI Mimaropa, V, VI, VII, VIII & CAR ",Others,Ongoing,on schedule,6/30/2014,6/30/2014
Project Management and Oversight (PMO),MCC-MCA,MCA-P,36.91,11.55,5/25/2011,5/25/2016,31.28,61.96,30.68,Governance and Institutions Development,National Capital Region,Others,Ongoing,on schedule,6/30/2014,6/30/2014
Fishing Communities Seek Security in Aquaculture and Mangrove Restoration,WB,"Trowel Development Foundation , Inc.",0.18,0.28,12/3/2010,6/30/2013,155.56,138.83,-16.73,"Agriculture, Agrarian Reform and Natural Resources",,,Ongoing,Behind schedule,6/30/2014,6/30/2014
Kapitbisig Laban sa Kahirapan-Comprehensive and Integrated Delivery of Social Services (KALAHI-CIDSS) Project,WB,Department of Finance,0.96,0.45,5/28/2009,5/28/2014,46.88,101.81,54.93,Social Reform and Community Development,,,Ongoing,,6/30/2014,6/30/2014
PH-GEF-Manila Third Sewerage Project,WB,Department of Finance,5,1.1,8/16/2007,5/31/2014,22,101.21,79.21,Infrastructure Development,,,Ongoing,,6/30/2014,6/30/2014
Kapitbisig Laban sa Kahirapan-Comprehensive and Integrated Delivery of Social Services (KALAHI-CIDSS) Project,WB,Department of Finance,10,0.05,5/30/2012,5/31/2014,0.5,104.1,103.6,Social Reform and Community Development,,,Ongoing,,6/30/2014,6/30/2014
Developing A Knowledge Management and Exchange System for City Managers,WB,League of Cities of the Philippines,0.22,0.63,11/18/2011,6/30/2014,286.36,100,-186.36,Governance and Institutions Development,,,Ongoing,,6/30/2014,6/30/2014
Developing a National Slum Upgrading Strategy for the Philippines,WB,Department of Finance,0.46,1.19,6/12/2011,7/31/2014,258.7,97.29,-161.4,Governance and Institutions Development,,,Ongoing,,6/30/2014,6/30/2014
Monitoring &amp; Communicating Results: Capacity-Building for the Office of the Presidential Adviser on the Peace Proc ess,WB,Department of Finance,0.13,0.14,8/4/2011,8/4/2014,107.69,96.81,-10.89,Governance and Institutions Development,,,Ongoing,,6/30/2014,6/30/2014
Capacity Building for the Philippines&apos; Public-Private Partnership Center,WB,Department of Finance,0.18,1.79,9/9/2011,9/9/2014,994.44,93.52,-900.92,Governance and Institutions Development,,,Ongoing,,6/30/2014,6/30/2014
Traffic and Transport Management for Philippine CDS Cities,WB,League of Cities of the Philippines,0.46,1.03,9/12/2011,12/31/2014,223.91,84.74,-139.17,Governance and Institutions Development,,,Ongoing,,6/30/2014,6/30/2014
Operationalizing Institutional Mechanisms for Performance Accountability in the Philippines Health Insurance Corporati on (PhilHealth,WB,Philippines Health Insurance Corporation,0.21,0.07,9/8/2011,12/31/2014,33.33,84.79,51.46,Governance and Institutions Development,,,Ongoing,,6/30/2014,6/30/2014
Improving Livelihood Opportunities for Vulnerable Urban Communities,WB,Department of Finance,3,4.89,1/14/2011,12/31/2014,163,87.28,-75.72,Social Reform and Community Development,,,Ongoing,,6/30/2014,6/30/2014
Mindanao Rural Development Program (MRDP) Phase II - Natural Resource Management Component,WB,Department of Finance,6.35,2.25,10/16/2009,12/31/2014,35.43,90.33,54.89,"Agriculture, Agrarian Reform and Natural Resources",,,Ongoing,,6/30/2014,6/30/2014
Mindanao Rural Development Project - Phase 2,WB,Department of Finance,3,2.61,5/8/2012,12/31/2014,87,80.97,-6.03,"Agriculture, Agrarian Reform and Natural Resources",,,Ongoing,,6/30/2014,6/30/2014
PH - Chiller Energy Efficiency Project,WB,Department of Finance,2.6,0.12,1/5/2011,1/1/2015,4.62,87.3,82.69,Infrastructure Development,,,Ongoing,,6/30/2014,6/30/2014
Philippines: Manila Bay Integrated Water Quality Management Project,WB,Department of Finance,0.25,0.05,11/18/2011,2/28/2015,20,79.72,59.72,Infrastructure Development,,,Ongoing,,6/30/2014,6/30/2014
Strengthening the Capacity of Procurement Institutions for Effective Implementation and Enforcement of the Procurement Law,WB,Department of Finance,0.18,0.09,5/16/2012,5/16/2015,50,70.78,20.78,Governance and Institutions Development,,,Ongoing,,6/30/2014,6/30/2014
Institutionalizing Zero-Based Budgeting/Program Evaluation in the Government,WB,Department of Finance,0.3,0.62,7/11/2012,7/11/2015,206.67,65.66,-141,Governance and Institutions Development,,,Ongoing,,6/30/2014,6/30/2014
Climate Change Adaptation Program,WB,Department of Finance,4.97,0.19,1/31/2011,12/15/2015,3.82,70.04,66.22,"Agriculture, Agrarian Reform and Natural Resources",,,Ongoing,,6/30/2014,6/30/2014
Philippine Wealth Accounting and the Valuation of Ecosystem Services RETF,WB,Department of Finance,0.7,0.14,4/25/2014,12/31/2015,20,10.73,-9.27,"Agriculture, Agrarian Reform and Natural Resources",,,Ongoing,,6/30/2014,6/30/2014
MULTI DONOR FACILIT Y - PH MINDANAO RECONSTRUCTION &amp; DEVELOPMENT,WB,Intnl Lbr Org Country Office Philippines,2.05,2.62,12/3/2012,12/31/2015,127.8,51.11,-76.69,Social Reform and Community Development,,,Ongoing,,6/30/2014,6/30/2014
Philippines Public Health,WB,Population Services Pilipinas Inc.,3.65,4.74,7/9/2012,12/31/2015,129.86,56.77,-73.09,Social Reform and Community Development,,,Ongoing,,6/30/2014,6/30/2014
Philippines: Methane Recovery from Waste Management Project,WB,Land Bank of Philippines,3.51,2.31,1/14/2010,12/31/2015,65.81,74.78,8.97,"Agriculture, Agrarian Reform and Natural Resources",,,Ongoing,,6/30/2014,6/30/2014
MULTI DONOR FACILIT Y - PH MINDANAO RECONSTRUCTION &amp; DEVELOPMENT,WB,"MinLand Foundation, Inc.",8.3,0.18,1/13/2010,12/31/2015,2.17,74.79,72.62,Social Reform and Community Development,,,Ongoing,,6/30/2014,6/30/2014
MULTI DONOR FACILIT Y - PH MINDANAO RECONSTRUCTION &amp; DEVELOPMENT,WB,CSFI,5.38,0.11,3/17/2009,12/31/2015,2.04,77.86,75.82,Social Reform and Community Development,,,Ongoing,,6/30/2014,6/30/2014
Philippines: Social Inclusion and Alternative Livelihood for the Informal Waste Sector,WB,Solid Waste Managmnt Asscn - Philippines,2.86,0.31,6/18/2012,6/15/2016,10.84,50.89,40.05,Social Reform and Community Development,,,Ongoing,,6/30/2014,6/30/2014
Community Enterprise Development as Pathway Out of Poverty,WB,Department of Finance,2.93,0.22,11/21/2012,11/21/2016,7.51,40.11,32.6,Social Reform and Community Development,,,Ongoing,,6/30/2014,6/30/2014
Capacity Bldg. of MMDA to Formulate &amp; Implement the Green Print 2030,WB,Department of Finance,0.15,4.97,11/29/2013,11/29/2016,"3,313.33",19.43,"-3,293.90",Governance and Institutions Development,,,Ongoing,,6/30/2014,6/30/2014
Philippines: Northwind Bangui Bay Project,WB,,1.51,10,12/9/2004,12/31/2016,662.25,79.23,-583.02,Infrastructure Development,,,Ongoing,,6/30/2014,6/30/2014
PH - Chiller Energy Efficiency Project,WB,Department of Finance,1,0.89,1/5/2011,1/1/2017,89,58.14,-30.86,Infrastructure Development,,,Ongoing,,6/30/2014,6/30/2014
Integrated POPs Management,WB,Department of Finance,8.64,6.46,6/24/2011,6/30/2017,74.77,50.14,-24.63,Governance and Institutions Development,,,Ongoing,,6/30/2014,6/30/2014
Guarding the Integrity of the Conditional Cash Transfer Program,WB,Concerned Citizens of Abra for Good Govt,0.8,0.18,3/28/2014,3/28/2018,22.5,6.43,-16.07,Governance and Institutions Development,,,Ongoing,,6/30/2014,6/30/2014
Enhancing the Income and Asset Declaration System,WB,Office of the Ombudsman,0.23,0,5/31/2013,5/31/2016,0,36.04,36.04,Governance and Institutions Development,,,Ongoing,,6/30/2014,6/30/2014
Open Data Platform for Monitoring Poverty Reduction Programs,WB,Department of Finance,0.15,0,11/29/2013,11/29/2016,0,19.43,19.43,Governance and Institutions Development,,,Ongoing,,6/30/2014,6/30/2014
Establishment of the Philippine Food Security Information System (PHIL-FSIS),FAO,BAS,0.37,0.26,3/15/2012,12/31/2014,70.27,81.98,11.71,"Agriculture, Agrarian Reform and Natural Resources",Nationwide,Technical Cooperation,Ongoing,on schedule,6/30/2014,6/30/2014
Capacity Building of small Farmers in Enterpreneurship Development and Market Access ,FAO,ATI,0.4,0.25,7/1/2012,12/31/2014,62.5,79.85,17.35,"Agriculture, Agrarian Reform and Natural Resources",Regions II and III,Technical Cooperation,Ongoing,on schedule,6/30/2014,6/30/2014
Improvement of Feeding and Feed Management Efficiency in Aquaculture Production in the Philippines,FAO,BFAR,0.35,0.03,11/1/2013,10/31/2015,8.57,33.06,24.49,"Agriculture, Agrarian Reform and Natural Resources",Nationwide,Technical Cooperation,Ongoing,on schedule,6/30/2014,6/30/2014
Emergency Response to Restore the Rural Livelihoods of Farmers Affected by Typhoon Haiyan in Region IV-B (MIMAROPA),FAO,DA,0.5,0.31,11/21/2013,12/1/2014,62,58.93,-3.07,"Agriculture, Agrarian Reform and Natural Resources",Region IV-B,Emergency/Relief,Ongoing,on schedule,6/30/2014,6/30/2014
Restoring agricultura livelihoods of conflict-affected areas in Maguindanao Province in ARMM,FAO,DAF-ARMM,2.76,2.6,7/1/2011,9/30/2014,94.2,92.25,-1.95,"Agriculture, Agrarian Reform and Natural Resources",ARMM,Emergency/Relief,Ongoing,on schedule,6/30/2014,6/30/2014
"Emergency Response to Restore thr Rural Livelihoods of Farmers Affected by Typhoon Haiyan in Regions VI, VII and VIII
",FAO,DA,0.67,0.64,12/5/2013,8/4/2014,95.52,85.54,-9.99,"Agriculture, Agrarian Reform and Natural Resources",Regions VI and VIII,Emergency/Relief,Ongoing,on schedule,6/30/2014,6/30/2014
"Emergency Response to Restore the Rural Livelihoods of Farmers Affected by Typhoon Haiyan in Region VI
",FAO,DA,1.34,1.32,11/19/2013,5/18/2014,98.51,123.89,25.38,"Agriculture, Agrarian Reform and Natural Resources",Region VI,Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
Emergency Food Security Response to Typhoon Haiyan-affected Persons,FAO,DA,0.5,0.5,11/18/2013,5/17/2014,100,124.44,24.44,"Agriculture, Agrarian Reform and Natural Resources",Region VIII,Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
"Emergency and Recovery Support to Restart Livelihoods, Income Generation and Food Sufficiency and to Build the Resilience of Small Scale Rice- and Corn- based Farming Communities in Leyte Province of Region VIII",FAO,DA,3.25,2.24,1/22/2014,1/21/2015,68.92,43.68,-25.24,"Agriculture, Agrarian Reform and Natural Resources",Region VIII,Emergency/Relief,Ongoing,On schedule,6/30/2014,6/30/2014
Emergency Response to Restore the Rural Livelihoods of Farmers Affected by Typhoon Haiyan in Regions VIII,FAO,DA,1.09,0.98,12/1/2013,8/31/2014,89.91,77.29,-12.62,"Agriculture, Agrarian Reform and Natural Resources",Region VIII,Emergency/Relief,Ongoing,On schedule,6/30/2014,6/30/2014
"Emergency Response to Restore the Rural Livelihoods of Farmers Affected by Typhoon Haiyan in Regions VI, VII, VIII",FAO,DA,0.4,0.37,12/1/2013,8/31/2014,92.5,77.29,-15.21,"Agriculture, Agrarian Reform and Natural Resources",Region VI,Emergency/Relief,Ongoing,on schedule,6/30/2014,6/30/2014
"Emergency Response to Restore the Rural Livelihoods of Farmers Affected by Typhoon Haiyan in Regions VI, VII, VIII 
",FAO,DA,3.3,3.06,12/1/2013,8/31/2014,92.73,77.29,-15.44,"Agriculture, Agrarian Reform and Natural Resources",Regions VI and VIII,Emergency/Relief,Ongoing,On schedule,6/30/2014,6/30/2014
Emergency support to promote household food security and early recovery of sustainable livelihoods,FAO,DA,2.99,2.56,3/13/2014,3/12/2015,85.62,29.95,-55.67,"Agriculture, Agrarian Reform and Natural Resources","Region VI, V",Technical Cooperation,Ongoing,on schedule,6/30/2014,6/30/2014
"Emergency and recovery support to restart fisheries, aquaculture, and post-harvest livelihoods, income generation and food self-sufficiency, and to build the resilience of small scale fisherfolks in regions severely affected by Typhoon Haiyan",FAO,DA,4.95,3.11,3/1/2014,12/31/2014,62.83,39.67,-23.16,"Agriculture, Agrarian Reform and Natural Resources",Region IV-B,Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
"Emergency support to promote household food security and early recovery of sustainable livelihoods of small-scale coconut farmers severely affected by Typhoon Haiyan
",FAO,DA,4.17,2.73,3/1/2014,12/31/2014,65.47,39.67,-25.8,"Agriculture, Agrarian Reform and Natural Resources","Regions VIII, VI",Technical Cooperation,Ongoing,on schedule,6/30/2014,6/30/2014
"Emergency Response to Restore the Rural Livelihoods of Farmers Affected by Typhoon Haiyan
",FAO,DA,2.17,0.02,3/25/2014,10/31/2015,0.92,16.58,15.66,"Agriculture, Agrarian Reform and Natural Resources",Region VIII,Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
"Emergency Response to Restore the Rural Livelihoods of Farmers Affected by Typhoon Haiyan
",FAO,DA,5.49,3.3,3/31/2014,12/31/2014,60.11,33.09,-27.02,"Agriculture, Agrarian Reform and Natural Resources","Regions VIII, VI",Technical Cooperation,Ongoing,on schedule,6/30/2014,6/30/2014
"Restoring fisheries livelihoods in coastal regions affected by Typhoon Haiyan in Regions IVB, VI and VIII",FAO,DA,2.06,1.1,2/1/2014,12/31/2014,53.4,44.74,-8.65,"Agriculture, Agrarian Reform and Natural Resources","Regions IV-B, VI, VIII",Technical Cooperation,Ongoing,on schedule,6/30/2014,6/30/2014
Energency support to promote household food security and early recovery of sustainable livelihoods,FAO,DA,1.38,0.05,3/26/2014,9/25/2015,3.62,17.52,13.9,"Agriculture, Agrarian Reform and Natural Resources",Region IV-B,Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
"Consultant support to strenghtening family farming through the implementation of the ""Purchase from Asia for Asians"" through local procurement programmes
",FAO,DA,0.08,0.05,5/7/2014,10/24/2014,62.5,31.76,-30.74,"Agriculture, Agrarian Reform and Natural Resources","Regions, V, VIII, IX",Technical Cooperation,Ongoing,on schedule,6/30/2014,6/30/2014
"""Rice Plus"": Dynamic Conservation and Sustainable Use of Agricultural Biodiversity to ensure Food Security and Ecosystems Services and Resilliency (PPG)
",FAO,DA,0.1,0.01,5/12/2014,3/30/2015,10,15.22,5.22,"Agriculture, Agrarian Reform and Natural Resources","CAR, Region VII",Technical Assistance,Ongoing,on schedule,6/30/2014,6/30/2014
Scaling-up of the Early Warning System for Food and Nutrition Security in selected municipalities in the Philippines otherwise known as the “FAO-UNICEF Scaling-up Project” ,FAO,NNC,0.23,0.14,11/1/2012,10/31/2014,60.87,83.13,22.26,Social Reform and Community Development,Region V,Technical Cooperation,Ongoing,on schedule,6/30/2014,6/30/2014
"Restoring agricultural Livelihoods in Typhoon-affected Agrarian Reform Communities in Davao Oriental Province, Region XI, Mindanao, Philippines
",FAO,DA,0.15,0.36,11/30/2013,8/29/2014,240,77.94,-162.06,"Agriculture, Agrarian Reform and Natural Resources",Region XI,Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
Bioenergy and food security in ASEAN ,FAO,DA,0.49,0.12,4/19/2012,3/31/2014,24.49,112.8,88.31,"Agriculture, Agrarian Reform and Natural Resources",Nationwide,Technical Cooperation,Closed,Completed,6/30/2014,6/30/2014
Building statistical capacity for quality food security and nutrition information in support of better informed policies ,FAO,BAS,0.45,0.01,8/1/2013,7/31/2015,2.22,45.68,43.46,"Agriculture, Agrarian Reform and Natural Resources",Nationwide,Technical Cooperation,Ongoing,on schedule,6/30/2014,6/30/2014
Conservation and Adaptive Management of Globally Important Agricultural Heritage Systems (GIAHS)- Full sized project ,FAO,DENR-CAR,3.5,3.5,7/1/2008,6/1/2014,100,101.34,1.34,"Agriculture, Agrarian Reform and Natural Resources",CAR,Technical Cooperation,Closed,Completed,6/30/2014,6/30/2014
Assessments of Climate Change Impacts and mapping of vulnerability to Food Insecurity under Climate Change to Strengthen Household Food Security with Livelihoods’ Adaptation Approaches ,FAO,DA,2.58,2.02,10/1/2011,12/31/2014,78.29,84.5,6.2,"Agriculture, Agrarian Reform and Natural Resources",Region V and XIII,Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
Enhancing Understanding and implementation of the International Treaty on Plant Genetic Resources for Food and Agriculture in Asia ,FAO,DA,0.44,0.12,7/12/2012,7/11/2015,27.27,65.63,38.36,"Agriculture, Agrarian Reform and Natural Resources",Nationwide,Technical Cooperation,Ongoing,on schedule,6/30/2014,6/30/2014
"Response to System Wide Level 3 Emergencies - Typhoon Haiyan
",FAO,DA,0.5,0.51,11/11/2013,12/31/2014,102,55.66,-46.34,"Agriculture, Agrarian Reform and Natural Resources",Region VIII,Technical Cooperation,Ongoing,on schedule,6/30/2014,6/30/2014
Early Economic Recovery: Immediate Income Generation through Emergency Employment ,ILO,ILO,0.15,0.15,1/1/2014,7/15/2014,98.96,92.31,-6.65,Social Reform and Community Development,VIII,Emergency/Relief,Ongoing,Completed,6/30/2014,6/30/2014
Support to the ILO response framework: Philippines super typhoon Haiyan: Rebuilding sustainable livelihoods ,ILO,ILO,0.1,0,3/1/2014,12/31/2014,4.16,39.67,35.51,Social Reform and Community Development,"IV-B, VII, VIII",Emergency/Relief,Ongoing,On schedule,6/30/2014,6/30/2014
Restoring income generation and food self-sufficiency of small-scale coconut farmers severely affected by Typhoon Haiyan - ILO Component ,ILO,"ILO, FAO",1.65,0.28,1/1/2014,12/31/2014,16.87,49.45,32.58,"Agriculture, Agrarian Reform and Natural Resources",VIII,Emergency/Relief,Ongoing,On schedule,6/30/2014,6/30/2014
Integrated Livelihood Recovery for Typhoon Haiyan affected communities ,ILO,ILO,2.56,0.03,4/1/2014,3/28/2015,1.26,24.93,23.67,Social Reform and Community Development,"IV-B, VII, VIII",Emergency/Relief,Ongoing,On schedule,6/30/2014,6/30/2014
Generating Emergency Employment and Recovering Sustainable Livelihoods ,ILO,ILO,3.2,0.82,1/1/2014,12/31/2014,25.77,49.45,23.68,Social Reform and Community Development,"IV-B, VII, VIII",Emergency/Relief,Ongoing,On schedule,6/30/2014,6/30/2014
Promoting Freedom of Association and the Right to Collective Bargaining in the Philippines (PHI/11/04M/USA),ILO,ILO,0.74,0.69,10/1/2011,6/30/2014,93.59,100,6.41,Governance and Institutions Development,"Nationwide
",Technical Cooperation,Closed,Completed,6/30/2014,6/30/2014
Promoting Decent Work Across Borders:  A Pilot for Migrant Health Professionals and Skilled Workers (INT/09/11M/EEC),ILO,ILO,2.58,1.6,2/1/2011,11/30/2014,61.89,89.06,27.17,Governance and Institutions Development,"International (Philippines, Viet Nam, and India)",Technical Assistance,Ongoing,On schedule,6/30/2014,6/30/2014
Programme for Local Economic Development through Enhanced Governance and Grassroots Empowerment (PLEDGE) (PHI/12/04M/IBR),ILO,ILO,2.05,0.56,12/1/2012,10/31/2015,27.51,54.14,26.63,Social Reform and Community Development,"IX, X, XI, XII, ARMM",Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
Making Decent Work A reality for Domestic Workers (PHI/12/50M/SID),ILO,ILO,0.17,0.16,4/1/2012,3/31/2014,91.48,112.48,21,Governance and Institutions Development,"Nationwide
",Technical Cooperation,Closed,Completed,6/30/2014,6/30/2014
