item_number,project_or_activity_1,project_or_activity_2,project_cost,obligation,balance,actual_expenses,remarks
2.4,Continuing Appropriation - CY 2010- Social Development,Construction of stage at Brgy. San Lucas 2,500000,-,500000,-,-
2.41,Continuing Appropriation - CY 2010- Social Development,Concreting of road at Brgy. Atisan,1000000,-,1000000,-,-
2.42,Continuing Appropriation - CY 2010- Social Development,Construction of Day Care Center at Brgy. San Joaquin,1000000,-,1000000,-,-
2.44,Continuing Appropriation - CY 2010- Social Development,Purchase of Lot Brgy. Santiago II,350000,350000,-,338000,completed
2.45,Continuing Appropriation - CY 2010- Social Development,Purchase of Lot Brgy. San Buenaventura,1200000,-,1200000,-,-
2.46,Continuing Appropriation - CY 2010- Social Development,Water tank reservoir,1000000,-,1000000,-,-
3.01,Continuing Appropriation - CY 2010- Social Development,Purchase of pest control at SPC General Hospital,100000,-,100000,-,-
3.03,Continuing Appropriation - CY 2010- Social Development,Purchase of garbage truck Brgy Santiago 2,450000,-,450000,-,-
3.04,Continuing Appropriation - CY 2010- Social Development,Purchase of dump truck Brgy. San Mateo,450000,-,450000,-,-
3.05,Continuing Appropriation - CY 2010- Social Development,Hospital Waste Management,100000,-,100000,-,-
-,Continuing Appropriation - CY 2010- Social Development-From Re-Alignment,Fiiling Materials or Soil or Cover Landfill,4000000,1599500,2400500,-,-
-,Continuing Appropriation - CY 2010- Social Development-From Re-Alignment,Purchase of Bulldozer,4000000,3998400,1600,3955000,completed
-,Continuing Appropriation - CY 2010- Social Development-From Re-Alignment,"Gas, Oil and Lubricants for Maintenance of Landfill",2500000,-,2500000,-,-
-,Continuing Appropriation - CY 2010- Social Development-From Re-Alignment,Purchase of Elevator,6000000,6000000,-,5824000,completed
-,Continuing Appropriation - CY 2010- Social Development-From Re-Alignment,Animal Shelter(City Pound)Vehicle with trailer for City Vet,1721647.8,-,1721647.8,-,-
1.01,Continuing Appropriation - CY 2010- Social Development-2011 20% Development Fund,Purchase of Medicine for medical and dental missions,1000000,982496,17504,982496,completed
2.01,Continuing Appropriation - CY 2010- Social Development-2011 20% Development Fund,Agricultural productivity and enhancement program,1000000,-,1000000,-,-
2.02,Continuing Appropriation - CY 2010- Social Development-2011 20% Development Fund,Repair and rehabilitation of various govt. bldg.,3000000,-,3000000,-,-
2.03,Continuing Appropriation - CY 2010- Social Development-2011 20% Development Fund,Repair and maintenance of Public Market and Shopping Mall.,4000000,-,4000000,-,-
2.04,Continuing Appropriation - CY 2010- Social Development-2011 20% Development Fund,Purchase of Lot for food and PUV terminal,60000000,60000000,-,-,open obligation
2.05,Continuing Appropriation - CY 2010- Social Development-2011 20% Development Fund,Purchase of Lot adjacent to SPCGH & DLSP,8500000,8500000,-,8382480,completed
2.06,Continuing Appropriation - CY 2010- Social Development-2011 20% Development Fund,Construction of Admin Bldgh. At LSPU,2500000,-,2500000,-,-
2.07,Continuing Appropriation - CY 2010- Social Development-2011 20% Development Fund,Construction of ABC Hall at Brgy. San Jose,5000000,-,5000000,-,-
2.08,Continuing Appropriation - CY 2010- Social Development-2011 20% Development Fund,Rehabilitation of line canal at Brgy. Sto. Angel NHA,1000000,-,1000000,-,-
2.09,Continuing Appropriation - CY 2010- Social Development-2011 20% Development Fund,Installation of Door and windows at 3 storey Bldg.,1000000,1000000,-,994000,completed
2.1,Continuing Appropriation - CY 2010- Social Development-2011 20% Development Fund,Additional construction of 3 storey building,2670205.6,-,2670205.6,-,-
2.11,Continuing Appropriation - CY 2010- Social Development-2011 20% Development Fund,Rehabilitation of line canal at Brgy. San Jose,2000000,2000000,-,-,open obligation
-,Total,Total,91670205.6,72482496,19187709.6,10358976,-
-,Grand Total,Grand Total,172612776.5,91314929,81297847.51,21784651.5,-
