list_of_proposed_programs,projects,location,appropriation,disbursement,balance,remarks
Economic Development,"Purchase of Dumptruck (Realigned as per SP Resolution No. 2012-112 series of 2012, dated April 18, 2012) ","Construction of Bodega-Phase 2, City Agriculture Compound- Php 150000.00",-,0,150000,For Implementation
Economic Development,"Purchase of Dumptruck (Realigned as per SP Resolution No. 2012-112 series of 2012, dated April 18, 2012) ",Repair or Improvement of Public Market Building- Php 138000.00,-,138000,0,POW or OR On-process 04-30-12
Economic Development,"Purchase of Dumptruck (Realigned as per SP Resolution No. 2012-112 series of 2012, dated April 18, 2012) ","Land Development of Road Island, Crossing Martesan, Barangay Burgos - Php 112120.00",-,112120,0,POW or OR On-process 04-30-12
Economic Development,"Purchase of Dumptruck (Realigned as per SP Resolution No. 2012-112 series of 2012, dated April 18, 2012) ",Repair or Improvement of Bodega- Php 313374.25,-,313374.25,0,POW or OR On-process 05-07-12
Economic Development,"Purchase of Dumptruck (Realigned as per SP Resolution No. 2012-112 series of 2012, dated April 18, 2012) ","Installation of Perimeter Fence, Bangga Trese, Barangay Tiglawigan- Php 45747.00",-,45747,0,100% Completed 06-25-12
Economic Development,"Purchase of Dumptruck (Realigned as per SP Resolution No. 2012-112 series of 2012, dated April 18, 2012) ",Purchase of One (1) Unit Garbage Dumptruck (Counterpart Fund) Barangay Caduha-an- Php 400000.00,-,0,400000,For Implementation
Economic Development,Financial Support to Self-Employment Assistance Program (SEAP),-,1000000,971500,28500,"On-going as of June 30, 2012"
Economic Development,Payment of Loan Amortization with Philippine National Bank (PNB) (Re- Construction of City Commercial Port Project),-,36000000,11194144.19,24805855.81,"On-going as of June 30, 2012"
Economic Development,Payment of Loan Amortization with Veteran Bank (VB) (Re- Construction of City Sanitary Landfill Project),-,6000000,2608654.79,3391345.21,"On-going as of June 30, 2012"
Economic Development,Financial Support to Swine Breeding Center at City Veterinary Compound,-,2000000,1499405,500595,"On-going as of June 30, 2012"
Economic Development,Financial Support to Cooperative Project,-,700000,300000,400000,"On-going as of June 30, 2012"
Economic Development,Bayanihan Savings Replication Project,-,500000,0,500000,For Implementation
Economic Development,Construction of Covered Walks,-,2000000,2000000,0,POW or OR On-process 05-07-12
Economic Development,Financial Support to Agri-Pinoy for Fisheries Program,-,500000,496997,3003,100% Completed 05-03-12
Economic Development,Financial Support to Agri-Pinoy for Rice and Corn Program,-,500000,499988,12,100% Completed 04-11-12
Economic Development,Financial Support to Agri-Pinoy High Valued Crops Program,-,500000,0,500000,For Implementation
Environmental Management,Reforestation Project,-,200000,200000,0,"On-going as of June 30, 2012"
Environmental Management,City Solid Waste Management Program,-,500000,500000,0,"On-going as of June 30, 2012"
Environmental Management,Bantay Dagat Protection Program,-,300000,165927.6,134072.4,"On-going as of June 30, 2012"
Environmental Management,Construction of Bantay Dagat Training Center at Barangay Tiglawigan,-,1000000,0,1000000,For Implementation
Environmental Management,Coastal Fisheries Resources Management Program (CFRM),-,300000,0,300000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 1,Construction of Alleys at Purok East Proper and Masinadyahon,150000,150000,0,POW or OR On-process 06-11-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 1,Repair or Improvement of Mini-Market and Stage at Purok Villa Victoria,70000,0,70000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 1,Purchase of One (1) Unit Bantay Dagat Patrol Boat,100000,100000,0,PR or OR On-process 06-18-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 1,Barangay Electrification Project,80000,80000,0,100%Completed 06-18-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 1,Provision of Financial Support to Agri-Pinoy for Fisheries Program,50000,50000,0,OR or PR On-process 02-27-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 1,Repair or Improvement or Declogging of Drainage System,50000,0,50000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 2,Construction of Footwalk,50000,0,50000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 2,Concreting of Barangay Road,200000,200000,0,OR or POW On-process 05-14-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 2,Construction of Breakwater,200000,0,200000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 2,Construction or Repair of Drainage System,50000,0,50000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 3,Repair or Improvement of Water System,200000,0,200000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 3,Barangay Electrification Project,200000,200000,0,100% Completed 02-13-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 3,Construction of Footwalk,100000,100000,0,POW or OR On-process 06-28-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 4,Purchase of Medical Equipments,150000,0,150000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 4,Barangay Electrification Project,200000,200000,0,PR or OR On-process 06-20-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 4,"Construction, Repair or Improvement of Water System",150000,0,150000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 5,Barangay Electrification Project,100000,100000,0,Materials Accepted 06-28-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 5,Repair or Improvement of Drainage System,50000,0,50000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 5,Repair or Improvement of Multi-Purpose Building,100000,0,100000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 5,Construction or Rehabilitation of Barangay Kiosk,175000,0,175000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 5,Concreting of Footwalk and Alley,75000,75000,0,POW or OR On-process 05-08-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 6,Purchase of Medical Equipments,50000,0,50000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 6,Repair or Improvement of Multi-Purpose Hall,180000,180000,0,POW or OR On-process 02-21-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 6,Repair or Improvement of Barangay Health Center,120000,120000,-,POW or OR On-process 02-21-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 6,Barangay Electrification Project,130000,129540.5,459.5,POW or OR On-process 02-15-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay 6,Disaster Preparedness Program (Purchase of Chainsaw),20000,19500,500,PR or OR On-process 03-23-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Caduha-an,"Construction, Repair or Improvement of Water System",100000,63185,36815,100% Completed 05-31-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Caduha-an,Barangay Electrification Project,100000,0,100000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Caduha-an,Repair or Improvement or De-clogging of Drainage System,150000,0,150000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Caduha-an,Repair or Improvement of Barangay Roads,150000,0,150000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Daga,"Construction, Repair or Improvement of Water System",200000,-,-,-
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Daga,"Construction, Repair or Improvement of Water System- Avila",-,60000,0,100% Completed 04-27-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Daga,"Construction, Repair or Improvement of Water System- Purok Lasalle",-,60000,0,100% Completed 05-29-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Daga,"Construction, Repair or Improvement of Water System- Balandra E or S",-,80000,0,100% Completed 05-31-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Daga,Barangay Electrification Project,100000,99949.05,50.95,POW or OR On-process 03-23-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Daga,"Repair, Improvement or Declogging of Drainage System",200000,0,200000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Andres Bonifacio,Construction of Rice Mill Building at Barangay Proper,200000,200000,0,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Andres Bonifacio,Barangay Electrification Project (Purchase of Service Drop wire),100000,99980,20,100% Completed 05-20-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Andres Bonifacio,Improvement of Barangay Roads,200000,200000,0,POW or OR On-process 02-23-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay V. F. Gustilo,Concreting of Barangay Roads,250000,250000,0,POW or OR On-process 06-13-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay V. F. Gustilo,Repair or Improvements of Health Center at Sewahon II,150000,0,150000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay V. F. Gustilo,Repair or Improvement of Barangay Roads,50000,0,50000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay V. F. Gustilo,Repair or Improvement of Water System,50000,0,50000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Luna,Barangay Electrification Program,100000,99923.65,76.35,100% Completed 05-15-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Luna,Construction or Improvement of Barangay Health Center,150000,150000,0,POW or OR On-process 05-20-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Luna,Construction of Senior Citizens Center,100000,0,100000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Luna,Construction of Perimeter Fence at Valderrama or Luna Extension High School,150000,150000,0,POW or OR On-process 05-01-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Sicaba,Improvement of Health Center,100000,100000,0,POW or OR On-process 05-07-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Sicaba,Barangay Electrification Project,50000,0,50000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Sicaba,Repair or Improvement of Barangay Roads,50000,50000,0,POW or OR On-process 02-24-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Sicaba,Construction or Riprapping of Barangay Roads,200000,200000,0,POW or OR On-process 02-24-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Sicaba,Repair or Improvement of Drainage System,100000,100000,0,100% Completed 05-07-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Celestino Villacin,Disaster Preparedness Program (Purchase of two (2) Way Handheld Radios),100000,0,100000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Celestino Villacin,Purchase of one (1) unit Dumptruck (Counterpart Fund),300000,0,300000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Celestino Villacin,"Barangay Reforestation Project (Realigned to- Repair or Improvement of Barangay Health Center at Sitio Alimatoc Proper, Barangay C.S. Villacin)",100000,100000,0,POW or OR On-process 06-26-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Magsaysay,Repair or Improvement of Barangay Roads,500000,500000,0,POW or OR On-process 02-07-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Cabahug,Construction of Footwalk,50000,50000,0,Materials Accepted 06-25-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Cabahug,Repair or Improvement of Water System,150000,0,150000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Cabahug,Barangay Electrification Project,300000,149940.6,150059.4,POW or OR On-process 05-07-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Banquerohan,Barangay Electrification Project,350000,0,350000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Banquerohan,Construction of Barangay Tanod Outpost,50000,50000,0,POW or OR On-process 05-07-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Banquerohan,Construction of Sidewalk,100000,94406.25,5593.75,100% Completed 06-21-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Burgos,Construction or Repair or Improvement of Water System,300000,0,300000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Burgos,Construction or Rehabilitation of Footwalks,100000,100000,0,100% Completed 04-19-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Burgos,"Construction, Repair or Improvement of Multi-Purpose Pavement",100000,100000,0,100% Completed 04-30-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Tiglawigan,"Construction, Repair or Improvement of Drainage System",250000,176000,74000,"On-going as of June 30, 2012 100% Completed 06-04-12"
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Tiglawigan,Repair or Improvement of Barangay Road at So. Sambag,50000,0,50000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Tiglawigan,Construction of Footwalk at Sitio Pang-pang,30000,0,30000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Tiglawigan,"Repair or Improvement of Perimeter Fence at Daycare Center, Barangay Proper",30000,0,30000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Tiglawigan,Repair or Improvement of Water System at Hda. Lamak,50000,0,50000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Tiglawigan,Repair or Improvement of Daycare Center (Fabrication of Window Grills at Panique-on),30000,30000,0,POW or OR On-process 05-02-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Tiglawigan,Barangay Electrification,60000,0,60000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Cadiz Viejo,Construction or Improvement of Breakwater at Barangay Proper,500000,500000,0,POW or OR On-process 04-18-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Mabini,Barangay Electrification Project,400000,0,400000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Mabini,"Construction, Repair or Improvement of Water System- Hda. Cana-an",100000,60000,40000,"On-going as of June 30, 2012 POW or OR On-process 05-02-12"
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Jerusalem,Barangay Electrification Project,120000,-,-,-
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Jerusalem,Barangay Electrification Project- Construction of Streetlights - Php 70000.00,-,0,70000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Jerusalem,Barangay Electrification Project- Purchase of Eletrical Service Dropwire - Php 50000.00,-,49980,20,100% Completed 02-13-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Jerusalem,Construction or Repair of Water System,200000,0,200000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Jerusalem,Repair or Improvement of Barangay Roads,100000,100000,0,POW or OR On-process 04-26-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Jerusalem,Repair or Improvement of Comfort Roams,80000,0,80000,For Implementation
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Tinampa-an,Barangay Electrification Project,300000,-,100642.3,"On-going as of June 30, 2012"
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Tinampa-an,Barangay Electrification Project,-,99357.7,0,100% Completed 03-20-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Tinampa-an,Barangay Electrification Project,-,100000,0,100% Completed 02-28-12
City Development Assistance Fund to 22 Barangays at Php 500000.00 Per Barangay,Barangay Tinampa-an,"Construction, Repair or Improvement and Declogging of Drainage System",200000,200000,0,POW or OR On-process 06-28-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Vicente William M. Tabanao,Barangay Electrification Project,80000,0,80000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Vicente William M. Tabanao,Repair or Improvement of Barangay Kiosk at Barangay 5,25000,0,25000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Vicente William M. Tabanao,"Repainting of Perimeter Fence at City Tennis Court, Barangay 4",125000,0,125000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Vicente William M. Tabanao,Repair or Improvement of City Mini-Gym (Counterpart Fund),50000,50000,0,POW or OR On-process 05-21-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Vicente William M. Tabanao,Financial Support to Self-Employment Assistance Program (SEAP),50000,0,50000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Vicente William M. Tabanao,Purchase of Medical Equiptments,100000,0,100000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Vicente William M. Tabanao,"Construction of Main Gate at City Commercial Complex, Barangay 4",50000,30000,20000,"On-going as of June 30, 2012"
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Vicente William M. Tabanao,"Construction, Repair or Improvement of Water System at Barangay Bonifacio",20000,20000,0,100% Completed 04-1-3-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Marcelo C. Metoda, Sr.",Purchase of Medical Equiptments,80000,79200,800,PR or OR On-process 06-13-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Marcelo C. Metoda, Sr.","Construction of Tricycle Terminal (Counterpart Fund) at Crossing Martesan, Barangay Burgos",20000,0,20000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Marcelo C. Metoda, Sr.",Construction of School Toilet at East II Elementary School,20000,0,20000,For Implementation
